ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
ribosomal small subunit biogenesis	71	-0.593013023125012	-2.05307902773968	0.000999000999000999	0.136654700688852	0.131336393764075	2494	tags=61%, list=13%, signal=53%	6232/6202/51077/51118/65083/26574/55226/9790/92856/51406/10528/6191/134430/6230/51602/57050/2091/27341/27340/4869/6228/6223/25983/51096/91582/6207/6838/88745/6206/55781/6205/64745/27292/55272/9136/6194/64434/8602/57647/84135/6229/10436/5822	AATF/BMS1/DHX37/DIMT1/EMG1/FBL/FCF1/IMP3/IMP4/METTL17/NAT10/NGDN/NOL6/NOL7/NOM1/NOP14/NOP56/NOP58/NPM1/PWP2/RIOK2/RPS11/RPS12/RPS13/RPS19/RPS19BP1/RPS23/RPS24/RPS25/RPS27/RPS4X/RPS6/RPS8/RRP36/RRP7A/RRP9/SURF6/UTP11/UTP15/UTP18/UTP20/UTP3/WDR36	pos.rank
ribosomal large subunit biogenesis	34	-0.61461936098275	-1.98514328887384	0.001	0.136654700688852	0.131336393764075	3246	tags=68%, list=17%, signal=56%	90441/51154/23481/55003/6125/6154/55319/55153/23212/26155/54955/2971/84154/9045/10969/79029/23560/51491/51121/4869/6838/6135/220064	AIRIM/EBNA1BP2/GTF3A/GTPBP4/MRTO4/NOC2L/NOP16/NPM1/LTO1/PAK1IP1/PES1/RPF2/RPL11/RPL14/RPL26/RPL26L1/RPL5/RRS1/SDAD1/AFG2B/SURF6/TMA16/ZNF622	pos.rank
rRNA processing	113	-0.55229968519222	-1.97643857012385	0.000999000999000999	0.136654700688852	0.131336393764075	3895	tags=60%, list=21%, signal=48%	6155/23378/6218/55011/23517/55035/51154/118460/23404/10360/28987/25879/55299/51575/3669/6232/23481/51013/51118/54606/11137/6125/6154/65083/5036/9045/50628/23223/10969/92856/1662/23016/10528/51119/134430/5393/6230/51602/317781/705/27043/2091/29960/54512/27341/27340/6223/54853/56915/22984/51096/88745/9775/22894/6135/55661/10556/55272/1736/79039/9136/6194/8602/84135/57418/6229/10436/10248	BRIX1/BYSL/DCAF13/DDX10/DDX27/DDX51/DDX54/DDX56/DIS3/DKC1/EBNA1BP2/EIF4A3/EMG1/ESF1/EXOSC1/EXOSC2/EXOSC4/EXOSC5/EXOSC6/EXOSC7/EXOSC9/FBL/MRM2/GEMIN4/IMP3/IMP4/ISG20/MRTO4/NOB1/NOL6/NOL8/NOP14/NOP56/NOP58/NPM3/PA2G4/PDCD11/PELP1/PES1/PIH1D1/POP7/PWP1/RPL11/RPL14/RPL26/RPL27/RPL5/RPP30/RPS17/RPS19/RPS24/RPS25/RPS27/RPS6/RRP12/RRP36/RRP7A/RRP8/RRP9/SBDS/MTREX/UTP11/UTP15/UTP18/UTP20/WDR18/WDR36/WDR55	pos.rank
rRNA methylation	14	-0.690036326378097	-1.9280527173415	0.0010351966873706	0.136654700688852	0.131336393764075	4762	tags=79%, list=25%, signal=59%	29081/64216/387338/29063/117246/79979/2091/55006/29960/51504/27292	DIMT1/FBL/MRM2/FTSJ3/METTL5/NSUN4/TFB2M/TRMT112/TRMT2B/TRMT61B/ZCCHC4	pos.rank
cytoplasmic translation	88	-0.540755397180643	-1.90596087115651	0.000999000999000999	0.136654700688852	0.131336393764075	5101	tags=67%, list=27%, signal=49%	6234/6157/6134/6142/6156/7311/23521/3921/6130/6138/6164/6155/9349/6218/4736/6203/6136/6147/6122/25873/2197/6143/6232/6141/6187/6202/6204/6125/6154/6146/1819/9045/6301/6224/6137/6191/6152/6230/6231/6139/51121/6181/6175/6144/6228/6223/6167/6222/6207/6158/6206/6160/6169/6135/6132/6205/6194/6128/6229	DRG2/FAU/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL3/RPL30/RPL31/RPL34/RPL36/RPL37/RPL38/RPL5/RPL6/RPL7A/RPL8/RPLP0/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS17/RPS18/RPS19/RPS2/RPS20/RPS23/RPS24/RPS25/RPS26/RPS27/RPS28/RPS4X/RPS6/RPS8/RPS9/RPSA/SARS1/UBA52	pos.rank
positive regulation of transcription of nucleolar large rRNA by RNA polymerase I	10	-0.719406902501927	-1.87105405243731	0.00106723585912487	0.136654700688852	0.131336393764075	3759	tags=60%, list=20%, signal=48%	55011/1663/4691/11137/2475/4141	DDX11/MARS1/MTOR/NCL/PIH1D1/PWP1	pos.rank
protein acetylation	12	-0.691451415694219	-1.86998542921173	0.00104602510460251	0.136654700688852	0.131336393764075	3179	tags=58%, list=17%, signal=49%	84289/55226/1387/8850/2033/2308/8260	CREBBP/EP300/FOXO1/ING5/KAT2B/NAA10/NAT10	pos.rank
RNA catabolic process	31	-0.583360421566183	-1.86086622122523	0.001001001001001	0.136654700688852	0.131336393764075	3351	tags=61%, list=18%, signal=51%	23517/8761/118460/23404/3669/115752/51013/6036/51092/23016/5393/5511/87178/84153/54512/4686/56915/22894/11340	DIS3/DIS3L/EXOSC1/EXOSC2/EXOSC4/EXOSC5/EXOSC6/EXOSC7/EXOSC8/EXOSC9/ISG20/NCBP1/PABPC4/PNPT1/PPP1R8/RNASE2/RNASEH2C/SIDT2/MTREX	pos.rank
regulation of telomere maintenance	21	-0.609627318877782	-1.83995735354747	0.00100704934541793	0.136654700688852	0.131336393764075	4685	tags=67%, list=25%, signal=50%	23293/56160/197370/80119/7014/23381/54780/55719/23049/5976/7520/56252/55869/4609	SLF2/HDAC8/MYC/NSMCE3/NSMCE1/NSMCE4A/PIF1/SMG1/SMG5/SMG6/TERF2/UPF1/XRCC5/YLPM1	pos.rank
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	24	-0.596759836531442	-1.8286461936335	0.00100502512562814	0.136654700688852	0.131336393764075	4148	tags=71%, list=22%, signal=55%	84916/90121/25879/6202/55720/9790/705/57050/79954/6223/27042/25983/88745/2068/8602/57647/5822	BMS1/BYSL/UTP4/DCAF13/DHX37/UTP25/ERCC2/NGDN/NOL10/NOP14/PWP2/RPS19/RPS8/RRP36/TSR1/TSR2/UTP3	pos.rank
