ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
ribosomal large subunit biogenesis	34	-0.579931531486173	-1.84926879132463	0.001	0.204071283685888	0.201085878997697	5249	tags=68%, list=28%, signal=49%	84154/6154/23560/9045/6838/4869/90441/6135/115416/4931/51154/51121/55153/23212/54955/10969/79029/6129/6125/55003/51491/51388/220064	AIRIM/EBNA1BP2/GTPBP4/MALSU1/MRTO4/NIP7/NOP16/NPM1/NVL/LTO1/PAK1IP1/RPF2/RPL11/RPL14/RPL26/RPL26L1/RPL5/RPL7/RRS1/SDAD1/AFG2B/SURF6/ZNF622	pos.rank
positive regulation of vascular endothelial cell proliferation	18	-0.633851619977917	-1.83397686685592	0.00101419878296146	0.204071283685888	0.201085878997697	4840	tags=61%, list=26%, signal=46%	2260/51738/8862/6774/51548/10000/2247/6868/441478/5170/5335	ADAM17/AKT3/APLN/FGF2/FGFR1/GHRL/NRARP/PDPK1/PLCG1/SIRT6/STAT3	pos.rank
positive regulation of telomere maintenance via telomerase	34	-0.562095464979374	-1.79239366148561	0.001	0.204071283685888	0.201085878997697	4357	tags=59%, list=23%, signal=45%	10574/25913/5594/225689/5609/22948/26272/8658/10575/5073/4751/4216/5595/1736/9212/7520/10576/65057/92345/908	ACD/AURKB/CCT2/CCT4/CCT5/CCT6A/CCT7/DKC1/FBXO4/MAP2K7/MAP3K4/MAPK1/MAPK15/MAPK3/NAF1/NEK2/PARN/POT1/TNKS/XRCC5	pos.rank
cytoplasmic translation	88	-0.50564735788649	-1.77730281410005	0.000999000999000999	0.204071283685888	0.201085878997697	5431	tags=62%, list=29%, signal=45%	6142/200916/6128/6154/9045/6232/51389/6234/6130/9349/6135/4733/6122/6143/11224/6231/6144/6158/6193/6233/6181/6191/6167/6301/51121/6152/6168/4736/6169/6222/6206/2197/6160/6205/6137/6228/55854/6207/6161/6159/6208/6218/6129/6227/6201/6132/6125/6209/6133/6139/6235/1819/6203/6202/6155	DRG1/DRG2/FAU/RPL10A/RPL11/RPL13/RPL14/RPL17/RPL18A/RPL19/RPL21/RPL22L1/RPL23/RPL24/RPL26/RPL26L1/RPL27/RPL28/RPL29/RPL3/RPL31/RPL32/RPL35/RPL37/RPL37A/RPL38/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS17/RPS18/RPS21/RPS23/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS4X/RPS5/RPS7/RPS8/RPS9/RWDD1/SARS1/ZC3H15	pos.rank
ribosomal small subunit biogenesis	71	-0.515937549146223	-1.77701490163047	0.000999000999000999	0.204071283685888	0.201085878997697	5198	tags=63%, list=27%, signal=46%	27341/26574/88745/6232/10199/6838/6234/4869/57050/5394/55127/134430/83732/6193/92856/6191/10436/10885/51118/57647/55813/10171/5822/84135/6206/6205/30836/51602/6228/64434/6207/128061/2091/6208/27292/6218/6201/51406/27340/6209/55272/6203/6202/10528/8602	AATF/C1orf131/DHX37/DIMT1/DNTTIP2/EMG1/EXOSC10/FBL/HEATR1/IMP3/IMP4/MPHOSPH10/NOL7/NOM1/NOP14/NOP56/NOP58/NPM1/PWP2/RCL1/RIOK1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS17/RPS23/RPS27/RPS28/RPS4X/RPS5/RPS7/RPS8/RPS9/RRP36/RRP7A/SURF6/UTP11/UTP15/UTP20/UTP3/UTP6/WDR3/WDR36	pos.rank
rRNA processing	113	-0.49151468179072	-1.76365581598385	0.000999000999000999	0.204071283685888	0.201085878997697	5626	tags=62%, list=30%, signal=44%	3669/54853/120379/27341/28987/88745/6154/9045/79050/6232/22803/6839/5036/29997/51010/6234/23223/6135/5394/25879/56915/134430/9775/10556/92856/9724/55661/54606/23016/10436/10813/27043/9188/4931/51154/54555/51118/79863/1662/55299/84135/51602/29960/22894/11137/2091/51575/10969/57418/6218/6129/23404/6201/6125/22984/10248/5393/1736/27340/56342/55646/6209/54512/55272/6155/10528/79039/118460/8602/50628	BRIX1/DCAF13/DDX10/DDX21/DDX27/DDX49/DDX54/DDX56/DIS3/DKC1/EBNA1BP2/EIF4A3/EMG1/ESF1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/EXOSC5/EXOSC6/EXOSC7/EXOSC9/FBL/MRM2/GEMIN4/NOP53/IMP3/IMP4/ISG20/LYAR/MRTO4/NOB1/NOC4L/NOP14/NOP56/NOP58/NVL/PA2G4/PDCD11/PELP1/PIH1D2/POP7/PPAN/PWP1/RBFA/RPL11/RPL14/RPL26/RPL27/RPL5/RPL7/RPP30/RPS15/RPS17/RPS27/RPS28/RPS7/RRP12/RRP36/RRP7A/SUV39H1/UTP11/UTP14A/UTP14C/UTP15/UTP20/WDR18/WDR36/WDR55/XRN2	pos.rank
positive regulation of transcription initiation by RNA polymerase II	57	-0.507288598211572	-1.71798446264999	0.000999000999000999	0.204071283685888	0.201085878997697	3912	tags=53%, list=21%, signal=42%	6722/6872/90390/6928/9412/9441/54797/9282/112950/10001/400569/6875/9656/9440/29079/9443/6883/6837/10467/6873/51003/129685/170506/55090/6878/6881/84246/6874/2957/9968	DHX36/GTF2A1/HNF1B/MDC1/MED10/MED11/MED12/MED14/MED17/MED18/MED21/MED22/MED26/MED30/MED31/MED4/MED6/MED7/MED8/MED9/SRF/TAF1/TAF10/TAF12/TAF2/TAF4/TAF4B/TAF6/TAF8/ZNHIT1	pos.rank
chloride transport	43	-0.508279345629717	-1.67162397647765	0.000999000999000999	0.204071283685888	0.201085878997697	2662	tags=40%, list=14%, signal=34%	1185/25932/203859/10861/5348/160728/375611/55248/55107/115111/1181/338440/57282/5349/706/1207/1184	ANO1/ANO5/ANO9/CLCN2/CLCN5/CLCN6/CLIC4/CLNS1A/FXYD1/FXYD3/SLC26A1/SLC26A5/SLC26A7/SLC4A10/SLC5A8/PACC1/TSPO	pos.rank
positive regulation of DNA replication	26	-0.538430375956185	-1.65681221444557	0.00100704934541793	0.204071283685888	0.201085878997697	5285	tags=62%, list=28%, signal=44%	23175/7349/10361/1763/2736/80169/983/5111/6416/1950/81620/2735/2069/11143/11124/8467	CDK1/CDT1/CTC1/DNA2/EGF/EREG/FAF1/GLI1/GLI2/KAT7/LPIN1/MAP2K4/NPM2/PCNA/SMARCA5/UCN	pos.rank
RNA polymerase II preinitiation complex assembly	48	-0.493522537427412	-1.64264213561466	0.000999000999000999	0.204071283685888	0.201085878997697	3694	tags=50%, list=19%, signal=40%	6872/90390/9412/9441/54797/9282/112950/10001/400569/6875/9440/29079/9443/6883/6837/6873/51003/129685/55090/6878/6881/84246/6874/2957	GTF2A1/MED10/MED11/MED14/MED17/MED18/MED21/MED22/MED26/MED30/MED31/MED4/MED6/MED7/MED8/MED9/TAF1/TAF10/TAF12/TAF2/TAF4/TAF4B/TAF6/TAF8	pos.rank
