ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
negative regulation of cell migration	12	-0.634225409284928	-1.70940275545456	0.00417972831765935	0.355276907001045	0.355276907001045	82	tags=50%, list=17%, signal=43%	2309/23309/25942/10370/6722/56254	CITED2/FOXO3/RNF20/SIN3A/SIN3B/SRF	pos.rank
regulation of RNA splicing	11	0.72093023255814	2.56217447183246	0.0196078431372549	0.555555555555555	0.555555555555556	143	tags=100%, list=30%, signal=72%	56970/8295/6881/23326/10474/27097/2648/55578/10629/117143/2521	ATXN7L3/FUS/KAT2A/SUPT20H/TADA1/TADA3/TAF10/TAF5L/TAF6L/TRRAP/USP22	pos.rank
positive regulation of canonical NF-kappaB signal transduction	10	-0.61000148421432	-1.57475862729522	0.0181818181818182	0.555555555555555	0.555555555555556	67	tags=50%, list=14%, signal=44%	1653/54862/92140/5966/8915	BCL10/CC2D1A/DDX1/MTDH/REL	pos.rank
cellular response to lipopolysaccharide	11	-0.537556744508302	-1.42315391311817	0.0599369085173502	0.832350165172251	0.832350165172251	22	tags=27%, list=5%, signal=27%	8915/3148/7494	BCL10/HMGB2/XBP1	pos.rank
liver development	12	-0.516954013211298	-1.39332578242649	0.0762800417972832	0.832350165172251	0.832350165172251	156	tags=58%, list=32%, signal=41%	4851/6670/4088/5469/84159/10370/7494	ARID5B/CITED2/MED1/NOTCH1/SMAD3/SP3/XBP1	pos.rank
positive regulation by host of viral transcription	11	-0.515010570824524	-1.36346407454445	0.0809674027339642	0.832350165172251	0.832350165172251	179	tags=82%, list=37%, signal=53%	51193/3725/64710/51176/7023/2033/22938/6598/6667	EP300/JUN/LEF1/NUCKS1/SMARCB1/SNW1/SP1/TFAP4/ZNF639	pos.rank
protein ubiquitination	18	-0.468260691720081	-1.35597431199913	0.0809426229508197	0.832350165172251	0.832350165172251	187	tags=50%, list=39%, signal=32%	4780/1877/7332/9412/8805/5469/55749/4799/55294	CCAR1/E4F1/FBXW7/MED1/MED21/NFE2L2/NFX1/TRIM24/UBE2L3	pos.rank
multicellular organism growth	12	-0.49151592308277	-1.32476350043241	0.107628004179728	0.832350165172251	0.832350165172251	138	tags=50%, list=29%, signal=37%	79718/2033/2355/5916/84159/10365	ARID5B/EP300/FOSL2/KLF2/RARG/TBL1XR1	pos.rank
rhythmic process	12	-0.484074593262818	-1.30470717737715	0.119122257053292	0.832350165172251	0.832350165172251	169	tags=67%, list=35%, signal=44%	23435/10765/1387/4800/25942/1655/55294/6667	CREBBP/DDX5/FBXW7/KDM5B/NFYA/SIN3A/SP1/TARDBP	pos.rank
in utero embryonic development	15	-0.456136152902821	-1.2794080117745	0.1282316442606	0.832350165172251	0.832350165172251	157	tags=47%, list=32%, signal=33%	4097/4851/8841/4088/8531/25942/10365	HDAC3/KLF2/MAFG/NOTCH1/SIN3A/SMAD3/YBX3	pos.rank
positive regulation of angiogenesis	12	-0.473045658941543	-1.27498132527076	0.136886102403344	0.832350165172251	0.832350165172251	76	tags=33%, list=16%, signal=29%	3728/92140/7494/6667	JUP/MTDH/SP1/XBP1	pos.rank
response to hypoxia	20	-0.419499735775938	-1.23541311634921	0.168711656441718	0.832350165172251	0.832350165172251	248	tags=75%, list=51%, signal=38%	5371/6659/9124/329/1958/3976/4602/2033/2034/4088/2355/1387/4929/10370/6722	BIRC2/CITED2/CREBBP/EGR1/EP300/EPAS1/FOSL2/LIF/MYB/NR4A2/PDLIM1/PML/SMAD3/SOX4/SRF	pos.rank
positive regulation of DNA-binding transcription factor activity	19	-0.420747662741632	-1.22796578010959	0.17280163599182	0.832350165172251	0.832350165172251	134	tags=42%, list=28%, signal=32%	2033/4088/133746/3728/84159/10987/6722/6598	ARID5B/COPS5/EP300/JMY/JUP/SMAD3/SMARCB1/SRF	pos.rank
fat cell differentiation	14	-0.444842949638289	-1.22666275173952	0.177453027139875	0.832350165172251	0.832350165172251	265	tags=93%, list=55%, signal=43%	22809/3164/51341/9314/8554/1959/2033/2355/6720/8013/5469/4929/84159	ARID5B/ATF5/EGR2/EP300/FOSL2/KLF4/MED1/NR4A1/NR4A2/NR4A3/PIAS1/SREBF1/ZBTB7A	pos.rank
chromatin remodeling	54	-0.368056664925809	-1.21847392765096	0.120879120879121	0.832350165172251	0.832350165172251	146	tags=35%, list=30%, signal=28%	51564/10765/387893/6595/57504/1387/84193/10498/64324/10600/5927/1616/8202/6304/10782/3054/29117/6598/56254	BRD7/CARM1/CREBBP/DAXX/HCFC1/HDAC7/KDM5A/KDM5B/MTA3/NCOA3/NSD1/RNF20/SATB1/SETD3/KMT5A/SMARCA2/SMARCB1/USP16/ZNF274	pos.rank
positive regulation of erythrocyte differentiation	10	-0.471365368071771	-1.2168604490123	0.182887700534759	0.832350165172251	0.832350165172251	82	tags=30%, list=17%, signal=25%	2309/5469/3148	FOXO3/HMGB2/MED1	pos.rank
cell cycle	18	-0.420078420483949	-1.21644963430309	0.175204918032787	0.832350165172251	0.832350165172251	153	tags=44%, list=32%, signal=32%	1877/2033/25909/55749/10771/3054/29117/6598	AHCTF1/BRD7/CCAR1/E4F1/EP300/HCFC1/SMARCB1/ZMYND11	pos.rank
protein stabilization	15	-0.42968643023415	-1.20521966499217	0.200620475698035	0.832350165172251	0.832350165172251	155	tags=47%, list=32%, signal=33%	112770/5245/2033/4088/6907/55294/3054	EP300/FBXW7/GLMP/HCFC1/PHB1/SMAD3/TBL1X	pos.rank
