ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
negative regulation of gene expression, epigenetic	14	-0.654623088859229	-1.80027833972247	0.00206398348813209	0.575851393188854	0.569224919884851	209	tags=64%, list=23%, signal=50%	10013/51547/26147/3622/9734/79723/55183/54737/5987	HDAC6/HDAC9/ING2/MPHOSPH8/PHF19/RIF1/SIRT7/SUV39H2/TRIM27	pos.rank
Fc-epsilon receptor signaling pathway	13	-0.618743959783324	-1.67832852028782	0.00518672199170124	0.723547717842324	0.715221664118803	321	tags=85%, list=36%, signal=55%	6850/5588/695/7189/5336/4214/6654/6885/7409/3551/2208	BTK/FCER2/IKBKB/MAP3K1/MAP3K7/PLCG2/PRKCQ/SOS1/SYK/TRAF6/VAV1	pos.rank
positive regulation of regulatory T cell differentiation	11	-0.599924117907058	-1.57914123077263	0.0115546218487395	0.743256743256743	0.73470389259863	193	tags=64%, list=21%, signal=51%	50943/3558/604/10288/11221/3135/1378	BCL6/CR1/DUSP10/FOXP3/HLA-G/IL2/LILRB2	pos.rank
lipopolysaccharide-mediated signaling pathway	11	-0.573820537101327	-1.5104304730439	0.0283613445378151	0.743256743256743	0.73470389259863	201	tags=55%, list=22%, signal=43%	7189/8767/5336/923/10892/8915	BCL10/CD6/MALT1/PLCG2/RIPK2/TRAF6	pos.rank
regulation of nucleotide-excision repair	11	-0.566191629061622	-1.49034939466802	0.0346638655462185	0.743256743256743	0.73470389259863	51	tags=36%, list=6%, signal=35%	8193/6595/11143/29117	BRD7/DPF1/KAT7/SMARCA2	pos.rank
positive regulation of interleukin-2 production	29	-0.473802492775799	-1.47717483632308	0.0130522088353414	0.743256743256743	0.73470389259863	298	tags=62%, list=33%, signal=43%	5142/301/25/5588/3662/7189/916/8767/5336/11146/942/6885/4860/5788/10892/5144/6188/25865	ABL1/ANXA1/CD3E/CD86/GLMN/IRF4/MALT1/MAP3K7/MUM1/PDE4B/PDE4D/PLCG2/PNP/PRKCQ/PRKD2/PTPRC/RIPK2/RPS3/TRAF6	pos.rank
negative regulation of protein ubiquitination	10	-0.565214034528447	-1.44459228727941	0.0460878885316184	0.743256743256743	0.73470389259863	253	tags=60%, list=28%, signal=44%	7128/10196/51547/857/2534/6188	CAV1/FYN/PRMT3/RPS3/SIRT7/TNFAIP3	pos.rank
negative regulation of ERK1 and ERK2 cascade	15	-0.517701647593588	-1.43912901547852	0.0371517027863777	0.743256743256743	0.73470389259863	120	tags=40%, list=13%, signal=35%	23410/7430/1739/5788/11221/2633	DLG1/DUSP10/EZR/GBP1/PTPRC/SIRT3	pos.rank
transcription initiation-coupled chromatin remodeling	10	-0.562445660811278	-1.43751678830765	0.0493033226152197	0.743256743256743	0.73470389259863	44	tags=50%, list=5%, signal=48%	51547/11143/8850/5253/29117	BRD7/KAT2B/KAT7/PHF2/SIRT7	pos.rank
heterochromatin formation	14	-0.513945553000519	-1.41340118093892	0.0526315789473684	0.743256743256743	0.73470389259863	266	tags=50%, list=30%, signal=36%	84444/29128/22955/23411/8085/604/11335	BCL6/CBX3/DOT1L/KMT2D/SCMH1/SIRT1/UHRF1	pos.rank
