ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
cytoplasmic translation	86	-0.642063654337969	-2.26029061650188	0.000999000999000999	0.12904468412943	0.123925472386668	1749	tags=63%, list=10%, signal=57%	6233/6175/6128/6142/6191/10399/6129/6210/6188/6132/6187/6139/6234/6207/6232/6168/6122/11224/6206/6173/6152/9045/6165/6130/6201/6161/6134/6135/7311/55854/6144/6202/6156/6229/6125/6136/6194/6138/6160/6223/6205/6208/6137/2197/6147/6189/6204/9349/6154/3921/6193/25873/6141/6167	FAU/RACK1/RPL10/RPL11/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL21/RPL23/RPL23A/RPL24/RPL26/RPL3/RPL30/RPL31/RPL32/RPL35/RPL35A/RPL36/RPL36A/RPL37/RPL37A/RPL5/RPL6/RPL7/RPL7A/RPL8/RPLP0/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15A/RPS19/RPS2/RPS24/RPS27/RPS27A/RPS28/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA/UBA52/ZC3H15	pos.rank
ribosomal large subunit assembly	20	-0.738330950191439	-2.19656353256652	0.00100908173562059	0.12904468412943	0.123925472386668	2367	tags=75%, list=14%, signal=64%	4839/23195/6175/6128/6152/6134/6135/56342/6125/23246/84154/55052/23212/6147/54475	BOP1/MDN1/MRPL20/NLE1/NOP2/PPAN/RPF2/RPL10/RPL11/RPL23A/RPL24/RPL5/RPL6/RPLP0/RRS1	pos.rank
positive regulation of telomerase RNA localization to Cajal body	13	-0.730730198232124	-1.99313477783477	0.00103626943005181	0.12904468412943	0.123925472386668	2477	tags=77%, list=15%, signal=66%	10856/55651/6950/8607/7203/10574/1736/10575/22948/10694	CCT3/CCT4/CCT5/CCT7/CCT8/DKC1/NHP2/RUVBL1/RUVBL2/TCP1	pos.rank
ribosomal small subunit biogenesis	69	-0.558120481835031	-1.92818234094569	0.000999000999000999	0.12904468412943	0.123925472386668	3456	tags=62%, list=21%, signal=50%	55127/5822/6230/84916/55272/6209/51602/11103/134430/84135/64434/10528/57647/6191/6210/51118/6234/6207/6232/51077/6206/91582/8602/5394/6201/10436/84128/10885/55813/23160/9790/6202/6229/6194/92856/4809/6223/6205/6208/6189/55226/4869/6193	BMS1/UTP4/DHX37/EMG1/EXOSC10/FCF1/HEATR1/IMP3/IMP4/KRR1/NAT10/SNU13/NOM1/NOP14/NOP56/NOP58/NPM1/PWP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS19/RPS19BP1/RPS24/RPS25/RPS27/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/UTP11/UTP15/UTP6/WDR3/WDR36/WDR43/WDR75	pos.rank
translation	161	-0.507408991737283	-1.86247094865416	0.000999000999000999	0.12904468412943	0.123925472386668	2560	tags=48%, list=15%, signal=41%	6209/80315/6222/28998/64963/118672/6158/6183/23/6233/6175/124995/6128/6142/10056/6191/9521/6129/6210/1615/6188/6132/6187/6139/6234/6207/6232/6168/6122/11224/51264/51023/64146/6206/6173/6152/9045/6165/6130/6201/6161/11222/6134/122704/6135/6150/64983/51065/6144/6202/6156/6229/6125/1915/6136/55168/6194/6138/6160/64979/6223/28973/6205/51187/6208/6137/2197/6147/6189/6204/9349/6154/3921/6193/6166/25873/6141/6167	ABCF1/CPEB4/DARS1/EEF1A1/EEF1E1/FARSB/FAU/MRPL10/MRPL13/MRPL23/MRPL27/MRPL3/MRPL32/MRPL36/MRPL52/MRPS11/MRPS12/MRPS18A/MRPS18B/MRPS18C/PDF/PSTK/RPL10/RPL11/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL21/RPL23/RPL23A/RPL24/RPL26/RPL28/RPL3/RPL30/RPL31/RPL32/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL5/RPL6/RPL7/RPL7A/RPL8/RPLP0/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS18/RPS19/RPS2/RPS24/RPS27/RPS27A/RPS27L/RPS28/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA/RSL24D1	pos.rank
mRNA cis splicing, via spliceosome	15	-0.657412684118153	-1.84178059211012	0.00103092783505155	0.12904468412943	0.123925472386668	5251	tags=87%, list=31%, signal=59%	11193/84991/51503/25766/51759/22916/1207/9092/55696/163859/28960/55660/10291	C9orf78/CLNS1A/CWC15/DCPS/NCBP2/PRPF40A/PRPF40B/RBM17/RBM22/SART1/SDE2/SF3A1/WBP4	pos.rank
rRNA processing	111	-0.51186099762359	-1.83628626327984	0.000999000999000999	0.12904468412943	0.123925472386668	6084	tags=74%, list=36%, signal=47%	5036/54059/84881/23378/27341/55035/79863/10775/55299/317781/10360/3669/27043/79039/55661/6217/130916/6155/54663/23223/6839/57109/55646/10813/6230/55011/55272/65080/23404/6209/51602/11137/9188/11103/55636/1662/134430/84135/51013/51202/10528/51367/54913/6129/51118/6234/6232/51119/6041/22803/29960/23517/23016/8568/22894/51575/8602/9045/6165/9775/5394/6201/22984/10436/84128/54606/28987/6135/29102/5303/56342/79050/56915/6229/6125/1736/54555/6194/92856/6223/10557/6154	BRIX1/CHD7/DDX10/DDX21/DDX27/DDX47/DDX49/DDX51/DDX54/DDX56/DIS3/DKC1/DROSHA/EIF4A3/EMG1/ESF1/EXOSC1/EXOSC10/EXOSC2/EXOSC5/EXOSC7/MRM2/IMP3/IMP4/ISG20/KRR1/LYAR/MRPL44/MTERF4/NOB1/NOC4L/NOL8/NOP14/NOP56/NOP58/NPM3/PA2G4/PDCD11/PELP1/PIH1D1/PIN4/POP4/POP5/PPAN/PWP1/RBFA/REXO4/RNASEL/RPL11/RPL14/RPL26/RPL27/RPL35A/RPL5/RPL7/RPP25/RPP38/RPS15/RPS16/RPS19/RPS24/RPS25/RPS27/RPS28/RPS6/RPS7/RPUSD4/RRP1/RRP12/RRP7A/RRP8/SBDS/MTREX/SUV39H1/UTP11/UTP14A/UTP15/WDR36/WDR74/WDR75/XRN2/YBEY	pos.rank
positive regulation of chromosome segregation	13	-0.672727179851908	-1.83492613470945	0.00103626943005181	0.12904468412943	0.123925472386668	4782	tags=85%, list=29%, signal=60%	56852/10592/4926/79677/64151/990/29781/10051/9918/54892/23397	CDC6/NCAPD2/NCAPG/NCAPG2/NCAPH/NCAPH2/NUMA1/RAD18/SMC2/SMC4/SMC6	pos.rank
mitotic sister chromatid cohesion	15	-0.654753670500416	-1.8343312078898	0.00103092783505155	0.12904468412943	0.123925472386668	3221	tags=67%, list=19%, signal=54%	83903/9126/991/23383/80218/55869/54921/8243/23126/25836	CDC20/CHTF8/HASPIN/HDAC8/MAU2/NAA50/NIPBL/POGZ/SMC1A/SMC3	pos.rank
mitochondrial electron transport, ubiquinol to cytochrome c	11	-0.698192132039174	-1.83429973666017	0.00105932203389831	0.12904468412943	0.123925472386668	3245	tags=55%, list=19%, signal=44%	7384/7386/27089/54205/29796/1537	CYC1/CYCS/UQCR10/UQCRC1/UQCRFS1/UQCRQ	pos.rank
attachment of spindle microtubules to kinetochore	17	-0.629462500660902	-1.80742713389178	0.00101729399796541	0.12904468412943	0.123925472386668	4274	tags=71%, list=26%, signal=53%	27436/25936/147841/151648/7756/9184/56155/84142/6795/57082/10403/83540	AURKC/BUB3/KNL1/EML4/ABRAXAS1/NDC80/NSL1/NUF2/SGO1/SPC24/TEX14/ZNF207	pos.rank
