ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
cytoplasmic translation	86	-0.829875010823336	-2.89836081202663	0.000999000999000999	0.0647969052224371	0.0621500559910414	685	tags=77%, list=4%, signal=74%	6223/6193/6128/6202/6232/6152/6157/6176/6161/6170/9045/6168/6210/10399/7311/6160/6135/6133/3921/6231/6217/6139/6222/6205/6224/6142/6130/6122/25873/6138/6132/6129/6169/4736/6235/6147/6191/6233/6234/6144/6156/6227/6175/6164/6229/6143/6228/6203/6209/6154/6206/6207/6124/6189/6181/6125/2197/6167/6137/6208/6194/9349/6204/6165/6141/6201	FAU/RACK1/RPL10A/RPL11/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL23A/RPL24/RPL26/RPL27A/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35A/RPL36/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS19/RPS20/RPS21/RPS23/RPS24/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/UBA52	pos.rank
translation	161	-0.670764659507223	-2.45420906011721	0.000999000999000999	0.0647969052224371	0.0621500559910414	1382	tags=59%, list=8%, signal=55%	6301/1917/25929/11224/55133/51318/51264/51023/122704/6188/6183/79590/29093/51065/64975/6223/6193/1725/6150/6128/6202/6232/6152/6157/6176/6161/1615/6170/10056/9045/6168/6210/65005/23/6160/6135/6133/3921/6231/6217/84545/6139/11222/6222/6205/51253/6224/51187/6142/6130/6122/25873/6138/6132/2935/51258/6129/6169/4736/6235/6147/6191/28973/6233/6234/6144/6156/6227/6175/6164/6182/6229/6143/6228/6203/6209/6154/6206/6207/6124/6189/6181/6125/2197/6167/6137/6208/1915/6194/64979/9349/6204/6165/6141/6201	ABCF1/DARS1/DHPS/EEF1A1/EEF1A2/FARSB/FAU/GEMIN5/GSPT1/MRPL12/MRPL22/MRPL23/MRPL24/MRPL27/MRPL3/MRPL35/MRPL36/MRPL37/MRPL41/MRPL43/MRPL51/MRPL52/MRPL9/MRPS12/MRPS18B/MRPS18C/RPL10A/RPL11/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL23A/RPL24/RPL26/RPL27A/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS19/RPS20/RPS21/RPS23/RPS24/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/SARS1/SRBD1	pos.rank
ribosomal small subunit biogenesis	69	-0.694922926560195	-2.38249625156941	0.000999000999000999	0.0647969052224371	0.0621500559910414	1122	tags=65%, list=7%, signal=61%	30836/26574/5822/84128/84916/8602/6223/6193/6202/6232/10436/56902/25983/134430/27341/6210/4869/92856/9136/91582/51118/51096/4809/10528/6217/6205/84135/83732/6191/57647/6234/5394/6229/6228/6203/6209/11103/6206/6207/6189/23160/6208/6194/55127/6201	AATF/UTP4/DHX37/DNTTIP2/EMG1/EXOSC10/HEATR1/IMP4/KRR1/NGDN/SNU13/NOP14/NOP56/NPM1/PNO1/PWP2/RIOK1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS19/RPS19BP1/RPS23/RPS24/RPS27/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RRP7A/RRP9/UTP11/UTP15/UTP18/WDR36/WDR43/WDR75	pos.rank
ribosomal large subunit assembly	20	-0.794219418146806	-2.34515455306009	0.00100603621730382	0.0647969052224371	0.0621500559910414	1089	tags=75%, list=7%, signal=70%	55299/84154/29997/6128/6152/51154/4839/6135/54475/23212/6147/55052/56342/6175/6125	BRIX1/NOP53/MRPL20/MRTO4/NLE1/NOP2/PPAN/RPF2/RPL11/RPL23A/RPL24/RPL5/RPL6/RPLP0/RRS1	pos.rank
rRNA processing	111	-0.619312029051764	-2.21389803318858	0.000999000999000999	0.0647969052224371	0.0621500559910414	2054	tags=59%, list=12%, signal=52%	6155/6041/2091/10556/65080/51119/29960/9188/51575/55299/23223/51013/10775/29997/11137/54663/23404/54555/84128/54606/8602/6223/54059/84881/6232/10436/27043/8568/56915/134430/51154/10557/27341/9045/25879/79050/92856/9136/55661/10969/51118/6135/51096/5036/10528/6217/705/84135/6129/57418/23517/6234/56342/5394/6229/6209/9775/51367/10248/6154/11103/6125/6194/6165/6201	BRIX1/BYSL/DCAF13/DDX21/DDX27/DDX49/DDX56/EBNA1BP2/EIF4A3/EMG1/ESF1/EXOSC1/EXOSC10/EXOSC2/EXOSC5/FBL/MRM2/NOP53/IMP4/KRR1/MRPL44/MRTO4/NOC4L/NOP14/NOP56/PA2G4/PELP1/POP4/POP5/POP7/PPAN/PWP1/RNASEL/RPL11/RPL14/RPL26/RPL27/RPL35A/RPL5/RPL7/RPP30/RPP38/RPS15/RPS16/RPS19/RPS24/RPS27/RPS28/RPS6/RPS7/RPUSD4/RRP1/RRP12/RRP7A/RRP9/SBDS/MTREX/UTP11/UTP15/UTP18/WDR18/WDR36/WDR74/WDR75/YBEY	pos.rank
ribosomal large subunit biogenesis	30	-0.701384754217732	-2.19145900138182	0.00100200400801603	0.0647969052224371	0.0621500559910414	1043	tags=67%, list=6%, signal=63%	55759/84154/26155/54663/166378/51154/9045/4869/10969/6135/220064/51187/23212/115416/6129/51491/6154/51388/6125/6165	EBNA1BP2/MALSU1/MRTO4/NIP7/NOC2L/NOP16/NPM1/LTO1/RPF2/RPL11/RPL14/RPL26/RPL35A/RPL5/RPL7/RRS1/RSL24D1/AFG2A/WDR12/WDR74	pos.rank
ribosomal small subunit assembly	12	-0.805691588624027	-2.17233105314152	0.00103950103950104	0.0647969052224371	0.0621500559910414	946	tags=83%, list=6%, signal=79%	5822/51065/6223/6193/6232/27341/3921/6234/6209/6208	PWP2/RPS14/RPS15/RPS19/RPS27/RPS27L/RPS28/RPS5/RPSA/RRP7A	pos.rank
nuclear pore complex assembly	10	-0.840114753467774	-2.16935894386645	0.00106382978723404	0.0647969052224371	0.0621500559910414	1580	tags=70%, list=9%, signal=63%	25909/9688/4928/57122/9972/55706/23165	AHCTF1/NDC1/NUP107/NUP153/NUP205/NUP93/NUP98	pos.rank
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	23	-0.700171038535992	-2.10804273024774	0.00100603621730382	0.0647969052224371	0.0621500559910414	3029	tags=83%, list=18%, signal=68%	88745/85395/79954/9277/2068/55720/5822/84916/8602/6223/6202/25983/25879/27042/6217/705/57647/23160/55127	BYSL/UTP4/DCAF13/DHX37/UTP25/ERCC2/SLX9/HEATR1/NGDN/NOL10/NOP14/PWP2/RPS16/RPS19/RPS8/RRP36/TSR1/WDR43/WDR46	pos.rank
positive regulation of histone H3-K4 methylation	10	-0.811632878483781	-2.09581255037726	0.00106382978723404	0.0647969052224371	0.0621500559910414	1836	tags=80%, list=11%, signal=71%	10445/84148/3054/7936/55683/11091/54934/8473	HCFC1/KANSL2/KANSL3/KAT8/MCRS1/NELFE/OGT/WDR5	pos.rank
