ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
cytoplasmic translation	86	-0.825232797267522	-2.97928653368946	0.000999000999000999	0.0644757433489828	0.060874468583883	959	tags=80%, list=6%, signal=76%	6191/6161/6133/6130/6218/7311/11224/6170/6169/25873/6157/6232/6223/9045/6160/6154/6138/6229/6176/6187/6128/6156/6136/6142/6124/6168/6205/6158/6224/6222/6231/6167/6129/6193/6217/6235/6228/6202/6144/6233/6181/6137/6125/6164/6203/6209/6122/4736/6139/6207/6175/6208/6234/9349/10399/6143/6189/6165/6132/6201/2197/6194/6141/6206/6188/3921/6210/6204/6227	FAU/RACK1/RPL10A/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL26/RPL27A/RPL28/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/UBA52	pos.rank
ribosomal small subunit biogenesis	69	-0.705687498371524	-2.51738496515818	0.000999000999000999	0.0644757433489828	0.060874468583883	1740	tags=72%, list=10%, signal=65%	64745/10528/10436/6838/55226/84916/6191/5394/10199/6218/2091/27292/51096/26574/92856/64434/10885/9136/83732/134430/6232/6223/6229/84135/55272/56902/8602/6205/91582/27341/6193/4869/6217/6228/6202/57647/6203/6209/11103/6207/6208/6234/6189/6201/6194/6206/4809/6210/23160/55127	AATF/UTP4/DHX37/DIMT1/EMG1/EXOSC10/FBL/HEATR1/IMP3/IMP4/KRR1/METTL17/MPHOSPH10/NAT10/SNU13/NOM1/NOP14/NOP56/NPM1/PNO1/RIOK1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS23/RPS24/RPS27/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RRP7A/RRP9/SURF6/UTP15/UTP18/WDR3/WDR36/WDR43	pos.rank
maturation of SSU-rRNA	18	-0.802668791411219	-2.41398275678378	0.00102564102564103	0.0644757433489828	0.060874468583883	1188	tags=78%, list=7%, signal=72%	84916/11056/8780/10199/92856/10885/25926/83732/6223/55272/8602/6208/6234/4809	UTP4/DDX52/IMP3/IMP4/MPHOSPH10/SNU13/NOL11/NOP14/RIOK1/RIOK3/RPS14/RPS19/RPS28/WDR3	pos.rank
telomere organization	23	-0.753803450904747	-2.37195410145352	0.00101419878296146	0.0644757433489828	0.060874468583883	1326	tags=78%, list=8%, signal=72%	8352/8355/8354/8359/3021/121504/8362/8364/8350/8361/8363/8358/8360/8366/8968/8357/8353/8351	H3-3B/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H4C1/H4C2/H4C3/H4C4/H4C6/H4C11/H4C12/H4C16	pos.rank
translation	161	-0.625543561993172	-2.35326734338175	0.000999000999000999	0.0644757433489828	0.060874468583883	2931	tags=65%, list=18%, signal=54%	3035/55005/6155/63931/51318/6135/6134/7965/55168/79590/51021/65003/6173/64745/51258/6147/6301/646799/6159/11222/1725/6166/6191/6161/6133/6130/6150/6218/64975/51081/28973/124995/51253/11224/6170/1615/6169/65005/54460/25873/6157/6232/6182/2935/6223/9045/1915/6160/23/6154/122704/6138/51187/6229/6176/6187/6128/6156/6136/6142/6124/6168/6205/6158/6224/6222/6231/64979/6167/6129/6193/6217/6235/6228/6202/6144/6233/6181/6137/6125/6164/6203/6209/6122/4736/6139/6207/6175/6208/6234/9349/6143/6189/6165/6132/6201/2197/6194/6141/6206/6188/3921/6210/6204/6227	ABCF1/AIMP2/DARS1/DHPS/EEF1A1/FAU/GSPT1/HARS1/METTL17/MRPL10/MRPL11/MRPL12/MRPL23/MRPL24/MRPL3/MRPL35/MRPL36/MRPL37/MRPL41/MRPL51/MRPL52/MRPL9/MRPS14/MRPS16/MRPS18A/MRPS18B/MRPS21/MRPS7/RMND1/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL23A/RPL26/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/SARS1/ZAR1L	pos.rank
ribosomal small subunit assembly	12	-0.836656592349029	-2.30077699510635	0.00105374077976818	0.0644757433489828	0.060874468583883	567	tags=83%, list=3%, signal=81%	51081/6232/26284/6223/27341/6193/6209/6208/6234/3921	ERAL1/MRPS7/RPS14/RPS15/RPS19/RPS27/RPS28/RPS5/RPSA/RRP7A	pos.rank
ribosomal large subunit assembly	20	-0.730010455760827	-2.23839176762967	0.0010183299389002	0.0644757433489828	0.060874468583883	2576	tags=80%, list=15%, signal=68%	6135/6134/6147/84231/29997/4839/51154/84154/23195/6128/56342/55052/23212/54475/6125/6175	NOP53/MDN1/MRPL20/MRTO4/NLE1/NOP2/PPAN/RPF2/RPL10/RPL11/RPL23A/RPL5/RPL6/RPLP0/RRS1/TRAF7	pos.rank
RNA splicing, via transesterification reactions	25	-0.658646657535924	-2.09932208512605	0.00101112234580384	0.0644757433489828	0.060874468583883	4098	tags=72%, list=25%, signal=54%	10569/6429/10285/9416/9410/51163/10286/10250/10199/9128/24148/10946/10907/6434/9129/23451/23450/10594	BCAS2/DBR1/DDX23/MPHOSPH10/PRPF3/PRPF4/PRPF6/PRPF8/SF3A3/SF3B1/SF3B3/SLU7/SMNDC1/SNRNP40/SRRM1/SRSF4/TRA2B/TXNL4A	pos.rank
ribosomal large subunit biogenesis	30	-0.637868105162522	-2.08408106296521	0.00100401606425703	0.0644757433489828	0.060874468583883	3506	tags=70%, list=21%, signal=55%	55319/26155/6135/23560/6838/55759/115416/54663/51154/84154/9045/220064/6154/51187/51491/23212/6129/4869/6125/6165/51388	GTPBP4/MALSU1/MRTO4/NIP7/NOC2L/NOP16/NPM1/LTO1/RPF2/RPL11/RPL14/RPL26/RPL35A/RPL5/RPL7/RRS1/RSL24D1/SURF6/TMA16/WDR12/WDR74	pos.rank
regulation of centrosome duplication	19	-0.680842596441763	-2.06726740653033	0.00102145045965271	0.0644757433489828	0.060874468583883	3294	tags=74%, list=20%, signal=59%	22994/92421/25978/128866/348654/51652/27243/23411/55226/7517/51510/10015/7514/4869	CEP131/CHMP2A/CHMP2B/CHMP3/CHMP4B/CHMP4C/CHMP5/GEN1/NAT10/NPM1/PDCD6IP/SIRT1/XPO1/XRCC3	pos.rank
