ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
cytoplasmic translation	86	-0.854109938057408	-3.00757650267687	0.000999000999000999	0.0270595127469597	0.0247730554214715	1074	tags=85%, list=6%, signal=80%	6170/6173/6218/6152/6210/6301/6206/6230/6209/6232/6176/10399/6229/6130/6164/11224/6231/6187/6134/6136/6138/6223/6175/7311/6160/6224/6235/6168/6139/2197/6193/6204/6161/6181/6227/6189/6125/4736/6135/6188/3921/6128/6201/6234/25873/6137/6165/6217/6228/6205/6203/6147/6124/6207/6154/6122/6208/6141/6129/6194/6132/6233/6157/6142/6143/6222/6156/9045/6133/6167/9349/6191/6202	FAU/RACK1/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL23/RPL23A/RPL24/RPL26/RPL27A/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL37/RPL37A/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/SARS1/UBA52	pos.rank
ribosomal small subunit biogenesis	69	-0.847580451148683	-2.91738784300942	0.000999000999000999	0.0270595127469597	0.0247730554214715	1220	tags=90%, list=7%, signal=84%	30836/55272/84946/26574/51118/10528/6218/51096/2091/6210/57647/56902/91582/88745/6206/6230/10436/128061/6209/6232/8602/84916/9790/5394/6229/27341/9136/27292/65083/55813/51077/64434/11103/25983/5822/10607/27340/83732/6223/134430/92856/6193/51602/10885/84135/6189/84128/55226/6201/6234/4809/6217/6228/6205/55127/6203/6207/6208/6194/6191/6202/23160	C1orf131/AATF/BMS1/UTP4/DHX37/DIMT1/DNTTIP2/EMG1/EXOSC10/FBL/FCF1/HEATR1/IMP3/IMP4/KRR1/LTV1/NAT10/NGDN/SNU13/NOL6/NOM1/NOP14/NOP56/NOP58/PNO1/PWP2/RIOK1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS23/RPS24/RPS25/RPS27/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RRP36/RRP7A/RRP9/TBL3/UTP11/UTP15/UTP18/UTP20/UTP6/WDR3/WDR36/WDR43/WDR75	pos.rank
rRNA processing	111	-0.727264939456933	-2.61307783346069	0.000999000999000999	0.0270595127469597	0.0247730554214715	2158	tags=74%, list=13%, signal=65%	65080/55035/64282/8568/79039/6155/10521/4931/51729/55272/51118/10528/6218/1662/23481/10248/51096/51013/28987/2091/22803/10969/10556/23223/88745/6230/10436/11137/6209/51010/6232/10775/5393/8602/22984/23016/22894/79050/51154/10557/51367/5394/6229/27341/27043/9136/23404/65083/56915/57418/1736/51202/705/51575/11103/54606/54663/27340/55661/56342/6223/29997/134430/92856/55299/25879/51602/23517/84135/54555/84128/6125/6135/6201/6234/6165/6217/9775/6154/6129/6194/9045	BRIX1/BYSL/DCAF13/DDX10/DDX17/DDX27/DDX47/DDX49/DDX54/DDX56/DIS3/DKC1/EBNA1BP2/EIF4A3/EMG1/ESF1/EXOSC1/EXOSC10/EXOSC2/EXOSC3/EXOSC5/EXOSC7/EXOSC9/FBL/NOP53/IMP3/IMP4/KRR1/MRPL44/MRTO4/NOB1/NOC4L/NOL6/NOL8/NOP14/NOP56/NOP58/NVL/TENT4B/PDCD11/PELP1/PES1/POP4/POP5/POP7/PPAN/PWP1/RPL11/RPL14/RPL26/RPL27/RPL35A/RPL5/RPL7/RPP30/RPP38/RPS15/RPS16/RPS17/RPS19/RPS24/RPS25/RPS27/RPS28/RPS6/RPS7/RRP1/RRP12/RRP36/RRP7A/RRP9/MTREX/UTP11/UTP15/UTP18/UTP20/WBP11/WDR18/WDR36/WDR74/WDR75/XRN2	pos.rank
U2-type prespliceosome assembly	24	-0.850492394735685	-2.58838675257864	0.00100908173562059	0.0270595127469597	0.0247730554214715	953	tags=88%, list=6%, signal=83%	51639/79753/23451/10291/9879/84811/6635/10946/6634/23450/6628/6632/10262/8175/83443/6637/6633/10992/6627/84844/6636	BUD13/DDX46/PHF5A/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SNIP1/SNRPA1/SNRPB/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNRPG	pos.rank
ribosomal large subunit assembly	20	-0.873194337319503	-2.57877628047438	0.00101419878296146	0.0270595127469597	0.0247730554214715	867	tags=90%, list=5%, signal=85%	140801/23212/6152/4839/23195/51154/6134/56342/23246/29997/84154/6175/55299/54475/6125/6135/6128/6147	BOP1/BRIX1/NOP53/MDN1/MRTO4/NLE1/NOP2/PPAN/RPF2/RPL10/RPL10L/RPL11/RPL23A/RPL24/RPL5/RPL6/RPLP0/RRS1	pos.rank
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	23	-0.843749380872659	-2.55048219268523	0.00100806451612903	0.0270595127469597	0.0247730554214715	818	tags=83%, list=5%, signal=79%	57647/2068/88745/8602/84916/9790/55720/55813/705/25983/5822/6223/27042/25879/79954/6217/55127/6202/23160	BMS1/BYSL/UTP4/DCAF13/DHX37/UTP25/ERCC2/HEATR1/NGDN/NOL10/NOP14/PWP2/RPS16/RPS19/RPS8/RRP36/TSR1/UTP6/WDR43	pos.rank
transcription by RNA polymerase III	25	-0.776529002942355	-2.37991180037189	0.00100704934541793	0.0270595127469597	0.0247730554214715	2532	tags=76%, list=15%, signal=65%	6908/9329/112495/51728/27297/10625/9330/2975/9533/2971/6618/5440/10621/171568/2972/55703/51082/5434/5437	BRF1/CRCP/GTF3A/GTF3C1/GTF3C3/GTF3C4/GTF3C6/IVNS1ABP/POLR1C/POLR1D/POLR2E/POLR2H/POLR2K/POLR3B/POLR3F/POLR3H/POLR3K/SNAPC2/TBP	pos.rank
ribosomal large subunit biogenesis	30	-0.756612060521758	-2.37910401301669	0.00100401606425703	0.0270595127469597	0.0247730554214715	3283	tags=90%, list=20%, signal=72%	166378/4869/26155/6838/4931/55319/23481/55003/23212/10969/2971/51491/51388/51154/55759/51187/54663/220064/84154/23560/55153/6125/6135/6165/6154/6129/9045	EBNA1BP2/GTF3A/GTPBP4/MRTO4/NIP7/NOC2L/NOP16/NPM1/NVL/LTO1/PAK1IP1/PES1/RPF2/RPL11/RPL14/RPL26/RPL35A/RPL5/RPL7/RRS1/RSL24D1/SDAD1/AFG2A/SURF6/TMA16/WDR12/WDR74	pos.rank
spliceosomal complex assembly	26	-0.768742470745261	-2.36715086053276	0.00100908173562059	0.0270595127469597	0.0247730554214715	1443	tags=65%, list=9%, signal=60%	6732/7536/7919/79833/6606/23451/6635/4686/10713/6632/27339/8175/24148/6637/6633/51340/10907	CRNKL1/DDX39B/GEMIN6/NCBP1/PRPF19/PRPF6/SF1/SF3A2/SF3B1/SMN1/SNRPD1/SNRPD2/SNRPE/SNRPG/SRPK1/TXNL4A/USP39	pos.rank
transcription elongation by RNA polymerase II	35	-0.732345039453077	-2.35259846189264	0.001	0.0270595127469597	0.0247730554214715	2213	tags=63%, list=13%, signal=55%	6920/123169/8178/55193/23168/6924/85403/2962/81488/2071/80349/2963/6923/79577/55795/54623/6829/9150/9646/6830/1025/11198	CDC73/CDK9/CTDP1/CTR9/EAF1/ELL/ERCC3/GTF2F1/GTF2F2/LEO1/PAF1/PBRM1/PCID2/POLR2M/RTF1/SUPT16H/SUPT5H/SUPT6H/TCEA3/ELOB/ELOA/SKIC8	pos.rank
