ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
cytoplasmic translation	84	-0.699857349313812	-2.46481885866764	0.000999000999000999	0.122692078618225	0.12167450743044	1279	tags=46%, list=8%, signal=43%	6136/24140/6154/6232/6206/6165/6233/9045/6203/6129/3921/6124/6142/6170/6156/6138/6130/6223/6217/10399/2197/6164/6135/6193/6122/6181/6128/6202/6228/6188/7311/11224/6230/6161/6167/6143/6235/6189/6234	FAU/FTSJ1/RACK1/RPL11/RPL12/RPL14/RPL15/RPL18A/RPL19/RPL26/RPL3/RPL30/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL39/RPL4/RPL6/RPL7/RPL7A/RPLP2/RPS12/RPS16/RPS19/RPS23/RPS25/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/UBA52	pos.rank
maturation of LSU-rRNA	12	-0.794844896023927	-2.15168479237147	0.00105374077976818	0.122692078618225	0.12167450743044	3181	tags=75%, list=19%, signal=61%	55651/3692/26156/81887/10412/4839/51018/84549/6130	EIF6/LAS1L/MAK16/NHP2/NOP2/NSA2/RPL7A/RRP15/RSL1D1	pos.rank
U2-type prespliceosome assembly	24	-0.672815921377744	-2.05173209777068	0.00100603621730382	0.122692078618225	0.12167450743044	2754	tags=33%, list=17%, signal=28%	6629/84811/51639/6634/6636/79753/6627/6632	BUD13/SF3B6/SNIP1/SNRPA1/SNRPB2/SNRPD1/SNRPD3/SNRPF	pos.rank
transcription by RNA polymerase I	15	-0.716521553429671	-2.0273270825608	0.00102459016393443	0.122692078618225	0.12167450743044	1948	tags=47%, list=12%, signal=41%	642623/2965/9533/7343/10849/144108/5441	POLR1G/GTF2H1/POLR1C/POLR2L/SPTY2D1/UBTF/UBTFL1	pos.rank
mRNA cis splicing, via spliceosome	15	-0.71528094445881	-2.02381690180845	0.00102459016393443	0.122692078618225	0.12167450743044	236	tags=33%, list=1%, signal=33%	163859/51759/51503/1207/55696	C9orf78/CLNS1A/CWC15/RBM22/SDE2	pos.rank
maturation of 5.8S rRNA	12	-0.739701478153263	-2.00240880881138	0.00105374077976818	0.122692078618225	0.12167450743044	764	tags=75%, list=5%, signal=72%	10438/3692/81887/10412/51018/84549/54512/5394/23517	C1D/EIF6/EXOSC10/EXOSC4/LAS1L/MAK16/NSA2/RRP15/MTREX	pos.rank
spliceosomal snRNP assembly	27	-0.626335786697439	-1.93983002621496	0.00100401606425703	0.122692078618225	0.12167450743044	1704	tags=41%, list=10%, signal=37%	9733/10078/6634/11171/6636/79084/25929/8487/6632/10419/1207	CLNS1A/GEMIN2/GEMIN5/PRMT5/SART3/SNRPD1/SNRPD3/SNRPF/STRAP/TSSC4/WDR77	pos.rank
ribosomal small subunit biogenesis	68	-0.548325332586424	-1.90341193004099	0.000999000999000999	0.122692078618225	0.12167450743044	754	tags=29%, list=5%, signal=28%	6232/6206/6203/10436/84135/64434/6223/6217/5394/10607/25983/56902/27341/6193/6202/6228/65083/6230/6189/6234	EMG1/EXOSC10/NGDN/NOL6/NOM1/PNO1/RPS12/RPS16/RPS19/RPS23/RPS25/RPS27/RPS28/RPS3A/RPS5/RPS8/RPS9/RRP7A/TBL3/UTP15	pos.rank
DNA unwinding involved in DNA replication	21	-0.632649460001263	-1.88457922127822	0.00101729399796541	0.122692078618225	0.12167450743044	3446	tags=48%, list=21%, signal=38%	9837/3159/4173/5965/9401/4175/4174/4171/51659/5888	GINS1/GINS2/HMGA1/MCM2/MCM4/MCM5/MCM6/RAD51/RECQL/RECQL4	pos.rank
DNA replication initiation	25	-0.599191144338269	-1.83548422259074	0.00100300902708124	0.122692078618225	0.12167450743044	2258	tags=36%, list=14%, signal=31%	990/5558/11073/4175/4174/4171/5000/23594/64318	CDC6/MCM2/MCM5/MCM6/NOC3L/ORC4/ORC6/PRIM2/TOPBP1	pos.rank
