ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
positive regulation of branching involved in ureteric bud morphogenesis	18	-0.682901176887375	-2.00301308194769	0.00102459016393443	0.403896103896104	0.397053239158502	4195	tags=67%, list=22%, signal=52%	7482/9500/3975/2668/3217/7849/30812/51804/6662/9241/6495/7422	GDNF/HOXB7/LHX1/MAGED1/NOG/PAX8/SIX1/SIX4/SOX8/SOX9/VEGFA/WNT2B	pos.rank
muscle structure development	11	-0.712067261842241	-1.89339285067847	0.00107296137339056	0.403896103896104	0.397053239158502	2538	tags=45%, list=14%, signal=39%	64236/11155/494470/27295/8572	LDB3/PDLIM2/PDLIM3/PDLIM4/ARK2C	pos.rank
positive regulation of brown fat cell differentiation	15	-0.632907647445572	-1.78990277486608	0.0020746887966805	0.403896103896104	0.397053239158502	2315	tags=47%, list=12%, signal=41%	655/5743/222008/6239/6495/1432/9580	BMP7/MAPK14/PTGS2/RREB1/SIX1/SOX13/VSTM2A	pos.rank
negative regulation of platelet aggregation	10	-0.683208426290811	-1.77107218426306	0.00108225108225108	0.403896103896104	0.397053239158502	5021	tags=70%, list=27%, signal=51%	239/10019/5592/170692/84959/5580/634	ADAMTS18/ALOX12/CEACAM1/PRKCD/PRKG1/SH2B3/UBASH3B	pos.rank
Fc-gamma receptor signaling pathway involved in phagocytosis	20	-0.585174917980326	-1.75009204493683	0.00202839756592292	0.403896103896104	0.397053239158502	6390	tags=60%, list=34%, signal=40%	7525/5058/6850/25/5581/2534/7410/8398/5580/64005/2213/4067	ABL1/FCGR2B/FYN/LYN/MYO1G/PAK1/PLA2G6/PRKCD/PRKCE/SYK/VAV2/YES1	pos.rank
hippo signaling	18	-0.596405211601406	-1.74931231840066	0.00204918032786885	0.403896103896104	0.397053239158502	4646	tags=67%, list=25%, signal=50%	9113/6789/10413/8463/7004/92597/154810/8642/79633/25937/51421/6788	AMOTL1/AMOTL2/DCHS1/FAT4/LATS1/MOB1B/STK3/STK4/TEAD2/TEAD4/WWTR1/YAP1	pos.rank
focal adhesion assembly	29	-0.546648179012381	-1.73172168047849	0.002002002002002	0.403896103896104	0.397053239158502	3863	tags=52%, list=21%, signal=41%	123720/10979/7205/10391/84962/88/395/8394/8874/10580/1009/55920/2185/55901/613	ACTN2/AJUBA/ARHGAP6/ARHGEF7/BCR/CDH11/CORO2B/FERMT2/PIP5K1A/PTK2B/RCC2/SORBS1/THSD1/TRIP6/WHAMM	pos.rank
cellular response to nitrogen starvation	11	-0.644716638385499	-1.71430697526298	0.00214592274678112	0.403896103896104	0.397053239158502	5332	tags=73%, list=28%, signal=52%	9474/11337/23710/440738/11345/84557/441925/10533	ATG5/ATG7/BECN2/GABARAP/GABARAPL1/GABARAPL2/MAP1LC3A/MAP1LC3C	pos.rank
sensory perception of taste	10	-0.656875567090101	-1.70280986098393	0.00216450216450216	0.403896103896104	0.397053239158502	4299	tags=60%, list=23%, signal=46%	948/3710/51176/119395/2782/5024	CALHM3/CD36/GNB1/ITPR3/LEF1/P2RX3	pos.rank
amyloid-beta metabolic process	12	-0.623797576699883	-1.68485156692658	0.00212992545260916	0.403896103896104	0.397053239158502	1937	tags=33%, list=10%, signal=30%	327/4311/1636/4248	ACE/APEH/MGAT3/MME	pos.rank
regulation of cell adhesion	54	-0.494321188397464	-1.68286426335282	0.000999000999000999	0.403896103896104	0.397053239158502	4417	tags=46%, list=24%, signal=36%	388125/11005/11124/5515/25/3576/4008/2524/145741/5314/2046/6093/2523/3910/5329/6722/8502/4659/2185/6662/2242/2828/28514/51441/7852	ABL1/C2CD4A/C2CD4B/CXCL8/CXCR4/DLL1/EPHA8/FAF1/FES/FUT1/FUT2/GPR4/LAMA4/LMO7/PKHD1/PKP4/PLAUR/PPP1R12A/PPP2CA/PTK2B/ROCK1/SOX9/SPINK5/SRF/YTHDF2	pos.rank
BMP signaling pathway	74	-0.459826753464877	-1.59534120349561	0.000999000999000999	0.403896103896104	0.397053239158502	4048	tags=41%, list=22%, signal=32%	25/51176/654/269/91851/55273/1311/6422/4086/4853/4487/27250/4093/93/10468/655/27302/147409/642658/4089/164656/1749/8646/1954/94/57045/5468/56963/50964/9241	ABL1/ACVR2B/ACVRL1/AMHR2/BMP10/BMP6/BMP7/CHRD/CHRDL1/COMP/DLX5/DSG4/FST/LEF1/MEGF8/MSX1/NOG/NOTCH2/PDCD4/PPARG/RGMA/SCX/SFRP1/SMAD1/SMAD4/SMAD9/SOST/TMEM100/TMPRSS6/TWSG1	pos.rank
negative regulation of BMP signaling pathway	56	-0.45571655162078	-1.55315304514647	0.001998001998002	0.403896103896104	0.397053239158502	6128	tags=57%, list=33%, signal=39%	7130/25805/1745/4092/9573/7471/148738/10272/402117/6497/25884/25/28996/4036/51496/91851/348093/6422/23592/5654/79639/164656/8646/652991/4681/57045/6498/5468/51592/50964/22943/9241	ABL1/BAMBI/CHRD/CHRDL1/CHRDL2/CTDSPL2/DKK1/DLX1/FSTL3/GDF3/HJV/HIPK2/HTRA1/LEMD3/LRP2/NBL1/NOG/PPARG/RBPMS2/SFRP1/SKI/SKIL/SKOR2/SMAD7/SOST/TMEM53/TMPRSS6/TNFAIP6/TRIM33/TWSG1/VWC2L/WNT1	pos.rank
skeletal system development	128	-0.367197497322014	-1.32550948030789	0.001998001998002	0.403896103896104	0.397053239158502	4887	tags=40%, list=26%, signal=30%	3207/56172/4148/4883/55870/10683/5549/84667/7398/7042/654/7004/3073/2487/1311/1278/2019/3239/11061/285590/1462/9451/10468/5745/655/166/145864/1463/4982/3479/10743/5251/6926/6169/2662/1749/8646/117166/656/9507/1750/1305/2260/1009/6662/124857/3206/3623/4323/9241/3238	ADAMTS4/TLE5/ANKH/ASH1L/BMP6/BMP7/BMP8B/CDH11/CHRD/CNMD/COL13A1/COL1A2/COMP/DLL3/DLX5/DLX6/EIF2AK3/EN1/FGFR1/FRZB/FST/GDF10/HAPLN3/HES7/HEXA/HOXA10/HOXA11/HOXD12/HOXD13/IGF1/INHA/MATN3/MMP14/NCAN/NOG/NPR3/PHEX/PRELP/PTH1R/RAI1/RPL38/SH3PXD2B/SOX9/TBX3/TEAD4/TGFB2/TNFRSF11B/USP1/VCAN/WFIKKN1/WFIKKN2	pos.rank
sensory perception of sound	145	-0.364455197824501	-1.32483671772784	0.001998001998002	0.403896103896104	0.397053239158502	8318	tags=55%, list=44%, signal=31%	50617/6507/53904/57214/1301/4646/11078/80204/53405/93035/5269/4882/2876/40/332/125336/9860/26517/9948/7068/25836/7275/24139/776/6899/65217/1285/79955/84899/5458/1690/5456/1141/9368/64787/64699/152137/51473/54084/113278/645104/4036/286262/170961/3073/9132/150677/494513/5077/7399/3753/26520/4715/222662/10083/140469/2917/491/55624/5205/56914/246213/6169/7466/6647/124590/8312/6940/9381/525/26519/259236/9215/2706/10804/1833/6495/10253/4919/10750	ANKRD24/ASIC2/ATP2B2/ATP6V0A4/ATP6V1B1/ATP8B1/AXIN1/BIRC5/CACNA1D/CCDC50/CEMIP/CHRNB2/CLIC5/CLRN2/COCH/COL11A1/COL4A3/DCDC2/PJVK/EML2/EPS8L2/EPYC/FBXO11/GJB2/GJB6/GPX1/GRAP/GRM7/HEXA/KCNE1/KCNQ4/LARGE1/LHFPL5/LOXHD1/LRIG2/LRP2/MYO3A/MYO3B/MYO6/NDUFB9/NIPBL/NPR2/OTOF/OTOR/OTOS/PAX3/PCDH15/PDZD7/PKHD1L1/POMGNT1/POU3F4/POU4F2/ROR1/RPL38/SERPINB6/SIX1/SLC17A8/SLC1A3/SLC52A3/NHERF1/SOD1/SPRY2/TBX1/THRB/TIMM10/TIMM13/TIMM9/TMIE/TMPRSS3/TMTC4/TPRN/TRIOBP/TSPEAR/TUB/USH1C/USH1G/USH2A/WDR1/WFS1/ZNF354A	pos.rank
retinal metabolic process	17	-0.609531662474096	-1.76956956784969	0.00308324768756423	0.438256784968685	0.430831776727832	5582	tags=65%, list=30%, signal=46%	728635/83875/317749/339761/1545/8644/195814/53630/1645/112724/64577	AKR1C1/AKR1C3/ALDH8A1/BCO1/BCO2/CYP1B1/CYP27C1/DHRS4L1/DHRS4L2/RDH13/SDR16C5	pos.rank
regulation of release of sequestered calcium ion into cytosol	14	-0.609491907131079	-1.69879342364619	0.00313152400835073	0.438256784968685	0.430831776727832	933	tags=50%, list=5%, signal=48%	9474/5581/84959/2185/4067/5777/54923	ATG5/LIME1/LYN/PRKCE/PTK2B/PTPN6/UBASH3B	pos.rank
L-glutamate transmembrane transport	19	-0.562216707056338	-1.66763488500929	0.00304259634888438	0.438256784968685	0.430831776727832	7097	tags=79%, list=38%, signal=49%	83733/6506/10165/145389/6509/79751/6511/57030/246213/6519/157724/6512/57084/10550/23657	ARL6IP5/SLC17A6/SLC17A7/SLC17A8/SLC1A2/SLC1A4/SLC1A6/SLC1A7/SLC25A13/SLC25A18/SLC25A22/SLC38A6/SLC3A1/SLC7A11/SLC7A13	pos.rank
negative regulation of T cell receptor signaling pathway	25	-0.526887135008002	-1.63834045958565	0.00301204819277108	0.438256784968685	0.430831776727832	3919	tags=44%, list=21%, signal=35%	1845/56940/26191/8525/79037/1997/7805/53347/5777/84174/634	CEACAM1/DGKZ/DUSP22/DUSP3/ELF1/LAPTM5/PTPN22/PTPN6/PVRIG/SLA2/UBASH3A	pos.rank
