ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
dorsal/ventral neural tube patterning	11	-0.714095740505376	-1.87865479180285	0.00104712041884817	0.421345777510161	0.413890363421726	1752	tags=45%, list=9%, signal=41%	5663/23770/89780/145258/3169	FKBP8/FOXA1/GSC/PSEN1/WNT3A	pos.rank
positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	10	-0.724693962425628	-1.87005382275836	0.00105374077976818	0.421345777510161	0.413890363421726	1629	tags=30%, list=9%, signal=27%	5771/8440/666	BOK/NCK2/PTPN2	pos.rank
regulation of non-canonical NF-kappaB signal transduction	11	-0.686917422643192	-1.80715362719879	0.00104712041884817	0.421345777510161	0.413890363421726	2265	tags=36%, list=12%, signal=32%	9770/26191/54923/4792	LIME1/NFKBIA/PTPN22/RASSF2	pos.rank
regulation of exit from mitosis	12	-0.653817440665845	-1.74464352746287	0.00103734439834025	0.421345777510161	0.413890363421726	4894	tags=67%, list=26%, signal=49%	9587/10361/8697/84687/9183/8556/54443/22933	ANLN/CDC14A/CDC23/MAD2L1BP/NPM2/PPP1R9B/SIRT2/ZW10	pos.rank
cellular response to BMP stimulus	31	-0.529296330519093	-1.67001942646897	0.001001001001001	0.421345777510161	0.413890363421726	4936	tags=55%, list=26%, signal=40%	655/222008/6662/2658/8929/148738/658/4093/6692/654/4089/1745/81792/1280/140628/2625/2627	ADAMTS12/BMP6/BMP7/BMPR1B/COL2A1/DLX1/GATA3/GATA5/GATA6/GDF2/HJV/PHOX2B/SMAD4/SMAD9/SOX9/SPINT1/VSTM2A	pos.rank
regulation of immune response	34	-0.511058961397957	-1.62920606588146	0.000999000999000999	0.421345777510161	0.413890363421726	3479	tags=47%, list=19%, signal=38%	84888/5133/4088/604/1777/3565/3635/64115/56927/80381/933/6693/163486/2212/3636/84174	BCL6/CD22/CD276/DENND1B/DNASE2/FCGR2A/GPR108/IL4/INPP5D/INPPL1/PDCD1/SLA2/SMAD3/SPN/SPPL2A/VSIR	pos.rank
intracellular signal transduction	376	-0.339986463610244	-1.28540110103158	0.000999000999000999	0.421345777510161	0.413890363421726	6010	tags=40%, list=32%, signal=27%	6446/2534/56924/10564/7857/65266/8835/116449/3925/7531/5581/3315/89869/160851/167359/140825/9467/1654/399694/79705/23678/3055/1464/51666/30837/23043/1612/1613/6000/115/7297/8091/120892/1154/9162/3162/5580/9681/2984/6464/23178/3084/2932/55789/828/51719/341019/5777/147/5502/5319/27111/5664/5334/23268/8525/51473/8997/1857/148/114/200576/282808/1761/150094/9891/9943/9201/140461/80243/6850/9252/5578/30835/225689/64127/8527/375449/51422/5881/5573/8874/1399/56776/11215/3654/84152/8437/54793/10019/84727/1855/6789/8013/1894/4139/6494/3576/8569/11183/7006/5663/23770/10670/202374/8786/3815/7867/27347/51291/6733/166614/9693/4192/3635/3656/8651/50649/23228/142685/4089/136371/9024/208/9448/7037/5583/4772/5921/139189/10278/25970/6788/283629/51135/8605/1606/54900/131450/6732/5584/92369/23012/8491/3932/11184/7462/4067/9021	ADCY8/ADCY9/ADRA1A/ADRA1B/AKAP11/AKT2/ARFGEF2/ARHGEF4/ARHGEF7/ASB10/ASB15/ASB4/ASB8/BRSK2/CAB39/CAPS/CD200R1/CD209/CISH/CLNK/CRKL/CSPG4/CXCL8/DAPK1/DAPK3/DCDC1/DCDC2/DCLK1/DCLK2/DDX3X/DEPDC1B/DEPDC5/DGKA/DGKD/DGKH/DGKI/DGKK/DGKZ/DMRT1/DNMBP/DVL1/DVL3/ECT2/EFS/FKBP8/FMN2/FYN/GMIP/GSK3B/GUCY2C/HCK/HMGA2/HMOX1/HSPB1/INPP5D/IRAK1/IRAK2/IRAK4/KALRN/KCTD9/KIT/LAT2/LAX1/LCK/LRRK1/LRRK2/LYN/MAP4K1/MAP4K3/MAP4K4/MAP4K5/MAPK15/MAPKAPK3/MARK1/MAST4/MDK/MKNK1/NEURL2/NFATC1/NIM1K/NOD2/NR4A3/NRG1/NUAK1/OXSR1/PAK6/PASK/PIKFYVE/PLA2G1B/PLA2G4C/PLCL1/PLCL2/PLCZ1/PPP1R1A/PPP1R1B/PREX2/PRKAG2/PRKAR1A/PRKCA/PRKCD/PRKCE/PRKCH/PRKCI/PSEN1/PSEN2/PTPN6/RAB40AL/RAC3/RAPGEF2/RASA1/RASAL1/RGS11/RGS7/RPS6KA5/RRAGA/SCG2/SDCBP2/SGK1/SGK3/SH2B1/SH2B3/SH3BP5/SHC1/SHC4/SIK1/SIPA1/SMAD4/SOCS1/SOCS2/SOCS3/SOCS7/SPSB2/SPSB4/SRPK1/SRPK2/STK3/STK32A/STK38L/STK39/STK4/STMN1/SYK/TEC/TFRC/TNIK/TSSK4/TYK2/WNK4/YWHAE	pos.rank
regulation of autophagy of mitochondrion	18	-0.627030861185062	-1.81556685325248	0.00203045685279188	0.469225979499952	0.460923359265104	5205	tags=78%, list=28%, signal=56%	2931/1459/10013/7416/6720/55294/23400/665/10059/6721/57602/55486/23770/2017	ATP13A2/BNIP3L/CSNK2A2/CTTN/DNM1L/FBXW7/FKBP8/GSK3A/HDAC6/PARL/SREBF1/SREBF2/USP36/VDAC1	pos.rank
positive regulation of MHC class II biosynthetic process	14	-0.638954505026572	-1.7617995604804	0.00207253886010363	0.469225979499952	0.460923359265104	2432	tags=43%, list=13%, signal=37%	566/5993/113277/3565/7494/4261	AZU1/CIITA/IL4/RFX5/TMEM106A/XBP1	pos.rank
nuclear-transcribed mRNA catabolic process	16	-0.61052456749759	-1.73232572921587	0.00307377049180328	0.469225979499952	0.460923359265104	3963	tags=50%, list=21%, signal=39%	1655/5976/5393/1797/54512/9967/26523/51594	AGO1/DDX5/DXO/EXOSC4/EXOSC9/NBAS/THRAP3/UPF1	pos.rank
