ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
uterus development	17	-0.630609696834057	-1.80603727260264	0.00102145045965271	0.17386173054227	0.167712280265855	3124	tags=53%, list=17%, signal=44%	80000/93649/7042/4089/7474/668/3205/5950/2625	FOXL2/GATA3/GREB1L/HOXA9/MYOCD/RBP4/SMAD4/TGFB2/WNT5A	pos.rank
negative regulation of osteoclast differentiation	28	-0.57584184162276	-1.79373784386953	0.00100300902708124	0.17386173054227	0.167712280265855	4858	tags=61%, list=26%, signal=45%	9935/7130/7107/10766/3375/9607/4982/6422/5295/1499/11025/11006/10234/3635/130733/84959/10401	CARTPT/CTNNB1/GPR137B/IAPP/INPP5D/LILRB3/LILRB4/LRRC17/MAFB/PIAS3/PIK3R1/SFRP1/TMEM178A/TNFAIP6/TNFRSF11B/TOB2/UBASH3B	pos.rank
transcytosis	11	-0.681790799284683	-1.78511336079138	0.00105596620908131	0.17386173054227	0.167712280265855	4886	tags=45%, list=26%, signal=34%	8615/177/338328/5724/3480	AGER/GPIHBP1/IGF1R/PTAFR/USO1	pos.rank
embryo development ending in birth or egg hatching	23	-0.572638556509023	-1.735335434144	0.00100908173562059	0.17386173054227	0.167712280265855	4655	tags=65%, list=25%, signal=49%	2247/55122/10658/2128/130507/83552/7042/10742/56977/3364/116039/23326/2299/2494/8851	AKIRIN2/CDK5R1/CELF1/EVX1/FGF2/FOXI1/HUS1/MFRP/NR5A2/OSR2/RAI2/STOX2/TGFB2/UBR3/USP22	pos.rank
positive regulation of mesenchymal cell proliferation	23	-0.566429740457213	-1.71652011272298	0.00100908173562059	0.17386173054227	0.167712280265855	6426	tags=78%, list=34%, signal=52%	6474/6608/3549/6899/4041/7472/8646/5396/23345/657/3791/1499/7474/2263/7048/2294/6772/6662	BMPR1A/CHRD/CTNNB1/FGFR2/FOXF1/IHH/KDR/LRP5/PRRX1/SHOX2/SMO/SOX9/STAT1/SYNE1/TBX1/TGFBR2/WNT2/WNT5A	pos.rank
negative regulation of osteoblast differentiation	47	-0.50464221952231	-1.66726250147506	0.000999000999000999	0.17386173054227	0.167712280265855	4889	tags=49%, list=26%, signal=36%	51564/7130/8646/117581/8994/4088/6422/6096/8074/79639/25805/6497/57045/7291/10527/7424/1021/7124/5468/4435/9464/374/6662	AREG/BAMBI/CDK6/CHRD/CITED1/FGF23/HAND2/HDAC7/IPO7/LIMD1/PPARG/RORB/SFRP1/SKI/SMAD3/SOX9/TMEM53/TNF/TNFAIP6/TWIST1/TWIST2/TWSG1/VEGFC	pos.rank
sensory organ development	20	-0.560977065234484	-1.66335380105479	0.00101419878296146	0.17386173054227	0.167712280265855	3419	tags=55%, list=18%, signal=45%	474/4647/116448/430/220202/50674/10215/4762/4761/63973/168620	ASCL2/ATOH1/ATOH7/BHLHA15/MYO7A/NEUROD2/NEUROG1/NEUROG2/NEUROG3/OLIG1/OLIG2	pos.rank
axon extension	35	-0.5176325288332	-1.65149288947942	0.001	0.17386173054227	0.167712280265855	6114	tags=57%, list=33%, signal=39%	9201/1909/1906/80208/5459/9355/8239/23191/6049/65059/4131/54413/8482/1907/10479/1908/5532/9706/5458/8408	CYFIP1/DCLK1/EDN1/EDN2/EDN3/EDNRA/LHX2/MAP1B/NLGN3/POU4F2/POU4F3/PPP3CB/RAPH1/RNF6/SEMA7A/SLC9A6/SPG11/ULK1/ULK2/USP9X	pos.rank
positive regulation of blood vessel endothelial cell migration	37	-0.49370548689167	-1.58741652368628	0.001	0.17386173054227	0.167712280265855	6454	tags=51%, list=34%, signal=34%	6776/3091/6667/4780/506/2247/3146/2260/4846/116150/7422/3791/2113/5340/5335/2624/5155/7057/7424	ATP5F1B/ETS1/FGF2/FGFR1/GATA2/HIF1A/HMGB1/KDR/NFE2L2/NOS3/NUS1/PDGFB/PLCG1/PLG/SP1/STAT5A/THBS1/VEGFA/VEGFC	pos.rank
negative regulation of tumor necrosis factor production	62	-0.462311329168239	-1.57432898102992	0.000999000999000999	0.17386173054227	0.167712280265855	8066	tags=71%, list=43%, signal=41%	51738/4157/6376/2950/5885/10859/10457/2621/23547/706/6504/5443/671/58509/64127/1139/5777/50856/27178/11213/5914/26191/9971/140885/9466/54209/64115/245928/3929/50943/84868/409/4795/1149/9370/80149/64771/5987/10270/23405/7291/11006/55829/54	ACP5/ADIPOQ/AKAP8/ARRB2/BPI/ILRUN/CACTIN/CHRNA7/CIDEA/CLEC4A/CX3CL1/DEFB114/DICER1/FOXP3/GAS6/GHRL/GPNMB/GSTP1/HAVCR2/IL27RA/IL37/IRAK3/LBP/LILRA4/LILRB1/LILRB4/MC1R/NFKBIL1/NOD2/NR1H4/POMC/PTPN22/PTPN6/RAD21/RARA/SELENOS/SIRPA/SLAMF1/TREM2/TRIM27/TSPO/TWIST1/VSIR/ZC3H12A	pos.rank
learning or memory	66	-0.4515332069078	-1.54590349940556	0.000999000999000999	0.17386173054227	0.167712280265855	7317	tags=61%, list=39%, signal=37%	1814/2628/1392/7432/2915/4891/8484/5582/431707/2904/567/5803/23385/1139/1201/4125/351/25946/177/267/1393/80863/2033/6543/5594/2048/1956/4208/22943/4739/161582/2925/80823/84630/10288/6547/5575/5048/5728/4914	AGER/AMFR/APP/B2M/GPRASP3/CHRNA7/CLN3/CRH/CRHBP/DKK1/DNAAF4/DRD3/EGFR/EP300/EPHB2/GALR3/GATM/GRIN2B/GRM5/GRPR/LHX8/LILRB2/MAN2B1/MAPK1/MEF2C/NCSTN/NEDD9/NTRK1/PAFAH1B1/PRKAR1B/PRKCG/PRRT1/PTEN/PTPRZ1/SLC11A2/SLC8A2/SLC8A3/TTBK1/VIP/ZNF385A	pos.rank
positive regulation of neuron differentiation	80	-0.438181111060912	-1.52919864634195	0.000999000999000999	0.17386173054227	0.167712280265855	5230	tags=50%, list=28%, signal=36%	22954/1482/65109/8929/100532736/5914/57795/389549/652/6929/2260/4825/55364/8200/1620/6457/474/90527/4681/6387/4131/4208/1894/8648/221336/2290/5121/7732/375567/26508/10362/6925/2624/339479/50674/2056/221938/25942/4762/4761	ATOH1/BEND6/BMP4/BRINP1/BRINP2/BRINP3/CXCL12/DUOXA1/ECT2/EPO/FEZF1/FGFR1/FOXG1/GATA2/GDF5/HEYL/HMG20B/IMPACT/MAP1B/MEF2C/MICOS10-NBL1/MMD2/NBL1/NCOA1/NEUROD2/NEUROG1/NEUROG3/NKX2-5/NKX6-1/PCP4/PHOX2B/RARA/RNF112/SH3GL3/SIN3A/TCF3/TCF4/TRIM32/UPF3B/VWC2	pos.rank
chondrocyte differentiation	52	-0.455206339143017	-1.52284744100453	0.000999000999000999	0.17386173054227	0.167712280265855	5196	tags=56%, list=28%, signal=40%	3091/6660/5925/2822/2737/652/1281/389125/8200/657/4209/2261/4208/1280/10865/55553/1499/7480/7045/4781/1836/57045/116039/265/2132/1432/130497/5745/6662	AMELX/ARID5A/BMP4/BMPR1A/COL2A1/COL3A1/CTNNB1/EXT2/FGFR3/GDF5/GLI3/GPLD1/HIF1A/MAPK14/MEF2C/MEF2D/MUSTN1/NFIB/OSR1/OSR2/PTH1R/RB1/SLC26A2/SOX5/SOX6/SOX9/TGFBI/TWSG1/WNT10B	pos.rank
regulation of cytokine production	62	-0.441696708136876	-1.50412911078012	0.000999000999000999	0.17386173054227	0.167712280265855	4717	tags=42%, list=25%, signal=32%	10385/23308/7187/11119/57336/403341/137209/10773/696/26137/10644/84878/10642/57621/114625/10009/10384/4057/7597/80381/53347/9516/9880/11148/4067/2625	BTN1A1/BTN2A2/BTN3A1/BTN3A3/CD276/ERMAP/GATA3/HHLA2/ICOSLG/IGF2BP1/IGF2BP2/LITAF/LTF/LYN/TRAF3/UBASH3A/ZBTB2/ZBTB20/ZBTB25/ZBTB33/ZBTB34/ZBTB39/ZBTB45/ZBTB6/ZNF287/ZNF572	pos.rank
response to hypoxia	159	-0.370940700055991	-1.34593812884928	0.000999000999000999	0.17386173054227	0.167712280265855	6039	tags=45%, list=32%, signal=31%	1909/3091/84962/1137/7037/51129/317/7097/285/405/1139/6659/4524/842/664/133/329/4880/177/6513/1387/2155/94/1365/2033/7422/1803/3767/64344/100/3976/8994/6885/6387/4088/7054/10631/7351/863/6649/7352/5313/93649/64428/5465/1958/430/7042/3741/4089/5300/9370/7184/4602/5664/1735/210/768/126374/2056/5228/4929/7057/4049/6648/139341/7424/7852/7124/100133941/1410	ACVRL1/ADA/ADIPOQ/ADM/AGER/AJUBA/ALAD/ANGPT2/ANGPTL4/APAF1/ARNT/ASCL2/BIRC2/BNIP3/CA9/CASP9/CBFA2T3/CD24/CHRNA4/CHRNA7/CLDN3/CREBBP/CRYAB/CXCL12/CXCR4/DIO3/DPP4/EDNRA/EGR1/EP300/EPO/F7/FUNDC1/HIF1A/HIF3A/HSP90B1/KCNA5/KCNJ11/LIF/LIMD1/LTA/MAP3K7/MTHFR/MYB/MYOCD/CIAO3/NPPC/NR4A2/PGF/PIN1/PKLR/POSTN/PPARA/PSEN2/SLC2A1/SMAD3/SMAD4/SOD2/SOD3/SOX4/TFRC/TGFB2/TH/THBS1/TLR2/TNF/UCP2/UCP3/VEGFA/VEGFC/WTIP	pos.rank
positive regulation of protein phosphorylation	195	-0.354854282170105	-1.30194498175828	0.000999000999000999	0.17386173054227	0.167712280265855	8741	tags=56%, list=47%, signal=30%	5478/1453/23043/8685/2324/2045/148932/3553/8817/28996/8503/1399/55143/84922/2332/8823/2852/25/1910/85442/146433/5879/3985/6693/920/5027/2253/26281/3845/10457/2621/149461/201292/4593/408/56005/5175/6899/8313/50937/84830/7037/22863/3611/7066/820/338773/2248/28232/89780/1139/6789/3624/1201/79817/65018/894/22998/923/2022/351/652/177/332/1365/79899/7422/3791/5058/54209/126308/1956/5899/2250/1942/9212/8482/1946/54959/81532/409/972/64400/8074/10211/115825/5300/9370/221927/84893/5329/10928/595/5595/5228/896/1857/2255/7424/3306/5028/7124/4824/55600/92/6662/8325/4067/4914	ABL1/ACVR2A/ADIPOQ/ADTRP/AGER/AKTIP/APP/ARRB1/ARRB2/ATG14/AURKB/AXIN2/BIRC5/BMP4/BRAT1/CAMP/CCND1/CCND2/CCND3/CD4/CD6/CD74/CDCA8/CDON/CHRNA7/CLDN19/CLDN3/CLN3/CRKL/CSNK1D/DVL3/EDNRB/EFNA1/EFNA5/EGFR/ENG/EPHA7/FBH1/FGF10/FGF16/FGF18/FGF20/FGF23/FGF3/FGF5/FGF8/FIZ1/FLOT1/FLT4/FMR1/FZD8/GAS6/GPER1/GPNMB/HIPK2/HSPA2/IL1B/IL34/ILK/INHBA/ITLN1/KDR/KNDC1/KRAS/LIMCH1/LIMK2/LYN/MAPK3/MARCO/MOB2/MOB3A/MOB3B/MOB3C/MUSK/MYDGF/NKX3-1/NTRK1/ODAM/P2RX7/P2RY1/PAK1/PECAM1/PGF/PIK3R3/PIN1/PINK1/PLAUR/PPIA/PRR5L/RAC1/RALB/RALBP1/SEMA7A/SLCO3A1/SOX9/SPN/STK4/TBX1/TFRC/THPO/TMEM119/TNF/TNIK/TREM2/TRIM65/VEGFA/VEGFC/WDFY2/WNT3A	pos.rank
positive regulation of gene expression	434	-0.320405508970745	-1.21568864686415	0.000999000999000999	0.17386173054227	0.167712280265855	7231	tags=45%, list=39%, signal=28%	54566/25861/5027/2253/91/639/140628/26281/170302/10859/6664/3845/2621/5678/51384/3575/4286/1609/3516/727940/7473/8854/115019/3280/8882/2516/149461/4087/4593/6608/5196/5241/6774/3675/10268/2890/3091/7305/283742/84830/5469/3398/4086/1191/7037/654/6667/284194/6733/4139/53335/4780/338773/3297/51366/2248/7097/6019/9441/89780/3624/1482/2931/3304/5359/81031/2247/27178/4000/3303/2022/5080/351/123041/652/5074/79809/10551/389125/6135/1365/4846/26191/657/60686/85366/57658/3596/10658/7422/799/388591/7014/3976/54209/2048/10002/4088/90865/268/23300/170506/2250/4208/658/2113/948/9141/22943/9027/5599/5564/3371/64115/5962/287/3987/54997/150921/2615/6582/2697/54106/1786/2335/56603/9314/79031/54959/242/947/1958/25940/5604/70/409/140690/1499/10253/7046/972/27302/51157/51043/8074/1896/2624/7474/7994/10959/80149/9451/57822/84630/1435/2246/7088/5457/10266/27177/22999/5304/5155/51176/23400/6663/116039/7291/468/5737/10664/6928/2255/1432/1021/57165/30812/7421/25988/554/3077/7124/5468/5530/4824/5601/4435/130497/367/9464/6662/4179/1003/2296	ACTC1/ACVR1B/ADTRP/AGR2/ALDH1A2/ALOX12B/AMH/ANK2/APP/AR/ARRB2/ARX/ATF4/ATMIN/ATP13A2/AVPR2/BCL11A/BMP10/BMP4/BMP6/BMPR1A/BMPR1B/C14orf93/CALCOCO1/CALCR/CD34/CD36/CD46/CD74/CDH5/CDK6/CELF1/CITED1/CLDN19/CLDN3/CLU/CSF1/CTCF/CTCFL/CTNNB1/CYP26B1/DGKQ/DHX36/DKK1/DNMT1/EDA/EGR1/EIF2AK3/ENG/EPB41L4B/EPHB2/ETS1/FAM98A/FAM98B/FGF1/FGF10/FGF2/FGF20/FGF23/FGF3/FGF5/FGF8/FN1/FOXC1/GAS6/GATA2/GATA5/GJA1/GJC2/GRHL3/GRIA1/GSK3A/HAND2/HES1/HFE/HIF1A/HINFP/HNF1B/HSF1/HSPA1A/HSPA1B/ID2/IL13/IL33/IL36B/IL37/IL7R/INHBA/ITGA3/KAT6A/KLF4/KRAS/LEF1/LGALS9B/LIF/LILRB1/LIMS1/LMNA/LRRC32/MAP2K1/MAPK14/MAPK8/MAPK9/MARK1/MED1/MED26/MEF2C/MITF/MUSK/MUSTN1/MYLK2/NAT8/NFE2L2/NKX2-5/NKX3-1/NOS3/NR2E3/NR5A1/ODAM/OSR1/OSR2/P2RX7/PAWR/PAX6/PDCD5/PDCL3/PDGFB/PF4/PGR/PIP/PLSCR1/POU4F1/PPARG/PPP3CA/PRDM1/PRKAB1/PSG9/PTGFR/PTPN22/RAMP2/RAMP3/RBPJ/RDX/RHOXF2B/RIMS1/RLN2/RNF207/RPL11/SLC22A2/SLC24A4/SLC26A9/SLC2A10/SMAD1/SMAD2/SMAD3/SMO/SOX10/SOX11/SOX8/SOX9/SP1/SPRY2/SRPK2/STAT3/TCF23/TERF2/TESC/TFRC/TGFBR1/TLE1/TLR2/TLR9/TMED2/TMEM119/TNC/TNF/TREM2/TTBK1/TTC21B/TWIST1/TYROBP/UBR5/VDR/VEGFA/VSIR/WHRN/WNT16/WNT3/WNT3A/WNT5A/ZBTB7B/ZC3H12A/ZNF580/ZPR1	pos.rank
regulation of non-canonical NF-kappaB signal transduction	11	-0.672881595839376	-1.76178664807993	0.00211193241816262	0.246304118268215	0.237592397043295	4263	tags=55%, list=23%, signal=42%	329/177/26191/54923/4792/9770	AGER/BIRC2/LIME1/NFKBIA/PTPN22/RASSF2	pos.rank
peripheral nervous system neuron development	11	-0.660611786762319	-1.7296609577057	0.00211193241816262	0.246304118268215	0.237592397043295	1133	tags=45%, list=6%, signal=43%	5457/3236/2115/9464/9480	ETV1/HAND2/HOXD10/ONECUT2/POU4F1	pos.rank
