ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
interleukin-15-mediated signaling pathway	11	-0.733929280547817	-1.96842367331052	0.00105485232067511	0.14362684729064	0.138330740644715	2167	tags=45%, list=12%, signal=40%	6774/920/6776/23236/4238	CD4/MFAP3/PLCB1/STAT3/STAT5A	pos.rank
negative regulation of interleukin-8 production	17	-0.673792632209633	-1.9604805234561	0.00101729399796541	0.14362684729064	0.138330740644715	3442	tags=59%, list=18%, signal=48%	1991/58509/945/5607/307/3586/671/284297/9314/26191	ANXA4/BPI/CACTIN/CD33/ELANE/IL10/KLF4/MAP2K5/PTPN22/SSC5D	pos.rank
iron ion transport	17	-0.649560264890687	-1.88997354268037	0.00101729399796541	0.14362684729064	0.138330740644715	2309	tags=41%, list=12%, signal=36%	2512/567/2495/84102/94081/6556/4891	B2M/FTH1/FTL/SFXN1/SLC11A1/SLC11A2/SLC41A2	pos.rank
positive regulation of ossification	14	-0.666441106552586	-1.87474114823425	0.00102564102564103	0.14362684729064	0.138330740644715	3099	tags=50%, list=17%, signal=42%	4745/5781/5764/7704/6664/25836/652	BMP4/NELL1/NIPBL/PTN/PTPN11/SOX11/ZBTB16	pos.rank
negative regulation of myeloid cell differentiation	17	-0.631548511963937	-1.83756618599795	0.00101729399796541	0.14362684729064	0.138330740644715	3625	tags=53%, list=19%, signal=43%	2185/3707/28514/4211/54623/9646/3205/7704/1021	CDK6/CTR9/DLL1/HOXA9/ITPKB/MEIS1/PAF1/PTK2B/ZBTB16	pos.rank
branching involved in labyrinthine layer morphogenesis	10	-0.694106188875068	-1.81703584570088	0.00107758620689655	0.14362684729064	0.138330740644715	2619	tags=60%, list=14%, signal=52%	84870/2263/7855/3586/133/2885	ADM/FGFR2/FZD5/GRB2/IL10/RSPO3	pos.rank
axoneme assembly	28	-0.561153093593146	-1.76941855322231	0.00100300902708124	0.14362684729064	0.138330740644715	4959	tags=61%, list=26%, signal=45%	79989/54777/81492/6101/123872/2622/79582/55036/23059/2302/26140/145788/136332/79363/94137/89765/11092	PIERCE2/CCDC40/CFAP46/CLUAP1/DNAAF1/FOXJ1/GAS8/LRGUK/RP1/RP1L1/CPLANE2/RSPH1/RSPH6A/SPACA9/SPAG16/IFT56/TTLL3	pos.rank
skin morphogenesis	12	-0.644218341276502	-1.75500545258822	0.0010515247108307	0.14362684729064	0.138330740644715	4565	tags=58%, list=24%, signal=44%	26276/3691/27245/5663/3655/1278/8626	AHDC1/COL1A2/ITGA6/ITGB4/PSEN1/TP63/VPS33B	pos.rank
stress fiber assembly	19	-0.588501084746303	-1.74605375787268	0.00101214574898785	0.14362684729064	0.138330740644715	4760	tags=53%, list=25%, signal=39%	221692/9124/7126/3693/2185/3984/9839/253980/10580/7791	ITGB5/KCTD13/LIMK1/PDLIM1/PHACTR1/PTK2B/SORBS1/TNFAIP1/ZEB2/ZYX	pos.rank
negative regulation of heterotypic cell-cell adhesion	10	-0.666775564587205	-1.74548955377556	0.00107758620689655	0.14362684729064	0.138330740644715	3544	tags=50%, list=19%, signal=41%	5598/5607/3586/335/9314	APOA1/IL10/KLF4/MAP2K5/MAPK7	pos.rank
positive regulation of interferon-beta production	40	-0.52138966649618	-1.71611138742822	0.00100200400801603	0.14362684729064	0.138330740644715	5741	tags=62%, list=31%, signal=43%	51311/81844/7098/10621/7099/3659/23586/1660/8767/51284/661/9636/3661/148022/26137/3663/5781/3665/29110/11128/4938/10211/3320/9868/57506	RIGI/DHX9/FLOT1/HSP90AA1/IRF1/IRF3/IRF5/IRF7/ISG15/MAVS/OAS1/POLR3A/POLR3D/POLR3F/PTPN11/RIPK2/TBK1/TICAM1/TLR3/TLR4/TLR7/TLR8/TOMM70/TRIM56/ZBTB20	pos.rank
peptidyl-tyrosine dephosphorylation	27	-0.544807975764339	-1.70997418684373	0.00100300902708124	0.14362684729064	0.138330740644715	5530	tags=59%, list=29%, signal=42%	1845/63904/11122/5792/1849/84867/56940/5781/84959/1848/5802/5782/5777/5783/5795/26191	DUSP21/DUSP22/DUSP3/DUSP6/DUSP7/PTPN11/PTPN12/PTPN13/PTPN22/PTPN5/PTPN6/PTPRF/PTPRJ/PTPRS/PTPRT/UBASH3B	pos.rank
negative regulation of T cell receptor signaling pathway	25	-0.546802800346359	-1.69585615498448	0.00100603621730382	0.14362684729064	0.138330740644715	6460	tags=64%, list=34%, signal=42%	79037/1997/11006/1845/4068/8525/7805/29085/56940/3958/5777/5795/26191/84174/634/53347	CEACAM1/DGKZ/DUSP22/DUSP3/ELF1/LAPTM5/LGALS3/LILRB4/PHPT1/PTPN22/PTPN6/PTPRJ/PVRIG/SH2D1A/SLA2/UBASH3A	pos.rank
branching involved in blood vessel morphogenesis	30	-0.509792111514117	-1.62187363651607	0.00100200400801603	0.14362684729064	0.138330740644715	5479	tags=57%, list=29%, signal=40%	8829/4776/5534/9723/10672/7422/6469/2253/23129/2022/2637/57057/7048/6789/54567/441478/51176	DLL4/ENG/FGF8/GBX2/GNA13/LEF1/NFATC4/NRARP/NRP1/PLXND1/PPP3R1/SEMA3E/SHH/STK4/TBX20/TGFBR2/VEGFA	pos.rank
negative regulation of interleukin-6 production	49	-0.47911136656931	-1.60720620114267	0.000999000999000999	0.14362684729064	0.138330740644715	6630	tags=63%, list=35%, signal=41%	140885/9466/2621/11006/9971/4829/2693/6504/51738/84868/7099/3071/26525/27178/7128/1139/409/1445/9655/2302/3586/11213/55829/671/10365/80149/5777/3635/4345/131450/26191	ARRB2/BPI/CD200/CD200R1/CHRNA7/CSK/FOXJ1/GAS6/GHRL/GHSR/HAVCR2/IL10/IL27RA/IL36RN/IL37/INPP5D/IRAK3/KLF2/LILRB4/NCKAP1L/NMBR/NR1H4/PTPN22/PTPN6/SELENOS/SIRPA/SLAMF1/SOCS5/TLR4/TNFAIP3/ZC3H12A	pos.rank
substrate adhesion-dependent cell spreading	46	-0.477966384701024	-1.59777307138101	0.001	0.14362684729064	0.138330740644715	5902	tags=50%, list=31%, signal=34%	558/7301/8829/3611/80725/5295/2241/11149/55742/9404/9341/10979/8322/8324/3690/3676/79834/25/29780/5861/59277/83706/7010	ABL1/AXL/BVES/FER/FERMT2/FERMT3/FZD4/FZD7/ILK/ITGA4/ITGB3/LPXN/NRP1/NTN4/PARVA/PARVB/PEAK1/PIK3R1/RAB1A/SRCIN1/TEK/TYRO3/VAMP3	pos.rank
embryonic digit morphogenesis	49	-0.466706958931112	-1.56559491351998	0.000999000999000999	0.14362684729064	0.138330740644715	4989	tags=47%, list=27%, signal=35%	26005/9464/6469/7291/4041/3239/221322/657/3207/6299/4089/2768/64327/54928/84314/54903/51098/7476/7704/3238/6909/652/116039	BMP4/BMPR1A/C2CD3/GNA12/HAND2/HOXA11/HOXD12/HOXD13/IFT52/BPNT2/LMBR1/LRP5/MKS1/OSR2/SALL1/SHH/SMAD4/TBC1D32/TBX2/TMEM107/TWIST1/WNT7A/ZBTB16	pos.rank
dendrite development	39	-0.474839436766337	-1.56022559063704	0.001001001001001	0.14362684729064	0.138330740644715	6467	tags=54%, list=34%, signal=35%	5649/7988/55079/4133/2861/51738/582/5592/351/55201/4131/84687/1399/7940/916/4168/4130/57549/8578/4204/585	APP/BBS1/BBS4/CD3E/CRKL/FEZF2/GHRL/GPR37/IGSF9/LST1/MAP1A/MAP1B/MAP1S/MAP2/MCF2/MECP2/PPP1R9B/PRKG1/RELN/SCARF1/ZNF212	pos.rank
O-glycan processing	40	-0.462247119028056	-1.52144853598809	0.00100200400801603	0.14362684729064	0.138330740644715	3329	tags=40%, list=18%, signal=33%	6480/2589/6487/51146/283464/152002/51809/114805/192134/50614/11227/117248/2590/6483/10610/84002	A4GNT/B3GNT5/B3GNT6/GALNT1/GALNT13/GALNT15/GALNT2/GALNT5/GALNT7/GALNT9/GXYLT1/ST3GAL2/ST3GAL3/ST6GAL1/ST6GALNAC2/XXYLT1	pos.rank
potassium ion transport	68	-0.432252807687453	-1.49614535384281	0.000999000999000999	0.14362684729064	0.138330740644715	3861	tags=37%, list=21%, signal=29%	23416/7881/3756/4905/10089/51305/338567/3773/27345/3760/3754/9525/3742/3741/3738/50801/9196/3746/3764/3772/10242/57030/23439/3787/3762	ATP1B4/KCNA3/KCNA5/KCNA6/KCNAB1/KCNAB3/KCNC1/KCNF1/KCNH1/KCNH3/KCNJ15/KCNJ16/KCNJ3/KCNJ5/KCNJ8/KCNK18/KCNK4/KCNK7/KCNK9/KCNMB2/KCNMB4/KCNS1/NSF/SLC17A7/VPS4B	pos.rank
integrin-mediated signaling pathway	91	-0.418323661911693	-1.48147919596318	0.000999000999000999	0.14362684729064	0.138330740644715	7257	tags=55%, list=39%, signal=34%	3679/1490/2530/3683/1307/8754/9564/3678/80739/7006/8829/55679/3611/3694/8515/3691/3684/102/3696/3687/3693/2185/83605/3675/10979/959/9636/3055/1015/5341/3690/3676/3674/5781/25/6850/3680/1495/335/83706/5764/3655/55920/84106/11093/667/5786/7791/55612/634	ABL1/ADAM10/ADAM9/ADAMTS13/APOA1/BCAR1/CCM2/CD40LG/CDH17/CEACAM1/COL16A1/CCN2/CTNNA1/DST/FERMT1/FERMT2/FERMT3/FUT8/HCK/ILK/ISG15/ITGA10/ITGA2B/ITGA3/ITGA4/ITGA5/ITGA6/ITGA7/ITGA9/ITGAL/ITGAM/ITGAX/ITGB3/ITGB4/ITGB5/ITGB6/ITGB8/LIMS2/MPIG6B/NRP1/PLEK/PRAM1/PTK2B/PTN/PTPN11/PTPRA/RCC2/SYK/TEC/ZYX	pos.rank
negative regulation of vascular permeability	14	-0.649540967070283	-1.82719998280064	0.00205128205128205	0.227117818889971	0.218743060182101	3270	tags=57%, list=17%, signal=47%	10979/2909/10266/133/135/23576/5795/634	ADM/ADORA2A/ARHGAP35/CEACAM1/DDAH1/FERMT2/PTPRJ/RAMP2	pos.rank
regulation of chromosome segregation	11	-0.658133399692497	-1.76513650359347	0.00210970464135021	0.227117818889971	0.218743060182101	3389	tags=55%, list=18%, signal=45%	4288/7756/23369/84643/9698/100533997	KIF2B/LOC100533997/MKI67/PUM1/PUM2/ZNF207	pos.rank
positive regulation of calcium-mediated signaling	19	-0.585608926637555	-1.73747286708924	0.00202429149797571	0.227117818889971	0.218743060182101	1913	tags=42%, list=10%, signal=38%	6850/916/5024/920/5025/4761/50852/5026	CD3E/CD4/NEUROD2/P2RX3/P2RX4/P2RX5/SYK/TRAT1	pos.rank
protein O-linked glycosylation	63	-0.434035142086958	-1.49262057491506	0.001998001998002	0.227117818889971	0.218743060182101	5412	tags=48%, list=29%, signal=34%	79623/10585/11226/126792/8706/8985/8705/84752/2589/285203/148789/2218/338596/51146/80312/8707/51809/22906/54790/114805/192134/50614/11227/117248/10690/2590/56983/10610/29071/84002	A4GNT/B3GALNT1/B3GALNT2/B3GALT2/B3GALT4/B3GALT6/B3GNT5/B3GNT6/B3GNT9/C1GALT1C1/EOGT/FKTN/FUT9/GALNT1/GALNT13/GALNT14/GALNT15/GALNT2/GALNT5/GALNT6/GALNT7/GALNT9/PLOD3/POGLUT1/POMT1/ST6GALNAC2/ST8SIA6/TET1/TET2/TRAK1	pos.rank
negative regulation of tumor necrosis factor production	62	-0.434081396454568	-1.48915897865292	0.001998001998002	0.227117818889971	0.218743060182101	6638	tags=58%, list=35%, signal=38%	3965/140885/9466/2621/11006/9971/558/2693/6504/51738/2950/84868/7099/245928/5443/7291/27178/5987/7128/3479/1139/58509/409/10270/945/10859/64771/3586/11213/50856/55829/671/80149/64115/5777/26191	AKAP8/ARRB2/AXL/BPI/ILRUN/CACTIN/CD33/CHRNA7/CLEC4A/DEFB114/GAS6/GHRL/GHSR/GSTP1/HAVCR2/IGF1/IL10/IL27RA/IL37/IRAK3/LGALS9/LILRB1/LILRB4/NR1H4/POMC/PTPN22/PTPN6/SELENOS/SIRPA/SLAMF1/TLR4/TNFAIP3/TRIM27/TWIST1/VSIR/ZC3H12A	pos.rank
regulation of proteolysis	11	-0.645159180936377	-1.73033920088442	0.00316455696202532	0.244553821062442	0.235536125962623	4989	tags=73%, list=27%, signal=53%	26005/8405/6469/6318/55486/339745/5329/7187	C2CD3/PARL/PLAUR/SERPINB4/SHH/SPOP/SPOPL/TRAF3	pos.rank
regulation of proteasomal ubiquitin-dependent protein catabolic process	15	-0.606996829084023	-1.7198147756529	0.00308324768756423	0.244553821062442	0.235536125962623	4206	tags=53%, list=22%, signal=41%	5887/2768/11146/369/7514/56893/23376/2295	ARAF/FOXF2/GLMN/GNA12/RAD23B/UBQLN4/UFL1/XPO1	pos.rank
positive regulation of DNA damage response, signal transduction by p53 class mediator	11	-0.640713997202933	-1.7184170646173	0.00316455696202532	0.244553821062442	0.235536125962623	4550	tags=64%, list=24%, signal=48%	545/1655/3090/22925/9521/161742/200734	ATR/DDX5/EEF1E1/HIC1/PLA2R1/SPRED1/SPRED2	pos.rank
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	17	-0.587675223172128	-1.70991158714276	0.00305188199389624	0.244553821062442	0.235536125962623	5178	tags=59%, list=28%, signal=43%	4193/7157/51499/6154/118471/1263/2765/55367/51512/4582	GML/GTSE1/MDM2/MUC1/PIDD1/PLK3/PRAP1/RPL26/TP53/TRIAP1	pos.rank
negative regulation of macrophage activation	10	-0.652918136383537	-1.70921348510068	0.00323275862068966	0.244553821062442	0.235536125962623	1506	tags=50%, list=8%, signal=46%	221395/671/2213/80149/4345	ADGRF5/BPI/CD200/FCGR2B/ZC3H12A	pos.rank
regulation of cardiac conduction	19	-0.558190583688206	-1.65612399283527	0.00303643724696356	0.244553821062442	0.235536125962623	2945	tags=53%, list=16%, signal=44%	5566/487/183/493/1482/30845/10699/488/59272/6546	ACE2/AGT/ATP2A1/ATP2A2/ATP2B4/CORIN/EHD3/NKX2-5/PRKACA/SLC8A1	pos.rank
focal adhesion assembly	29	-0.494692502105557	-1.56823387141125	0.00300902708124373	0.244553821062442	0.235536125962623	5212	tags=52%, list=28%, signal=37%	8874/84962/2017/2185/1009/10979/55901/10391/79834/5796/395/123720/55920/8394/10580	AJUBA/ARHGAP6/ARHGEF7/CDH11/CORO2B/CTTN/FERMT2/PEAK1/PIP5K1A/PTK2B/PTPRK/RCC2/SORBS1/THSD1/WHAMM	pos.rank
cellular response to heat	44	-0.461476373745198	-1.53285920720246	0.002997002997003	0.244553821062442	0.235536125962623	7011	tags=57%, list=37%, signal=36%	7531/7175/3297/51278/4763/5743/3326/6489/27429/10569/3552/3654/56892/113278/5566/3337/59341/3303/6769/1616/9531/55107/81570/3320/4067	ANO1/BAG3/TCIM/CLPB/DAXX/DNAJB1/HSF1/HSP90AA1/HSP90AB1/HSPA1A/HTRA2/IER5/IL1A/IRAK1/LYN/NF1/PRKACA/PTGS2/SLC52A3/SLU7/ST8SIA1/STAC/TPR/TRPV4/YWHAE	pos.rank
