ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
trophoblast giant cell differentiation	12	-0.719143622431455	-1.90407422848655	0.00107066381156317	0.535821966977746	0.523922872507903	3541	tags=67%, list=19%, signal=54%	3976/79733/10733/639/9421/144455/6665/6615	E2F7/E2F8/HAND1/LIF/PLK4/PRDM1/SNAI1/SOX15	pos.rank
cartilage condensation	19	-0.651281837077573	-1.88917867509962	0.0010183299389002	0.535821966977746	0.523922872507903	4262	tags=58%, list=23%, signal=45%	56914/5310/4256/658/2249/7476/6660/1432/1301/1280/6662	BMPR1B/COL11A1/COL2A1/FGF4/MAPK14/MGP/OTOR/PKD1/SOX5/SOX9/WNT7A	pos.rank
stress-activated protein kinase signaling cascade	11	-0.65589899876955	-1.71563819538438	0.00215749730312837	0.535821966977746	0.523922872507903	3256	tags=45%, list=17%, signal=38%	11143/11235/51776/51765/1432	KAT7/MAP3K20/MAPK14/PDCD10/STK26	pos.rank
atrioventricular canal development	11	-0.652707914643213	-1.70729126114283	0.00323624595469256	0.535821966977746	0.523922872507903	5707	tags=91%, list=30%, signal=63%	5781/6909/3037/2626/55636/4089/3516/6926/121643/2627	CHD7/FOXN4/GATA4/GATA6/HAS2/PTPN11/RBPJ/SMAD4/TBX2/TBX3	pos.rank
T cell costimulation	43	-0.521263939683489	-1.70089853318712	0.000999000999000999	0.535821966977746	0.523922872507903	5707	tags=51%, list=30%, signal=36%	5781/916/84433/6366/2475/5290/10673/8764/1948/1949/6693/1803/1947/11148/941/100133941/3932/921/80380/6363/5777/4067	CARD11/CCL19/CCL21/CD24/CD3E/CD5/CD80/DPP4/EFNB1/EFNB2/EFNB3/HHLA2/LCK/LYN/MTOR/PDCD1LG2/PIK3CA/PTPN11/PTPN6/SPN/TNFRSF14/TNFSF13B	pos.rank
embryonic heart tube development	19	-0.576979160608991	-1.67364827966108	0.00305498981670061	0.535821966977746	0.523922872507903	5482	tags=74%, list=29%, signal=52%	1499/1889/6909/64321/100506013/1909/54345/65009/91584/1482/9421/137814/2303/2296	APELA/CTNNB1/ECE1/EDNRA/FOXC1/FOXC2/HAND1/NDRG4/NKX2-5/NKX2-6/PLXNA4/SOX17/SOX18/TBX2	pos.rank
negative regulation of T cell receptor signaling pathway	25	-0.544308368723184	-1.6505115282006	0.00301507537688442	0.535821966977746	0.523922872507903	1656	tags=44%, list=9%, signal=40%	26191/79037/53347/29085/3958/1997/8525/634/84174/7805/5777	CEACAM1/DGKZ/ELF1/LAPTM5/LGALS3/PHPT1/PTPN22/PTPN6/PVRIG/SLA2/UBASH3A	pos.rank
digestive tract development	25	-0.542321932226324	-1.64448803760868	0.00402010050251256	0.535821966977746	0.523922872507903	5997	tags=64%, list=32%, signal=44%	51208/25836/83881/3651/5310/5925/1281/2263/3815/93649/6522/137814/887/56034/57680/2294	CCKBR/CHD8/CLDN18/COL3A1/FGFR2/FOXF1/KIT/MIXL1/MYOCD/NIPBL/NKX2-6/PDGFC/PDX1/PKD1/RB1/SLC4A2	pos.rank
positive regulation of interleukin-4 production	27	-0.525751083013014	-1.61978802123117	0.00300902708124373	0.535821966977746	0.523922872507903	5286	tags=48%, list=28%, signal=35%	916/3662/8140/7784/84868/3965/54440/7292/5590/6850/50943/1051/2625	CD3E/CEBPB/FOXP3/GATA3/HAVCR2/IRF4/LGALS9/PRKCZ/SASH3/SLC7A5/SYK/TNFSF4/ZP3	pos.rank
ventricular cardiac muscle tissue morphogenesis	24	-0.532710203536514	-1.60647759125355	0.00301810865191147	0.535821966977746	0.523922872507903	3097	tags=46%, list=16%, signal=38%	4624/2263/3670/9421/1301/5629/2303/7134/4634/2296/7139	COL11A1/FGFR2/FOXC1/FOXC2/HAND1/ISL1/MYH6/MYL3/PROX1/TNNC1/TNNT2	pos.rank
neuron projection extension	26	-0.523808716998509	-1.60061599335509	0.00401203610832497	0.535821966977746	0.523922872507903	5482	tags=58%, list=29%, signal=41%	1499/56924/81628/221074/214/51299/10631/8128/23767/440275/780/8826/3676/5590/7074	ALCAM/CTNNB1/DDR1/EIF2AK4/FLRT3/IQGAP1/ITGA4/NRN1/PAK6/POSTN/PRKCZ/SLC39A12/ST8SIA2/TIAM1/TSC22D4	pos.rank
chaperone-mediated protein folding	42	-0.489455239330376	-1.59190176948228	0.001	0.535821966977746	0.523922872507903	4084	tags=45%, list=22%, signal=35%	9601/2288/5203/7411/7203/126393/1191/908/5204/165721/2289/10576/26973/5479/5201/150353/64175/10694/5202	CCT2/CCT3/CCT6A/CCT8/CHORDC1/CLU/DNAJB7/DNAJB8/FKBP4/FKBP5/HSPB6/P3H1/PDIA4/PFDN1/PFDN2/PFDN4/PFDN5/PPIB/VBP1	pos.rank
B cell receptor signaling pathway	42	-0.477999186889883	-1.55464216189027	0.003	0.535821966977746	0.523922872507903	5628	tags=50%, list=30%, signal=35%	3702/973/25/4208/930/4792/3071/596/2885/4332/7006/640/59338/3932/6850/23180/5777/5788/54923/4067/7462	ABL1/BCL2/BLK/CD19/CD79A/GRB2/ITK/LAT2/LCK/LIME1/LYN/MEF2C/MNDA/NCKAP1L/NFKBIA/PLEKHA1/PTPN6/PTPRC/RFTN1/SYK/TEC	pos.rank
cartilage development	58	-0.458614302761634	-1.5522161698089	0.001998001998002	0.535821966977746	0.523922872507903	5736	tags=55%, list=31%, signal=38%	7474/9241/651/3373/353500/960/7298/656/23213/202018/5310/25884/3696/1746/655/582/6660/653/55959/11061/5396/8372/1280/4090/1302/23314/7704/2121/6662/6935/2625/5307	BBS1/BMP3/BMP5/BMP7/BMP8A/BMP8B/CD44/CHRDL2/CNMD/COL11A2/COL2A1/DLX2/EVC/GATA3/HYAL1/HYAL3/ITGB8/NOG/PITX1/PKD1/PRRX1/SATB2/SMAD5/SOX5/SOX9/SULF1/SULF2/TAPT1/TYMS/WNT5A/ZBTB16/ZEB1	pos.rank
axon development	34	-0.476754232470181	-1.51565753726192	0.003996003996004	0.535821966977746	0.523922872507903	4267	tags=41%, list=23%, signal=32%	4137/63973/4761/116448/780/4760/23162/3897/4762/2917/50674/3736/5354/23271	CAMSAP2/DDR1/GRM7/KCNA1/L1CAM/MAPK8IP3/MAPT/NEUROD1/NEUROD2/NEUROG1/NEUROG2/NEUROG3/OLIG1/PLP1	pos.rank
intracellular receptor signaling pathway	34	-0.476687800881483	-1.51544634346171	0.003996003996004	0.535821966977746	0.523922872507903	5995	tags=65%, list=32%, signal=44%	5465/2649/9971/2494/3172/7376/6097/8856/5467/6720/10062/3174/131566/196/367/7101/7025/9975/3164/9572/4929/8013	AHR/AR/DCBLD2/HNF4A/HNF4G/NR1D1/NR1D2/NR1H2/NR1H3/NR1H4/NR1I2/NR2E1/NR2F1/NR4A1/NR4A2/NR4A3/NR5A2/NR6A1/PPARA/PPARD/RORC/SREBF1	pos.rank
response to hormone	36	-0.466675613494871	-1.49406123125672	0.004004004004004	0.535821966977746	0.523922872507903	2598	tags=42%, list=14%, signal=36%	9361/25828/7078/6424/7079/4842/6722/4440/7080/2185/2303/27250/4846/38/4067	ACAT1/FOXC2/LONP1/LYN/MSI1/NKX2-1/NOS1/NOS3/PDCD4/PTK2B/SFRP4/SRF/TIMP3/TIMP4/TXN2	pos.rank
T cell activation	57	-0.432731356966519	-1.46194485983015	0.002997002997003	0.535821966977746	0.523922872507903	5628	tags=42%, list=30%, signal=30%	3702/5532/917/100/916/3902/4063/23308/924/960/3662/90273/1650/3565/925/89886/1803/8832/25853/941/50943/5530/84174/5788	ADA/CD3E/CD3G/CD44/CD7/CD80/CD84/CD8A/CEACAM21/DCAF12/DDOST/DPP4/FOXP3/ICOSLG/IL4/IRF4/ITK/LAG3/LY9/PPP3CA/PPP3CB/PTPRC/SLA2/SLAMF9	pos.rank
regulation of cytokine production	62	-0.427544281252693	-1.45772874886562	0.002997002997003	0.535821966977746	0.523922872507903	3291	tags=37%, list=18%, signal=31%	11118/3593/22890/696/23119/153579/50848/7597/10773/57684/79679/8826/9516/11148/53347/9880/7693/7690/57621/8651/1997/2625/4067	BTN1A1/BTN3A2/BTNL9/ELF1/F11R/GATA3/HHLA2/HIC2/IL12B/IQGAP1/LITAF/LYN/SOCS1/UBASH3A/VTCN1/ZBTB1/ZBTB2/ZBTB25/ZBTB26/ZBTB39/ZBTB6/ZNF131/ZNF134	pos.rank
