ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
T cell migration	10	-0.737690593669951	-1.8964772513885	0.00105374077976818	0.296206533192835	0.29249625644723	1932	tags=50%, list=10%, signal=45%	1235/58515/2838/64005/7535	CCR6/GPR15/MYO1G/SELENOK/ZAP70	pos.rank
positive regulation of cell adhesion mediated by integrin	16	-0.670213880934503	-1.89492590839189	0.0010183299389002	0.296206533192835	0.29249625644723	3989	tags=56%, list=21%, signal=44%	8754/6423/64805/80173/7042/2303/6850/6366/10519	ADAM9/CCL21/CIB1/FOXC2/IFT74/P2RY12/SFRP2/SYK/TGFB2	pos.rank
blastocyst development	22	-0.633067233144325	-1.88331776860045	0.00100806451612903	0.296206533192835	0.29249625644723	2698	tags=45%, list=14%, signal=39%	10443/5501/84072/92521/7046/5460/9421/1603/121599/2116	DAD1/ETV2/HAND1/HORMAD1/N4BP2L2/POU5F1/PPP1CC/SPECC1/SPIC/TGFBR1	pos.rank
positive regulation of regulatory T cell differentiation	16	-0.659230177757249	-1.8638711894242	0.0010183299389002	0.296206533192835	0.29249625644723	1898	tags=44%, list=10%, signal=39%	1378/4179/55626/3135/10385/2309/3558	AMBRA1/BTN2A2/CD46/CR1/FOXO3/HLA-G/IL2	pos.rank
positive regulation of monocyte chemotactic protein-1 production	14	-0.655638861026706	-1.80947145508519	0.00102249488752556	0.296206533192835	0.29249625644723	2703	tags=57%, list=14%, signal=49%	64127/9370/6850/255231/58515/64581/7291/177	ADIPOQ/AGER/CLEC7A/MCOLN2/NOD2/SELENOK/SYK/TWIST1	pos.rank
positive regulation of calcium-mediated signaling	22	-0.605286809278146	-1.80067351985839	0.00100806451612903	0.296206533192835	0.29249625644723	3313	tags=55%, list=18%, signal=45%	50852/6351/6850/3094/6348/64581/4761/90070/5024/100/916/7535	ADA/CCL3/CCL4/CD3E/CLEC7A/HINT1/LACRT/NEUROD2/P2RX3/SYK/TRAT1/ZAP70	pos.rank
regulation of telomere maintenance	18	-0.600416998338899	-1.72808115557643	0.00101522842639594	0.296206533192835	0.29249625644723	1348	tags=28%, list=7%, signal=26%	493861/7520/3184/286053/7014	EID3/HNRNPD/NSMCE2/TERF2/XRCC5	pos.rank
T cell activation	57	-0.474999865497175	-1.59215034926381	0.000999000999000999	0.296206533192835	0.29249625644723	3034	tags=42%, list=16%, signal=35%	5530/2280/25853/8934/3902/57823/841/942/79865/197358/64581/3329/4690/100/1650/5788/7454/27040/3702/914/917/940/916/7535	ADA/CASP8/CD2/CD28/CD3E/CD3G/CD86/CLEC7A/DCAF12/DDOST/FKBP1A/HSPD1/ITK/LAG3/LAT/NCK1/NLRC3/PPP3CA/PTPRC/RAB29/SLAMF7/TREML2/WAS/ZAP70	pos.rank
T cell receptor signaling pathway	104	-0.421254825273444	-1.47893407458958	0.000999000999000999	0.296206533192835	0.29249625644723	4951	tags=46%, list=26%, signal=34%	114625/8891/11120/925/5144/6461/8893/8892/11118/3119/84807/1967/3635/695/8631/4340/3115/10616/2533/7334/5290/6885/9564/8767/8915/79908/8517/5594/7294/10385/10917/673/919/100/915/5142/387357/5788/10892/7189/25865/27040/3702/917/940/3937/916/7535	ADA/BCAR1/BCL10/BRAF/BTK/BTN2A1/BTN2A2/BTN3A2/BTNL3/BTNL8/CD247/CD28/CD3D/CD3E/CD3G/CD8A/EIF2B1/EIF2B2/EIF2B3/EIF2B5/ERMAP/FYB1/HLA-DPB1/HLA-DQB1/IKBKG/INPP5D/ITK/LAT/LCP2/MALT1/MAP3K7/MAPK1/MOG/NFKBID/PDE4B/PDE4D/PIK3CA/PRKD2/PTPRC/RBCK1/RIPK2/SHB/SKAP1/THEMIS/TRAF6/TXK/UBE2N/ZAP70	pos.rank
cell surface receptor signaling pathway	233	-0.368361889714795	-1.36481137445694	0.000999000999000999	0.296206533192835	0.29249625644723	7085	tags=63%, list=38%, signal=40%	5617/259249/51567/219995/2064/197259/8685/84873/2358/222611/9340/10149/1910/23765/6370/4233/83417/221393/2674/8795/57211/186/29121/117/3821/58475/222487/2212/84435/51466/2205/6344/60676/503497/3456/10563/576/2692/84824/54860/10203/3820/978/1796/329/4061/3575/7442/3624/1395/1230/2642/9223/51266/2872/10461/931/5021/2041/2696/799/10219/301/284021/27180/9289/64231/2209/64123/925/283383/349667/170589/83416/221395/84059/154/3455/51267/22859/2213/966/5746/5027/166647/1956/139378/79368/573/4881/10990/5590/2015/221188/1432/575/6347/30817/23284/64232/11024/728588/1394/23529/2210/3595/2669/3902/29126/10188/1132/266977/3627/2185/939/727/10261/84658/9398/7434/5069/942/3577/50856/3597/65078/5594/6295/344901/1907/3977/23620/948/165082/7253/177/10800/23266/919/915/5788/914/917/940/3460/916	ADCYAP1R1/ADGRA1/ADGRA3/ADGRB1/ADGRB2/ADGRD1/ADGRE1/ADGRE2/ADGRE3/ADGRF1/ADGRF2P/ADGRF3/ADGRF4/ADGRF5/ADGRG1/ADGRG2/ADGRG3/ADGRG4/ADGRG5/ADGRG6/ADGRG7/ADGRL1/ADGRL2/ADGRL3/ADGRL4/ADGRV1/ADRB2/AGER/AGTR2/ANXA1/BAG1/BIRC2/C5/CALCR/CALCRL/CCL2/CCL25/CCR1/CD101/CD2/CD247/CD27/CD274/CD28/CD36/CD3D/CD3E/CD3G/CD59/CD86/CD8A/CDA/CHRM4/CLCF1/CLEC1A/CLEC1B/CLEC2D/CLEC4A/CRHR1/CRHR2/CXCL10/CXCL13/CXCR1/CYSLTR1/DOK1/EDN2/EDNRB/EGFR/EPHA1/ERBB2/EVL/FCER1A/FCGR1A/FCGR1BP/FCGR2A/FCGR2B/FCRL2/FCRL4/FCRL5/FCRLA/FPR2/GCGR/GEM/GFRA1/GHRHR/GIPR/GLP2R/GPHA2/IFNAR2/IFNB1/IFNGR2/IGSF6/IL12RB2/IL13RA1/IL17RA/IL7R/INHBA/KLRB1/KLRC1/KLRG1/LAG3/LIFR/LILRA1/LILRB5/LY6E/MAGI1/MAPK1/MAPK14/MARCO/MERTK/MET/MILR1/MKNK2/MLKL/MRGPRX1/MS4A1/MS4A12/MS4A13/MS4A15/MS4A18/MS4A5/MS4A6A/MS4A7/NPR1/NTSR2/OSTN/OXTR/P2RX7/PAPPA/PAPPA2/PRKCZ/PRL/PTH2R/PTK2B/PTPRC/RTN4R/RTN4RL2/SAG/SCTR/SIGLEC9/TDP2/TNFRSF10B/TNK2/TRPV1/TSHR/VIPR2	pos.rank
