ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
negative thymic T cell selection	12	-0.744449815450079	-2.00262186676774	0.00104931794333683	0.331682000471809	0.319837101600427	1940	tags=50%, list=10%, signal=45%	1794/1236/5788/916/940/7535	CCR7/CD28/CD3E/DOCK2/PTPRC/ZAP70	pos.rank
positive thymic T cell selection	11	-0.704674158875127	-1.85559105900591	0.00106157112526539	0.331682000471809	0.319837101600427	1940	tags=73%, list=10%, signal=65%	6794/1794/3707/915/5788/916/917/7535	CD3D/CD3E/CD3G/DOCK2/ITPKB/PTPRC/STK11/ZAP70	pos.rank
response to peptide hormone	45	-0.544264055480832	-1.8168858573427	0.001	0.331682000471809	0.319837101600427	5385	tags=58%, list=29%, signal=41%	8890/6778/7076/8614/2695/6716/4041/8893/3667/51052/6772/673/2770/4048/7010/1967/682/7442/6776/8892/8891/6774/6773/301/8805/6775	ANXA1/BRAF/BSG/EIF2B1/EIF2B2/EIF2B3/EIF2B4/EIF2B5/GIP/GNAI1/IRS1/LRP5/LTA4H/PRLH/SRD5A2/STAT1/STAT2/STAT3/STAT4/STAT5A/STAT6/STC2/TEK/TIMP1/TRIM24/TRPV1	pos.rank
positive regulation of erythrocyte differentiation	29	-0.571429480106345	-1.81495756284617	0.00100401606425703	0.331682000471809	0.319837101600427	2878	tags=45%, list=15%, signal=38%	6772/3148/2309/5469/92/23456/5591/116151/3091/7564/129138/3635/6774	ABCB10/ACVR2A/ANKRD54/FAM210B/FOXO3/HIF1A/HMGB2/INPP5D/MED1/PRKDC/STAT1/STAT3/ZNF16	pos.rank
regulation of G1/S transition of mitotic cell cycle	51	-0.532748939578009	-1.79758668219464	0.000999000999000999	0.331682000471809	0.319837101600427	4007	tags=41%, list=21%, signal=32%	9275/1026/3398/1032/55274/9928/6595/57492/126520/55198/5977/1029/5310/5720/9274/902/60/54617/26060/81853/55626	ACTB/AMBRA1/APPL1/APPL2/ARID1B/BCL7B/BCL7C/CCNH/CDKN1A/CDKN2A/CDKN2D/DPF2/ID2/INO80/KIF14/PHF10/PKD1/PLK5/PSME1/SMARCA2/TMEM14B	pos.rank
positive regulation of T cell receptor signaling pathway	16	-0.626380962723605	-1.7902965749041	0.00102880658436214	0.331682000471809	0.319837101600427	3994	tags=69%, list=21%, signal=54%	8934/10666/975/25865/84433/3783/1236/8517/3932/5970/8915	BCL10/CARD11/CCR7/CD226/CD81/IKBKG/KCNN4/LCK/PRKD2/RAB29/RELA	pos.rank
positive regulation of glycolytic process	22	-0.58252944038495	-1.75649524893834	0.00101936799184506	0.331682000471809	0.319837101600427	2654	tags=55%, list=14%, signal=47%	8671/26330/8850/5563/64223/351/3643/3091/195827/5027/3458/3356	PRXL2C/APP/GAPDHS/HIF1A/HTR2A/IFNG/INSR/KAT2B/MLST8/P2RX7/PRKAA2/SLC4A4	pos.rank
positive regulation of interleukin-2 production	34	-0.540747764302501	-1.75035704672895	0.00100200400801603	0.331682000471809	0.319837101600427	3052	tags=44%, list=16%, signal=37%	8767/5588/25865/920/4860/6711/84433/5336/301/10892/5788/916/940/6885/7189	ANXA1/CARD11/CD28/CD3E/CD4/MALT1/MAP3K7/PLCG2/PNP/PRKCQ/PRKD2/PTPRC/RIPK2/SPTBN1/TRAF6	pos.rank
T cell receptor signaling pathway	104	-0.420458994145201	-1.50249886489646	0.000999000999000999	0.331682000471809	0.319837101600427	5417	tags=48%, list=29%, signal=34%	100/8890/25800/114625/8631/2355/84106/7070/785/54542/8893/6794/27242/6461/5293/84807/8767/80381/3551/673/65125/199920/25865/387357/10657/1967/5336/149041/3635/8892/8891/926/915/10892/8517/10616/3932/5788/916/27040/3702/8915/7294/919/917/940/7535/6885/3937/7189	ADA/BCL10/BRAF/FYB2/CACNB4/CD247/CD276/CD28/CD3D/CD3E/CD3G/CD8B/EIF2B1/EIF2B2/EIF2B3/EIF2B4/EIF2B5/ERMAP/FOSL2/IKBKB/IKBKG/INPP5D/ITK/KHDRBS1/LAT/LCK/LCP2/MALT1/MAP3K7/NFKBID/PIK3CD/PLCG2/PRAM1/PRKD2/PTPRC/RBCK1/RC3H1/RC3H2/RIPK2/SHB/SKAP1/SLC39A6/STK11/THEMIS/THY1/TNFRSF21/TRAF6/TXK/WNK1/ZAP70	pos.rank
positive regulation of CD4-positive, alpha-beta T cell proliferation	10	-0.686477980288547	-1.77213111616859	0.0021505376344086	0.431950844854071	0.416525183927561	3052	tags=70%, list=16%, signal=59%	8767/5588/975/84433/7048/916/940	CARD11/CD28/CD3E/CD81/PRKCQ/RIPK2/TGFBR2	pos.rank
positive regulation of ATP biosynthetic process	11	-0.672223211730702	-1.77013924185173	0.00212314225053079	0.431950844854071	0.416525183927561	1594	tags=45%, list=8%, signal=42%	54209/6901/5465/55811/2023	ADCY10/ENO1/PPARA/TAFAZZIN/TREM2	pos.rank
tRNA aminoacylation for protein translation	17	-0.602719620584103	-1.73524392999107	0.00206185567010309	0.431950844854071	0.416525183927561	4343	tags=76%, list=23%, signal=59%	10352/57038/55699/23438/4677/2058/16/10667/4141/51520/2617/7407/3035	AARS1/EPRS1/FARS2/GARS1/HARS1/HARS2/IARS2/LARS1/MARS1/NARS1/RARS2/VARS1/WARS2	pos.rank
positive regulation of cytokine production involved in inflammatory response	26	-0.550007065142932	-1.71382168671247	0.00202020202020202	0.431950844854071	0.416525183927561	3435	tags=50%, list=18%, signal=41%	4615/84818/63940/923/23633/10333/50487/3091/115362/148022/53342/6774/26060	APPL1/CD6/GBP5/GPSM3/HIF1A/IL17D/IL17RC/KPNA6/MYD88/PLA2G3/STAT3/TICAM1/TLR6	pos.rank
mRNA transcription by RNA polymerase II	45	-0.498978400678831	-1.66571132189121	0.002	0.431950844854071	0.416525183927561	7822	tags=69%, list=42%, signal=40%	6877/728/6879/10062/129685/2034/302/2316/6883/6281/5468/6881/1385/6257/2301/6875/1386/6596/5469/8546/6880/5914/7376/6872/6774/6878/7547/6874/6873/6882/6884	ANXA2/AP3B1/ATF2/C5AR1/CREB1/EPAS1/FLNA/FOXE3/HLTF/MED1/NR1H2/NR1H3/PPARG/RARA/RXRB/S100A10/STAT3/TAF1/TAF10/TAF11/TAF12/TAF13/TAF2/TAF4/TAF4B/TAF5/TAF6/TAF7/TAF8/TAF9/ZIC3	pos.rank
positive regulation of rRNA processing	10	0.658822276647854	2.16738540310193	0.0138888888888889	0.518	0.499501385041551	6418	tags=100%, list=34%, signal=66%	55781/84135/84128/114049/55127/51504/23160/27292/83732/51547	BUD23/DIMT1/HEATR1/RIOK1/RIOK2/SIRT7/TRMT112/UTP15/WDR43/WDR75	pos.rank
spindle organization	18	-0.600828426165863	-1.7522486498145	0.00513347022587269	0.518	0.499501385041551	3877	tags=61%, list=21%, signal=49%	128153/90417/1107/55521/10636/9212/55857/10615/28989/259266/10910	ASPM/AURKB/CHD3/KIZ/KNSTRN/NTMT1/RGS14/SPAG5/SPATA17/SUGT1/TRIM36	pos.rank
lysosomal lumen acidification	21	-0.574668165412956	-1.72186801379296	0.00407747196738022	0.518	0.499501385041551	4688	tags=52%, list=25%, signal=39%	252839/440400/51382/2896/51606/10312/523/527/84317/5538/9296	ATP6V0C/ATP6V1A/ATP6V1D/ATP6V1F/ATP6V1H/CCDC115/GRN/PPT1/RNASEK/TCIRG1/TMEM9	pos.rank
synaptic transmission, dopaminergic	10	-0.664195821064844	-1.71461010481852	0.0043010752688172	0.518	0.499501385041551	3416	tags=50%, list=18%, signal=41%	1812/135/1392/1816/23551	ADORA2A/CRH/DRD1/DRD5/RASD2	pos.rank
positive regulation of monocyte differentiation	10	-0.65521234179043	-1.69141940735879	0.0043010752688172	0.518	0.499501385041551	1931	tags=40%, list=10%, signal=36%	920/2242/22985/146433	ACIN1/CD4/FES/IL34	pos.rank
