ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	24	-0.682404316474591	-2.08234802477895	0.00100704934541793	0.182189119170984	0.175893100627216	3462	tags=75%, list=18%, signal=61%	55127/6223/25879/84916/27042/6217/90121/57050/705/6202/5822/88745/55813/2068/9790/57647/79954/8602	BMS1/BYSL/UTP4/DCAF13/DHX37/UTP25/ERCC2/HEATR1/NOL10/NOP14/PWP2/RPS16/RPS19/RPS8/RRP36/TSR2/UTP3/UTP6	pos.rank
ribosomal small subunit biogenesis	71	-0.557612785851517	-1.91956982440265	0.000999000999000999	0.182189119170984	0.175893100627216	3891	tags=63%, list=21%, signal=51%	6230/6191/55127/92856/51118/6232/6223/84916/6218/5394/6207/27341/6228/55781/51077/91582/64745/30836/4869/6217/51602/134430/6194/9136/57050/6838/64434/6234/27292/84135/6202/6229/51096/5822/88745/6205/27340/2091/55813/55272/9790/10436/10528/57647/8602	BMS1/UTP4/DHX37/DIMT1/DNTTIP2/EMG1/EXOSC10/FBL/FCF1/HEATR1/IMP3/IMP4/METTL17/NOM1/NOP14/NOP56/NOP58/NPM1/PWP2/RIOK2/RPS11/RPS13/RPS16/RPS17/RPS19/RPS19BP1/RPS23/RPS24/RPS25/RPS27/RPS28/RPS4X/RPS6/RPS8/RRP36/RRP7A/RRP9/SURF6/UTP11/UTP15/UTP18/UTP20/UTP3/UTP6/WDR36	pos.rank
RNA catabolic process	31	-0.608268226475057	-1.91904407642984	0.00100200400801603	0.182189119170984	0.175893100627216	4352	tags=71%, list=23%, signal=55%	51010/51092/5393/23517/84153/115752/51013/3669/246243/5511/56915/5394/8761/22894/23404/118460/6036/4686/54512/23016/3184/11340	DIS3/DIS3L/EXOSC1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/EXOSC5/EXOSC6/EXOSC7/EXOSC8/EXOSC9/HNRNPD/ISG20/NCBP1/PABPC4/PPP1R8/RNASE2/RNASEH1/RNASEH2C/SIDT2/MTREX	pos.rank
rRNA processing	113	-0.534181731422683	-1.90172603237848	0.000999000999000999	0.182189119170984	0.175893100627216	3587	tags=58%, list=19%, signal=47%	5393/23481/23517/92856/51118/55011/6232/6223/120379/25879/51013/10813/3669/10556/6218/56915/5394/27341/22894/10360/317781/23404/6154/27043/118460/6217/51602/54512/134430/6194/28987/50628/54853/55661/55299/9136/23223/6155/51575/55035/5036/6234/9775/705/84135/23016/22984/6135/11137/51119/1736/56342/1662/6229/51096/88745/27340/2091/55272/10248/10436/10528/79039/57418/8602	BRIX1/BYSL/DCAF13/DDX10/DDX27/DDX51/DDX54/DIS3/DKC1/EIF4A3/EMG1/ESF1/EXOSC1/EXOSC10/EXOSC2/EXOSC4/EXOSC5/EXOSC6/EXOSC7/EXOSC9/FBL/GEMIN4/IMP3/IMP4/ISG20/NOB1/NOL8/NOP14/NOP56/NOP58/NPM3/PA2G4/PDCD11/PELP1/PES1/PIH1D1/PIH1D2/POP7/PPAN/PWP1/RPL11/RPL26/RPL27/RPP30/RPS16/RPS17/RPS19/RPS24/RPS27/RPS28/RPS6/RRP12/RRP36/RRP7A/RRP9/SBDS/MTREX/UTP11/UTP14A/UTP15/UTP18/UTP20/WDR18/WDR36/WDR55	pos.rank
regulation of telomere maintenance	21	-0.632150119625121	-1.88901856836133	0.00100704934541793	0.182189119170984	0.175893100627216	4638	tags=71%, list=24%, signal=54%	79677/7014/56160/23381/7520/55719/23137/80119/56252/55869/23293/5976/23049/3184/4609	SLF2/HDAC8/HNRNPD/MYC/NSMCE3/PIF1/SMC5/SMC6/SMG1/SMG5/SMG6/TERF2/UPF1/XRCC5/YLPM1	pos.rank
histone acetylation	13	-0.687491606721111	-1.88063403793393	0.00103626943005181	0.182189119170984	0.175893100627216	4154	tags=69%, list=22%, signal=54%	27097/51105/57325/51200/8089/10856/1387/6881/2033	CPA4/CREBBP/KAT14/EP300/PHF20L1/RUVBL2/TAF10/TAF5L/YEATS4	pos.rank
transcription elongation by RNA polymerase II	36	-0.552905148910797	-1.78249917790969	0.000999000999000999	0.182189119170984	0.175893100627216	5236	tags=67%, list=28%, signal=48%	11047/22936/1025/55795/81488/6663/11198/55250/80349/80237/51224/9646/23168/8178/26610/2071/85403/29072/84337/123169/6829/6830/9150/6827	ADRM1/CDK9/CTDP1/CTR9/EAF1/ELL/ELL2/ELL3/ELOF1/ELP2/ELP4/ERCC3/LEO1/PCID2/POLR2M/RTF1/SETD2/SOX10/SUPT16H/SUPT4H1/SUPT5H/SUPT6H/ELOA2/SKIC8	pos.rank
cytoplasmic translation	88	-0.498360834927573	-1.74370964160162	0.000999000999000999	0.182189119170984	0.175893100627216	5822	tags=68%, list=31%, signal=47%	6142/6133/7311/6233/6158/6129/6146/6171/6208/6138/10399/6173/6122/6206/51121/6230/6191/6164/23521/6232/6223/6157/6156/3921/6218/6224/6207/6134/6228/6154/6152/6130/6136/6143/6217/6194/1819/6181/6155/6139/6204/6234/6137/6144/6141/25873/6135/6168/6202/6167/6229/6231/6160/6175/6132/6205/6222/6169/6128/2197	DRG2/FAU/RACK1/RPL10/RPL11/RPL12/RPL13/RPL13A/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL3/RPL30/RPL31/RPL34/RPL36/RPL36A/RPL37/RPL37A/RPL38/RPL41/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS16/RPS17/RPS18/RPS19/RPS20/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS4X/RPS6/RPS8/RPSA/UBA52	pos.rank
RNA polymerase II preinitiation complex assembly	48	-0.494240089782948	-1.64223620382348	0.000999000999000999	0.182189119170984	0.175893100627216	6052	tags=56%, list=32%, signal=38%	55588/400569/6908/138474/9441/10001/6873/9439/51003/5469/219541/6884/2958/1810/29079/6883/6882/6877/6872/6881/84246/2957/83860/6874/112950/55090/6878	DR1/GTF2A1/GTF2A2/MED1/MED10/MED11/MED19/MED23/MED26/MED29/MED31/MED4/MED6/MED8/MED9/TAF1/TAF10/TAF11/TAF12/TAF13/TAF1L/TAF2/TAF3/TAF4/TAF5/TAF6/TBP	pos.rank
nucleocytoplasmic transport	46	-0.487966234270211	-1.61443311731622	0.000999000999000999	0.182189119170984	0.175893100627216	7569	tags=72%, list=40%, signal=43%	8021/10762/25909/9818/81929/8125/57122/5903/79023/54830/4928/8312/129401/51319/5902/6396/9972/79902/2733/23225/9631/4927/4869/7175/23511/9688/8480/23279/5905/348995/7514/129138/55706	AHCTF1/ANKRD54/ANP32A/AXIN1/GLE1/NDC1/NPM1/NUP107/NUP153/NUP155/NUP160/NUP188/NUP210/NUP214/NUP35/NUP37/NUP43/NUP50/NUP62CL/NUP85/NUP88/NUP93/NUP98/NUP58/RAE1/RANBP1/RANBP2/RANGAP1/RSRC1/SEC13/SEH1L/TPR/XPO1	pos.rank
mRNA splicing, via spliceosome	183	-0.438226183635845	-1.60952415466236	0.000999000999000999	0.182189119170984	0.175893100627216	4305	tags=46%, list=23%, signal=36%	10236/56949/57703/10450/9129/51340/10189/199746/10250/6432/94104/51319/53938/10291/3187/60625/6627/23517/25949/51634/3550/10180/8220/9879/25804/84811/27336/59286/51428/51690/9416/55696/55599/51503/11193/3181/3185/11017/55280/84950/84292/153527/22913/4686/143884/11157/9904/6632/23450/55094/6427/10772/7737/23020/79171/84844/54957/11066/10569/56259/6636/9775/338657/1665/57819/7307/26121/6634/9716/85437/57461/55660/8233/1659/8899/8896/55234/9733/55596/10594/9410/6426/79622/3312	ALYREF/AQR/BUD13/BUD31/CENATAC/CRNKL1/CTNNBL1/CWC15/CWC22/CWF19L1/CWF19L2/DDX23/DDX41/DDX46/ESS2/DHX15/DHX35/DHX8/EIF4A3/GPATCH1/HNRNPA2B1/HNRNPF/HNRNPH1/HNRNPR/HSPA8/HTATSF1/IK/ISY1/LSM2/LSM4/LSM6/LSM7/NCBP1/PAXBP1/PHF5A/PPIE/PPIL3/PRPF3/PRPF31/PRPF38A/PRPF40A/PRPF4B/PRPF8/RALY/RBM19/RBM22/RBM42/RBM6/RBMX2/RNF113A/RNPC3/RSRC1/SART3/SF3A1/SF3B3/MTREX/SLU7/SMU1/SNRNP200/SNRNP25/SNRNP27/SNRNP35/SNRNP40/SNRPA1/SNRPD1/SNRPD3/SNRPF/SRRM1/SRSF1/SRSF10/SRSF2/SRSF7/SYF2/TXNL4B/U2AF1/U2AF1L4/UBL5/WBP4/WDR83/XAB2/ZCCHC8/ZCRB1/ZMAT2/ZRSR2	pos.rank
