ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
centrosome duplication	16	-0.686005797251464	-1.95068536664728	0.00102145045965271	0.30802852541983	0.302810165510394	3963	tags=62%, list=24%, signal=48%	5311/163786/9738/26973/23032/29901/1017/9639/6491/9793	ARHGEF10/CCP110/CDK2/CHORDC1/CKAP5/PKD2/SAC3D1/SASS6/STIL/USP33	pos.rank
maturation of SSU-rRNA	18	-0.646793170007901	-1.88194860176855	0.00101936799184506	0.30802852541983	0.302810165510394	1188	tags=44%, list=7%, signal=41%	6234/10885/11157/55272/83732/25926/153443/4809	IMP3/LSM6/SNU13/NOL11/RIOK1/RPS28/SRFBP1/WDR3	pos.rank
maturation of 5.8S rRNA	12	-0.659186229948646	-1.76844395290522	0.0010351966873706	0.30802852541983	0.302810165510394	1598	tags=50%, list=10%, signal=45%	54512/10438/10200/3692/23517/84549	C1D/EIF6/EXOSC4/MAK16/MPHOSPH6/MTREX	pos.rank
positive regulation of transcription by RNA polymerase I	24	-0.576742009263889	-1.76645524640931	0.00100603621730382	0.30802852541983	0.302810165510394	2939	tags=42%, list=18%, signal=34%	7913/84135/10498/9031/2074/9451/23133/2064/10514/7343	BAZ1B/CARM1/DEK/EIF2AK3/ERBB2/ERCC6/MYBBP1A/PHF8/UBTF/UTP15	pos.rank
MyD88-dependent toll-like receptor signaling pathway	16	-0.611879166083711	-1.73990327810351	0.00102145045965271	0.30802852541983	0.302810165510394	5135	tags=75%, list=31%, signal=52%	695/51135/3656/11213/114609/3654/10333/10318/130120/7189/7099/6885	BTK/IRAK1/IRAK2/IRAK3/IRAK4/MAP3K7/REG3G/TIRAP/TLR4/TLR6/TNIP1/TRAF6	pos.rank
U2-type prespliceosome assembly	24	-0.55584926225877	-1.70246458513218	0.00100603621730382	0.30802852541983	0.302810165510394	5934	tags=46%, list=36%, signal=30%	51634/9879/10946/84811/8175/6629/79753/6628/51639/84844/6635	BUD13/DDX46/PHF5A/RBMX2/SF3A2/SF3A3/SF3B6/SNIP1/SNRPB/SNRPB2/SNRPE	pos.rank
positive regulation of apoptotic signaling pathway	29	-0.5308138686348	-1.66888099313641	0.00100300902708124	0.30802852541983	0.302810165510394	4268	tags=52%, list=26%, signal=39%	135/7474/3625/8738/4804/153090/3717/1513/3456/84231/317/9521/84289/6188/7046	ADORA2A/APAF1/CRADD/CTSK/DAB2IP/EEF1E1/IFNB1/ING5/INHBB/JAK2/NGFR/RPS3/TGFBR1/TRAF7/WNT5A	pos.rank
in utero embryonic development	192	-0.378641175927025	-1.40588038789951	0.000999000999000999	0.30802852541983	0.302810165510394	5591	tags=46%, list=33%, signal=31%	9133/79621/650/3549/2294/538/203286/1499/284/6926/5930/157506/7014/648/57680/6608/8178/7157/9817/367/3294/7075/7048/8533/29947/9644/1376/51763/7779/30812/4088/8985/8312/321/2530/84700/4853/5727/4124/1281/23322/54855/2068/81502/598/90/9508/51733/4624/60626/10672/25912/64359/5423/9241/5801/343263/23038/7763/55845/5156/4863/1906/83605/6491/1909/9871/7516/54345/91746/7189/4836/4154/5954/25949/29924/27173/9997/7484/102/80790/8894/65110/84081/29985/4627/2821/7046	C1orf43/ACVR1/ADAM10/ADAMTS3/ANGPT1/ANKS6/APBA2/AR/ATP7A/AXIN1/BCL2L1/BMI1/BMP2/BRK1/NSRP1/CCM2/CCNB2/CHD8/CMIP/COL3A1/COPS3/CPT2/CTNNB1/DNMT3L/EDN1/EDNRA/EIF2S2/ELL/EPN1/ERCC2/TENT5C/FOXF1/FUT8/GNA13/GPI/HM13/HSD17B2/IHH/INPP5K/KEAP1/MAN2A1/MBNL1/MYBPHL/MYH6/MYH9/MYO18B/NMT1/NOG/NOTCH2/NPAT/NXN/PDGFRA/PLOD3/POLB/PTCH1/PTPRR/RBBP6/RCN1/RDH10/RIC8A/RNASEH2B/RPGRIP1L/SCO2/SEC24D/SH3PXD2A/SLC30A1/SLC39A1/SLC39A3/SMAD3/SMO/SOX18/SOX8/STIL/SYF2/TBX3/TERF2/TGFBR1/TGFBR2/TIE1/TRAF6/TP53/UPB1/UPF3A/WDTC1/WNT9B/XRCC2/YTHDC1/ZFAND5	pos.rank
translation	161	-0.373923988663482	-1.37385819064225	0.000999000999000999	0.30802852541983	0.302810165510394	7123	tags=48%, list=43%, signal=28%	6222/60558/7965/64963/6133/51650/64968/646799/6135/1915/10767/23/6228/51264/6175/51081/6160/10987/6182/1979/6193/6170/6171/63931/54460/113251/2935/6146/132864/6205/6187/51258/6223/64506/6150/140801/51373/65003/51318/6166/51023/10643/6122/23708/28998/64969/6164/84545/6143/6206/6158/10318/25929/6124/6169/6183/64960/3035/6234/28973/122704/64146/6123/9521/9045/51253/6134/56478/6188/6231/6191/6129/6142/6235/6210/10056/6204	ABCF1/AIMP2/COPS5/CPEB1/CPEB2/EEF1A1/EEF1E1/EIF4EBP2/EIF4ENIF1/FARSB/GEMIN5/GSPT1/GSPT2/GUF1/HARS1/HBS1L/IGF2BP3/LARP4/MRPL11/MRPL12/MRPL13/MRPL23/MRPL27/MRPL35/MRPL37/MRPL43/MRPL51/MRPL52/MRPS11/MRPS12/MRPS14/MRPS15/MRPS17/MRPS18B/MRPS18C/MRPS21/MRPS33/MRPS5/MRPS6/MRPS7/PDF/RPL10/RPL10L/RPL11/RPL14/RPL18A/RPL19/RPL22/RPL28/RPL3/RPL31/RPL34/RPL36AL/RPL38/RPL39/RPL3L/RPL4/RPL41/RPL7/RPL9/RPLP0/RPS10/RPS11/RPS12/RPS15A/RPS18/RPS19/RPS2/RPS23/RPS26/RPS28/RPS29/RPS3/RPS4X/RPS5/TNIP1/ZAR1L	pos.rank
DNA replication initiation	25	-0.545244542039163	-1.67954247566549	0.00201005025125628	0.414070351758794	0.407055520517568	2056	tags=32%, list=12%, signal=28%	5422/11073/990/5001/8318/898/5558/4175	CCNE1/CDC45/CDC6/MCM6/ORC5/POLA1/PRIM2/TOPBP1	pos.rank
