ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
cortical actin cytoskeleton organization	29	-0.76815178612399	-2.52268172510634	0.00170940170940171	0.792042889390519	0.792042889390519	633	tags=21%, list=3%, signal=20%	112464/1739/5872/3993/91010/30846	DLG1/EHD2/FMNL3/LLGL2/CAVIN3/RAB13	pos.rank
positive regulation of myoblast fusion	16	-0.82350676411907	-2.27236219872064	0.0036563071297989	0.792042889390519	0.792042889390519	2	tags=19%, list=0%, signal=19%	963/1432/30846	CD53/EHD2/MAPK14	pos.rank
camera-type eye morphogenesis	18	-0.6985592946718	-2.01471998747872	0.00723327305605787	0.792042889390519	0.792042889390519	2255	tags=44%, list=12%, signal=39%	1295/7422/55714/357/10220/362/358/7528	AQP1/AQP5/COL8A1/GDF11/SHROOM2/TENM3/VEGFA/YY1	pos.rank
regulation of immune system process	39	-0.569935753850632	-1.99304127175248	0.00350877192982456	0.792042889390519	0.792042889390519	362	tags=13%, list=2%, signal=13%	2678/1089/23119/54414/5671	CEACAM4/GGT1/HIC2/PSG3/SIAE	pos.rank
plasma membrane tubulation	14	-0.739523317449645	-1.97998040039557	0.00723327305605787	0.792042889390519	0.792042889390519	2	tags=14%, list=0%, signal=14%	123720/30846	EHD2/WHAMM	pos.rank
phagosome-lysosome fusion	13	-0.742663697830086	-1.95830668151018	0.0072202166064982	0.792042889390519	0.792042889390519	2526	tags=46%, list=13%, signal=40%	83871/9066/63894/55647/7879/5322	RAB34/PLA2G5/RAB20/RAB7A/SYT7/VIPAS39	pos.rank
arachidonic acid secretion	25	-0.622538313558555	-1.94483303282811	0.00706713780918728	0.792042889390519	0.792042889390519	1793	tags=28%, list=10%, signal=25%	26279/4828/84647/81579/5319/64600/5322	NMB/PLA2G12A/PLA2G12B/PLA2G1B/PLA2G2D/PLA2G2F/PLA2G5	pos.rank
positive regulation by host of viral genome replication	10	-0.783336072872252	-1.92707431799537	0.0055350553505535	0.792042889390519	0.792042889390519	2148	tags=50%, list=11%, signal=44%	53349/64710/1915/5479/64848	EEF1A1/NUCKS1/PPIB/YTHDC2/ZFYVE1	pos.rank
G protein-coupled acetylcholine receptor signaling pathway	15	-0.683526571703221	-1.87562246942581	0.00889679715302491	0.792042889390519	0.792042889390519	1769	tags=40%, list=9%, signal=36%	1132/2782/2776/375790/1128/8851	AGRN/CDK5R1/CHRM1/CHRM4/GNAQ/GNB1	pos.rank
phospholipid metabolic process	49	-0.517373130358845	-1.87083721809109	0.0106007067137809	0.792042889390519	0.792042889390519	1972	tags=24%, list=11%, signal=22%	79948/26279/64748/84647/23659/81579/8611/6622/5319/84513/64600/5322	PLPPR2/PLPPR3/PLA2G12A/PLA2G12B/PLA2G15/PLA2G1B/PLA2G2D/PLA2G2F/PLA2G5/PLPP1/PLPP5/SNCA	pos.rank
positive regulation of calcium ion transport	25	-0.596774913511067	-1.8643472051143	0.0123674911660777	0.792042889390519	0.792042889390519	1561	tags=28%, list=8%, signal=26%	6352/7225/2149/7466/3060/6348/2847	CCL3/CCL5/F2R/HCRT/MCHR1/TRPC6/WFS1	pos.rank
protein kinase C-activating G protein-coupled receptor signaling pathway	27	-0.586154254125546	-1.86275870915554	0.0106382978723404	0.792042889390519	0.792042889390519	1819	tags=37%, list=10%, signal=33%	9463/3351/623/3357/2149/1128/3060/2915/8611/1154	BDKRB1/CHRM1/CISH/F2R/GRM5/HCRT/HTR1B/HTR2B/PICK1/PLPP1	pos.rank
steroid metabolic process	45	0.4862692352583	1.85597926801522	0.0023094688221709	0.792042889390519	0.792042889390519	4156	tags=49%, list=22%, signal=38%	6783/54490/10170/1545/2538/1586/1571/1718/1557/7367/1565/6818/8630/64816/1551/6822/1548/1558/25830/1589/1577/5959	CYP17A1/CYP1B1/CYP21A2/CYP2A6/CYP2C19/CYP2C8/CYP2D6/CYP2E1/CYP3A43/CYP3A5/CYP3A7/DHCR24/DHRS9/G6PC1/HSD17B6/RDH5/SULT1A3/SULT1E1/SULT2A1/SULT4A1/UGT2B17/UGT2B28	pos.rank
