ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
microtubule depolymerization	14	-0.663100769387367	-1.84247095666391	0.00103842159916926	0.739989177489177	0.739989177489177	2912	tags=57%, list=17%, signal=47%	344148/3925/10300/3796/11075/81930/401236/146909	KATNB1/KIF18A/KIF18B/KIF2A/NCKAP5/STMN1/STMN2/STMND1	pos.rank
NAD biosynthesis via nicotinamide riboside salvage pathway	10	-0.679942353364996	-1.76339157540137	0.00108225108225108	0.739989177489177	0.739989177489177	3233	tags=70%, list=19%, signal=57%	54956/83594/5740/84875/83666/9390/4837	NNMT/NUDT12/PARP10/PARP16/PARP9/PTGIS/SLC22A13	pos.rank
box C/D snoRNP assembly	10	-0.673738853625399	-1.74730315389817	0.00108225108225108	0.739989177489177	0.739989177489177	1391	tags=40%, list=8%, signal=37%	121053/6880/54680/26747	NOPCHAP1/NUFIP1/TAF9/ZNHIT6	pos.rank
regulation of phagocytosis	10	-0.671952059487492	-1.74266920557274	0.00108225108225108	0.739989177489177	0.739989177489177	5095	tags=80%, list=30%, signal=56%	949/6850/8877/25875/3055/3685/9066/2268	FGR/HCK/ITGAV/LETMD1/SCARB1/SPHK1/SYK/SYT7	pos.rank
phagosome-lysosome fusion	13	-0.650471005142696	-1.78001170998907	0.00209643605870021	0.972963358235503	0.972963358235504	2930	tags=62%, list=17%, signal=51%	55207/9066/84286/5322/54734/7879/26276/200576	ARL8B/PIKFYVE/PLA2G5/RAB39A/RAB7A/SYT7/TMEM175/VPS33B	pos.rank
neuroepithelial cell differentiation	11	-0.653629088560392	-1.72508934967227	0.00213447171824973	0.972963358235503	0.972963358235504	5292	tags=73%, list=31%, signal=50%	2016/6659/2253/28514/27077/9231/6664/79583	B9D1/DLG5/DLL1/EMX1/FGF8/SOX11/SOX4/TMEM231	pos.rank
glycoprotein biosynthetic process	11	0.58047509033825	1.89605480868436	0.0153846153846154	0.9803064779203	0.9803064779203	7093	tags=100%, list=42%, signal=58%	9334/2650/9215/64090/64083/6483/192134/10318/6484/51146/79690	A4GNT/B3GNT6/B4GALT5/GAL3ST2/GAL3ST4/GCNT1/GOLPH3/LARGE1/ST3GAL2/ST3GAL4/TNIP1	pos.rank
detection of temperature stimulus involved in sensory perception of pain	17	-0.57962538626839	-1.6676745034784	0.00306435137895812	0.9803064779203	0.9803064779203	5194	tags=71%, list=31%, signal=49%	6387/134/6335/4914/11280/55107/10893/56925/59335/2063/7442/4923	ADORA1/ANO1/CXCL12/LXN/MMP24/NR2F6/NTRK1/NTSR1/PRDM12/SCN11A/SCN9A/TRPV1	pos.rank
plasma membrane phospholipid scrambling	13	-0.596037730204813	-1.6310552368543	0.00628930817610063	0.9803064779203	0.9803064779203	3332	tags=62%, list=20%, signal=49%	5359/440026/81037/57048/57088/6521/389158/285973	ATG9B/CLPTM1L/PLSCR1/PLSCR3/PLSCR4/PLSCR5/SLC4A1/TMEM41B	pos.rank
protein acetylation	12	-0.603138984458187	-1.62492472264558	0.00632244467860906	0.9803064779203	0.9803064779203	2902	tags=42%, list=17%, signal=35%	8877/2308/55226/9575/51147	CLOCK/FOXO1/ING4/NAT10/SPHK1	pos.rank
