ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
epithelial cell proliferation	13	-0.647324363254945	-1.7429692467219	0.0031055900621118	0.823863636363636	0.823863636363636	352	tags=69%, list=22%, signal=55%	1956/2173/4851/2255/6489/2683/23385/5663/2719	B4GALT1/EGFR/FABP7/FGF10/GPC3/NCSTN/NOTCH1/PSEN1/ST8SIA1	pos.rank
liver development	13	-0.624682016432972	-1.68200303499789	0.005175983436853	0.823863636363636	0.823863636363636	535	tags=77%, list=33%, signal=52%	54361/4864/100/5589/4124/23705/4851/3482/5310/7049	ADA/CADM1/IGF2R/MAN2A1/NOTCH1/NPC1/PKD1/PRKCSH/TGFBR3/WNT4	pos.rank
chemokine-mediated signaling pathway	18	-0.555818583683132	-1.5928831637192	0.00709939148073022	0.823863636363636	0.823863636363636	269	tags=39%, list=17%, signal=33%	6366/2826/3627/6376/10803/57007/643	ACKR3/CCL21/CCR10/CCR9/CX3CL1/CXCL10/CXCR5	pos.rank
lung development	18	-0.540607552019083	-1.54929088927616	0.0152129817444219	0.823863636363636	0.823863636363636	518	tags=56%, list=32%, signal=38%	4311/7477/7422/93/5156/4851/6469/21/2719/3675	ABCA3/ACVR2B/GPC3/ITGA3/MME/NOTCH1/PDGFRA/SHH/VEGFA/WNT7B	pos.rank
positive regulation of cell-substrate adhesion	11	-0.590037259577333	-1.5441648068296	0.0178571428571429	0.823863636363636	0.823863636363636	510	tags=64%, list=32%, signal=44%	3655/133584/4811/2199/9806/151887/3675	CCDC80/EGFLAM/FBLN2/ITGA3/ITGA6/NID1/SPOCK2	pos.rank
negative regulation of canonical Wnt signaling pathway	15	-0.554719316052467	-1.54179168008697	0.0185185185185185	0.823863636363636	0.823863636363636	320	tags=53%, list=20%, signal=43%	1000/4851/7162/857/6469/8321/6424/2719	CAV1/CDH2/FZD1/GPC3/NOTCH1/SFRP4/SHH/TPBG	pos.rank
heart looping	11	-0.572384667887888	-1.49796685849037	0.0294117647058824	0.823863636363636	0.823863636363636	255	tags=36%, list=16%, signal=31%	2022/4851/6469/5663	ENG/NOTCH1/PSEN1/SHH	pos.rank
vasculogenesis	17	-0.527476057832775	-1.49677531707679	0.0214504596527068	0.823863636363636	0.823863636363636	537	tags=59%, list=33%, signal=40%	8322/10266/4882/7422/7040/2022/857/57007/4915/6469	ACKR3/CAV1/ENG/FZD4/NPR2/NTRK2/RAMP2/SHH/TGFB1/VEGFA	pos.rank
response to bacterium	14	-0.545282920558486	-1.4932820867972	0.0268317853457172	0.823863636363636	0.823863636363636	267	tags=43%, list=17%, signal=36%	9370/2823/857/2213/151887/2719	ADIPOQ/CAV1/CCDC80/FCGR2B/GPC3/GPM6A	pos.rank
regulation of apoptotic process	15	-0.533436585676123	-1.48263827461825	0.0257201646090535	0.823863636363636	0.823863636363636	580	tags=73%, list=36%, signal=47%	3956/1191/811/5245/238/2322/4771/3320/916/3627/8744	ALK/CALR/CD3E/CLU/CXCL10/FLT3/HSP90AA1/LGALS1/NF2/PHB1/TNFSF9	pos.rank
apoptotic signaling pathway	14	-0.532401877973957	-1.45800676562805	0.0392156862745098	0.823863636363636	0.823863636363636	747	tags=93%, list=46%, signal=50%	5027/952/5025/921/54361/4217/940/916/857/83941/6693/6469/5663	CAV1/CD28/CD38/CD3E/CD5/MAP3K5/P2RX4/P2RX7/PSEN1/SHH/SPN/TM2D1/WNT4	pos.rank
positive regulation of Wnt signaling pathway	11	-0.554907002047267	-1.45222670215525	0.0472689075630252	0.823863636363636	0.823863636363636	142	tags=45%, list=9%, signal=42%	7097/57326/6469/23213/55959	PBXIP1/SHH/SULF1/SULF2/TLR2	pos.rank
digestive tract development	10	-0.567305600043249	-1.44829784394221	0.0468085106382979	0.823863636363636	0.823863636363636	522	tags=60%, list=32%, signal=41%	7043/3815/6522/887/5310/56034	CCKBR/KIT/PDGFC/PKD1/SLC4A2/TGFB3	pos.rank
Notch signaling pathway	20	-0.49358565782293	-1.44674340416833	0.0261044176706827	0.823863636363636	0.823863636363636	539	tags=55%, list=33%, signal=37%	650/92737/182/6400/4851/1004/102/1903/23385/5663/5664	ADAM10/BMP2/CDH6/DNER/JAG1/NCSTN/NOTCH1/PSEN1/PSEN2/S1PR3/SEL1L	pos.rank
intracellular sodium ion homeostasis	12	-0.5442874539258	-1.44619552348478	0.0520833333333333	0.823863636363636	0.823863636363636	603	tags=75%, list=37%, signal=47%	6340/476/481/6337/6558/6507/6548/6546/482	ATP1A1/ATP1B1/ATP1B2/SCNN1A/SCNN1G/SLC12A2/SLC1A3/SLC8A1/SLC9A1	pos.rank
regulation of postsynapse organization	12	-0.544088111059139	-1.44566586078665	0.0520833333333333	0.823863636363636	0.823863636363636	525	tags=50%, list=33%, signal=34%	4920/8828/102/2693/7476/5663	ADAM10/GHSR/NRP2/PSEN1/ROR2/WNT7A	pos.rank
positive regulation of interleukin-2 production	12	-0.542715064755975	-1.44201761682502	0.0520833333333333	0.823863636363636	0.823863636363636	514	tags=58%, list=32%, signal=40%	79679/5788/301/920/940/9308/916	ANXA1/CD28/CD3E/CD4/CD83/PTPRC/VTCN1	pos.rank
branching involved in blood vessel morphogenesis	10	-0.56330522334132	-1.43808511741189	0.05	0.823863636363636	0.823863636363636	416	tags=50%, list=26%, signal=37%	7422/2022/6469/4855/90	ACVR1/ENG/NOTCH4/SHH/VEGFA	pos.rank
antigen processing and presentation of exogenous peptide antigen via MHC class II	11	-0.547018956763777	-1.43158318901479	0.0514705882352941	0.823863636363636	0.823863636363636	305	tags=45%, list=19%, signal=37%	1515/3119/3117/2213/3108	CTSV/FCGR2B/HLA-DQA1/HLA-DQB1/HLA-DMA	pos.rank
T cell proliferation	11	-0.546875018433668	-1.43120649330601	0.0514705882352941	0.823863636363636	0.823863636363636	90	tags=36%, list=6%, signal=35%	7293/6693/6469/23385	NCSTN/SHH/SPN/TNFRSF4	pos.rank
endodermal cell differentiation	10	-0.560039663848881	-1.4297483360161	0.0521276595744681	0.823863636363636	0.823863636363636	188	tags=40%, list=12%, signal=36%	3693/2335/1303/4324	COL12A1/FN1/ITGB5/MMP15	pos.rank
response to glucose	10	-0.559227278883923	-1.42767436496221	0.0531914893617021	0.823863636363636	0.823863636363636	508	tags=60%, list=31%, signal=41%	1292/125111/93/9370/6198/6443	ACVR2B/ADIPOQ/COL6A2/GJD3/RPS6KB1/SGCB	pos.rank
xenobiotic metabolic process	12	-0.535406120766441	-1.42259743360598	0.0604166666666667	0.823863636363636	0.823863636363636	558	tags=58%, list=35%, signal=38%	57552/100/6579/1244/2030/9153/5243	ABCB1/ABCC2/ADA/NCEH1/SLC28A2/SLC29A1/SLCO1A2	pos.rank
spermatogenesis	37	-0.444510699956734	-1.41706960520077	0.012987012987013	0.823863636363636	0.823863636363636	542	tags=51%, list=34%, signal=35%	811/1268/10461/3815/4882/6522/1636/53340/558/23705/4735/353189/3973/4851/3482/2583/2492/2693/6098	ACE/AXL/B4GALNT1/CADM1/CALR/CNR1/FSHR/GHSR/IGF2R/KIT/LHCGR/MERTK/NOTCH1/NPR2/ROS1/SEPTIN2/SLC4A2/SLCO4C1/SPA17	pos.rank
extracellular matrix disassembly	13	-0.525702367287608	-1.41549292923852	0.0486542443064182	0.823863636363636	0.823863636363636	375	tags=54%, list=23%, signal=42%	1991/4316/1515/102/3915/57326/4324	ADAM10/CTSV/ELANE/LAMC1/MMP15/MMP7/PBXIP1	pos.rank
positive regulation of BMP signaling pathway	11	-0.539174994644883	-1.41105504430275	0.0598739495798319	0.823863636363636	0.823863636363636	366	tags=55%, list=23%, signal=42%	4756/222663/2022/4851/23213/2719	ENG/GPC3/NEO1/NOTCH1/SCUBE3/SULF1	pos.rank
epithelial to mesenchymal transition	18	-0.485983691459835	-1.3927480345094	0.0456389452332657	0.823863636363636	0.823863636363636	546	tags=61%, list=34%, signal=41%	4017/650/54361/10155/25800/7040/2260/2022/4851/4855/7049	BMP2/ENG/FGFR1/LOXL2/NOTCH1/NOTCH4/SLC39A6/TGFB1/TGFBR3/TRIM28/WNT4	pos.rank
