ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
cytoplasmic translation	86	-0.813157186679283	-2.85483533802363	0.000999000999000999	0.0360376114825327	0.0333465256247872	1781	tags=85%, list=11%, signal=76%	6135/6159/6230/6232/6301/6176/6136/6144/6231/6158/6161/6122/10399/6217/6168/6193/6160/6173/6224/11224/6169/6165/6229/6142/6156/9045/6147/6125/6134/6187/6233/6205/6137/6234/7311/6202/6143/6228/4736/6188/6124/6206/6222/6201/6129/6223/6167/6164/6203/6189/6227/25873/6209/6210/6235/6194/6204/6139/6138/6208/9349/6133/6181/6128/6191/6207/6175/3921/6157/6141/2197/6154/6132	FAU/RACK1/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL23A/RPL26/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL37/RPL37A/RPL38/RPL4/RPL5/RPL6/RPL7/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/SARS1/UBA52	pos.rank
ribosomal small subunit biogenesis	69	-0.763169499959402	-2.62996718240701	0.000999000999000999	0.0360376114825327	0.0333465256247872	1641	tags=81%, list=10%, signal=73%	6230/6232/9277/9790/6838/55226/10436/84128/55813/83732/27292/25983/10885/134430/10607/91582/84135/56902/4869/30836/10199/2091/51602/51118/6217/6193/10528/57647/92856/6229/9136/84916/64434/6205/4809/6234/27341/8602/51096/6202/5394/6228/11103/6206/6201/6223/6203/6189/6209/6210/6194/23160/6208/6191/6207/55127	BMS1/UTP4/DHX37/DIMT1/DNTTIP2/EMG1/EXOSC10/FBL/HEATR1/IMP4/KRR1/MPHOSPH10/NAT10/NGDN/SNU13/NOM1/NOP14/NOP56/NOP58/NPM1/PNO1/RIOK1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS19/RPS19BP1/RPS23/RPS24/RPS25/RPS27/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RRP7A/RRP9/SURF6/TBL3/UTP11/UTP15/UTP18/UTP6/WDR3/WDR36/WDR43/WDR46/WDR75	pos.rank
rRNA processing	111	-0.687754958605127	-2.45949468860891	0.000999000999000999	0.0360376114825327	0.0333465256247872	1791	tags=65%, list=11%, signal=58%	9221/6135/84881/51119/55299/6230/55035/54555/6232/10813/54512/22894/317781/1662/1736/27043/28987/29997/10436/10969/22803/84128/11137/65080/25879/134430/51010/705/84135/79050/51202/23404/51367/2091/10248/10775/51575/51154/54663/51602/51118/10557/29102/6217/10528/92856/6165/55661/6229/9045/9136/6125/8568/22984/23223/56915/57418/6234/27341/8602/51096/5394/11103/6201/6129/6223/9775/6209/23517/6194/56342/6154	BRIX1/BYSL/DCAF13/DDX10/DDX27/DDX47/DDX49/DDX51/DIS3/DKC1/DROSHA/EBNA1BP2/EIF4A3/EMG1/ESF1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/EXOSC5/FBL/NOP53/IMP4/KRR1/MRPL44/MRTO4/NOB1/NOC4L/NOL8/NOLC1/NOP14/NOP56/NOP58/PDCD11/PELP1/POP4/POP5/POP7/PPAN/PWP1/RPL11/RPL14/RPL26/RPL35A/RPL5/RPL7/RPP38/RPS15/RPS16/RPS19/RPS24/RPS25/RPS27/RPS28/RPS6/RPS7/RPUSD4/RRP1/RRP12/RRP7A/RRP9/SBDS/MTREX/UTP11/UTP14A/UTP15/UTP18/WDR18/WDR36/WDR74/WDR75/XRN2	pos.rank
translation	161	-0.656540351255608	-2.41348407475775	0.000999000999000999	0.0360376114825327	0.0333465256247872	2680	tags=68%, list=16%, signal=58%	55168/10573/64960/80315/79590/7965/64983/646799/51650/6166/51067/27161/6135/6159/51065/118672/6230/29093/122704/6232/28998/326340/64969/54460/6301/6176/64146/124995/10056/6136/84545/25929/51253/9521/11222/29074/1615/6144/6231/51187/6183/6182/64975/6158/23/6161/6122/6217/6168/6193/64979/6160/6173/6224/11224/6169/6165/3035/6229/6142/2935/6156/9045/6147/6125/6134/6187/6233/6205/6137/6234/6202/6143/6228/4736/6188/6124/6206/6222/6201/6129/1915/6223/6167/6164/6203/6189/6227/25873/6209/6210/6235/6194/6204/6139/6138/6208/9349/6133/6181/6128/6191/6207/6175/3921/6157/6141/2197/6154/6132	ABCF1/AGO2/AIMP2/CPEB4/DARS1/EEF1A1/EEF1E1/FARSB/FAU/GEMIN5/GSPT1/HARS1/MRPL10/MRPL12/MRPL13/MRPL18/MRPL22/MRPL24/MRPL28/MRPL3/MRPL32/MRPL36/MRPL37/MRPL41/MRPL43/MRPL52/MRPS12/MRPS15/MRPS18A/MRPS21/MRPS33/MRPS5/PDF/PSTK/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL23A/RPL26/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL4/RPL5/RPL6/RPL7/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/SARS1/YARS2/ZAR1/ZAR1L	pos.rank
positive regulation of telomerase RNA localization to Cajal body	13	-0.870261802377933	-2.36249082594323	0.00103305785123967	0.0360376114825327	0.0333465256247872	1464	tags=92%, list=9%, signal=84%	10694/22948/8607/1736/55505/92345/10576/6950/55651/10856/10574/10575	CCT2/CCT4/CCT5/CCT7/CCT8/DKC1/NAF1/NHP2/NOP10/RUVBL1/RUVBL2/TCP1	pos.rank
maturation of SSU-rRNA	18	-0.81432072593976	-2.35669825916542	0.00101214574898785	0.0360376114825327	0.0333465256247872	1188	tags=78%, list=7%, signal=72%	153443/11157/28987/83732/10885/25926/10199/92856/84916/4809/6234/8602/6223/6208	UTP4/IMP4/LSM6/MPHOSPH10/SNU13/NOB1/NOL11/NOP14/RIOK1/RPS14/RPS19/RPS28/SRFBP1/WDR3	pos.rank
U2-type prespliceosome assembly	24	-0.760216179227769	-2.30657732125858	0.00100502512562814	0.0360376114825327	0.0333465256247872	1820	tags=79%, list=11%, signal=71%	6627/10291/8175/51634/10262/6637/27336/6635/84811/10946/6633/79753/6628/10992/23451/23450/6636/83443/84844	BUD13/HTATSF1/PHF5A/RBMX2/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SNIP1/SNRPA1/SNRPB/SNRPD2/SNRPE/SNRPF/SNRPG	pos.rank
ribosomal large subunit assembly	20	-0.778128566365449	-2.29050013586655	0.00100806451612903	0.0360376114825327	0.0333465256247872	1781	tags=80%, list=11%, signal=72%	6135/55299/29997/23246/4839/51154/55052/84154/23212/54475/6147/6125/6134/56342/6128/6175	BOP1/BRIX1/NOP53/MRPL20/MRTO4/NLE1/NOP2/PPAN/RPF2/RPL10/RPL11/RPL23A/RPL5/RPL6/RPLP0/RRS1	pos.rank
ribosomal large subunit biogenesis	30	-0.721414969755865	-2.2724946823635	0.001	0.0360376114825327	0.0333465256247872	1781	tags=70%, list=11%, signal=63%	6135/6838/10969/55003/26155/23560/4869/51187/51154/54663/51491/55153/84154/6165/23212/9045/6125/220064/6129/51388/6154	EBNA1BP2/GTPBP4/MRTO4/NIP7/NOC2L/NOP16/NPM1/LTO1/PAK1IP1/RPF2/RPL11/RPL14/RPL26/RPL35A/RPL5/RPL7/RRS1/RSL24D1/SDAD1/SURF6/WDR74	pos.rank
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	23	-0.751253521145266	-2.26013837210773	0.00100502512562814	0.0360376114825327	0.0333465256247872	3454	tags=91%, list=21%, signal=73%	85395/2068/88745/5822/90121/27042/9277/9790/55720/55813/25879/25983/705/6217/57647/84916/8602/6202/6223/23160/55127	BMS1/BYSL/UTP4/DCAF13/DHX37/UTP25/ERCC2/SLX9/HEATR1/NGDN/NOP14/PWP2/RPS16/RPS19/RPS8/RRP36/TSR1/TSR2/UTP6/WDR43/WDR46	pos.rank
