ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
cytoplasmic translation	86	-0.741933643898632	-2.61883796175525	0.000999000999000999	0.0938375350140056	0.0884195783576588	1532	tags=77%, list=9%, signal=70%	6170/6231/6155/4736/4733/7311/11224/6301/6147/6228/6232/6156/6160/6222/6130/6173/6224/6187/6158/6206/25873/6175/6169/6229/6165/6189/6152/6137/9045/6132/6193/6176/6203/6217/6161/6144/6201/6205/6233/6129/6194/6208/6227/6235/6125/6133/6234/6164/6124/6167/6143/6209/6128/6188/6138/9349/6181/6191/3921/6139/6207/6204/6202/6141/6157/2197	DRG1/FAU/RPL10A/RPL13/RPL14/RPL15/RPL17/RPL18/RPL19/RPL21/RPL23/RPL23A/RPL24/RPL27/RPL27A/RPL28/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL37/RPL38/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS16/RPS18/RPS2/RPS20/RPS21/RPS23/RPS24/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/SARS1/UBA52	pos.rank
ribosomal small subunit biogenesis	69	-0.650705012861369	-2.25886274267382	0.000999000999000999	0.0938375350140056	0.0884195783576588	1015	tags=59%, list=6%, signal=56%	10436/56902/5822/9790/6228/6232/30836/65083/23160/57647/134430/83732/8602/27341/55272/6206/91582/6229/5394/84916/51602/6189/27292/92856/64434/6193/6203/6217/6201/6205/11103/6194/6208/55127/6234/9136/6209/4809/6191/6207/6202	BMS1/UTP4/DHX37/DIMT1/DNTTIP2/EMG1/EXOSC10/HEATR1/IMP3/IMP4/KRR1/SNU13/NOL6/NOM1/NOP14/NOP58/PNO1/PWP2/RIOK1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS16/RPS19BP1/RPS23/RPS24/RPS27/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RRP7A/RRP9/WDR36/WDR43	pos.rank
translation	161	-0.587820638837713	-2.1633669350138	0.000999000999000999	0.0938375350140056	0.0884195783576588	4314	tags=70%, list=26%, signal=52%	6142/51318/10056/64960/79590/55005/7453/6171/11222/23/6182/6223/28973/51081/6218/65003/5610/6136/1725/6122/118672/51023/54460/22849/6150/6166/6230/1915/6168/2935/25929/51247/64745/6170/10573/6231/6155/4736/11224/6301/6147/51253/6228/6232/6156/51258/64983/6183/27161/6160/6222/6130/6173/6224/6187/3035/1615/6158/64979/6206/65005/29093/25873/124995/55168/6175/6169/6229/6165/6189/6152/6137/122704/9045/51187/6132/6193/6176/6203/6217/6161/6144/6201/6205/6233/6129/6194/6208/6227/6235/6125/6133/6234/6164/6124/6167/6143/6209/6128/6188/6138/9349/6181/6191/3921/6139/6207/6204/6202/6141/6157/2197	ABCF1/AGO2/CPEB3/DARS1/DHPS/EEF1A1/EIF2AK2/FARSB/FAU/GEMIN5/GSPT1/HARS1/METTL17/MRPL10/MRPL11/MRPL12/MRPL22/MRPL23/MRPL24/MRPL28/MRPL3/MRPL32/MRPL35/MRPL36/MRPL37/MRPL51/MRPL52/MRPL9/MRPS12/MRPS15/MRPS18A/MRPS18B/MRPS18C/MRPS21/MRPS7/PAIP2/PSTK/RMND1/RPL10A/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL23A/RPL24/RPL27/RPL27A/RPL28/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/SARS1/WARS1	pos.rank
ribosomal large subunit assembly	20	-0.713363373523936	-2.14872739784341	0.00101419878296146	0.0938375350140056	0.0884195783576588	2074	tags=70%, list=12%, signal=61%	84154/29997/84231/6147/4839/54475/6175/23195/55052/6152/56342/23212/6125/6128	NOP53/MDN1/MRPL20/NLE1/NOP2/PPAN/RPF2/RPL23A/RPL24/RPL5/RPL6/RPLP0/RRS1/TRAF7	pos.rank
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	23	-0.663143708733284	-2.03268169840408	0.00101112234580384	0.0938375350140056	0.0884195783576588	1276	tags=61%, list=8%, signal=56%	2068/25879/5822/27042/9790/705/23160/57647/8602/84916/55720/6217/55127/6202	BMS1/BYSL/UTP4/DCAF13/DHX37/UTP25/ERCC2/HEATR1/NOP14/PWP2/RPS16/RPS8/TSR1/WDR43	pos.rank
telomere organization	23	-0.662769592468835	-2.03153494955642	0.00101112234580384	0.0938375350140056	0.0884195783576588	4593	tags=83%, list=28%, signal=60%	8364/3021/8358/8360/8294/84444/3020/8354/8363/8365/8350/8362/8366/8968/8361/8353/8351/8357/8355	DOT1L/H3-3A/H3-3B/H3C1/H3C2/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H4C2/H4C3/H4C4/H4C6/H4C8/H4C9/H4C11/H4C12	pos.rank
rRNA processing	111	-0.555123965483246	-1.99917477646791	0.000999000999000999	0.0938375350140056	0.0884195783576588	3725	tags=63%, list=22%, signal=49%	6223/84135/23223/54606/23481/55661/6218/23016/84881/51013/22894/5393/88745/54512/56915/130916/55646/23517/6230/55011/64282/9221/51729/10360/79039/29997/6155/10813/51575/317781/11137/22984/10557/65080/25879/5303/10436/6232/8568/65083/29102/705/10969/79050/51202/134430/8602/27341/55272/6229/6165/1736/5394/51602/9775/54663/92856/9045/56342/6217/6201/57418/6129/11103/6194/10248/6125/6234/9136/6209	BYSL/DCAF13/DDX27/DDX47/DDX51/DDX54/DDX56/DIS3/DKC1/DROSHA/EBNA1BP2/EIF4A3/EMG1/ESF1/EXOSC1/EXOSC10/EXOSC4/EXOSC5/EXOSC7/EXOSC9/NOP53/IMP3/IMP4/KRR1/LYAR/MRPL44/MTERF4/NOC4L/NOL6/NOLC1/NOP14/NOP58/NPM3/TENT4B/PDCD11/PES1/PIH1D1/PIN4/POP7/PPAN/PWP1/RPL14/RPL27/RPL35A/RPL5/RPL7/RPP38/RPS15/RPS16/RPS17/RPS19/RPS24/RPS25/RPS27/RPS28/RPS6/RPS7/RPUSD4/RRP1/RRP12/RRP36/RRP7A/RRP9/MTREX/UTP14A/UTP15/WBP11/WDR18/WDR36/WDR74	pos.rank
tRNA aminoacylation for protein translation	17	-0.678379416697433	-1.98468989547029	0.00102040816326531	0.0938375350140056	0.0884195783576588	2708	tags=71%, list=16%, signal=59%	5859/2617/55699/23395/10352/92935/3376/16/57038/3035/7407/4141	AARS1/GARS1/HARS1/IARS1/IARS2/LARS2/MARS1/MARS2/QARS1/RARS2/VARS1/WARS2	pos.rank
rRNA transcription	13	-0.715407853620095	-1.98113351798755	0.00105042016806723	0.0938375350140056	0.0884195783576588	4701	tags=85%, list=28%, signal=61%	283/284119/10849/84365/10360/10927/2972/2971/2975/84172/4141	ANG/BRF1/POLR1G/GTF3A/GTF3C1/MARS1/NIFK/NPM3/POLR1B/CAVIN1/SPIN1	pos.rank
regulation of DNA strand elongation	15	-0.691787147006538	-1.97590468458895	0.00103305785123967	0.0938375350140056	0.0884195783576588	2489	tags=73%, list=15%, signal=62%	7528/64710/54617/51377/125476/8607/93973/29844/4798/86/10856	ACTL6A/ACTR8/INO80/INO80C/NFRKB/NUCKS1/RUVBL1/RUVBL2/TFPT/UCHL5/YY1	pos.rank
