ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Ribosome biogenesis in eukaryotes	74	-0.517968520426716	-1.80620707328457	0.000999000999000999	0.0851648351648352	0.0830748199169252	3971	tags=57%, list=24%, signal=43%	55651/10607/51068/51602/4931/55127/10528/83732/22803/51077/81691/55916/10556/29889/166378/10436/84135/29102/2091/65083/10775/10885/56000/55813/79631/51096/10813/7514/1736/4809/10557/5822/55505/1457/134430/138716/51119/84916/27341/55781/55272/5901	REXO5/UTP4/CSNK2A1/DKC1/DROSHA/EFL1/EMG1/FBL/FCF1/GNL2/HEATR1/IMP3/NHP2/SNU13/NMD3/NOL6/NOP10/NOP56/NOP58/NVL/NXF3/NXT2/POP4/PWP2/RAN/RIOK1/RIOK2/RPP25L/RPP30/RPP38/RRP7A/SBDS/AFG2A/TBL3/UTP14A/UTP15/UTP18/UTP6/WDR3/WDR36/XPO1/XRN2	pos.rank
Ribosome	112	-0.475108884544875	-1.70022975307266	0.000999000999000999	0.0851648351648352	0.0830748199169252	4994	tags=56%, list=30%, signal=40%	6234/29093/9801/51069/64979/64983/9553/6161/10573/63875/51073/6159/6201/63931/6204/2197/6208/6134/51116/6182/6166/6227/6188/6139/6137/51081/11224/6191/29088/55173/6168/6222/54460/51318/64968/6143/51065/6130/6206/6154/9045/6152/6229/6207/3921/6210/6175/6202/6193/6144/6155/6218/6173/6142/6160/6122/6129/4736/6217/6209/6187/6205/6167	FAU/MRPL12/MRPL15/MRPL17/MRPL19/MRPL2/MRPL22/MRPL28/MRPL32/MRPL33/MRPL35/MRPL36/MRPL4/MRPS10/MRPS14/MRPS2/MRPS21/MRPS6/MRPS7/RPL10/RPL10A/RPL13/RPL14/RPL17/RPL18A/RPL19/RPL21/RPL24/RPL26/RPL27/RPL29/RPL3/RPL31/RPL32/RPL35/RPL36A/RPL36AL/RPL37/RPL37A/RPL7/RPL7A/RPLP0/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS2/RPS21/RPS24/RPS27L/RPS28/RPS3/RPS4X/RPS5/RPS7/RPS8/RPSA	pos.rank
Spliceosome	123	-0.419195757071913	-1.50915532559958	0.000999000999000999	0.0851648351648352	0.0830748199169252	4147	tags=45%, list=25%, signal=34%	153527/23451/6434/83443/51362/1665/988/1655/10713/23658/7307/5093/84844/6634/55110/4670/1659/22938/6100/6426/9129/6428/8559/10946/10084/3312/84321/6632/8896/4809/51639/55660/6637/10450/27258/57461/10772/51690/25804/84991/6633/58517/9939/11017/9343/10285/10594/57819/9984/10291/6635/57187/3190/22916/23450	SF3B6/BUD31/CDC40/CDC5L/DDX5/DHX15/DHX8/EFTUD2/HNRNPK/HNRNPM/HSPA8/ISY1/LSM2/LSM3/LSM4/LSM5/LSM7/MAGOHB/NCBP2/SNU13/PCBP1/PHF5A/PPIE/PQBP1/PRPF18/PRPF3/PRPF40A/PRPF8/RBM17/RBM25/RBM8A/RP9/SF3A1/SF3A3/SF3B1/SF3B3/SF3B5/SMNDC1/SNRNP27/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPG/SNW1/SRSF1/SRSF10/SRSF3/THOC1/THOC2/THOC3/TRA2B/U2AF1/USP39/ZMAT2	pos.rank
Coronavirus disease - COVID-19	200	-0.394422534045899	-1.45272876422181	0.000999000999000999	0.0851648351648352	0.0830748199169252	3521	tags=36%, list=21%, signal=29%	6159/2353/6201/4793/3456/1839/59272/6204/2197/5601/731/6208/6134/6166/1956/6772/6227/6188/729/57506/6868/712/717/3569/2212/6139/7124/6137/2266/2162/735/7099/11224/6191/1636/8517/6168/5610/6885/6222/6143/51065/6130/3454/7098/6206/6154/9045/6152/29110/6229/6207/3921/6210/3558/6175/6202/6193/6144/6155/6218/6173/6142/6160/6122/6129/4736/6217/6209/6187/6205/6167	ACE/ACE2/ADAM17/C1QA/C2/C6/C8A/C9/EGFR/EIF2AK2/F13A1/FAU/FCGR2A/FGG/FOS/HBEGF/IFNAR1/IFNB1/IKBKG/IL2/IL6/MAP3K7/MAPK9/MAVS/NFKBIB/RPL10/RPL10A/RPL13/RPL14/RPL17/RPL18A/RPL19/RPL21/RPL24/RPL26/RPL27/RPL29/RPL3/RPL31/RPL35/RPL36A/RPL36AL/RPL37/RPL37A/RPL7/RPL7A/RPLP0/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS2/RPS21/RPS24/RPS27L/RPS3/RPS4X/RPS5/RPS7/RPS8/RPSA/STAT1/TBK1/TLR3/TLR4/TNF	pos.rank
Proteasome	46	-0.483758304244385	-1.61509170332568	0.001998001998002	0.113553113553114	0.1107664265559	4303	tags=48%, list=26%, signal=36%	5719/5684/5720/143471/5698/5682/5699/5714/5700/5709/5702/10213/10197/5685/51371/5687/5683/9491/5695/5691/5713/5690	POMP/PSMA1/PSMA2/PSMA3/PSMA4/PSMA6/PSMA8/PSMB10/PSMB2/PSMB3/PSMB7/PSMB9/PSMC1/PSMC3/PSMD13/PSMD14/PSMD3/PSMD7/PSMD8/PSME1/PSME3/PSMF1	pos.rank
Cell cycle	155	-0.355016609283414	-1.2942843531169	0.001998001998002	0.113553113553114	0.1107664265559	6214	tags=48%, list=37%, signal=30%	23047/5933/4173/8555/9088/4999/10926/1111/5518/5515/9134/29945/51433/7043/701/29882/5516/3066/2932/1030/4087/90381/890/10971/4998/1017/114799/10459/119504/11200/896/7042/4174/4193/1869/5527/8243/996/546/5000/7040/7272/7531/5591/4088/7532/5001/1031/6500/4172/151648/1875/5528/8881/7027/51529/57082/25836/5885/113130/545/23595/8697/10403/902/9978/157570/1022/8379/995/5111/27127/4085/983	ANAPC11/ANAPC16/ANAPC2/ANAPC4/ANAPC5/ATR/ATRX/BUB1B/KNL1/CCNA2/CCND3/CCNE2/CCNH/CDC14B/CDC16/CDC23/CDC25C/CDC27/CDCA5/CDK1/CDK2/CDK7/CDKN2B/CDKN2C/CHEK1/CHEK2/DBF4/E2F1/E2F5/ESCO1/ESCO2/GSK3B/HDAC2/MAD1L1/MAD2L1/MAD2L2/MCM3/MCM4/MCM5/MDM2/NDC80/NIPBL/ORC1/ORC2/ORC3/ORC4/ORC5/PCNA/PDS5B/PKMYT1/PPP2CA/PPP2CB/PPP2R1A/PPP2R5C/PPP2R5D/PRKDC/RAD21/RBL1/RBX1/SGO1/SKP1/SMAD2/SMAD3/SMC1A/SMC1B/TFDP1/TGFB1/TGFB2/TGFB3/TICRR/TTK/YWHAE/YWHAG/YWHAQ	pos.rank
Epithelial cell signaling in Helicobacter pylori infection	68	-0.427448609750672	-1.48174422536582	0.002997002997003	0.145996860282575	0.142413977000443	4426	tags=44%, list=27%, signal=32%	4792/534/3725/4067/90423/50848/8992/1839/155066/523/5601/1956/527/6868/58494/51606/2921/1445/4233/8517/50617/3577/3579/6416/5781/998/526/51382/9114/9550	ADAM17/ATP6V0A4/ATP6V0C/ATP6V0D1/ATP6V0E1/ATP6V0E2/ATP6V1A/ATP6V1B2/ATP6V1D/ATP6V1E2/ATP6V1G1/ATP6V1G2/ATP6V1H/CDC42/CSK/CXCL3/CXCR1/CXCR2/EGFR/F11R/HBEGF/IKBKG/JAM2/JUN/LYN/MAP2K4/MAPK9/MET/NFKBIA/PTPN11	pos.rank
Ferroptosis	39	-0.474861427254057	-1.56066651854628	0.003996003996004	0.17032967032967	0.16614963983385	3964	tags=46%, list=24%, signal=35%	55240/3162/2512/5621/5093/64116/7018/51703/9474/6303/246/7037/1356/2182/2730/4891/2729/2879	ACSL4/ACSL5/ALOX15/ATG5/CP/FTL/GCLC/GCLM/GPX4/HMOX1/PCBP1/PRNP/SAT1/SLC11A2/SLC39A8/STEAP3/TFRC/TF	pos.rank
Synaptic vesicle cycle	74	-0.402107598529104	-1.40218866599538	0.004995004995005	0.189255189255189	0.1846107109265	4665	tags=42%, list=28%, signal=30%	5864/534/774/6531/57084/6570/90423/8992/155066/523/246213/160/527/1173/1212/1213/6506/51606/10497/2054/50617/1211/4905/26052/1785/526/163/51382/9114/9550/1175	AP2A1/AP2B1/AP2M1/AP2S1/ATP6V0A4/ATP6V0C/ATP6V0D1/ATP6V0E1/ATP6V0E2/ATP6V1A/ATP6V1B2/ATP6V1D/ATP6V1E2/ATP6V1G1/ATP6V1G2/ATP6V1H/CACNA1B/CLTA/CLTB/CLTC/DNM2/DNM3/NSF/RAB3A/SLC17A6/SLC17A8/SLC18A1/SLC1A2/SLC6A3/STX2/UNC13B	pos.rank
Vibrio cholerae infection	48	-0.439143153398273	-1.47006207385939	0.007	0.2387	0.232842105263158	3664	tags=42%, list=22%, signal=33%	90423/9414/8992/155066/523/527/11014/29927/23480/55176/51606/50617/6558/5566/375/10945/526/51382/9114/9550	ARF1/ATP6V0A4/ATP6V0C/ATP6V0D1/ATP6V0E1/ATP6V0E2/ATP6V1A/ATP6V1B2/ATP6V1D/ATP6V1E2/ATP6V1G1/ATP6V1H/KDELR1/KDELR2/PRKACA/SEC61A1/SEC61A2/SEC61G/SLC12A2/TJP2	pos.rank
