ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Terpenoid backbone biosynthesis	23	-0.584986271810267	-1.7636122842721	0.00201409869083585	0.038044086382455	0.0330971773172441	4600	tags=70%, list=24%, signal=53%	9986/79947/9453/3158/3157/116150/4598/91734/39/2342/4597/3156/38/2339/2224/100529261	ACAT1/ACAT2/CHURC1-FNTB/DHDDS/FDPS/FNTA/FNTB/GGPS1/HMGCR/HMGCS1/HMGCS2/IDI2/MVD/MVK/NUS1/RCE1	pos.rank
Ribosome biogenesis in eukaryotes	74	-0.499210006336648	-1.73383068156914	0.000999000999000999	0.038044086382455	0.0330971773172441	1781	tags=43%, list=9%, signal=39%	6949/56000/65083/10799/55226/9790/92856/10940/10528/51119/134430/51602/54433/23560/55505/2091/25996/27341/26354/51096/51068/7514/55781/55651/54552/10556/55272/1736/84135/10436/10248/5822	BMS1/DKC1/EMG1/FBL/GAR1/GNL3/GNL3L/GTPBP4/IMP3/IMP4/NAT10/NHP2/NMD3/NOL6/NOP10/NOP56/NOP58/NXF3/POP1/POP7/PWP2/REXO2/RIOK2/RPP30/RPP40/RRP7A/SBDS/TCOF1/UTP15/UTP18/WDR36/XPO1	pos.rank
Aminoacyl-tRNA biosynthesis	42	-0.521366761361552	-1.70384635708827	0.002002002002002	0.038044086382455	0.0330971773172441	1639	tags=40%, list=9%, signal=37%	6897/123263/6301/1615/3035/10056/5917/16/124454/55699/2617/3376/2193/51520/7453/118672/4141	AARS1/DARS1/EARS2/FARSA/FARSB/GARS1/HARS1/IARS1/IARS2/LARS1/MARS1/MTFMT/PSTK/RARS1/SARS1/TARS1/WARS1	pos.rank
Antifolate resistance	30	-0.534595052038711	-1.68016284273885	0.00200400801603206	0.038044086382455	0.0330971773172441	6873	tags=73%, list=36%, signal=47%	10057/2352/113235/4524/8836/4363/3569/6573/200895/6470/6472/3551/3553/471/9429/2356/4790/7298/1147/1719/2618/5970	ABCC1/ABCC5/ABCG2/ATIC/CHUK/DHFR/DHFR2/FOLR3/FPGS/GART/GGH/IKBKB/IL1B/IL6/MTHFR/NFKB1/RELA/SHMT1/SHMT2/SLC19A1/SLC46A1/TYMS	pos.rank
Basal transcription factors	43	-0.510556759772601	-1.67425913560485	0.00200400801603206	0.038044086382455	0.0330971773172441	2207	tags=42%, list=12%, signal=37%	1022/2965/4331/387332/2968/6873/6877/6881/6883/6882/6884/2957/2068/83860/6872/6874/902/6878	CCNH/CDK7/ERCC2/GTF2A1/GTF2H1/GTF2H4/MNAT1/TAF1/TAF10/TAF11/TAF12/TAF13/TAF2/TAF3/TAF4/TAF5/TAF6/TBPL2	pos.rank
Ribosome	134	-0.453094233478734	-1.63915300965035	0.000999000999000999	0.038044086382455	0.0330971773172441	4728	tags=49%, list=25%, signal=37%	6134/6142/6156/7311/6166/23521/3921/6130/6138/51069/6164/6155/9349/6218/4736/54460/6203/6136/51263/6147/6122/29093/65008/25873/2197/6143/6232/6141/6187/6202/6150/6204/6125/6154/6146/9045/6224/6137/51065/6191/6152/6230/6231/100529239/6139/51121/6181/6175/6144/6228/6223/6167/100526842/6222/6207/6158/6206/6160/6169/6135/6132/6205/6194/6128/6229	FAU/MRPL1/MRPL2/MRPL22/MRPL23/MRPL30/MRPS21/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL17-C18orf32/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL28/RPL3/RPL30/RPL31/RPL34/RPL36/RPL36AL/RPL37/RPL38/RPL5/RPL6/RPL7A/RPL8/RPLP0/RPLP2/RPS10/RPS10-NUDT3/RPS11/RPS12/RPS13/RPS17/RPS18/RPS19/RPS2/RPS20/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27L/RPS4X/RPS6/RPS8/RPS9/RPSA/UBA52	pos.rank
Cytosolic DNA-sensing pathway	81	-0.465732916005438	-1.62435145192772	0.000999000999000999	0.038044086382455	0.0330971773172441	4997	tags=47%, list=26%, signal=35%	5435/8772/5434/3439/3569/3448/3606/29108/3446/3661/115004/3441/3456/3451/834/3551/3553/55718/79792/29110/4790/9533/11128/9447/9560/1147/3428/90865/51428/6351/4793/841/5440/51728/5970/5093/661/171568	AIM2/CASP1/CASP8/CCL4/CCL4L2/CHUK/DDX41/FADD/GSDMD/IFI16/IFNA1/IFNA10/IFNA14/IFNA17/IFNA4/IFNB1/IKBKB/IL18/IL1B/IL33/IL6/IRF3/CGAS/NFKB1/NFKBIB/PCBP1/POLR1C/POLR2E/POLR2F/POLR2K/POLR3A/POLR3D/POLR3E/POLR3H/POLR3K/PYCARD/RELA/TBK1	pos.rank
RNA polymerase	34	-0.492209527482055	-1.57092206425706	0.002002002002002	0.038044086382455	0.0330971773172441	2715	tags=47%, list=14%, signal=40%	5431/10849/5439/55718/81488/9533/11128/64425/246721/30834/5433/27297/5440/51728/661/171568	POLR1G/CRCP/POLR1C/POLR1E/POLR2B/POLR2D/POLR2J/POLR2J2/POLR2K/POLR2M/POLR3A/POLR3D/POLR3E/POLR3H/POLR3K/POLR1H	pos.rank
Spliceosome	127	-0.42024846135434	-1.51519880841999	0.000999000999000999	0.038044086382455	0.0330971773172441	6571	tags=57%, list=35%, signal=37%	10915/6625/22916/8559/10946/9879/3310/56949/83443/11338/3304/9416/24148/23658/7919/4809/10713/10523/10189/23350/55696/51639/55660/6431/9092/6632/58517/10569/25804/9129/6432/23020/11017/153527/6637/84321/51340/6635/57819/23451/84950/6427/10772/988/26121/84844/6636/22827/23450/1659/11157/27316/3305/56259/6634/4686/9716/6627/7307/10285/11325/51503/9410/55119/9775/8896/57461/5093/10594/1665/6426/3312	ALYREF/AQR/BUD31/CDC5L/CHERP/CRNKL1/CTNNBL1/CWC15/DDX23/DDX39B/DDX42/DDX46/DHX15/DHX8/EIF4A3/HSPA1B/HSPA1L/HSPA6/HSPA8/ISY1/LSM2/LSM4/LSM5/LSM6/NCBP1/NCBP2/SNU13/PCBP1/PHF5A/PRPF18/PRPF3/PRPF31/PRPF38A/PRPF38B/PRPF40A/PRPF6/PRPF8/PUF60/RBM22/RBM25/RBMX/SART1/SF3A3/SF3B1/SF3B3/SF3B5/SF3B6/SLU7/SMNDC1/SNRNP200/SNRNP27/SNRNP40/SNRNP70/SNRPA1/SNRPD1/SNRPD3/SNRPE/SNRPF/SNRPG/SRSF1/SRSF10/SRSF2/SRSF6/SRSF7/TCERG1/THOC3/U2AF1/U2AF2/U2SURP/USP39/XAB2/ZMAT2	pos.rank
Polycomb repressive complex	82	-0.43347733575227	-1.5142336687605	0.000999000999000999	0.038044086382455	0.0330971773172441	5886	tags=48%, list=31%, signal=33%	22992/3066/84456/7321/10389/7703/404281/5928/2146/84458/7027/26013/6500/85015/63035/3607/4149/1460/80012/100532731/3054/23269/121536/8535/8726/100170841/8314/7322/83746/54554/84733/8473/23512/1387/648/3065/2033/54881/5931	AEBP2/BAP1/BCORL1/BMI1/LCOR/EPOP/CBX2/CBX4/COMMD3-BMI1/CREBBP/CSNK2B/EED/EP300/EZH2/FOXK2/HCFC1/HDAC1/HDAC2/KDM2A/L3MBTL1/L3MBTL2/L3MBTL3/MAX/MGA/OGT/PCGF2/PHC3/RBBP4/RBBP7/SCML2/SKP1/SUZ12/TEX10/TFDP1/UBE2D1/UBE2D2/USP45/WDR5B/YY2	pos.rank
Coronavirus disease - COVID-19	229	-0.403830411334721	-1.50858904273162	0.000999000999000999	0.038044086382455	0.0330971773172441	6845	tags=54%, list=36%, signal=35%	11224/6189/3654/3444/5600/5290/6133/7097/8503/6124/4142/100529097/5594/51187/6209/729/5595/6188/718/6173/5578/5582/6234/6157/717/3439/6134/6142/6156/3569/7311/6166/23521/5601/3921/6130/5296/3448/6138/5295/6164/6155/10747/9349/6218/6403/4736/6203/6136/6347/6885/6147/5610/3446/3661/115004/5293/6122/3441/3456/25873/2197/629/4615/3451/6143/6232/6141/834/3551/6187/6202/3553/6204/6125/59272/6154/6146/51135/6772/29110/7189/720/9045/64135/5335/4153/4790/6224/6137/51065/5579/7098/6191/7187/6152/6230/1147/6231/100529239/6139/51121/6181/4793/6175/6144/6228/6223/6167/100526842/6222/6207/6158/6206/6774/6160/6169/6135/5970/6132/6205/6194/6128/6229	ACE2/C2/C3/C4A/C6/CASP1/CCL2/CFB/CHUK/EIF2AK2/FAU/IFIH1/IFNA1/IFNA10/IFNA14/IFNA17/IFNA4/IFNA7/IFNB1/IKBKB/IL1B/IL6/IRAK1/IRAK4/IRF3/MAP3K7/MAPK1/MAPK11/MAPK3/MAPK9/MAS1/MASP2/CGAS/MBL2/MYD88/NFKB1/NFKBIB/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PLCG1/PRKCA/PRKCB/PRKCG/RELA/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL17-C18orf32/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL3/RPL30/RPL31/RPL34/RPL35/RPL36/RPL36A/RPL36A-HNRNPH2/RPL36AL/RPL37/RPL38/RPL4/RPL5/RPL6/RPL7A/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS10-NUDT3/RPS11/RPS12/RPS13/RPS15/RPS17/RPS18/RPS19/RPS2/RPS20/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27L/RPS28/RPS3/RPS3A/RPS4X/RPS6/RPS8/RPS9/RPSA/RSL24D1/SELP/STAT1/STAT3/TBK1/TLR2/TLR3/TRAF3/TRAF6/UBA52	pos.rank
N-Glycan biosynthesis	53	-0.438755569535252	-1.4703658178802	0.001998001998002	0.038044086382455	0.0330971773172441	6038	tags=53%, list=32%, signal=36%	4124/8813/23193/440138/6184/8818/2530/1650/8704/84061/6480/146664/29880/144245/4122/79796/11320/22845/79868/84620/6185/85365/4121/1798/746/56052/201595/1603	ALG1/ALG10B/ALG11/ALG13/ALG2/ALG5/ALG9/B4GALT2/DAD1/DDOST/DOLK/DPAGT1/DPM1/DPM2/FUT8/GANAB/MAGT1/MAN1A1/MAN2A1/MAN2A2/MGAT4A/MGAT5B/RPN1/RPN2/ST6GAL1/ST6GAL2/STT3B/TMEM258	pos.rank
mRNA surveillance pathway	95	-0.408354640769454	-1.44081686208807	0.001998001998002	0.038044086382455	0.0330971773172441	4855	tags=44%, list=26%, signal=33%	340529/26528/390748/23293/81608/7919/29894/645974/29101/10189/9887/51692/5525/55339/11052/26019/4440/10914/23381/28227/8761/5518/2733/10921/11269/55308/2107/56000/10767/5499/5523/8189/10978/23049/8732/5976/1479/79869/5042/8731/4686/9775	ALYREF/CLP1/CPSF1/CPSF3/CPSF6/CPSF7/CSTF3/DAZAP1/DDX19A/DDX19B/DDX39B/EIF4A3/ETF1/FIP1L1/GLE1/HBS1L/MSI1/NCBP1/NXF3/PABPC1L2A/PABPC1L2B/PABPC3/PABPC4/PABPN1L/PAPOLA/PPP1CA/PPP2R1A/PPP2R3A/PPP2R3B/PPP2R5A/RNGTT/RNMT/RNPS1/SMG1/SMG5/SMG6/SMG7/SSU72/SYMPK/UPF1/UPF2/WDR33	pos.rank
HIF-1 signaling pathway	108	-0.391461582741455	-1.39688451467645	0.001998001998002	0.038044086382455	0.0330971773172441	6612	tags=51%, list=35%, signal=33%	5290/3939/8503/816/4843/5594/5214/5595/51378/5209/2023/817/5578/5582/3101/5605/3569/7037/2027/5296/5295/5232/3948/6513/2321/5293/405/4878/1978/5604/3643/818/2597/3459/2872/1906/92483/7428/3630/226/6198/5230/5335/54583/4790/5579/1387/5211/4055/1977/6774/2033/5970/2475/6194	ALDOA/ANGPT4/ARNT/CAMK2B/CAMK2D/CAMK2G/CREBBP/EDN1/EGLN1/EIF4E/EIF4EBP1/ENO1/ENO3/EP300/FLT1/GAPDH/HK3/IFNGR1/IL6/INS/INSR/LDHA/LDHAL6B/LDHC/LTBR/MAP2K1/MAP2K2/MAPK1/MAPK3/MKNK2/MTOR/NFKB1/NOS2/NPPA/PFKFB3/PFKL/PFKP/PGK1/PGK2/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PLCG1/PRKCA/PRKCB/PRKCG/RELA/RPS6/RPS6KB1/SLC2A1/STAT3/TFRC/VHL	pos.rank
Cell cycle	156	-0.36636249464756	-1.34044787391079	0.001998001998002	0.038044086382455	0.0330971773172441	5755	tags=45%, list=30%, signal=32%	3066/494551/2810/4088/4999/5933/5529/701/10971/23047/10744/8555/898/7027/6500/994/81620/7533/7532/1021/1663/25/5525/890/11200/23244/5518/1869/10926/1019/114799/246184/7465/7529/1022/10393/5000/7040/4172/10403/7029/26271/896/80174/9700/5885/891/4174/1387/119504/23383/5347/57082/64682/9126/10735/8881/1111/29945/55869/894/8243/3065/8454/10459/2033/7534/902/23595/4609	ABL1/ANAPC1/ANAPC10/ANAPC16/ANAPC4/BUB1B/KNL1/CCNA2/CCNB1/CCND2/CCND3/CCNE1/CCNH/CDC14B/CDC16/CDC25B/CDC26/CDK4/CDK6/CDK7/CDT1/CHEK1/CHEK2/CREBBP/CUL1/DBF4/DBF4B/DDX11/E2F1/EP300/ESCO1/ESPL1/FBXO5/HDAC1/HDAC2/HDAC8/MAD2L2/MAU2/MCM3/MCM5/MYC/NDC80/ORC2/ORC3/ORC4/PDS5A/PDS5B/PLK1/PPP2R1A/PPP2R5A/PPP2R5E/PTTG2/RAD21/RBL1/SFN/SKP1/SMAD3/SMC1A/SMC3/STAG2/TFDP1/TFDP2/TGFB1/WEE1/WEE2/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ	pos.rank
Measles	137	-0.367201734765636	-1.33104831106834	0.001998001998002	0.038044086382455	0.0330971773172441	6769	tags=47%, list=36%, signal=30%	3654/3444/5290/356/7097/8503/1459/3665/3310/317/3304/355/8772/3439/8717/898/3559/3569/572/6777/5601/5296/3448/5295/6776/25898/1460/1021/9367/6885/5610/3446/3661/5293/27102/3441/3456/1019/4615/3451/3551/3553/51135/6772/29110/7189/64135/896/2213/940/4790/7187/1147/916/3305/4793/841/30835/894/6774/3561/5970/915/3312	APAF1/BAD/CASP8/CCND2/CCND3/CCNE1/CD209/CD28/CD3D/CD3E/CDK4/CDK6/CHUK/CSNK2A2/CSNK2B/EIF2AK1/EIF2AK2/FADD/FAS/FASLG/FCGR2B/HSPA1B/HSPA1L/HSPA6/HSPA8/IFIH1/IFNA1/IFNA10/IFNA14/IFNA17/IFNA4/IFNA7/IFNB1/IKBKB/IL1B/IL2RA/IL2RG/IL6/IRAK1/IRAK4/IRF3/IRF7/MAP3K7/MAPK9/MYD88/NFKB1/NFKBIB/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PIK3R3/RAB9A/RCHY1/RELA/STAT1/STAT3/STAT5A/STAT5B/TBK1/TLR2/TRADD/TRAF3/TRAF6	pos.rank
Viral carcinogenesis	195	-0.354572605325857	-1.31492102347383	0.001998001998002	0.038044086382455	0.0330971773172441	6810	tags=47%, list=36%, signal=31%	5925/11317/5290/10488/5366/9586/2885/387/8503/87/5594/9093/3665/6672/8341/3066/1108/5595/8368/718/3018/5933/4791/2958/10971/3516/83933/8717/9734/898/572/6777/1959/5296/5568/5295/6776/1385/5879/7533/7532/1021/7337/9759/148327/890/5610/128312/10014/3661/5293/5423/5315/8841/1019/255626/81/7529/6722/5902/2965/8349/3133/387332/2968/896/554313/5966/1237/4790/2648/1654/7187/1387/7185/7186/8970/1111/841/7419/55869/2957/4055/23513/894/8294/3065/6774/8850/2033/7534/5970	ACTN1/ACTN4/BAD/C3/CASP8/CCNA2/CCND2/CCND3/CCNE1/CCR8/CDK4/CDK6/CHD4/CHEK1/CREB1/CREB3/CREB3L4/CREB5/CREBBP/DDX3X/DNAJA3/EGR2/EIF2AK2/EP300/GRB2/GTF2A1/GTF2A2/GTF2H1/GTF2H4/HDAC1/HDAC10/HDAC2/HDAC3/HDAC4/HDAC5/HDAC8/HDAC9/H2BC1/H2BC3/H2BC11/H2BC15/H4C9/H4C13/H2BC21/H4C15/H2BC26/HLA-E/IRF3/IRF7/KAT2A/KAT2B/LTBR/MAPK1/MAPK3/NFKB1/NFKB2/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PKM/PMAIP1/POLB/PRKACG/RAC1/RANBP1/RB1/RBL1/RBPJ/RBPJL/REL/RELA/RHOA/SCRIB/SP100/SRF/STAT3/STAT5A/STAT5B/TBPL2/TRADD/TRAF1/TRAF2/TRAF3/UBE3A/VDAC3/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ	pos.rank
