ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Ribosome biogenesis in eukaryotes	74	-0.447752527019743	-1.54008383583427	0.000999000999000999	0.0679320679320679	0.0630947999369052	7504	tags=66%, list=40%, signal=40%	51367/138716/728343/26354/29107/5901/9790/6949/51119/51096/51068/27341/28987/25996/23560/22803/10199/29889/1459/55127/134430/83732/10556/92856/9724/1460/10436/10813/10885/4931/54433/10940/55813/10171/5822/84135/55505/51602/10799/7514/2091/23195/54552/10248/1736/55651/55272/56001/10528	BMS1/CSNK2A2/CSNK2B/DKC1/EMG1/FBL/GAR1/GNL2/GNL3/GNL3L/GTPBP4/HEATR1/IMP3/IMP4/MDN1/MPHOSPH10/NHP2/NMD3/NOB1/NOP10/NOP56/NOP58/NVL/NXF2/NXF2B/NXT1/POP1/POP5/POP7/PWP2/RAN/RCL1/REXO2/RIOK1/RPP25L/RPP30/RPP40/RRP7A/SBDS/TCOF1/UTP14A/UTP14C/UTP15/UTP18/UTP6/WDR3/WDR36/XPO1/XRN2	pos.rank
PD-L1 expression and PD-1 checkpoint pathway in cancer	89	-0.426921226471522	-1.49407402294756	0.000999000999000999	0.0679320679320679	0.0630947999369052	4451	tags=43%, list=23%, signal=33%	1459/3091/1432/4773/5594/207/5600/6774/917/54106/1460/5534/5296/5604/5293/1147/2475/10000/4615/7189/2353/4893/6198/4215/1950/148022/7535/916/5595/10538/27040/919/10125/5535/5335/5970/915/3932	AKT1/AKT3/BATF/CD247/CD3D/CD3E/CD3G/CHUK/CSNK2A2/CSNK2B/EGF/FOS/HIF1A/LAT/LCK/MAP2K1/MAP3K3/MAPK1/MAPK11/MAPK14/MAPK3/MTOR/MYD88/NFATC2/NRAS/PIK3CD/PIK3R2/PLCG1/PPP3R1/PPP3R2/RASGRP1/RELA/RPS6KB1/STAT3/TICAM1/TLR9/TRAF6/ZAP70	pos.rank
T cell receptor signaling pathway	118	-0.400189675808676	-1.43356367757402	0.000999000999000999	0.0679320679320679	0.0630947999369052	6751	tags=52%, list=36%, signal=33%	1493/5523/5788/1326/387/5058/9020/57144/5295/3458/5515/5518/8440/5601/6654/5522/5063/5062/1432/4773/5594/1019/207/5600/5609/917/8915/56924/3586/5534/5296/5604/7409/5293/4690/1147/28227/10000/926/2353/4893/7124/7006/7410/7535/5529/3565/916/5595/27040/919/9402/10125/5535/5170/5335/3937/5970/915/84433/3932	AKT1/AKT3/BCL10/CARD11/CD247/CD3D/CD3E/CD3G/CD8B/CDK4/CHUK/CTLA4/FOS/GRAP2/IFNG/IL10/IL4/LAT/LCK/LCP2/MAP2K1/MAP2K7/MAP3K14/MAP3K8/MAPK1/MAPK11/MAPK14/MAPK3/MAPK9/NCK1/NCK2/NFATC2/NRAS/PAK1/PAK2/PAK3/PAK6/PAK5/PDPK1/PIK3CD/PIK3R1/PIK3R2/PLCG1/PPP2CA/PPP2R1A/PPP2R2C/PPP2R3A/PPP2R3B/PPP2R5E/PPP3R1/PPP3R2/PTPRC/RASGRP1/RELA/RHOA/SOS1/TEC/TNF/VAV1/VAV2/ZAP70	pos.rank
Coronavirus disease - COVID-19	229	-0.37497001077875	-1.3924880136055	0.000999000999000999	0.0679320679320679	0.0630947999369052	6261	tags=48%, list=33%, signal=32%	6210/23521/3439/6147/51065/4314/3443/5295/733/721/6142/200916/6128/5601/6154/9045/6232/720/6772/7098/9636/1839/6234/735/5578/57506/6130/1432/51284/9349/6135/730/5594/6122/4312/6143/5600/6774/11224/6231/340061/1675/5648/3454/6144/6158/6193/6233/4153/6181/6191/5296/5293/4938/1147/719/6167/4615/7189/51121/2353/6152/6168/7124/4600/6403/4736/6169/3442/6222/6206/2197/6160/6205/6137/717/6228/6868/6207/6161/100529239/2147/10747/6159/6208/3553/6218/6129/6227/5595/6201/6132/6125/1440/714/6209/6133/7450/6139/6235/3448/4599/7113/6203/5335/6202/6155/1536/5970	ADAM17/C1QC/C2/C3AR1/C4A/C4B/C7/C8G/C9/CFD/CHUK/CSF3/CYBB/F2/FAU/FOS/HBEGF/IFNA1/IFNA14/IFNA5/IFNA6/IFNAR1/IL1B/ISG15/MAPK1/MAPK11/MAPK14/MAPK3/MAPK9/MASP1/MASP2/MAVS/MBL2/MMP1/MMP3/MX1/MX2/MYD88/OAS1/PIK3CD/PIK3R1/PIK3R2/PLCG1/PRKCA/RELA/RPL10A/RPL11/RPL13/RPL13A/RPL14/RPL17/RPL18A/RPL19/RPL21/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL28/RPL29/RPL3/RPL31/RPL32/RPL35/RPL37/RPL37A/RPL38/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP2/RPS10-NUDT3/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS17/RPS18/RPS21/RPS23/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS4X/RPS5/RPS7/RPS8/RPS9/SELP/STAT1/STAT3/TLR3/TLR7/STING1/TMPRSS2/TNF/TRAF6/VWF	pos.rank
Cell cycle	156	-0.378022067837351	-1.37731064167622	0.000999000999000999	0.0679320679320679	0.0630947999369052	8335	tags=62%, list=44%, signal=35%	2810/699/3066/1021/890/157570/1387/1874/1032/5519/23594/7529/4609/994/4172/1030/8881/7029/3065/898/7157/494551/4616/246184/1029/545/1017/8379/23244/6500/9978/27085/9700/114799/4175/25836/5515/5518/7040/5885/993/7531/57082/1019/1022/10274/983/10393/29882/5111/8317/1026/25847/7027/4174/10459/8318/26271/10912/7533/1647/6502/10926/64682/1871/5001/891/80174/9126/5529/29945/4176/1869/11200/1031/1870/113130/81620/23383/8243/9184/5000/902/1111/90381/2033/4999/9212/51434/25/701/8454/896/10735/7534/4171/894	ABL1/ANAPC1/ANAPC10/ANAPC13/ANAPC2/ANAPC4/ANAPC7/ATR/AURKB/BUB1/BUB1B/BUB3/KNL1/CCNA2/CCNB1/CCND2/CCND3/CCNE1/CCNH/CDC16/CDC25A/CDC25B/CDC26/CDC45/CDC7/CDCA5/CDK1/CDK2/CDK4/CDK6/CDK7/CDKN1A/CDKN2A/CDKN2B/CDKN2C/CDKN2D/CDT1/CHEK1/CHEK2/CREBBP/CUL1/DBF4/DBF4B/E2F1/E2F2/E2F3/E2F4/EP300/ESCO1/ESCO2/ESPL1/FBXO5/GADD45A/GADD45B/GADD45G/HDAC1/HDAC2/MAD1L1/MAD2L2/MAU2/MCM2/MCM3/MCM5/MCM6/MCM7/MTBP/MYC/NIPBL/ORC2/ORC4/ORC5/ORC6/PCNA/PDS5A/PPP2CA/PPP2R1A/PPP2R1B/PPP2R5E/RAD21/RBX1/SFN/SKP1/SKP2/SMC1A/SMC3/STAG1/STAG2/TFDP1/TFDP2/TGFB1/TICRR/TP53/WEE2/YWHAB/YWHAE/YWHAH/YWHAZ	pos.rank
RNA degradation	78	-0.407748052393859	-1.40773012634612	0.001998001998002	0.0849150849150849	0.0788684999211315	7795	tags=62%, list=41%, signal=36%	25804/51691/115752/84186/10766/131870/51013/23658/87178/25904/5214/64282/80336/132430/80349/9924/55802/22803/51010/4849/7832/80153/8761/5394/56915/340529/27257/23016/10140/9337/3313/51690/1656/5073/22894/27258/11340/9652/170506/23404/5393/154197/54512/57819/2027/9125/2023/118460	BTG2/CNOT10/CNOT3/CNOT8/DCP1A/DDX6/DHX36/DIS3/DIS3L/EDC3/ENO1/ENO3/EXOSC1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/EXOSC5/EXOSC6/EXOSC7/EXOSC8/EXOSC9/HSPA9/LSM1/LSM2/LSM3/LSM4/LSM5/LSM7/LSM8/NUDT16/PABPC1L/PABPC1L2A/PABPC4/PABPC4L/PAN2/TENT4B/PARN/PFKP/PNLDC1/PNPT1/CNOT9/TOB1/TOB2/SKIC3/SKIC8/XRN2/ZCCHC7	pos.rank
Th1 and Th2 cell differentiation	90	-0.398243848841342	-1.39530456958866	0.001998001998002	0.0849150849150849	0.0788684999211315	6603	tags=51%, list=35%, signal=33%	3460/3123/3594/3596/30009/84441/3458/864/5601/6772/4851/3516/9794/4094/1432/55534/4773/5594/5600/3112/3109/917/3118/5534/3566/54567/1147/2353/3561/4854/7535/3565/916/3119/10683/5595/6776/3714/27040/2625/919/5535/5335/5970/915/3932	CD247/CD3D/CD3E/CD3G/CHUK/DLL3/DLL4/FOS/GATA3/HLA-DMB/HLA-DOB/HLA-DQA2/HLA-DQB1/HLA-DRB1/IFNG/IFNGR2/IL12RB1/IL13/IL2RG/IL4/IL4R/JAG2/LAT/LCK/MAF/MAML1/MAML2/MAML3/MAPK1/MAPK11/MAPK14/MAPK3/MAPK9/NFATC2/NOTCH1/NOTCH3/PLCG1/PPP3R1/PPP3R2/RBPJ/RELA/RUNX3/STAT1/STAT5A/TBX21/ZAP70	pos.rank
Spliceosome	127	-0.386349335934686	-1.39143877831879	0.001998001998002	0.0849150849150849	0.0788684999211315	7795	tags=61%, list=41%, signal=36%	25804/51691/10465/22827/6429/58517/23658/5093/151903/6431/4116/10772/8683/22985/9092/6636/9410/6632/84950/10291/9416/144983/10569/6430/10915/26121/51639/6633/8896/9128/7307/6100/6427/24148/9129/27316/9775/1659/10084/9785/6426/2521/57461/55660/988/8559/51645/5356/55696/6628/1665/51690/4686/22938/1655/27258/4670/153527/84321/51503/8449/23020/10189/6634/10713/51340/10523/27339/10594/57819/6428/10285/6629/11325/83443/6637/55119/3312	ACIN1/ALYREF/BUD31/CCDC12/CDC5L/CHERP/CRNKL1/CWC15/DDX23/DDX42/DDX5/DHX15/DHX16/DHX38/DHX8/EIF4A3/FUS/HNRNPA1L2/HNRNPM/HSPA8/ISY1/LSM2/LSM3/LSM4/LSM5/LSM7/LSM8/MAGOH/NCBP1/PCBP1/PLRG1/PPIH/PPIL1/PQBP1/PRPF18/PRPF19/PRPF3/PRPF31/PRPF38A/PRPF38B/PRPF4/PRPF40A/PRPF6/PRPF8/PUF60/RBM22/RBM25/RBMX/RP9/SART1/SF3A1/SF3B5/SF3B6/SLU7/SMNDC1/SNRNP200/SNRNP40/SNRPB/SNRPB2/SNRPD1/SNRPD2/SNRPD3/SNRPF/SNRPG/SNW1/SRSF1/SRSF10/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF9/TCERG1/THOC3/U2AF1/USP39/ZMAT2	pos.rank
Biosynthesis of nucleotide sugars	37	-0.485018568828442	-1.54780173472079	0.003	0.085	0.0789473684210526	5718	tags=57%, list=30%, signal=40%	64841/7358/2645/3099/3101/54187/5236/2762/197258/6675/29926/2592/29925/55586/80201/7264/2673/91373/2582/55907/5238	CMAS/FCSK/GALE/GALT/GCK/GFPT1/GMDS/GMPPA/GMPPB/GNPNAT1/HK2/HK3/HKDC1/MIOX/NANS/PGM1/PGM3/GFUS/UAP1/UAP1L1/UGDH	pos.rank
Nicotinate and nicotinamide metabolism	37	-0.472813141306011	-1.50885151073687	0.003	0.085	0.0789473684210526	6057	tags=62%, list=32%, signal=42%	23475/55191/93034/5167/51547/93100/100526794/952/23057/27231/51548/64802/54981/316/56953/4837/84618/23098/65220/133686/22978/10135/83594	AOX1/CD38/ENPP1/NADK/NADK2/NADSYN1/NAMPT/NAPRT/NMNAT1/NMNAT2/NMRK1/NMRK2/NNMT/NT5C1A/NT5C1B/NT5C1B-RDH14/NT5C2/NT5M/NUDT12/QPRT/SARM1/SIRT6/SIRT7	pos.rank
