ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
RIG-I-like receptor signaling pathway	30	-0.480557817990689	-1.50159926946345	0.00700700700700701	0.907301893408135	0.907301893408135	255	tags=50%, list=28%, signal=37%	4790/8517/7189/3452/1147/3451/56832/4214/6885/3439/1540/54941/3551/3449/3456	CHUK/CYLD/IFNA1/IFNA16/IFNA17/IFNA21/IFNB1/IFNK/IKBKB/IKBKG/MAP3K1/MAP3K7/NFKB1/RNF125/TRAF6	pos.rank
Shigellosis	44	-0.420578692433714	-1.37624050484647	0.028971028971029	0.907301893408135	0.907301893408135	441	tags=70%, list=49%, signal=38%	6714/6352/23118/5293/5290/5970/5580/5296/5879/9564/55072/5588/114548/4790/5295/3709/8517/7189/1147/3554/8767/5336/11146/6885/3551/7334/11335/10892/3606/8915/3456	BCAR1/BCL10/CBX3/CCL5/CHUK/GLMN/IFNB1/IKBKB/IKBKG/IL18/IL1R1/ITPR2/MALT1/MAP3K7/NFKB1/NLRP3/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PLCG2/PRKCD/PRKCQ/RAC1/RELA/RIPK2/RNF31/SRC/TAB2/TRAF6/UBE2N	pos.rank
B cell receptor signaling pathway	38	-0.424677068031002	-1.36909349883482	0.034	0.907301893408135	0.907301893408135	414	tags=68%, list=46%, signal=39%	84433/5293/5290/10990/5970/5532/5296/5879/974/11006/6850/4790/5295/695/8517/1147/5336/6654/7409/5777/5579/79168/10288/3551/10892/8915	BCL10/BTK/CARD11/CD79B/CHUK/IKBKB/IKBKG/LILRA6/LILRB2/LILRB4/LILRB5/MALT1/NFKB1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PLCG2/PPP3CB/PRKCB/PTPN6/RAC1/RELA/SOS1/SYK/VAV1	pos.rank
Cytosolic DNA-sensing pathway	26	-0.440086809901777	-1.35015929055666	0.057286432160804	0.907301893408135	0.907301893408135	303	tags=50%, list=34%, signal=34%	3569/114548/11035/4790/8517/3452/1147/3451/3439/3551/3449/3606/3456	CHUK/IFNA1/IFNA16/IFNA17/IFNA21/IFNB1/IKBKB/IKBKG/IL18/IL6/NFKB1/NLRP3/RIPK3	pos.rank
AMPK signaling pathway	13	-0.481165046973134	-1.3051891087012	0.129301355578728	0.907301893408135	0.907301893408135	411	tags=77%, list=46%, signal=42%	5293/5290/5296/5170/5295/7248/6794/23411/6885/3479	IGF1/MAP3K7/PDPK1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/SIRT1/STK11/TSC1	pos.rank
Primary immunodeficiency	24	-0.425379590821324	-1.29315133373758	0.0984924623115578	0.907301893408135	0.907301893408135	399	tags=67%, list=44%, signal=38%	3543/57379/64421/959/23495/3575/6891/695/6890/8517/916/915/5896/3718/5788/5897	AICDA/BTK/CD3D/CD3E/CD40LG/DCLRE1C/IGLL1/IKBKG/IL7R/JAK3/PTPRC/RAG1/RAG2/TAP1/TAP2/TNFRSF13B	pos.rank
Inflammatory mediator regulation of TRP channels	17	-0.44906289403467	-1.28692887102008	0.120162932790224	0.907301893408135	0.907301893408135	441	tags=71%, list=49%, signal=37%	6714/5293/5290/5580/5296/5588/5295/3709/3554/5336/5579/3479	IGF1/IL1R1/ITPR2/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PLCG2/PRKCB/PRKCD/PRKCQ/SRC	pos.rank
Amoebiasis	30	-0.409872169875337	-1.28072778720277	0.0940940940940941	0.907301893408135	0.907301893408135	473	tags=70%, list=53%, signal=34%	911/912/3458/384/7040/5293/5290/5970/5296/3593/910/3569/733/4790/732/5295/3586/909/3554/735/5579	ARG2/C8B/C8G/C9/CD1A/CD1B/CD1C/CD1D/IFNG/IL10/IL12B/IL1R1/IL6/NFKB1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PRKCB/RELA/TGFB1	pos.rank
Apoptosis	25	-0.416744221919428	-1.27464560716125	0.105527638190955	0.907301893408135	0.907301893408135	411	tags=68%, list=46%, signal=38%	5293/5290/5551/5970/5296/1075/1512/1520/5170/5783/4790/5295/3709/8517/1514/1147/3551	CHUK/CTSC/CTSH/CTSL/CTSS/IKBKB/IKBKG/ITPR2/NFKB1/PDPK1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PRF1/PTPN13/RELA	pos.rank
C-type lectin receptor signaling pathway	41	-0.390706012809072	-1.26997052080745	0.0819180819180819	0.907301893408135	0.907301893408135	458	tags=73%, list=51%, signal=38%	4791/5971/6714/5293/5290/5970/5532/5580/5296/3593/10332/6850/338339/3569/114548/4790/5295/3709/3586/8517/51561/1147/5336/3558/93978/1540/3551/3659/10892/8915	BCL10/CHUK/CLEC4D/CLEC4M/CLEC6A/CYLD/IKBKB/IKBKG/IL10/IL12B/IL2/IL23A/IL6/IRF1/ITPR2/MALT1/NFKB1/NFKB2/NLRP3/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PLCG2/PPP3CB/PRKCD/RELA/RELB/SRC/SYK	pos.rank
Neuroactive ligand-receptor interaction	13	0.325423728813559	1.26340864291983	0.116279069767442	0.907301893408135	0.907301893408135	610	tags=100%, list=68%, signal=33%	7433/2796/5732/3952/727/5027/5734/5179/718/2901/2550/155/5025	ADRB3/C3/C5/GABBR1/GNRH1/GRIK5/LEP/P2RX4/P2RX7/PENK/PTGER2/PTGER4/VIPR1	pos.rank
Small cell lung cancer	18	-0.433160613683138	-1.25575690118838	0.142712550607287	0.907301893408135	0.907301893408135	411	tags=67%, list=46%, signal=37%	5293/5290/5970/5296/4790/5295/8517/3685/7189/1147/1164/3551	CHUK/CKS2/IKBKB/IKBKG/ITGAV/NFKB1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/RELA/TRAF6	pos.rank
Longevity regulating pathway	16	-0.444415266106443	-1.25527037609676	0.151794871794872	0.907301893408135	0.907301893408135	411	tags=69%, list=46%, signal=38%	5293/5290/5970/5296/10919/4790/5295/7248/6794/23411/3479	EHMT2/IGF1/NFKB1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/RELA/SIRT1/STK11/TSC1	pos.rank
FoxO signaling pathway	29	-0.399387964186784	-1.24542741112071	0.136136136136136	0.907301893408135	0.907301893408135	417	tags=69%, list=46%, signal=38%	7040/5293/5290/5296/3575/3569/5170/5295/3586/1147/6794/80854/23411/5896/6654/604/3479/3551/3276/5897	BCL6/CHUK/IGF1/IKBKB/IL10/IL6/IL7R/PDPK1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PRMT1/RAG1/RAG2/SETD7/SIRT1/SOS1/STK11/TGFB1	pos.rank
Transcriptional misregulation in cancer	22	-0.413599281633901	-1.23916421549465	0.148335015136226	0.907301893408135	0.907301893408135	407	tags=64%, list=45%, signal=36%	5090/5970/4297/3569/84444/4790/7468/4208/3065/7403/942/64332/604/3479	BCL6/CD86/DOT1L/HDAC1/IGF1/IL6/KDM6A/KMT2A/MEF2C/NFKB1/NFKBIZ/NSD2/PBX3/RELA	pos.rank
mTOR signaling pathway	20	-0.419130939917068	-1.23644444797211	0.164480322906155	0.907301893408135	0.907301893408135	272	tags=65%, list=30%, signal=46%	5293/5290/5296/5170/5295/7248/6194/1147/6794/6654/5579/3479/3551	CHUK/IGF1/IKBKB/PDPK1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PRKCB/RPS6/SOS1/STK11/TSC1	pos.rank
Pathogenic Escherichia coli infection	36	-0.382583767991762	-1.22419202844899	0.138861138861139	0.907301893408135	0.907301893408135	344	tags=53%, list=38%, signal=34%	5879/4690/3569/25/114548/4790/8440/8517/7189/1147/3071/3554/6885/7430/5777/3551/2534/3606/6188	ABL1/CHUK/EZR/FYN/IKBKB/IKBKG/IL18/IL1R1/IL6/MAP3K7/NCK1/NCK2/NCKAP1L/NFKB1/NLRP3/PTPN6/RAC1/RPS3/TRAF6	pos.rank
Phosphatidylinositol signaling system	11	-0.467649827990742	-1.21711911604344	0.191035218783351	0.907301893408135	0.907301893408135	411	tags=64%, list=46%, signal=35%	5293/5290/5296/5295/3709/5336/5579	ITPR2/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PLCG2/PRKCB	pos.rank
Osteoclast differentiation	47	-0.368204213602571	-1.21069497108736	0.12987012987013	0.907301893408135	0.907301893408135	458	tags=68%, list=51%, signal=35%	4791/5971/3458/3937/23118/7040/5293/5290/10990/5970/5532/5296/5879/11006/6850/7006/4790/5295/3709/695/8517/7189/1147/3554/5336/6885/79168/10288/1540/3551/2534/3456	BTK/CHUK/CYLD/FYN/IFNB1/IFNG/IKBKB/IKBKG/IL1R1/ITPR2/LCP2/LILRA6/LILRB2/LILRB4/LILRB5/MAP3K7/NFKB1/NFKB2/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PLCG2/PPP3CB/RAC1/RELA/RELB/SYK/TAB2/TEC/TGFB1/TRAF6	pos.rank
Toll-like receptor signaling pathway	41	-0.370507848522918	-1.20431738935596	0.14985014985015	0.907301893408135	0.907301893408135	439	tags=61%, list=49%, signal=33%	6352/23118/5293/5290/3443/6696/5970/5296/3593/5879/3569/1326/4790/5295/8517/7189/3452/1147/3451/942/6885/3439/3551/3449/3456	CCL5/CD86/CHUK/IFNA1/IFNA16/IFNA17/IFNA21/IFNA6/IFNB1/IKBKB/IKBKG/IL12B/IL6/MAP3K7/MAP3K8/NFKB1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/RAC1/RELA/SPP1/TAB2/TRAF6	pos.rank
PI3K-Akt signaling pathway	55	-0.360013767699406	-1.19809963195197	0.130869130869131	0.907301893408135	0.907301893408135	423	tags=60%, list=47%, signal=34%	5294/3717/5293/5290/3443/6696/5970/5296/2064/5879/6850/3575/3569/5170/4790/5295/7248/8517/3685/6194/3452/1147/3451/6794/3558/6654/3559/3439/3479/3718/3551/3449/3456	CHUK/ERBB2/IFNA1/IFNA16/IFNA17/IFNA21/IFNA6/IFNB1/IGF1/IKBKB/IKBKG/IL2/IL2RA/IL6/IL7R/ITGAV/JAK2/JAK3/NFKB1/PDPK1/PIK3CA/PIK3CD/PIK3CG/PIK3R1/PIK3R2/RAC1/RELA/RPS6/SOS1/SPP1/STK11/SYK/TSC1	pos.rank
Longevity regulating pathway - multiple species	10	-0.468604790238702	-1.19428531643174	0.218614718614719	0.907301893408135	0.907301893408135	411	tags=70%, list=46%, signal=38%	5293/5290/5296/5295/3065/23411/3479	HDAC1/IGF1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/SIRT1	pos.rank
GnRH secretion	14	-0.428849906401032	-1.18946389260562	0.2218782249742	0.907301893408135	0.907301893408135	411	tags=71%, list=46%, signal=39%	5293/5290/6696/2550/5296/3783/5295/3709/778/5579	CACNA1F/GABBR1/ITPR2/KCNN4/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PRKCB/SPP1	pos.rank
Platinum drug resistance	17	0.271282633371169	1.18842370981594	0.15	0.907301893408135	0.907301893408135	659	tags=100%, list=73%, signal=27%	836/4436/581/5291/2067/207/356/4292/596/5594/5293/5290/5296/2064/5170/2956/5295	AKT1/BAX/BCL2/CASP3/ERBB2/ERCC1/FASLG/MAPK1/MLH1/MSH2/MSH6/PDPK1/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2	pos.rank
NOD-like receptor signaling pathway	43	-0.359545940103631	-1.17484108778965	0.184815184815185	0.907301893408135	0.907301893408135	439	tags=60%, list=49%, signal=32%	6352/23118/3443/5970/5580/10010/55072/3569/114548/11035/4790/7128/3709/8517/7189/3452/1147/3451/8767/6885/3439/3551/2633/3449/3606/3456	CCL5/CHUK/GBP1/IFNA1/IFNA16/IFNA17/IFNA21/IFNA6/IFNB1/IKBKB/IKBKG/IL18/IL6/ITPR2/MAP3K7/NFKB1/NLRP3/PRKCD/RELA/RIPK2/RIPK3/RNF31/TAB2/TANK/TNFAIP3/TRAF6	pos.rank
Chemical carcinogenesis - reactive oxygen species	24	-0.384732255779059	-1.1695836857898	0.226130653266332	0.907301893408135	0.907301893408135	441	tags=71%, list=49%, signal=37%	6714/5293/5290/5970/5580/5296/5879/25/5170/4790/5295/8517/4698/1147/6654/3551/25865	ABL1/CHUK/IKBKB/IKBKG/NDUFA5/NFKB1/PDPK1/PIK3CA/PIK3CD/PIK3R1/PIK3R2/PRKCD/PRKD2/RAC1/RELA/SOS1/SRC	pos.rank
