ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Herpes simplex virus 1 infection	272	-0.437643449356391	-1.64154474641093	0.000999000999000999	0.112221112221112	0.111818006554849	3617	tags=51%, list=31%, signal=36%	147837/5970/27300/3106/56242/94039/6347/6428/578/9021/54925/125919/8740/3451/201514/27102/147929/29110/6940/162655/83744/3569/54205/57541/388561/54807/7132/79175/7639/90649/598/7568/3448/836/7549/3107/6672/7733/7695/54106/10482/8717/6431/684/4939/6885/57573/10929/7633/718/5819/3127/55769/126231/6714/6892/4615/7767/3454/329/59348/1147/146434/64170/163081/93474/7711/113835/148103/5290/4938/3654/284406/84765/56000/284307/90321/51135/6891/57547/348327/220992/8683/7730/7187/3054/9831/25888/3661/219749/3716/147948/23118/340252/51276/256051/169841/146542/7712/7755/147657/7752/284306/126375/7574/55659/126295/84436/22869/7637/163059/90333/57474/57693/79862/169270/163051/92283/92285/7553/7699/163050/57506/7587/342926/163087/80095/7743/388536/147741/55713/148156/84874/7625/10795/80818/7773/79230/147694/163049	BAK1/BCL2L1/BIRC2/BST2/C3/CARD9/CASP3/CCL2/CHUK/CYCS/EIF2AK1/HCFC1/HLA-B/HLA-C/HLA-DRB5/IFNA14/IFNA17/IFNAR1/IL6/IRAK1/IRAK4/IRF3/JAK1/MAP3K7/MAVS/MYD88/NECTIN2/NXF1/NXF3/OAS1/OAS2/PIK3CA/RELA/SOCS3/SP100/SRC/SRSF3/SRSF6/SRSF8/SRSF9/TAB2/TAP2/TAPBP/TBK1/TLR9/TNFRSF1A/TNFSF14/TRADD/TRAF3/ZFP82/ZIK1/ZNF101/ZNF136/ZNF140/ZNF155/ZNF157/ZNF169/ZNF177/ZNF180/ZNF189/ZNF2/ZNF20/ZNF200/ZNF205/ZNF224/ZNF230/ZNF25/ZNF253/ZNF257/ZNF26/ZNF268/ZNF317/ZNF334/ZNF343/ZNF350/ZNF354A/ZNF37A/ZNF383/ZNF398/ZNF416/ZNF433/ZNF436/ZNF461/ZNF468/ZNF471/ZNF473/ZNF480/ZNF484/ZNF485/ZNF486/ZNF490/ZNF510/ZNF514/ZNF519/ZNF528/ZNF530/ZNF543/ZNF544/ZNF547/ZNF548/ZNF549/ZNF557/ZNF558/ZNF560/ZNF563/ZNF564/ZNF565/ZNF567/ZNF57/ZNF571/ZNF573/ZNF577/ZNF582/ZNF584/ZNF585B/ZNF586/ZNF596/ZNF597/ZNF599/ZNF606/ZNF623/ZNF624/ZNF669/ZNF670/ZNF677/ZNF680/ZNF688/ZNF7/ZNF709/ZNF74/ZNF761/ZNF766/ZNF79/ZNF790/ZNF791/ZNF792/ZNF83/ZNF84/ZNF85/ZSCAN32	pos.rank
ECM-receptor interaction	41	-0.489252125262225	-1.5950994100115	0.000999000999000999	0.112221112221112	0.111818006554849	2704	tags=44%, list=23%, signal=34%	7060/6696/1280/3918/7057/1292/3688/7059/7058/22987/2811/3381/3696/1311/3655/63923/9899/948	CD36/COL2A1/COL6A2/COMP/GP1BA/IBSP/ITGA6/ITGB1/ITGB8/LAMC2/SPP1/SV2B/SV2C/THBS1/THBS2/THBS3/THBS4/TNN	pos.rank
Phosphatidylinositol signaling system	63	-0.4662272836586	-1.58469514722922	0.000999000999000999	0.112221112221112	0.111818006554849	3442	tags=49%, list=30%, signal=35%	4952/8776/9110/91860/8395/5297/22876/1040/808/8821/5298/805/253430/4534/8527/79837/1607/3632/5290/5578/3628/8525/56623/3635/1608/3706/8526/5336/55361/1609/3707	CALM2/CALM3/CALML4/CDS1/DGKB/DGKD/DGKE/DGKG/DGKQ/DGKZ/INPP1/INPP4B/INPP5A/INPP5D/INPP5E/INPP5F/IPMK/ITPKA/ITPKB/MTM1/MTMR1/MTMR4/OCRL/PI4K2A/PI4KA/PI4KB/PIK3CA/PIP4K2C/PIP5K1B/PLCG2/PRKCA	pos.rank
Axon guidance	104	-0.398205729294804	-1.41249454029457	0.001998001998002	0.168331668331668	0.167727009832273	3297	tags=46%, list=28%, signal=33%	2048/5747/80031/57715/6092/7852/81029/57689/9475/6469/4893/1808/817/9723/5062/4636/5170/6405/5532/816/54361/6714/84612/6586/56896/54961/5290/7869/3688/223117/5578/2242/2047/7474/54434/4776/10500/1969/658/2534/3984/57522/56924/5336/2050/2043/56920/10298	BMPR1B/CAMK2B/CAMK2D/CXCR4/DPYSL2/DPYSL5/EPHA2/EPHA4/EPHB1/EPHB2/EPHB4/FES/FYN/ITGB1/LIMK1/LRRC4C/MYL5/NFATC4/NRAS/PAK2/PAK4/PAK6/PARD6B/PDPK1/PIK3CA/PLCG2/PPP3CB/PRKCA/PTK2/ROBO2/ROCK2/SEMA3B/SEMA3D/SEMA3E/SEMA3F/SEMA3G/SEMA4G/SEMA6C/SEMA6D/SHH/SLIT3/SRC/SRGAP1/SSH1/SSH3/WNT4/WNT5A/WNT5B	pos.rank
Signaling pathways regulating pluripotency of stem cells	90	-0.385944993584522	-1.35405378740428	0.011988011988012	0.72943722943723	0.726817042606516	2795	tags=40%, list=24%, signal=31%	3626/8322/81029/7480/3211/4893/7547/7855/7044/3977/4086/84333/56916/11211/3480/5604/54361/7475/388112/3670/3231/3976/5290/7481/84759/1857/3397/10637/7474/1856/658/3716/51384/7482/2263/6926	BMPR1B/DVL2/DVL3/FGFR2/FZD10/FZD4/FZD5/HOXB1/HOXD1/ID1/IGF1R/INHBC/ISL1/JAK1/LEFTY1/LEFTY2/LIF/LIFR/MAP2K1/NANOGP8/NRAS/PCGF1/PCGF5/PIK3CA/SMAD1/SMARCAD1/TBX3/WNT10B/WNT11/WNT16/WNT2B/WNT4/WNT5A/WNT5B/WNT6/ZIC3	pos.rank
Phospholipase D signaling pathway	92	-0.382636206412214	-1.34350672143606	0.012987012987013	0.72943722943723	0.726817042606516	2002	tags=33%, list=17%, signal=27%	2918/399694/2913/8527/5604/2917/2149/1607/5338/2912/551/5290/5578/8525/9846/2534/1956/5737/1608/2206/57121/10161/9267/8526/115/5336/1609/5294/11069/112	ADCY6/ADCY9/AVP/CYTH1/DGKB/DGKD/DGKE/DGKG/DGKQ/DGKZ/EGFR/F2R/FYN/GAB2/GRM2/GRM3/GRM7/GRM8/LPAR5/LPAR6/MAP2K1/MS4A2/PIK3CA/PIK3CG/PLCG2/PLD2/PRKCA/PTGFR/RAPGEF4/SHC4	pos.rank
Other glycan degradation	11	-0.564156741363275	-1.48066515583171	0.0341515474919957	0.798016798016798	0.795150268834479	2750	tags=55%, list=24%, signal=42%	3073/4126/4125/57704/2720/4123	GBA2/GLB1/HEXA/MAN2B1/MAN2C1/MANBA	pos.rank
Hippo signaling pathway - multiple species	17	-0.512499646270849	-1.46653720748663	0.0379876796714579	0.798016798016798	0.795150268834479	3207	tags=53%, list=28%, signal=38%	92597/11186/4771/55233/9770/10413/6788/25937/9113	LATS1/MOB1A/MOB1B/NF2/RASSF1/RASSF2/STK3/WWTR1/YAP1	pos.rank
Mineral absorption	34	-0.446459883047704	-1.42429170019641	0.027972027972028	0.798016798016798	0.795150268834479	2754	tags=44%, list=24%, signal=34%	481/113235/7421/65010/30061/1317/2512/1181/341208/477/7018/478/9843/493/492	ATP1A2/ATP1A3/ATP1B1/ATP2B3/ATP2B4/CLCN2/FTL/HEPH/HEPHL1/SLC26A6/SLC31A1/SLC40A1/SLC46A1/TF/VDR	pos.rank
Salivary secretion	51	-0.421981116389884	-1.40850804280363	0.01998001998002	0.798016798016798	0.795150268834479	3313	tags=45%, list=29%, signal=32%	91860/4069/1755/5592/808/481/805/683/362/5593/5567/6779/1469/4586/653247/4025/5578/477/478/493/115/492/112	ADCY6/ADCY9/AQP5/ATP1A2/ATP1A3/ATP1B1/ATP2B3/ATP2B4/BST1/CALM2/CALM3/CALML4/CST1/DMBT1/LPO/LYZ/MUC5AC/PRB2/PRKACB/PRKCA/PRKG1/PRKG2/STATH	pos.rank
