ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Ribosome	126	-0.593294672510067	-2.1389048182523	0.000999000999000999	0.0265791119449656	0.0246864816826306	2560	tags=60%, list=15%, signal=51%	6209/51116/6222/28998/64963/6158/6183/6233/6175/124995/6128/6142/6191/6129/6210/6188/6132/6187/6139/6234/6207/6232/6168/6122/11224/51264/51023/6206/6173/9801/6152/9045/6165/6130/6201/51073/6161/11222/6134/64928/6135/6150/64983/7311/51065/6144/6202/6156/6229/54948/6125/6136/55168/6194/6138/6160/64979/6223/6205/55052/51187/6208/6137/2197/6147/6189/6204/9349/6154/3921/6193/6166/25873/6141/6167	FAU/MRPL10/MRPL13/MRPL14/MRPL16/MRPL19/MRPL20/MRPL23/MRPL27/MRPL3/MRPL32/MRPL36/MRPL4/MRPS11/MRPS12/MRPS18A/MRPS18C/MRPS2/RPL10/RPL11/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL21/RPL23/RPL23A/RPL24/RPL26/RPL28/RPL3/RPL30/RPL31/RPL32/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL5/RPL6/RPL7/RPL7A/RPL8/RPLP0/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS18/RPS19/RPS2/RPS24/RPS27/RPS27A/RPS27L/RPS28/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA/RSL24D1/UBA52	pos.rank
DNA replication	35	-0.56495012345845	-1.79188633708912	0.001001001001001	0.0265791119449656	0.0246864816826306	4988	tags=83%, list=30%, signal=58%	5422/56655/5427/4175/57804/5558/5425/54107/1763/246243/6117/5983/5985/4174/84153/2237/5426/5981/5111/6118/23649/4173/5984/6742/4171/10714/10535/79621/5557	DNA2/FEN1/MCM2/MCM4/MCM5/MCM6/PCNA/POLA1/POLA2/POLD2/POLD3/POLD4/POLE/POLE2/POLE3/POLE4/PRIM1/PRIM2/RFC1/RFC3/RFC4/RFC5/RNASEH1/RNASEH2A/RNASEH2B/RNASEH2C/RPA1/RPA2/SSBP1	pos.rank
Mismatch repair	21	-0.598807477402517	-1.7662003267179	0.00101626016260163	0.0265791119449656	0.0246864816826306	4137	tags=76%, list=25%, signal=57%	57804/5425/6117/5983/5985/9156/5981/2956/4437/5111/6118/5395/4292/5984/6742/10714	EXO1/MLH1/MSH3/MSH6/PCNA/PMS2/POLD2/POLD3/POLD4/RFC1/RFC3/RFC4/RFC5/RPA1/RPA2/SSBP1	pos.rank
Ribosome biogenesis in eukaryotes	73	-0.506102155056378	-1.74641401773507	0.000999000999000999	0.0265791119449656	0.0246864816826306	3456	tags=53%, list=21%, signal=43%	55127/29889/5822/10813/5901/1457/84916/166378/55272/51602/55651/23195/134430/84135/10528/51367/54913/51119/22803/51077/6949/10436/84128/28987/10885/10940/29102/55813/23160/7514/9790/1736/26354/92856/4809/23560/55226/10557/3692	BMS1/UTP4/CSNK2A1/DKC1/DROSHA/EIF6/EMG1/FCF1/GNL2/GNL3/GTPBP4/HEATR1/IMP3/IMP4/MDN1/NAT10/NHP2/SNU13/NOB1/NOP56/NOP58/POP1/POP5/PWP2/RAN/RPP25/RPP38/SBDS/AFG2A/TCOF1/UTP14A/UTP15/UTP6/WDR3/WDR36/WDR43/WDR75/XPO1/XRN2	pos.rank
Spliceosome	124	-0.482077943618605	-1.73681251184866	0.000999000999000999	0.0265791119449656	0.0246864816826306	4798	tags=60%, list=29%, signal=43%	9343/6627/10713/84991/83443/4116/11017/51503/10465/7919/9716/25949/25804/153527/57461/55110/10523/6633/25766/6426/6429/23450/23020/56949/84321/55119/26121/8175/6428/9410/9128/27258/51340/22916/22985/3183/6427/9092/10907/6434/6625/51691/7307/55696/988/9785/10262/4686/9775/22938/6631/51690/23451/23658/3190/22827/2521/6635/58517/1665/11338/10569/9416/3192/55660/4809/10992/24148/27339/6636/84844/10291/1655/3312	ACIN1/AQR/CDC5L/CHERP/CRNKL1/CWC15/DDX23/DDX39B/DDX5/DHX15/DHX38/EFTUD2/EIF4A3/FUS/HNRNPC/HNRNPK/HNRNPU/HSPA8/ISY1/LSM3/LSM4/LSM5/LSM7/LSM8/MAGOH/MAGOHB/NCBP1/NCBP2/SNU13/PHF5A/PPIH/PRPF19/PRPF31/PRPF38B/PRPF4/PRPF40A/PRPF40B/PRPF6/PUF60/RBM17/RBM22/RBM25/SART1/SF3A1/SF3A2/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SLU7/SNRNP200/SNRNP27/SNRNP40/SNRNP70/SNRPA1/SNRPC/SNRPD2/SNRPE/SNRPF/SNW1/SRSF1/SRSF2/SRSF3/SRSF4/SYF2/THOC3/TRA2B/TXNL4A/U2AF1/U2AF2/USP39/XAB2/ZMAT2	pos.rank
Proteasome	45	-0.498943410727715	-1.6386166435689	0.000999000999000999	0.0265791119449656	0.0246864816826306	4519	tags=64%, list=27%, signal=47%	10197/7979/5710/5685/5701/5684/5705/5687/5721/5718/5689/51371/5696/5704/5693/5698/5683/5694/122706/5702/5691/5713/5700/5709/5714/5692/5695/5717/5682	POMP/PSMA1/PSMA2/PSMA3/PSMA4/PSMA6/PSMB1/PSMB11/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMB8/PSMB9/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMD11/PSMD12/PSMD3/PSMD4/PSMD7/PSMD8/PSME2/PSME3/SEM1	pos.rank
Cell cycle	151	-0.415356235846754	-1.5139839620783	0.000999000999000999	0.0265791119449656	0.0246864816826306	5926	tags=54%, list=36%, signal=35%	4176/996/2932/26271/1027/995/5526/90381/701/10735/4085/7043/4175/4609/7531/5519/4999/7529/5527/5529/10393/1111/81620/494551/5933/151648/896/1026/595/994/4193/9978/4174/4616/1030/9126/546/472/4089/545/990/9184/1031/5000/991/23383/4998/25/55869/25847/64682/10274/983/9587/8697/7042/2033/5111/3065/27127/8243/7534/8318/5528/4173/8881/1875/1028/7272/891/5001/1029/4171/1663/57082/10403/29882/699/23594/5518/25836	ABL1/ANAPC1/ANAPC10/ANAPC13/ANAPC2/ATM/ATR/ATRX/MYC/BUB1/BUB1B/BUB3/KNL1/CCNB1/CCND1/CCND3/CDC16/CDC20/CDC23/CDC25B/CDC25C/CDC27/CDC45/CDC6/CDK1/CDKN1A/CDKN1B/CDKN1C/CDKN2A/CDKN2B/CDKN2C/CDT1/CHEK1/DDX11/E2F5/EP300/FBXO5/GADD45B/GSK3B/HDAC1/HDAC8/MAD2L1/MAD2L1BP/MAU2/MCM2/MCM4/MCM5/MCM6/MCM7/MDM2/NDC80/NIPBL/ORC1/ORC2/ORC4/ORC5/ORC6/PCNA/PPP2R1A/PPP2R1B/PPP2R5B/PPP2R5C/PPP2R5D/PPP2R5E/RBL1/RBX1/SGO1/SMAD4/SMC1A/SMC1B/SMC3/STAG1/STAG2/TGFB2/TGFB3/TICRR/TTK/WEE2/YWHAB/YWHAE/YWHAZ	pos.rank
Coronavirus disease - COVID-19	207	-0.405931653361217	-1.50120120270189	0.000999000999000999	0.0265791119449656	0.0246864816826306	3072	tags=39%, list=18%, signal=32%	2162/6230/6227/3454/732/3456/3627/6774/6209/6222/6158/1636/7113/4793/7297/7099/5579/4142/6233/5295/6175/6128/6142/6191/2244/6129/6210/6188/6132/6187/6139/6234/6207/6232/6885/6168/6122/11224/3444/6206/6173/5293/6152/9045/6165/6130/6201/719/6161/1432/6134/6135/7311/51065/6144/6202/6156/6229/6125/6136/6194/6138/6160/6223/6205/51187/6208/6137/2197/6147/6189/6204/9349/6154/3921/6193/6166/25873/6141/6167	ACE/C3AR1/C8B/CXCL10/F13A1/FAU/FGB/IFNA7/IFNAR1/IFNB1/MAP3K7/MAPK14/MAS1/NFKBIB/PIK3CD/PIK3R1/PRKCB/RPL10/RPL11/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL21/RPL23/RPL23A/RPL24/RPL26/RPL28/RPL3/RPL30/RPL31/RPL32/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL5/RPL6/RPL7/RPL7A/RPL8/RPLP0/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS18/RPS19/RPS2/RPS21/RPS24/RPS25/RPS27/RPS27A/RPS27L/RPS28/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA/RSL24D1/STAT3/TLR4/TMPRSS2/TYK2/UBA52	pos.rank
Amyotrophic lateral sclerosis	331	-0.357478277519526	-1.34949282492565	0.000999000999000999	0.0265791119449656	0.0246864816826306	5245	tags=45%, list=31%, signal=31%	6300/79902/9821/5690/10133/55255/374291/1768/4708/1329/5600/5603/8408/6390/129401/1639/7979/4714/5710/23165/4713/517/493869/5685/10671/9451/5701/5684/5705/5687/1965/2906/345456/64837/506/145957/1346/10382/348995/100101267/51807/1339/9217/6389/5718/60/8632/4718/5689/2890/7384/55706/5071/25981/7277/5704/55626/10718/55062/79023/5693/23279/1337/57122/4717/5683/23225/4726/94026/10010/5534/196385/5694/79139/347733/7175/6428/203068/4694/5702/10476/5691/4728/8878/2905/4700/55860/498/27019/116442/7133/516/30849/5713/5700/4710/9542/514/5709/5714/23435/7386/5692/4706/84790/468/311/27089/6396/5216/80208/4842/51164/5535/2066/4724/637/509/2733/1349/3799/8021/4686/4712/1616/22863/5630/5695/54205/4720/1432/5717/10280/10376/11273/2521/572/9972/84516/4711/4729/54539/3309/29796/2475/8480/1537/5682	ACTB/ACTR10/AMBRA1/ANXA11/ATF4/ATG14/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1E/ATP5MC1/ATP5MC2/ATP5PD/ATXN2L/BAD/BID/COX5B/COX6A1/COX6A2/COX7A1/COX7B/CYC1/CYCS/DAXX/DCTN1/DCTN4/DCTN5/DCTN6/DERL1/DNAH1/DNAH10/DNAH17/DNAH6/DNAI1/EIF2AK3/EIF2S1/ERBB4/FUS/GLE1/GPX8/GRIA1/GRIN2C/GRIN2D/HSPA5/KIF5B/KLC2/MAPK11/MAPK12/MAPK13/MAPK14/MTOR/NCBP1/NDC1/NDUFA1/NDUFA6/NDUFAB1/NDUFB11/NDUFB2/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC1/NDUFC2/NDUFS2/NDUFS4/NDUFS6/NDUFS7/NDUFS8/NDUFV2/NOS1/NRG2/NRG3/NRG4/NUP107/NUP153/NUP160/NUP205/NUP210/NUP214/NUP35/NUP37/NUP43/NUP85/OPTN/PRKN/PFN1/PFN3/PIK3R4/POM121C/POM121L2/PPP3R1/PPP3R2/PRPH/PSMA1/PSMA2/PSMA3/PSMA4/PSMA6/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMD11/PSMD12/PSMD3/PSMD4/PSMD7/PSMD8/RAB39B/RAE1/RB1CC1/SDHA/SDHB/SEC13/SEM1/SIGMAR1/SPG11/SQSTM1/SRSF3/TANK/TARDBP/TNFRSF1B/TPR/TUBA1B/TUBA1C/TUBA4A/TUBA8/TUBB2B/TUBB4A/TUBB/ULK1/UQCR10/UQCRC1/UQCRFS1/UQCRQ/VAPB/WDR41/WIPI1	pos.rank
Thermogenesis	208	-0.358237182062142	-1.32510895489152	0.000999000999000999	0.0265791119449656	0.0246864816826306	5245	tags=45%, list=31%, signal=31%	6300/28958/374291/4708/1329/5600/5603/53632/6196/6390/4714/5571/4713/6599/517/107/2182/1376/506/1346/108/1375/90993/1339/86/6389/60/4718/7384/51703/1337/9586/4717/51780/4726/148327/27330/11343/84987/5566/4694/10476/4728/1268/4700/1353/498/79133/55471/516/4710/514/3991/7386/4706/57492/6602/27089/91942/5564/1385/29078/521/5593/4724/509/1349/116228/6605/111/4712/6598/7350/51412/4720/23028/90639/1355/1432/6597/9551/2180/4711/4729/284184/388753/54539/6194/29796/2475/84699/1537/64223	NDUFAF8/ACSL1/ACSL4/ACSL5/ACTB/ACTL6A/ACTL6B/ADCY1/ADCY2/ADCY5/ARID1B/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1E/ATP5MC1/ATP5MC2/ATP5PD/ATP5MF/ATP5ME/CNR1/COA3/COA6/COX11/COX14/COX15/COX19/COX20/COX5B/COX6A1/COX6A2/COX7A1/COX7B/CPT1B/CPT2/CREB1/CREB3L1/CREB3L3/CREB3L4/CREB5/CYC1/KDM1A/KDM3B/LIPE/MAPK11/MAPK12/MAPK13/MAPK14/MGLL/MLST8/MTOR/NDUFA1/NDUFA6/NDUFAB1/NDUFAF2/NDUFAF4/NDUFAF5/NDUFAF7/NDUFB11/NDUFB2/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC1/NDUFC2/NDUFS2/NDUFS4/NDUFS6/NDUFS7/NDUFS8/NDUFV2/PRKAB1/PRKACA/PRKAG1/PRKAG3/PRKG2/RPS6/RPS6KA2/RPS6KA6/SDHA/SDHB/SMARCA4/SMARCB1/SMARCC1/SMARCD1/SMARCE1/UCP1/UQCR10/UQCRC1/UQCRFS1/UQCRQ	pos.rank
