ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Ribosome	126	-0.714863036326345	-2.56664154440495	0.000999000999000999	0.0148706990536828	0.0135417694731793	1517	tags=70%, list=9%, signal=64%	51069/9801/29088/11224/51318/51264/51023/64928/6188/6183/79590/29093/63875/51065/6223/6193/6150/6128/6202/6232/6152/55173/6157/6176/6161/6170/9045/6168/6210/65005/7311/6160/6135/6133/51073/3921/6231/6217/6139/11222/6222/6205/6224/51187/6142/6130/6122/25873/6138/6132/6129/6169/4736/6235/6147/6191/55052/6233/6234/6144/6156/6227/6175/6164/6182/6229/6143/6228/6203/6209/6154/6206/6207/6124/6189/6181/6125/2197/6167/6137/6208/6194/64979/9349/6204/6165/6141/6201	FAU/MRPL12/MRPL14/MRPL15/MRPL17/MRPL19/MRPL2/MRPL20/MRPL22/MRPL23/MRPL24/MRPL27/MRPL3/MRPL35/MRPL36/MRPL4/MRPL9/MRPS10/MRPS12/MRPS18C/RPL10A/RPL11/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL23A/RPL24/RPL26/RPL27A/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS19/RPS20/RPS21/RPS23/RPS24/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/UBA52	pos.rank
Spliceosome	124	-0.594205129454956	-2.13051154206269	0.000999000999000999	0.0148706990536828	0.0135417694731793	3314	tags=66%, list=20%, signal=53%	9879/2521/6631/6430/11157/10915/10285/6626/4670/3183/25804/8175/51645/6434/23350/9716/10286/153527/10084/6432/9984/6431/11017/5356/6636/9416/55119/6428/10189/51340/8449/27258/22938/51503/10569/51362/51639/11338/1659/7307/55696/10946/22916/23658/84321/151903/51690/57819/6627/27339/4686/6637/10907/9129/3190/3192/4809/10291/23450/6426/9939/56949/6625/51691/6635/84991/55660/10992/10713/1655/10594/9343/23451/84844/6628/58517/22827/6427/83443/9775/26121/3312	ALYREF/AQR/BCAS2/CCDC12/CDC40/CRNKL1/CWC15/DDX23/DDX46/DDX5/DHX16/DHX8/EFTUD2/EIF4A3/FUS/HNRNPC/HNRNPK/HNRNPM/HNRNPU/HSPA8/LSM2/LSM3/LSM4/LSM5/LSM6/LSM7/LSM8/NCBP1/NCBP2/SNU13/PHF5A/PLRG1/PPIL1/PQBP1/PRPF19/PRPF3/PRPF31/PRPF38B/PRPF40A/PRPF8/PUF60/RBM17/RBM22/RBM25/RBM8A/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B5/SF3B6/SLU7/SMNDC1/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPC/SNRPE/SNRPF/SNRPG/SNW1/SRSF1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/TCERG1/THOC1/THOC3/TRA2B/TXNL4A/U2AF1/U2AF2/U2SURP/USP39/XAB2/ZMAT2	pos.rank
Proteasome	45	-0.642367970513202	-2.12620751731427	0.000999000999000999	0.0148706990536828	0.0135417694731793	1901	tags=62%, list=11%, signal=55%	51371/5698/10197/9861/5704/5707/5710/5685/5684/5717/5713/143471/5695/10213/5694/5708/5714/5709/5689/5686/5682/5683/5691/5690/5705/5701/5687/5692	POMP/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA8/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMB9/PSMC2/PSMC4/PSMC5/PSMD1/PSMD11/PSMD14/PSMD2/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSME3	pos.rank
DNA replication	35	-0.64177924575868	-2.05558085738844	0.00100300902708124	0.0148706990536828	0.0135417694731793	2036	tags=63%, list=12%, signal=55%	5425/6742/4176/5427/4172/246243/6118/5557/4173/6117/4175/54107/5984/5981/5111/84153/5424/4174/56655/5422/10535/5426	MCM3/MCM4/MCM5/MCM6/MCM7/PCNA/POLA1/POLD1/POLD2/POLE/POLE2/POLE3/POLE4/PRIM1/RFC1/RFC4/RNASEH1/RNASEH2A/RNASEH2C/RPA1/RPA2/SSBP1	pos.rank
Aminoacyl-tRNA biosynthesis	42	-0.584659383194505	-1.9175054429576	0.001001001001001	0.0148706990536828	0.0135417694731793	4672	tags=76%, list=28%, signal=55%	3735/7453/4677/5917/55699/16/51091/55157/3035/283459/57176/123283/3376/7407/57038/8565/25973/55278/6301/5188/79587/80222/23395/51520/1615/833/92935/10056/54938/57505/2193/4141	AARS1/AARS2/CARS1/CARS2/DARS1/DARS2/FARSA/FARSB/GATB/GATC/HARS1/IARS1/IARS2/KARS1/LARS1/LARS2/MARS1/MARS2/NARS1/PARS2/QRSL1/RARS1/RARS2/SARS1/SARS2/SEPSECS/TARS2/TARS3/VARS1/VARS2/WARS1/YARS1	pos.rank
RNA polymerase	32	-0.577050750622091	-1.82598778404296	0.00100200400801603	0.0148706990536828	0.0135417694731793	4110	tags=72%, list=25%, signal=54%	51728/10623/5434/661/27297/64425/51082/5438/5439/5437/10621/55718/25885/221830/5441/5432/11128/171568/5430/5431/84172/5436/10849	POLR1G/CRCP/POLR1A/POLR1B/POLR1D/POLR1E/POLR2A/POLR2B/POLR2C/POLR2E/POLR2G/POLR2H/POLR2I/POLR2J/POLR2L/POLR3A/POLR3C/POLR3D/POLR3E/POLR3F/POLR3H/POLR3K/POLR1F	pos.rank
Nucleocytoplasmic transport	102	-0.506955787612457	-1.79780840326816	0.000999000999000999	0.0148706990536828	0.0135417694731793	2305	tags=46%, list=14%, signal=40%	11097/7341/3839/8021/9984/79902/7175/2733/7329/25909/3843/3837/10189/1917/51808/3842/9688/11260/65109/53371/9670/22916/10527/84321/3838/7514/26019/4928/6613/57122/9972/4686/55706/23165/23636/10526/8480/9939/10284/9631/23279/5905/10073/1434/5901/9775/1915	AHCTF1/ALYREF/CSE1L/EEF1A1/EEF1A2/EIF4A3/GLE1/IPO13/IPO5/IPO7/IPO8/KPNA2/KPNA3/KPNB1/NCBP1/NCBP2/NDC1/NUP107/NUP153/NUP155/NUP160/NUP205/NUP214/NUP54/NUP62/NUP85/NUP93/NUP98/NUP42/PHAX/RAE1/RAN/RANGAP1/RBM8A/SAP18/SNUPN/SUMO1/SUMO2/THOC1/THOC3/TNPO1/TPR/UBE2I/UPF2/UPF3B/XPO1/XPOT	pos.rank
Coronavirus disease - COVID-19	207	-0.479712409288724	-1.77662989280268	0.000999000999000999	0.0148706990536828	0.0135417694731793	1205	tags=35%, list=7%, signal=33%	11224/6774/6188/3443/7124/4793/51065/6223/6193/6128/6202/6232/6152/6157/6176/6161/6170/9045/6168/6210/7311/6160/6135/6133/3921/6231/6217/6139/6222/6205/6224/51187/6142/6130/6122/25873/6138/6132/6129/6169/4736/6235/6147/6191/6233/6234/6144/6156/6227/6175/6164/6229/6143/6228/6203/6209/6154/6206/6207/6124/6189/6181/6125/2197/6167/6137/6208/6194/9349/6204/6165/6141/6201	FAU/IFNA6/NFKBIB/RPL10A/RPL11/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL23A/RPL24/RPL26/RPL27A/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS19/RPS20/RPS21/RPS23/RPS24/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/STAT3/TNF/UBA52	pos.rank
Ribosome biogenesis in eukaryotes	73	-0.509798960656459	-1.75887692139086	0.000999000999000999	0.0148706990536828	0.0135417694731793	5046	tags=67%, list=30%, signal=47%	1460/10199/54464/10607/1736/1457/345630/55651/25996/56001/23560/51068/10885/23195/6949/55272/10940/55341/2091/10556/51119/29889/54552/5822/55131/10775/84128/84916/138716/166378/10436/134430/7514/10557/27341/54433/92856/26354/51096/4809/10528/84135/83732/5901/51367/10248/23160/3692/55127	UTP4/CSNK2A1/CSNK2B/DKC1/EIF6/EMG1/FBL/FBLL1/GAR1/GNL2/GNL3/GNL3L/GTPBP4/HEATR1/IMP3/IMP4/LSG1/MDN1/MPHOSPH10/NHP2/SNU13/NMD3/NOP56/NXF2/POP1/POP4/POP5/POP7/PWP2/RAN/RBM28/REXO2/RIOK1/RPP25L/RPP30/RPP38/RRP7A/SBDS/AFG2A/TBL3/TCOF1/UTP15/UTP18/WDR3/WDR36/WDR43/WDR75/XPO1/XRN1	pos.rank
Nucleotide excision repair	57	-0.519419546517356	-1.75542161316317	0.000999000999000999	0.0148706990536828	0.0135417694731793	3312	tags=53%, list=20%, signal=42%	5983/1022/6119/1642/7508/5425/2966/5438/5427/5439/5437/2068/902/6118/6117/9978/54107/5984/2968/5981/5111/5441/5432/2967/5424/56655/5430/5431/5436/5426	CCNH/CDK7/DDB1/ERCC2/GTF2H2/GTF2H3/GTF2H4/PCNA/POLD1/POLD2/POLE/POLE2/POLE3/POLE4/POLR2A/POLR2B/POLR2C/POLR2G/POLR2H/POLR2I/POLR2J/POLR2L/RBX1/RFC1/RFC3/RFC4/RPA1/RPA2/RPA3/XPC	pos.rank
