ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Ribosome	126	-0.688103213330622	-2.54470419674238	0.000999000999000999	0.0212912087912088	0.01951995373048	1227	tags=65%, list=7%, signal=61%	6159/11222/6166/6191/6161/6133/6130/6150/64928/6218/7311/51073/51081/124995/11224/6170/6169/65005/54460/25873/6157/6232/6182/6223/9045/6160/6154/6138/51187/6229/6176/6187/6128/6156/6136/6142/6124/6168/6205/6158/6224/6222/6231/55052/64979/6167/6129/6193/6217/6235/6228/6202/6144/6233/6181/6137/6125/6164/6203/6209/6122/4736/6139/6207/6175/6208/6234/9349/6143/6189/6165/6132/6201/2197/6194/6141/6206/6188/3921/6210/6204/6227	FAU/MRPL10/MRPL12/MRPL14/MRPL20/MRPL23/MRPL3/MRPL36/MRPL4/MRPL9/MRPS21/MRPS7/RPL10A/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL26/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/UBA52	pos.rank
Ribosome biogenesis in eukaryotes	73	-0.59204878106276	-2.08845239690475	0.000999000999000999	0.0212912087912088	0.01951995373048	4377	tags=68%, list=26%, signal=51%	5822/79631/29107/54552/6949/10171/51119/10607/81691/57455/9790/23560/1459/55813/10557/10775/55651/10528/345630/10436/55226/84916/55505/10199/51068/29102/2091/10940/26354/51096/1460/92856/10885/54433/55131/83732/134430/51367/7514/84135/23195/1736/55272/27341/3692/5901/10248/4809/23160/55127	REXO5/BMS1/UTP4/CSNK2A2/CSNK2B/DKC1/DROSHA/EFL1/EIF6/EMG1/FBL/FBLL1/GAR1/GNL3/GNL3L/GTPBP4/HEATR1/IMP3/IMP4/MDN1/MPHOSPH10/NAT10/NHP2/SNU13/NMD3/NOP10/NOP56/NXT1/POP1/POP4/POP5/POP7/PWP2/RAN/RBM28/RCL1/REXO1/RIOK1/RPP38/RRP7A/SBDS/TBL3/TCOF1/UTP15/UTP18/UTP6/WDR3/WDR36/WDR43/XPO1	pos.rank
Spliceosome	124	-0.561326444652162	-2.07575455890162	0.000999000999000999	0.0212912087912088	0.01951995373048	3616	tags=60%, list=22%, signal=47%	8175/27258/11325/11157/10285/9416/23658/6430/7919/10465/6632/9410/4116/10084/6428/22985/8449/51690/51340/6626/10286/55119/1659/11017/51503/6633/7307/57819/51645/9128/6635/10189/26121/55696/6427/3190/11338/24148/10946/6627/84991/3192/23020/22938/84321/6637/9939/10907/1655/6434/51691/9129/22827/23451/6426/10291/151903/55660/6628/6625/23450/84844/6636/10992/56949/58517/10713/27339/10594/83443/9775/9343/4809/3312	ACIN1/ALYREF/BCAS2/CCDC12/CRNKL1/CWC15/DDX23/DDX39B/DDX42/DDX5/DHX16/DHX8/EFTUD2/EIF4A3/HNRNPK/HNRNPU/HSPA8/LSM2/LSM3/LSM5/LSM6/LSM7/LSM8/MAGOH/SNU13/PHF5A/PPIH/PPIL1/PQBP1/PRPF19/PRPF3/PRPF31/PRPF38B/PRPF4/PRPF40A/PRPF6/PRPF8/PUF60/RBM17/RBM22/RBM25/RBM8A/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B5/SMNDC1/SNRNP200/SNRNP27/SNRNP40/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/SNW1/SRSF1/SRSF2/SRSF3/SRSF5/THOC3/TRA2B/TXNL4A/U2AF1/U2AF2/USP39/XAB2	pos.rank
RNA polymerase	32	-0.608063031462367	-1.97327119757012	0.000999000999000999	0.0212912087912088	0.01951995373048	4613	tags=81%, list=28%, signal=59%	55703/10623/9533/5433/55718/81488/5437/5438/5435/5441/51082/64425/5439/27297/5440/5430/171568/25885/11128/51728/5432/221830/84172/10849/5431/5436	POLR1G/CRCP/POLR1A/POLR1B/POLR1C/POLR1D/POLR1E/POLR2A/POLR2B/POLR2C/POLR2D/POLR2F/POLR2G/POLR2H/POLR2I/POLR2J/POLR2K/POLR2L/POLR2M/POLR3A/POLR3B/POLR3C/POLR3E/POLR3H/POLR3K/POLR1F	pos.rank
Coronavirus disease - COVID-19	207	-0.461039890849992	-1.75897032007108	0.000999000999000999	0.0212912087912088	0.01951995373048	1625	tags=37%, list=10%, signal=34%	6147/7132/3654/3443/6159/6166/6191/6161/6133/6130/6218/7311/6774/11224/6170/6169/25873/6157/6232/6223/9045/6160/6154/6138/51187/6229/6176/6187/6128/6156/6136/6142/6124/6168/6205/6158/6224/6222/6231/6167/6129/6193/6217/6235/6228/6202/6144/6233/6181/6137/6125/6164/6203/6209/6122/4736/6139/6207/6175/6208/6234/9349/6143/6189/6165/6132/6201/2197/6194/6141/6206/6188/3921/6210/6204/6227	FAU/IFNA6/IRAK1/RPL10A/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL23/RPL23A/RPL26/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/STAT3/TNFRSF1A/UBA52	pos.rank
Nucleocytoplasmic transport	102	-0.474870783090934	-1.72217544174598	0.000999000999000999	0.0212912087912088	0.01951995373048	5405	tags=60%, list=32%, signal=41%	2733/79711/5411/6612/9688/8480/4686/29107/22916/55308/22794/7329/1917/91181/10284/79228/7919/81929/55746/4116/22985/7341/79902/129401/4928/23633/65110/65109/57510/10526/6396/9972/8563/10250/11260/3837/10921/23636/3838/26019/8021/59343/51068/10189/3843/9631/23279/23165/53371/55706/6613/25909/84321/7514/9939/1915/5905/51808/10073/5901/9775	ACIN1/AHCTF1/ALYREF/CASC3/DDX19A/DDX39B/EEF1A1/EEF1A2/EIF4A3/GLE1/IPO4/IPO5/IPO8/KPNA2/KPNA6/KPNB1/MAGOH/NCBP1/NCBP2/NDC1/NMD3/NUP133/NUP153/NUP155/NUP160/NUP205/NUP210L/NUP214/NUP35/NUP54/NUP62/NUP85/NUP93/NUP98/NXT1/PHAX/PNN/RAE1/RAN/RANGAP1/RBM8A/RNPS1/SAP18/SEC13/SEH1L/SENP2/SNUPN/SRRM1/SUMO1/SUMO2/SUMO3/THOC3/THOC5/THOC6/UBE2I/UPF2/UPF3A/UPF3B/XPO1/XPO5/XPOT	pos.rank
Proteasome	45	-0.495764191171486	-1.67527096877593	0.000999000999000999	0.0212912087912088	0.01951995373048	3205	tags=44%, list=19%, signal=36%	5714/11047/5695/5707/7979/10197/5700/5688/5708/5685/5684/5691/5689/5694/5692/5690/5704/5686/5701/5687	ADRM1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC2/PSMC4/PSMD1/PSMD2/PSMD8/PSME3/SEM1	pos.rank
Oxidative phosphorylation	114	-0.456346341504596	-1.67516389934351	0.000999000999000999	0.0212912087912088	0.01951995373048	6013	tags=64%, list=36%, signal=41%	1347/6391/539/517/127124/5464/516/533/4725/4708/51606/10975/9551/245972/84701/1352/1329/523/341947/537/4731/4728/155066/4717/7385/374291/514/525/51079/4701/51382/10063/4696/518/9114/4722/64077/527/1345/54539/495/27089/10632/4719/1353/1339/4700/1350/8992/522/521/9377/498/6389/50617/496/4713/4695/1340/4694/506/6392/27068/513/1355/4716/54205/4720/9550/7384/526/29796/1537	ATP4A/ATP4B/ATP5F1A/ATP5F1B/ATP5F1D/ATP5F1E/ATP5MC1/ATP5MC2/ATP5MC3/ATP5PF/ATP5MF/ATP5ME/ATP5MG/ATP5PO/ATP6AP1/ATP6V0A4/ATP6V0B/ATP6V0C/ATP6V0D1/ATP6V0D2/ATP6V0E1/ATP6V0E2/ATP6V1A/ATP6V1B1/ATP6V1B2/ATP6V1D/ATP6V1G1/ATP6V1G3/ATP6V1H/COX10/COX11/COX15/COX17/COX4I2/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A2/COX7C/COX8C/CYC1/CYCS/LHPP/NDUFA1/NDUFA13/NDUFA2/NDUFA3/NDUFA6/NDUFA7/NDUFB10/NDUFB11/NDUFB2/NDUFB7/NDUFC1/NDUFS1/NDUFS2/NDUFS3/NDUFS5/NDUFS7/NDUFS8/NDUFV3/PPA1/PPA2/SDHA/SDHC/SDHD/UQCR10/UQCR11/UQCRC1/UQCRC2/UQCRQ	pos.rank
Nucleotide excision repair	57	-0.47969741643655	-1.65422073464487	0.000999000999000999	0.0212912087912088	0.01951995373048	5997	tags=67%, list=36%, signal=43%	2965/10714/1161/5984/5434/3978/6119/2074/404672/5433/81488/54107/5437/5438/5435/6118/5441/57654/5425/5985/2071/5439/5440/5430/9978/6117/4331/5424/5111/2068/5426/2968/5432/5981/2967/56655/5431/5436	ERCC2/ERCC3/ERCC6/ERCC8/GTF2H1/GTF2H3/GTF2H4/GTF2H5/LIG1/MNAT1/PCNA/POLD1/POLD2/POLD3/POLE/POLE3/POLE4/POLR2A/POLR2B/POLR2C/POLR2D/POLR2E/POLR2F/POLR2G/POLR2H/POLR2I/POLR2J/POLR2K/POLR2L/POLR2M/RBX1/RFC1/RFC4/RFC5/RPA1/RPA2/RPA3/UVSSA	pos.rank
Alcoholism	161	-0.374082889354791	-1.40700186872029	0.000999000999000999	0.0212912087912088	0.01951995373048	7470	tags=58%, list=45%, signal=33%	55506/3020/2788/116443/2778/468/3014/8345/116444/9586/8841/1813/723790/2784/2785/8969/83933/2786/286436/6571/9555/2902/4128/5567/1385/8365/79885/474382/3265/5604/55315/221613/8342/136/808/6464/3017/369/4915/10488/2903/10681/627/10014/474381/25759/8294/59345/8340/8370/94235/55970/3177/5894/8331/94239/8970/55766/5595/84699/135/9759/8329/8334/84152/1644/2787/8352/8355/2783/5500/8354/8359/2790/3021/8348/121504/85236/8335/8362/8364/8350/8361/55869/8363/8358/8360/653604/8366/8968/8341/8357/8353/8351	ADORA2A/ADORA2B/ARAF/ATF4/BDNF/CALM3/CREB1/CREB3/CREB3L3/CREB5/DDC/DRD2/GNAS/GNB2/GNB3/GNB4/GNB5/GNG10/GNG12/GNG3/GNG4/GNG5/GNG7/GNG8/GRIN1/GRIN2A/GRIN3A/GRIN3B/H2AB1/H2AB2/H2AJ/H2AZ2/H2AX/MACROH2A1/MACROH2A2/H2BW2/H3-3A/H3-3B/HDAC10/HDAC11/HDAC3/HDAC4/HDAC5/HDAC8/H2AC1/H2AC4/H2AC6/H2AC14/H2AC11/H2AC13/H2BC5/H2BC9/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H4C1/H4C2/H4C3/H4C4/H4C6/H4C8/H4C9/H4C11/H4C12/H2AC19/H3C13/H4C14/H4C16/HRAS/MAOA/MAP2K1/MAPK3/NTRK2/PPP1CB/PPP1R1B/PRKACB/RAF1/SHC1/SHC2/SLC18A2/SLC29A2/SLC29A3	pos.rank
