ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
RNA polymerase	32	-0.885181772824686	-2.79765829156861	0.00100300902708124	0.0118654093740214	0.0101823855717794	1311	tags=88%, list=8%, signal=81%	51728/27297/5439/81488/9533/5440/64425/10621/55718/10849/5435/171568/5432/661/5438/30834/5430/55703/51082/5434/5441/221830/84172/5437/25885/5433/5431/5436	POLR1G/CRCP/POLR1A/POLR1B/POLR1C/POLR1D/POLR1E/POLR2A/POLR2B/POLR2C/POLR2D/POLR2E/POLR2F/POLR2G/POLR2H/POLR2I/POLR2J/POLR2K/POLR2L/POLR2M/POLR3B/POLR3D/POLR3E/POLR3F/POLR3H/POLR3K/POLR1F/POLR1H	pos.rank
Spliceosome	124	-0.719490519724668	-2.6021728455236	0.000999000999000999	0.0118654093740214	0.0101823855717794	1604	tags=71%, list=10%, signal=65%	6430/22985/51729/1665/10915/6431/22827/84991/11017/151903/23350/10285/6625/9416/3183/220988/10523/7919/27258/51639/11338/988/51645/58517/9410/9984/9092/23451/5356/10291/9879/8449/9129/153527/6635/10946/51690/4686/6427/10569/57187/22938/51503/6634/23450/56949/6628/10713/84321/57461/6632/10262/3312/9939/9128/3190/27339/3192/26121/6426/9716/8175/6428/83443/24148/55696/51691/6637/57819/25804/23020/6633/11157/23658/4116/22916/7307/51340/1659/10907/10594/10992/6627/4809/9343/9775/84844/6636	ACIN1/AQR/CCDC12/CDC5L/CHERP/CRNKL1/CWC15/DDX23/DDX39B/DDX46/DHX15/DHX16/DHX8/EFTUD2/EIF4A3/HNRNPA3/HNRNPC/HNRNPK/HNRNPU/HSPA8/ISY1/LSM2/LSM3/LSM4/LSM5/LSM6/LSM7/LSM8/MAGOH/NCBP1/NCBP2/SNU13/PHF5A/PLRG1/PPIL1/PRPF19/PRPF3/PRPF31/PRPF4/PRPF6/PRPF8/PUF60/RBM17/RBM22/RBM25/RBM8A/SART1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SLU7/SMNDC1/SNRNP200/SNRNP27/SNRNP40/SNRNP70/SNRPA1/SNRPB/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNRPG/SNW1/SRSF1/SRSF2/SRSF3/SRSF5/SRSF6/TCERG1/THOC1/THOC2/THOC3/TXNL4A/U2AF1/U2AF2/U2SURP/USP39/WBP11/XAB2/ZMAT2	pos.rank
Ribosome	126	-0.691999062035627	-2.50262526783612	0.000999000999000999	0.0118654093740214	0.0101823855717794	1361	tags=63%, list=8%, signal=58%	51073/124995/6159/51264/6170/51318/6173/6218/64928/6152/6210/6206/6230/64968/6209/6232/6176/6229/6130/6164/11224/6231/6187/6134/6136/51187/6138/6223/6175/7311/6160/6224/6235/6168/6139/2197/6193/6204/6161/6181/6227/6189/6125/4736/6135/6188/3921/6128/6201/6234/25873/6137/6165/6217/6228/6205/6203/6147/6124/6207/6154/6122/6208/6141/6129/6194/6132/6233/6157/6142/6143/6222/6156/9045/6133/6167/9349/6191/6202	FAU/MRPL10/MRPL14/MRPL27/MRPL35/MRPL4/MRPS6/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL23/RPL23A/RPL24/RPL26/RPL27A/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL37/RPL37A/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/UBA52	pos.rank
Ribosome biogenesis in eukaryotes	73	-0.704871016457916	-2.43687550571645	0.000999000999000999	0.0118654093740214	0.0101823855717794	3283	tags=82%, list=20%, signal=66%	166378/29102/138716/56001/51119/57455/25996/10171/10940/4931/54552/6949/54433/55272/10528/10248/51096/28987/2091/22803/1460/55341/10556/23195/10799/10436/10775/26354/10557/84916/9790/51367/27341/55505/65083/1736/55813/55651/51077/5822/10607/10482/7514/83732/134430/92856/23560/29889/51068/51602/10885/3692/84135/84128/5901/55226/29107/4809/55127/23160	BMS1/UTP4/CSNK2B/DKC1/DROSHA/EIF6/EMG1/FBL/FCF1/GAR1/GNL2/GNL3/GNL3L/GTPBP4/HEATR1/IMP3/IMP4/LSG1/MDN1/NAT10/NHP2/SNU13/NMD3/NOB1/NOL6/NOP10/NOP56/NOP58/NVL/NXF1/NXF2/NXT1/POP1/POP4/POP5/POP7/PWP2/RAN/RCL1/REXO2/REXO1/RIOK1/RPP25L/RPP30/RPP38/RPP40/RRP7A/SBDS/AFG2A/TBL3/TCOF1/UTP15/UTP18/UTP6/WDR3/WDR36/WDR43/WDR75/XPO1/XRN2	pos.rank
Nucleotide excision repair	57	-0.718966977487163	-2.42757608967446	0.000999000999000999	0.0118654093740214	0.0101823855717794	2289	tags=67%, list=14%, signal=58%	3978/56655/6119/54107/2966/10714/5439/81488/2071/2067/1642/5983/5440/2068/2968/2967/5982/4331/5435/6118/5432/1022/5425/5438/9978/5985/5430/5434/5984/5441/5437/6117/5433/5424/5111/5431/5426/5436	CDK7/DDB1/ERCC1/ERCC2/ERCC3/GTF2H2/GTF2H3/GTF2H4/LIG1/MNAT1/PCNA/POLD1/POLD2/POLD3/POLE/POLE3/POLE4/POLR2A/POLR2B/POLR2C/POLR2D/POLR2E/POLR2F/POLR2G/POLR2H/POLR2I/POLR2J/POLR2K/POLR2L/POLR2M/RBX1/RFC2/RFC3/RFC4/RFC5/RPA1/RPA2/RPA3	pos.rank
Proteasome	45	-0.731433893048997	-2.41118313283869	0.000999000999000999	0.0118654093740214	0.0101823855717794	1166	tags=64%, list=7%, signal=60%	5683/5713/5694/5707/5714/7979/5709/5702/5690/5717/5689/5682/5710/9861/5708/5706/5704/5705/51371/5700/5691/5688/5692/5701/5687/5686/10213/5684/5685	POMP/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/SEM1	pos.rank
DNA replication	35	-0.710239769110398	-2.27802634406477	0.001	0.0118654093740214	0.0101823855717794	2289	tags=74%, list=14%, signal=64%	3978/56655/10535/6119/23649/54107/10714/5983/5422/5558/5982/4173/4174/6118/4176/5425/4172/5985/4171/5984/1763/6117/5424/5111/5557/5426	DNA2/LIG1/MCM2/MCM3/MCM4/MCM5/MCM7/PCNA/POLA1/POLA2/POLD1/POLD2/POLD3/POLE/POLE3/POLE4/PRIM1/PRIM2/RFC2/RFC3/RFC4/RFC5/RNASEH2A/RPA1/RPA2/RPA3	pos.rank
Mismatch repair	21	-0.688477744054444	-2.06354254235457	0.00100908173562059	0.0118654093740214	0.0101823855717794	2289	tags=62%, list=14%, signal=53%	3978/6119/9156/10714/5983/5982/6118/5425/5985/5984/6117/5424/5111	EXO1/LIG1/PCNA/POLD1/POLD2/POLD3/RFC2/RFC3/RFC4/RFC5/RPA1/RPA2/RPA3	pos.rank
Nucleocytoplasmic transport	102	-0.559124227895264	-1.99292204270939	0.000999000999000999	0.0118654093740214	0.0101823855717794	2363	tags=54%, list=14%, signal=47%	53371/10250/84305/9818/3837/10189/91181/9972/22985/23511/8021/26019/51194/10284/7919/51808/80145/10073/2733/9984/10921/23165/55308/81929/4927/4686/79902/4928/57122/57187/6613/7175/84321/9631/10527/5411/9939/9670/23534/5905/10482/7514/5976/23279/6396/9688/51068/1434/4116/1915/22916/5901/29107/8480/9775	ACIN1/ALYREF/CSE1L/DDX19A/DDX39B/EEF1A1/EIF4A3/GLE1/IPO11/IPO13/IPO7/KPNB1/MAGOH/NCBP1/NCBP2/NMD3/NUP107/NUP153/NUP155/NUP160/NUP188/NUP205/NUP210L/NUP214/NUP54/NUP85/NUP88/NUP93/NUP98/NUP58/NXF1/NXT1/PHAX/PNN/RAE1/RAN/RANGAP1/RBM8A/RNPS1/SAP18/SEC13/SEH1L/SNUPN/SRRM1/SUMO2/THOC1/THOC2/THOC3/THOC7/TNPO3/TPR/UPF1/UPF2/PYM1/XPO1	pos.rank
Homologous recombination	40	-0.603854564940556	-1.96700854319977	0.001	0.0118654093740214	0.0101823855717794	2089	tags=52%, list=13%, signal=46%	9577/6119/7517/4361/5932/80198/79728/4683/10714/5892/675/11073/580/7979/5889/641/6118/5425/5888/6117/5424	BARD1/BLM/BRCA2/BABAM2/MRE11/MUS81/NBN/PALB2/POLD1/POLD2/POLD3/RAD51/RAD51C/RAD51D/RBBP8/RPA1/RPA2/RPA3/SEM1/TOPBP1/XRCC3	pos.rank
