ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Ribosome	124	-0.548169497310304	-1.9940677632806	0.000999000999000999	0.097331240188383	0.0961444570467127	1328	tags=35%, list=8%, signal=33%	11222/51373/6136/55052/6154/54460/6232/63875/6206/6165/6233/9045/64968/6203/6129/3921/6124/6142/6170/6156/6138/6130/6223/6217/2197/6164/6135/51187/6193/6122/6181/6128/6202/6228/6188/7311/11224/6230/6161/6167/6143/6235/6189/6234	FAU/MRPL17/MRPL20/MRPL3/MRPS17/MRPS21/MRPS6/RPL11/RPL12/RPL14/RPL15/RPL18A/RPL19/RPL26/RPL3/RPL30/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL39/RPL4/RPL6/RPL7/RPL7A/RPLP2/RPS12/RPS16/RPS19/RPS23/RPS25/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/RSL24D1/UBA52	pos.rank
Spliceosome	124	-0.490574984338883	-1.78455708780216	0.000999000999000999	0.097331240188383	0.0961444570467127	1913	tags=28%, list=11%, signal=25%	6427/6432/153527/84321/7919/23350/27316/56259/3192/51639/6634/6429/151903/988/9416/6636/3178/6431/220988/55119/5356/57819/27258/9984/9410/7307/51503/6627/6632/9128/51645/55696/9716/10907/51691	AQR/CCDC12/CDC5L/CTNNBL1/CWC15/DDX23/DDX39B/HNRNPA1/HNRNPA3/HNRNPU/LSM2/LSM3/LSM8/PLRG1/PPIL1/PRPF38B/PRPF4/RBM22/RBMX/SF3B6/SNRNP40/SNRPA1/SNRPD1/SNRPD3/SNRPF/SRSF2/SRSF4/SRSF6/SRSF7/THOC1/THOC3/TXNL4A/U2AF1/U2SURP/ZMAT2	pos.rank
DNA replication	35	-0.513447574190218	-1.65535668234001	0.000999000999000999	0.097331240188383	0.0961444570467127	3095	tags=40%, list=19%, signal=33%	54107/5982/84153/5558/4173/6119/4175/3978/4174/4171/5983/5426/5985/6117	LIG1/MCM2/MCM4/MCM5/MCM6/POLE/POLE3/PRIM2/RFC2/RFC3/RFC5/RNASEH2C/RPA1/RPA3	pos.rank
Fanconi anemia pathway	48	-0.46324001045985	-1.55267984410823	0.001998001998002	0.097331240188383	0.0961444570467127	2489	tags=35%, list=15%, signal=30%	378708/2175/55215/6119/5429/2188/5395/3280/5889/22909/51455/79728/9894/11201/7156/6117/5888	CENPS/FAN1/FANCA/FANCF/FANCI/HES1/PALB2/PMS2/POLH/POLI/RAD51/RAD51C/REV1/RPA1/RPA3/TELO2/TOP3A	pos.rank
Ribosome biogenesis in eukaryotes	73	-0.425763941824502	-1.48657650989939	0.001998001998002	0.097331240188383	0.0961444570467127	3619	tags=36%, list=22%, signal=28%	51602/23195/51119/4931/55651/1459/3692/51096/10885/23560/138716/81691/10799/10248/28987/10775/10436/84135/54552/1460/10482/10607/27341/29107/65083/26354	REXO5/CSNK2A2/CSNK2B/EIF6/EMG1/GNL3/GNL3L/GTPBP4/MDN1/NHP2/NOB1/NOL6/NOP58/NVL/NXF1/NXT1/POP4/POP7/RPP25L/RPP40/RRP7A/SBDS/TBL3/UTP15/UTP18/WDR3	pos.rank
Cell cycle	150	-0.373306816004975	-1.37229068871496	0.001998001998002	0.097331240188383	0.0961444570467127	6543	tags=49%, list=39%, signal=30%	996/8555/81620/9133/2810/11200/993/10735/10912/29882/1874/7709/4089/991/7531/6502/119504/2932/1875/7529/1663/890/10971/8697/5526/472/151648/8379/8317/90381/5518/26271/5527/1017/1647/5515/1032/7040/23383/1030/990/4173/5528/27127/699/7157/2033/10393/8556/1031/27085/9319/29945/1029/4175/9587/25847/157570/4174/1387/246184/4171/983/5000/1019/9184/10926/1111/51433/7027/23594/7272/51529	ANAPC10/ANAPC11/ANAPC13/ANAPC16/ANAPC2/ANAPC4/ANAPC5/ATM/BUB1/BUB3/CCNA2/CCNB2/CDC14A/CDC14B/CDC20/CDC23/CDC25A/CDC26/CDC27/CDC6/CDC7/CDK1/CDK2/CDK4/CDKN2A/CDKN2B/CDKN2C/CDKN2D/CDT1/CHEK1/CHEK2/CREBBP/DBF4/DDX11/E2F4/E2F5/EP300/ESCO2/FBXO5/GADD45A/GADD45G/GSK3B/MAD1L1/MAD2L1BP/MAU2/MCM2/MCM4/MCM5/MCM6/MTBP/ORC4/ORC6/PPP2CA/PPP2R1A/PPP2R5B/PPP2R5C/PPP2R5D/SFN/SGO1/SKP2/SMAD4/SMC1B/STAG2/TFDP1/TGFB1/TICRR/TRIP13/TP53/TTK/YWHAB/YWHAE/YWHAQ/ZBTB17	pos.rank
Coronavirus disease - COVID-19	205	-0.356145995241822	-1.33201169092573	0.001998001998002	0.097331240188383	0.0961444570467127	1324	tags=21%, list=8%, signal=20%	4792/3456/6136/6154/5602/6232/51135/23118/6206/6165/6233/9045/6203/6129/3921/6124/727/6142/6170/6156/6138/6130/6223/6217/2197/6164/6135/51187/6193/6122/6181/6128/6202/6228/6188/7311/11224/6230/6161/6167/6143/6235/6189/6234	FAU/C5/IFNB1/IRAK4/MAPK10/NFKBIA/RPL11/RPL12/RPL14/RPL15/RPL18A/RPL19/RPL26/RPL3/RPL30/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL39/RPL4/RPL6/RPL7/RPL7A/RPLP2/RPS12/RPS16/RPS19/RPS23/RPS25/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/RSL24D1/TAB2/UBA52	pos.rank
Terpenoid backbone biosynthesis	22	-0.564936222517898	-1.70071364298766	0.00303030303030303	0.114814814814815	0.113414850256956	3386	tags=41%, list=20%, signal=33%	3158/51449/2342/23463/9986/3156/9453/4598/2339	FNTA/FNTB/GGPS1/HMGCR/HMGCS2/ICMT/MVK/PCYOX1/RCE1	pos.rank
Parkinson disease	237	-0.341247197602913	-1.28783573362728	0.002997002997003	0.114814814814815	0.113414850256956	7802	tags=53%, list=47%, signal=29%	5693/842/292/4708/1616/6390/1350/55669/6571/514/7316/2861/6531/2770/9927/805/55334/125965/4697/143471/4128/4712/7318/10105/7280/7278/51079/4710/9861/10383/29985/808/84790/7494/815/498/7388/5694/4715/10382/4129/4700/29986/9627/518/64837/91860/817/347733/810/54205/4719/5695/4717/118424/3800/1339/2771/4702/4722/4701/1351/5714/1649/4729/4705/9377/7384/6622/22926/81027/10131/581/836/4891/1812/65018/1813/5413/5691/4696/9167/9246/7345/516/11315/7157/4728/84701/513/3799/64116/4709/4716/111/4217/1337/4726/6570/10376/7314/51465/4724/816/5602/3709/9451/5690/120892/6233/5689/10476/84617/5687/7846/5719/203068/5707/5705/5710/7979/7317/5684/7311/6647/57181	ADCY5/ATF6/ATP5F1A/ATP5F1D/ATP5F1E/ATP5MC1/ATP5MC3/ATP5PD/BAX/CALM2/CALM3/CALML3/CALML4/CAMK2A/CAMK2B/CAMK2D/CASP3/CASP9/COX4I2/COX5A/COX6A1/COX6A2/COX6B2/COX7A2L/COX7C/COX8A/CYCS/DAXX/DDIT3/DRD1/DRD2/EIF2AK3/GNAI1/GNAI2/GPR37/ITPR2/KIF5B/KIF5C/KLC2/LRRK2/MAOA/MAOB/MAP3K5/MAPK10/MFN1/MFN2/NDUFA10/NDUFA13/NDUFA3/NDUFA4/NDUFA6/NDUFA7/NDUFA8/NDUFB10/NDUFB2/NDUFB3/NDUFB4/NDUFB6/NDUFB9/NDUFC1/NDUFS1/NDUFS3/NDUFS4/NDUFS6/NDUFS8/NDUFV2/PARK7/PINK1/PPIF/PSMA3/PSMA6/PSMA8/PSMB1/PSMB2/PSMB3/PSMB5/PSMB6/PSMB7/PSMC5/PSMD1/PSMD13/PSMD4/PSMD6/PSMD8/RPS27A/SDHB/SEPTIN5/SEM1/SLC11A2/SLC18A1/SLC18A2/SLC25A5/SLC39A10/SLC39A2/SLC39A3/SLC39A8/SLC39A9/SLC6A3/SNCA/SNCAIP/SOD1/TRAP1/TP53/TUBA1A/TUBA1B/TUBA1C/TUBA3C/TUBB1/TUBB2A/TUBB2B/TUBB4A/TUBB4B/TUBB/TUBB6/UBA1/UBA52/UBA7/UBB/UBC/UBE2J1/UBE2J2/UBE2L6/UCHL1/UQCRC1/UQCRH/XBP1	pos.rank
Mismatch repair	21	-0.533286978271449	-1.59480365491305	0.00709939148073022	0.242089249492901	0.23913739724565	6238	tags=57%, list=37%, signal=36%	57804/5424/4292/9156/4437/5982/6119/5395/3978/5983/5985/6117	EXO1/LIG1/MLH1/MSH3/PMS2/POLD1/POLD4/RFC2/RFC3/RFC5/RPA1/RPA3	pos.rank
