ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Cholesterol metabolism	50	-0.464071253763061	-1.55040529485617	0.003	0.681318681318681	0.681318681318681	7389	tags=64%, list=39%, signal=39%	706/341/1593/338/348/4023/10948/344/6770/3988/64240/949/7417/64241/345/948/3949/51129/4036/4043/350/6272/5360/27141/9388/4018/4864/337/7416/1581/57552/114879	ABCG5/ABCG8/ANGPTL4/APOA4/APOB/APOC1/APOC2/APOC3/APOE/APOH/CD36/CIDEB/CYP27A1/CYP7A1/LDLR/LIPA/LIPG/LPA/LPL/LRP2/LRPAP1/NCEH1/NPC1/OSBPL5/PLTP/SCARB1/SORT1/STAR/STARD3/TSPO/VDAC1/VDAC2	pos.rank
Antigen processing and presentation	67	-0.411328551153175	-1.41614581081544	0.004995004995005	0.681318681318681	0.681318681318681	8610	tags=64%, list=46%, signal=35%	3326/3305/3812/3106/3320/3821/3809/811/4261/3119/3122/3113/4801/4800/3133/3822/3127/5993/3308/3824/3804/3310/3118/3108/925/6892/3117/567/5641/1514/5721/3134/5994/3312/3303/3107/1508/115653/3823/3805/5720/1520/920	B2M/CALR/CD4/CD8A/CIITA/CTSB/CTSL/CTSS/HLA-B/HLA-C/HLA-DMA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DRA/HLA-DRB5/HLA-E/HLA-F/HSP90AA1/HSP90AB1/HSPA1A/HSPA1L/HSPA4/HSPA6/HSPA8/KIR2DL3/KIR2DL4/KIR2DS4/KIR3DL2/KIR3DL3/KLRC1/KLRC2/KLRC3/KLRD1/LGMN/NFYA/NFYB/PSME1/PSME2/RFX5/RFXAP/TAPBP	pos.rank
Fc gamma R-mediated phagocytosis	90	-0.385413016389175	-1.35611150912252	0.00799200799200799	0.681318681318681	0.681318681318681	6649	tags=43%, list=35%, signal=28%	2212/4651/2214/2215/57180/1399/5058/273/55616/2934/1072/8605/10552/1398/6850/5291/56848/5581/382/10096/6199/653361/5321/8394/65108/7410/3635/8398/5580/5295/10094/10810/10163/5337/5788/2213/4067/8395/3636	ACTR3/ACTR3B/AMPH/ARF6/ARPC1A/ARPC3/ASAP3/CFL1/CRK/CRKL/FCGR2A/FCGR2B/FCGR3A/FCGR3B/GSN/INPP5D/INPPL1/LYN/MARCKSL1/MYO10/NCF1/PAK1/PIK3CB/PIK3R1/PIP5K1A/PIP5K1B/PLA2G4A/PLA2G4C/PLA2G6/PLD1/PRKCD/PRKCE/PTPRC/RPS6KB2/SPHK2/SYK/VAV2/WASF2/WASF3	pos.rank
FoxO signaling pathway	128	-0.369090489950053	-1.33049999909659	0.00599400599400599	0.681318681318681	0.681318681318681	5061	tags=36%, list=27%, signal=26%	5565/10110/1454/11337/1950/6446/5934/3845/1263/6789/1647/5291/7042/4893/901/23710/114907/3265/472/3276/356/11345/3480/51422/8660/369/847/3479/5728/673/2309/80854/4089/7043/2308/5602/604/5347/3586/595/5295/6300/1432/10365/4193/2885	ARAF/ATM/BCL6/BRAF/CAT/CCND1/CCNG2/CSNK1E/EGF/FASLG/FBXO32/FOXO1/FOXO3/GABARAP/GABARAPL1/GABARAPL2/GADD45A/GRB2/HRAS/IGF1/IGF1R/IL10/IRS2/KLF2/KRAS/MAPK10/MAPK12/MAPK14/MDM2/NRAS/PIK3CB/PIK3R1/PLK1/PLK3/PRKAB2/PRKAG2/PRMT1/PTEN/RBL2/SETD7/SGK1/SGK2/SMAD4/STK4/TGFB2/TGFB3	pos.rank
Thiamine metabolism	15	-0.547600818814608	-1.52989796706652	0.01440329218107	0.851648351648352	0.851648351648352	8069	tags=87%, list=43%, signal=49%	250/249/84284/205/204/203/52/27010/122481/79178/9054/248/251	ACP1/AK1/AK2/AK4/AK7/ALPI/ALPL/ALPP/ALPG/NFS1/NTPCR/THTPA/TPK1	pos.rank
Phosphatidylinositol signaling system	96	-0.372116996135914	-1.3149583662146	0.014985014985015	0.851648351648352	0.851648351648352	4434	tags=33%, list=24%, signal=26%	56623/3633/3628/3710/5291/8897/51196/90809/22876/8525/5728/79837/55300/8898/805/801/1608/3707/8394/139189/3635/5295/253430/9162/1040/808/1606/9110/5287/3706/8395/3636	CALM1/CALM2/CALM3/CDS1/DGKA/DGKG/DGKI/DGKK/DGKZ/INPP1/INPP5B/INPP5D/INPP5E/INPP5F/INPPL1/IPMK/ITPKA/ITPKB/ITPR3/MTMR2/MTMR3/MTMR4/PI4K2B/PIK3C2B/PIK3CB/PIK3R1/PIP4K2C/PIP5K1A/PIP5K1B/PLCE1/PTEN/PIP4P1	pos.rank
Ubiquinone and other terpenoid-quinone biosynthesis	11	-0.579070770047931	-1.51475948803661	0.0243128964059197	0.884264671498714	0.884264671498714	5338	tags=55%, list=28%, signal=39%	2677/51004/51805/154807/84274/79001	COQ3/COQ5/COQ6/GGCX/VKORC1/VKORC1L1	pos.rank
Maturity onset diabetes of the young	25	-0.478223531564645	-1.45718352347244	0.0221550855991944	0.884264671498714	0.884264671498714	8680	tags=68%, list=46%, signal=37%	3172/5078/389692/4825/5080/3651/4760/2494/4821/3375/2645/50674/5313/3174/6927/3110/3171	FOXA3/GCK/HNF1A/HNF4A/HNF4G/IAPP/MAFA/MNX1/NEUROD1/NEUROG3/NKX2-2/NKX6-1/NR5A2/PAX4/PAX6/PDX1/PKLR	pos.rank
Glycine, serine and threonine metabolism	39	-0.414896582736281	-1.34594345035272	0.035035035035035	0.884264671498714	0.884264671498714	6738	tags=56%, list=36%, signal=36%	875/4129/132158/211/1738/2653/10993/2628/4128/5223/441531/64902/669/29958/51268/5224/9380/55349/2731/212/63826/1757	AGXT2/ALAS1/ALAS2/BPGM/CBS/CHDH/DLD/DMGDH/GATM/GCSH/GLDC/GLYCTK/GRHPR/MAOA/MAOB/PGAM1/PGAM2/PGAM4/PIPOX/SARDH/SDS/SRR	pos.rank
Autoimmune thyroid disease	49	-0.40209491152218	-1.33774505971949	0.035	0.884264671498714	0.884264671498714	8143	tags=55%, list=43%, signal=31%	3106/959/3442/3119/7173/3449/3122/3451/3113/3441/3133/3448/3127/3447/3446/1493/3118/3108/356/3117/3443/3134/1081/3107/3444/3440/3586	CD40LG/CGA/CTLA4/FASLG/HLA-B/HLA-C/HLA-DMA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DRA/HLA-DRB5/HLA-E/HLA-F/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IL10/TPO	pos.rank
