ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Malaria	49	-0.447500863542341	-1.47906215633379	0.000999000999000999	0.0681318681318681	0.0637257479362743	4060	tags=39%, list=22%, signal=30%	3040/2993/1311/2995/6401/4233/3689/948/3820/2532/54106/975/7042/3683/6403/1378/7057/7124/7059	ACKR1/CD36/CD81/COMP/CR1/GYPA/GYPC/HBA2/ITGAL/ITGB2/KLRB1/MET/SELE/SELP/TGFB2/THBS1/THBS3/TLR9/TNF	pos.rank
TGF-beta signaling pathway	108	-0.407066787946718	-1.44833899226591	0.000999000999000999	0.0681318681318681	0.0637257479362743	5897	tags=48%, list=31%, signal=33%	4092/3398/4086/269/7037/654/6667/3624/10468/8646/56963/100532736/3625/130399/5308/652/1387/8200/657/5516/64388/2033/5594/148738/4681/4088/268/658/353500/2615/7046/5515/7042/4089/3547/656/3066/25805/6497/5595/25942/9611/9372/285704/7057/5518/653/3077/7048/7124/7027/92	ACVR1C/ACVR2A/AMH/AMHR2/BAMBI/BMP4/BMP5/BMP6/BMP8A/BMP8B/BMPR1A/BMPR1B/CHRD/CREBBP/EP300/FST/GDF5/GREM2/HDAC2/HFE/HJV/ID2/IGSF1/INHBA/INHBB/LRRC32/MAPK1/MAPK3/MICOS10-NBL1/NBL1/NCOR1/PITX2/PPP2CA/PPP2CB/PPP2R1A/RGMA/RGMB/SIN3A/SKI/SMAD1/SMAD3/SMAD4/SMAD7/SP1/TFDP1/TFRC/TGFB2/TGFBR1/TGFBR2/THBS1/TNF/ZFYVE9	pos.rank
Th17 cell differentiation	105	-0.397024794807714	-1.40966591118903	0.000999000999000999	0.0681318681318681	0.0637257479362743	6548	tags=45%, list=35%, signal=29%	59067/3113/6776/3570/4087/5534/6774/3091/3117/3566/7297/5914/6258/5594/3594/9466/6256/6257/4088/4792/3112/6300/5599/6097/4772/50943/5335/4793/5532/7046/3122/4089/246778/3725/3560/5595/3717/196/3932/1432/7048/5530/5601/6772/6095/6778/2625	AHR/FOXP3/GATA3/HIF1A/HLA-DOB/HLA-DPA1/HLA-DQA1/HLA-DRA/IL12RB1/IL21/IL27/IL27RA/IL2RB/IL4R/IL6R/JAK2/JUN/LCK/MAPK1/MAPK12/MAPK14/MAPK3/MAPK8/MAPK9/NFATC1/NFKBIA/NFKBIB/PLCG1/PPP3CA/PPP3CB/PPP3R1/RARA/RORA/RORC/RXRA/RXRB/RXRG/SMAD2/SMAD3/SMAD4/STAT1/STAT3/STAT5A/STAT6/TGFBR1/TGFBR2/TYK2	pos.rank
AGE-RAGE signaling pathway in diabetic complications	100	-0.386631309072051	-1.36696640804429	0.000999000999000999	0.0681318681318681	0.0637257479362743	7580	tags=52%, list=40%, signal=31%	5581/5879/5054/23236/1278/5331/5333/3845/2308/1284/7056/6776/4087/6774/1906/4893/185/1019/1281/113026/177/6401/4846/5594/7422/1536/4088/6300/5599/4772/1288/5335/2335/5295/1958/7046/7042/4089/3725/595/5332/5595/1285/3717/1729/7424/1432/5580/7048/7124/5601/6772	AGER/AGTR1/CCND1/CDK4/COL1A2/COL3A1/COL4A2/COL4A3/COL4A6/CYBB/DIAPH1/EDN1/EGR1/FN1/FOXO1/JAK2/JUN/KRAS/MAPK1/MAPK12/MAPK14/MAPK3/MAPK8/MAPK9/NFATC1/NOS3/NRAS/PIK3R1/PLCB1/PLCB3/PLCB4/PLCD1/PLCD3/PLCG1/PRKCD/PRKCE/RAC1/SELE/SERPINE1/SMAD2/SMAD3/SMAD4/STAT1/STAT3/STAT5A/TGFB2/TGFBR1/TGFBR2/THBD/TNF/VEGFA/VEGFC	pos.rank
Hippo signaling pathway	156	-0.374827821192252	-1.36460497737769	0.000999000999000999	0.0681318681318681	0.0637257479362743	5990	tags=46%, list=32%, signal=31%	4771/8313/4092/84962/3398/4086/1742/654/174/8463/7855/7472/6657/89780/64398/894/7005/60485/56288/652/329/330/332/23286/11186/8200/11211/657/5516/1739/3689/85407/5500/8994/6932/4088/268/658/353500/85409/7481/84612/26524/1499/7046/1741/5515/7042/10971/7480/4089/656/7474/2246/54361/1454/9113/595/126374/51176/896/1857/5584/5518/5522/653/29119/7048/374/8325/83439	AFP/AJUBA/AMH/AREG/AXIN2/BIRC2/BIRC3/BIRC5/BMP4/BMP5/BMP6/BMP8A/BMP8B/BMPR1A/BMPR1B/CCND1/CCND2/CCND3/CSNK1E/CTNNA3/CTNNB1/DLG1/DLG3/DLG4/DVL3/FGF1/FZD10/FZD5/FZD8/GDF5/ID2/ITGB2/LATS1/LATS2/LEF1/LIMD1/PALS1/NF2/NKD1/NKD2/PARD3/PARD6B/PPP1CB/PPP2CA/PPP2CB/PPP2R1A/PPP2R2C/PRKCI/RASSF1/SAV1/SMAD1/SMAD3/SMAD4/SMAD7/SOX2/TCF7/TCF7L1/TEAD2/TEAD3/TGFB2/TGFBR1/TGFBR2/WNT10B/WNT11/WNT2/WNT3A/WNT4/WNT5A/WTIP/WWC1/YWHAQ	pos.rank
B cell receptor signaling pathway	81	-0.403902348948527	-1.40609167254652	0.001998001998002	0.113553113553114	0.10620957989379	4099	tags=33%, list=22%, signal=26%	1380/6655/5594/10990/4792/84433/4772/975/5295/5604/4793/5532/10892/10288/3725/11025/5595/2213/11006/2885/3635/6654/7410/5530/971/4067/3636	CARD11/CD72/CD81/CR2/FCGR2B/GRB2/INPP5D/INPPL1/JUN/LILRB2/LILRB3/LILRB4/LILRB5/LYN/MALT1/MAP2K1/MAPK1/MAPK3/NFATC1/NFKBIA/NFKBIB/PIK3R1/PPP3CA/PPP3CB/SOS1/SOS2/VAV2	pos.rank
Adherens junction	89	-0.397061261479932	-1.39071841540971	0.002997002997003	0.127747252747253	0.119485777380514	5908	tags=47%, list=31%, signal=32%	2534/93408/8976/103910/5792/87/8936/5777/1500/10398/56288/6615/2260/1387/4233/2033/5594/283106/6885/6932/1956/4088/52/10810/889/4636/4008/10458/1499/7046/10580/4089/10163/3480/51176/5595/29119/7048/5795/1460/83439/1003	ACP1/ACTN1/BAIAP2/CDH5/CREBBP/CSNK2A3/CSNK2B/CTNNA3/CTNNB1/CTNND1/EGFR/EP300/FGFR1/FYN/IGF1R/KRIT1/LEF1/LMO7/MAP3K7/MAPK1/MAPK3/MET/MYL10/MYL12B/MYL5/MYL9/PARD3/PTPN6/PTPRF/PTPRJ/SMAD3/SMAD4/SNAI1/SORBS1/TCF7/TCF7L1/TGFBR1/TGFBR2/WASF1/WASF2/WASF3/WASL	pos.rank
Colorectal cancer	85	-0.395391295020898	-1.37987436771464	0.002997002997003	0.127747252747253	0.119485777380514	4734	tags=36%, list=25%, signal=27%	842/4893/332/1630/54205/6655/5594/26060/4292/6932/1956/4088/5899/5599/5295/5604/1499/7046/7042/5898/4089/3725/595/51176/5595/2885/6654/7048/5601/374/83439	APPL1/AREG/BIRC5/CASP9/CCND1/CTNNB1/CYCS/DCC/EGFR/GRB2/JUN/LEF1/MAP2K1/MAPK1/MAPK3/MAPK8/MAPK9/MLH1/NRAS/PIK3R1/RALA/RALB/SMAD3/SMAD4/SOS1/SOS2/TCF7/TCF7L1/TGFB2/TGFBR1/TGFBR2	pos.rank
Fatty acid metabolism	56	-0.417070211567192	-1.3999899636821	0.00699300699300699	0.264957264957265	0.247822353085511	6673	tags=52%, list=36%, signal=33%	3992/34/51495/23305/1374/7923/201562/1376/36/8310/2182/51102/35/9524/6342/79071/9374/54995/197322/3033/3032/6319/1962/9415/84869/9200/81616/60481/6785	ACADM/ACADS/ACADSB/ACOX3/ACSBG2/ACSF3/ACSL4/ACSL6/CBR4/CPT1A/CPT2/EHHADH/ELOVL4/ELOVL5/ELOVL6/FADS1/FADS2/HACD1/HACD2/HACD3/HADH/HADHB/HSD17B8/MECR/OXSM/PPT2/SCD/SCP2/TECR	pos.rank
PPAR signaling pathway	74	-0.388608635411298	-1.34542842706868	0.012987012987013	0.316326530612245	0.295869543989845	6947	tags=54%, list=37%, signal=34%	376497/1582/1581/34/23305/1374/51129/3611/1376/8310/2182/5105/6258/4973/10062/2172/10873/6342/440503/6256/6257/4312/948/123/5360/2712/5346/5465/3158/6319/10580/1962/2171/9415/9370/2173/7316/81616/5468/3157	ACADM/ACOX3/ACSBG2/ACSL4/ACSL6/ADIPOQ/ANGPTL4/CD36/CPT1A/CPT2/CYP7A1/CYP8B1/EHHADH/FABP5/FABP6/FABP7/FADS2/GK2/HMGCS1/HMGCS2/ILK/ME3/MMP1/NR1H3/OLR1/PCK1/PLIN1/PLIN2/PLIN5/PLTP/PPARA/PPARG/RXRA/RXRB/RXRG/SCD/SCP2/SLC27A1/SORBS1/UBC	pos.rank
