ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Renin-angiotensin system	23	-0.533973465444145	-1.60700985515802	0.00302724520686176	0.516145307769929	0.516145307769929	4367	tags=52%, list=23%, signal=40%	3817/185/116512/10159/4012/183/7064/4311/59272/5476/5547/1636	ACE/ACE2/AGT/AGTR1/ATP6AP2/CTSA/KLK2/LNPEP/MME/MRGPRD/PRCP/THOP1	pos.rank
Other types of O-glycan biosynthesis	47	-0.463602939143944	-1.52817240522733	0.003	0.516145307769929	0.516145307769929	5874	tags=55%, list=31%, signal=38%	728819/8704/79623/727936/8703/56913/10585/11226/8985/23127/6480/2589/285203/6487/5986/283464/152002/51809/3955/114805/50614/11227/117248/2590/56983/29071	B4GALT2/B4GALT3/C1GALT1/C1GALT1C1/C1GALT1C1L/COLGALT2/EOGT/GALNT1/GALNT13/GALNT14/GALNT15/GALNT2/GALNT5/GALNT6/GALNT7/GALNT9/GXYLT1/GXYLT2/LFNG/PLOD3/POGLUT1/POMT1/RFNG/ST3GAL3/ST6GAL1/XXYLT1	pos.rank
Regulation of lipolysis in adipocytes	55	-0.439325794554509	-1.46962775202168	0.004995004995005	0.567765567765568	0.567765567765568	7585	tags=56%, list=40%, signal=34%	8503/5568/153/113/115/5293/5743/4878/5567/2773/5592/5295/7253/11145/154/51099/5346/8471/5291/57104/5566/5733/4881/63924/2770/155/5593/5742/3991/2778/107	ABHD5/ADCY1/ADCY7/ADCY9/ADRB1/ADRB2/ADRB3/CIDEC/GNAI1/GNAI3/GNAS/IRS4/LIPE/NPPA/NPR1/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PLAAT3/PLIN1/PNPLA2/PRKACA/PRKACB/PRKACG/PRKG1/PRKG2/PTGER3/PTGS1/PTGS2/TSHR	pos.rank
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	-0.497930918928673	-1.50584345592015	0.0141414141414141	0.731445731445731	0.731445731445731	6003	tags=54%, list=32%, signal=37%	8509/2131/9394/64579/126792/3340/9653/9957/11285/2132/26035/266722/9348	B3GALT6/B4GALT7/EXT1/EXT2/GLCE/HS2ST1/HS3ST1/HS6ST1/HS6ST3/NDST1/NDST2/NDST3/NDST4	pos.rank
Mucin type O-glycan biosynthesis	36	-0.459184093487746	-1.46648553580905	0.015015015015015	0.731445731445731	0.731445731445731	1863	tags=31%, list=10%, signal=28%	256435/51809/114805/192134/50614/11227/117248/2590/6483/10610/29071	B3GNT6/C1GALT1C1/GALNT13/GALNT15/GALNT2/GALNT5/GALNT7/GALNT9/ST3GAL2/ST6GALNAC2/ST6GALNAC3	pos.rank
Chagas disease	100	-0.376618026440751	-1.32649742721552	0.00999000999000999	0.731445731445731	0.731445731445731	6270	tags=42%, list=33%, signal=28%	5293/3725/2774/6352/356/3456/5602/5520/2773/3593/7099/5295/5521/5599/3827/7043/7189/917/6300/5291/3654/8517/5054/8772/148022/9630/624/916/2770/5516/3586/712/5522/2769/23236/7048/1432/811/2778/107/1636/919	ACE/ADCY1/BDKRB2/C1QA/CALR/CCL5/CD247/CD3E/CD3G/FADD/FASLG/GNA14/GNA15/GNAI1/GNAI3/GNAL/GNAS/IFNB1/IKBKG/IL10/IL12B/IRAK1/JUN/KNG1/MAPK10/MAPK12/MAPK14/MAPK8/PIK3CB/PIK3CD/PIK3R1/PLCB1/PPP2CB/PPP2R2A/PPP2R2B/PPP2R2C/SERPINE1/TGFB3/TGFBR2/TICAM1/TLR4/TRAF6	pos.rank
Cell adhesion molecules	149	-0.347814493505756	-1.26668045133848	0.012987012987013	0.731445731445731	0.731445731445731	7740	tags=53%, list=41%, signal=31%	3685/22854/83700/3108/7122/4897/114798/4684/9378/139065/100132463/3683/10666/5010/3385/1493/9379/23114/3122/51208/925/4359/10686/84631/8506/3897/23308/6404/3115/3384/3134/2734/26050/50848/3684/57863/1272/5792/3117/6403/3696/80380/4685/22865/5175/1000/4099/100288814/23562/64101/959/9672/1013/3383/4267/3676/9076/9074/3680/644672/201633/920/90952/1001/23705/9071/24146/965/3655/5802/6382/6693/4756/5817/64115/941/947/1003/5788	CADM1/CADM3/CD226/CD34/CD4/CD40LG/CD58/CD80/CD8A/CD99/CDH15/CDH2/CDH3/CDH5/CLDN1/CLDN10/CLDN11/CLDN14/CLDN15/CLDN16/CLDN18/CLDN24/CLDN25/CLDN34/CLDN5/CLDN6/CNTN1/CNTNAP1/CTLA4/ESAM/F11R/GLG1/HLA-DMA/HLA-DPB1/HLA-DQA1/HLA-DRA/HLA-F/ICAM1/ICAM2/ICAM3/ICOSLG/ITGA4/ITGA6/ITGA9/ITGAL/ITGAM/ITGAV/ITGB8/JAM3/L1CAM/LRRC4/MAG/MPZ/NCAM1/NCAM2/NEO1/NFASC/NRCAM/NRXN1/NRXN2/NTNG1/PDCD1LG2/PECAM1/PTPRC/PTPRF/PTPRS/PVR/SDC1/SDC3/SELP/SELPLG/SLITRK1/SLITRK2/SLITRK3/SLITRK4/SLITRK5/SPN/TIGIT/VSIR	pos.rank
Platelet activation	121	-0.349388081069905	-1.25080236015264	0.020979020979021	0.783516483516484	0.783516483516484	5475	tags=36%, list=29%, signal=26%	5567/9138/2773/5592/5295/5321/10672/2815/2212/10627/2243/6300/84876/4638/54518/83660/2814/5291/5590/8773/5739/2909/5566/7450/3690/6786/3674/6850/2770/7408/2982/5906/83706/5593/103910/23236/5742/2977/5500/1278/1432/2778/107/4067	ADCY1/APBB1IP/ARHGAP35/ARHGEF1/COL1A2/FCGR2A/FERMT3/FGA/GNA13/GNAI1/GNAI3/GNAS/GP5/GP9/GUCY1A2/GUCY1A1/ITGA2B/ITGB3/LYN/MAPK12/MAPK14/MYL12A/MYL12B/MYLK/ORAI1/PIK3CB/PIK3R1/PLA2G4A/PLCB1/PPP1CB/PRKACA/PRKACB/PRKCZ/PRKG1/PRKG2/PTGIR/PTGS1/RAP1A/SNAP23/STIM1/SYK/TLN2/VASP/VWF	pos.rank
Measles	135	-0.341402434070919	-1.23431706857661	0.022977022977023	0.783516483516484	0.783516483516484	6797	tags=42%, list=36%, signal=27%	9451/6777/10332/5293/3725/842/8667/356/3456/9641/283106/1459/5602/6504/3593/7157/7099/896/5295/5599/23586/7189/917/3448/3552/5291/3654/8517/8772/317/51284/7128/3661/3303/6774/3440/27102/581/916/3665/6776/29110/4938/3451/1460/1021/2213/23118/9134/7187/595/1019/4179/3449/894/57506/4478	APAF1/BAX/CASP9/CCND1/CCND2/CCND3/CCNE2/CD3E/CD3G/CD46/CDK4/CDK6/CLEC4M/CSNK2A2/CSNK2A3/CSNK2B/RIGI/EIF2AK1/EIF2AK3/EIF3H/FADD/FASLG/FCGR2B/HSPA1A/IFNA14/IFNA16/IFNA17/IFNA2/IFNB1/IKBKE/IKBKG/IL12B/IL1A/IRAK1/IRF3/IRF7/JUN/MAPK10/MAPK8/MAVS/MSN/OAS1/PIK3CB/PIK3CD/PIK3R1/SLAMF1/STAT3/STAT5A/STAT5B/TAB2/TBK1/TLR4/TLR7/TNFAIP3/TP53/TRAF3/TRAF6	pos.rank
FoxO signaling pathway	128	-0.342048734577434	-1.23070643876277	0.022977022977023	0.783516483516484	0.783516483516484	7670	tags=46%, list=41%, signal=27%	9455/8503/6648/10769/80854/2538/5605/901/11337/2033/3575/5293/9454/356/6446/5602/23710/4088/4193/7874/5295/5599/11345/3276/7043/6300/2911/8471/1454/5291/5105/2308/116986/5571/114907/5934/3479/3265/4089/51422/100132074/6774/26260/5564/1263/369/664/3586/7048/6789/10365/8698/595/5728/6517/1432/2885/847/894	AGAP2/ARAF/BNIP3/CAT/CCND1/CCND2/CCNG2/CSNK1E/EP300/FASLG/FBXO25/FBXO32/FOXO1/FOXO6/G6PC1/GABARAP/GABARAPL1/GABARAPL2/GRB2/GRM1/HOMER2/HOMER3/HRAS/IGF1/IL10/IL7R/IRS4/KLF2/MAP2K2/MAPK10/MAPK12/MAPK14/MAPK8/MDM2/PCK1/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PLK2/PLK3/PRKAB1/PRKAG1/PRKAG2/PRMT1/PTEN/RBL2/S1PR4/SETD7/SGK1/SLC2A4/SMAD3/SMAD4/SOD2/STAT3/STK4/TGFB3/TGFBR2/USP7	pos.rank
