ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Fatty acid elongation	27	-0.519957619797415	-1.61110340001305	0.00301204819277108	0.128388554216867	0.116122384273938	4087	tags=44%, list=22%, signal=35%	6785/79071/51495/122970/51144/3030/11332/3032/9374/54898/117145/51102	ACOT4/ACOT7/ELOVL2/ELOVL4/ELOVL6/HACD3/HADHA/HADHB/HSD17B12/MECR/PPT2/THEM4	pos.rank
C-type lectin receptor signaling pathway	104	-0.408218113445164	-1.45145192763294	0.000999000999000999	0.128388554216867	0.116122384273938	6416	tags=44%, list=34%, signal=29%	6772/338339/5580/8517/5058/6367/5781/5532/10332/4792/163688/5601/10379/6773/5290/808/5602/4791/3725/3593/4775/805/3659/3592/5971/51561/4772/1432/91860/801/6300/3710/30835/1263/4193/64170/4776/6850/5599/5743/4046/29108/602/9641/1540/5530	BCL3/CALM1/CALM2/CALM3/CALML4/CALML6/CARD9/CCL22/CD209/CLEC4D/CLEC4M/CYLD/IKBKE/IKBKG/IL12A/IL12B/IL23A/IRF1/IRF9/ITPR3/JUN/LSP1/MAPK10/MAPK12/MAPK14/MAPK8/MAPK9/MDM2/NFATC1/NFATC3/NFATC4/NFKB2/NFKBIA/PAK1/PIK3CA/PLK3/PPP3CA/PPP3CB/PRKCD/PTGS2/PTPN11/PYCARD/RELB/STAT1/STAT2/SYK	pos.rank
Th1 and Th2 cell differentiation	89	-0.409180938161881	-1.43878618109065	0.001998001998002	0.128388554216867	0.116122384273938	6007	tags=43%, list=32%, signal=29%	919/8517/3115/3117/5532/917/916/4792/3460/3118/5601/9794/28514/4094/5602/3516/3725/3593/4775/6778/3592/3566/3565/4772/1432/6300/4854/5335/3127/3122/3932/5599/3596/4794/3560/5530/84441/2625	CD247/CD3E/CD3G/DLL1/GATA3/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB5/IFNGR2/IKBKG/IL12A/IL12B/IL13/IL2RB/IL4/IL4R/JUN/LCK/MAF/MAML1/MAML2/MAPK10/MAPK12/MAPK14/MAPK8/MAPK9/NFATC1/NFATC3/NFKBIA/NFKBIE/NOTCH3/PLCG1/PPP3CA/PPP3CB/RBPJ/STAT6	pos.rank
Relaxin signaling pathway	128	-0.375498179584859	-1.35287746603065	0.001998001998002	0.128388554216867	0.116122384273938	5122	tags=39%, list=27%, signal=29%	2770/4792/7424/148327/1956/59350/5332/1286/7422/1288/10681/90993/5601/399694/5290/122042/5602/2885/2778/1277/3725/114/84699/2793/7048/2791/1281/25759/112/1285/2785/1432/2787/4842/6300/107/117579/1282/5566/5590/5599/10488/3640/4846/5567/111/2773/2769/5330/2792	ADCY1/ADCY5/ADCY6/ADCY8/COL1A1/COL3A1/COL4A1/COL4A3/COL4A4/COL4A6/CREB3/CREB3L1/CREB3L3/CREB3L4/EGFR/GNA15/GNAI1/GNAI3/GNAS/GNB5/GNG11/GNG3/GNG5/GNGT1/GNGT2/GRB2/INSL3/JUN/MAPK10/MAPK12/MAPK14/MAPK8/MAPK9/NFKBIA/NOS1/NOS3/PIK3CA/PLCB2/PLCB4/PRKACA/PRKACB/PRKCZ/RLN3/RXFP1/RXFP2/SHC2/SHC4/TGFBR2/VEGFA/VEGFC	pos.rank
Osteoclast differentiation	132	-0.371633528481408	-1.34230990896685	0.002997002997003	0.128388554216867	0.116122384273938	6506	tags=39%, list=35%, signal=26%	11024/6772/23118/126014/10990/2214/10859/8517/5532/7305/2215/10288/4792/3460/488/5601/3456/10379/6773/5290/1436/2213/5602/1535/2885/4791/3725/7048/140885/5971/4772/1435/169200/54/7006/814/1432/6300/3710/55423/3932/6850/2209/5599/6688/799/2212/8651/1540/5530/5468/9021	ACP5/ATP2A2/CALCR/CAMK4/CSF1/CSF1R/CYBA/CYLD/FCGR1A/FCGR2A/FCGR2B/FCGR3A/FCGR3B/GRB2/IFNB1/IFNGR2/IKBKG/IRF9/ITPR3/JUN/LCK/LILRA1/LILRB1/LILRB2/LILRB5/MAPK10/MAPK12/MAPK14/MAPK8/MAPK9/NFATC1/NFKB2/NFKBIA/OSCAR/PIK3CA/PPARG/PPP3CA/PPP3CB/RELB/SIRPA/SIRPG/SOCS1/SOCS3/SPI1/STAT1/STAT2/SYK/TAB2/TEC/TGFBR2/TMEM64/TYROBP	pos.rank
Apelin signaling pathway	138	-0.369657610215967	-1.33672238790177	0.002997002997003	0.128388554216867	0.116122384273938	5751	tags=43%, list=31%, signal=30%	2788/5564/6543/441925/6546/4208/2770/3991/8862/5332/163688/10681/5289/643246/5581/2475/100506013/4089/6547/808/5327/6198/114/6263/805/100271849/2793/2791/595/112/5565/84557/2785/814/91860/2787/801/4842/6199/107/4854/3710/10672/5054/5566/9759/85366/91807/4846/4634/5567/4209/111/2773/5330/5346/2792/10014/10365	ADCY1/ADCY5/ADCY6/ADCY8/APELA/APLN/BECN2/CALM1/CALM2/CALM3/CALML4/CALML6/CAMK4/CCND1/GNA13/GNAI1/GNAI3/GNB5/GNG11/GNG3/GNG5/GNG7/GNGT1/GNGT2/HDAC4/HDAC5/ITPR3/KLF2/LIPE/MAP1LC3A/MAP1LC3B2/MEF2B/MEF2C/MEF2D/MTOR/MYL3/MYLK2/MYLK3/NOS1/NOS3/NOTCH3/PIK3C3/PLAT/PLCB2/PLCB4/PLIN1/PRKAB1/PRKAB2/PRKACA/PRKACB/PRKCE/RPS6KB1/RPS6KB2/RYR3/SERPINE1/SLC8A1/SLC8A2/SLC8A3/SMAD4	pos.rank
Human T-cell leukemia virus 1 infection	216	-0.358000702666738	-1.32411760738247	0.001998001998002	0.128388554216867	0.116122384273938	6181	tags=41%, list=33%, signal=28%	25847/10524/1387/8517/8295/4215/545/293/4488/3115/3117/7419/8498/5532/917/3105/916/4792/148327/4487/3118/706/472/90993/5423/7094/5601/1031/5290/25906/9133/4089/7850/811/6513/598/5602/331/4791/3725/9519/4085/114/4775/5925/896/84699/7048/1019/387332/7015/595/6908/5901/3689/292/5971/112/3107/2114/4772/6929/51433/6722/107/5902/3127/3122/3932/64784/5566/890/4776/3383/5599/10488/991/6688/5567/111/4801/5728/894/51529/3560/2113/4609/5530/7538	ADCY1/ADCY5/ADCY6/ADCY8/ANAPC11/ANAPC13/ANAPC15/ANAPC5/ATM/ATR/BCL2L1/CALR/CCNA2/CCNB2/CCND1/CCND2/CCND3/CD3E/CD3G/CDC20/CDK4/CDKN2C/CREB3/CREB3L1/CREB3L3/CREB3L4/CREBBP/CRTC3/ETS1/ETS2/HLA-A/HLA-C/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB5/ICAM1/IKBKG/IL1R2/IL2RB/ITGB2/JUN/KAT5/LCK/MAD2L1/MAP3K3/MAPK10/MAPK8/MAPK9/MSX1/MSX2/MYC/NFATC1/NFATC3/NFATC4/NFKB2/NFKBIA/NFYB/PIK3CA/POLB/PPP3CA/PPP3CB/PRKACA/PRKACB/PTEN/RAN/RANBP1/RANBP3/RB1/RELB/SLC25A5/SLC25A6/SLC2A1/SMAD4/SPI1/SRF/TBP/TBPL1/TBPL2/TCF3/TERT/TGFBR2/TLN1/TRRAP/TSPO/VDAC3/XIAP/ZFP36	pos.rank
Kaposi sarcoma-associated herpesvirus infection	194	-0.345821791230508	-1.27226606271112	0.002997002997003	0.128388554216867	0.116122384273938	5968	tags=40%, list=32%, signal=27%	1387/8517/3661/148022/2788/5532/441925/1021/1499/3105/7187/4792/163688/7422/10681/5289/643246/5155/3447/5601/2475/3456/10379/6773/5290/3446/355/808/5602/3725/4775/805/64422/5925/2793/1019/2791/595/3441/131450/2919/3572/84557/3107/4772/2785/7316/1432/91860/2787/801/6300/6932/1827/7098/5335/3710/3451/3449/4277/4776/6850/3383/5599/5743/51176/22863/3091/9641/2792/4609/5530/3055/3448/83439/7538/4067	ATG14/ATG3/BECN2/CALM1/CALM2/CALM3/CALML4/CALML6/CCND1/CD200R1/CDK4/CDK6/CREBBP/CTNNB1/CXCL1/FAS/GNB5/GNG11/GNG3/GNG5/GNG7/GNGT1/GNGT2/HCK/HIF1A/HLA-A/HLA-C/ICAM1/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA4/IFNB1/IKBKE/IKBKG/IL6ST/IRF3/IRF9/ITPR3/JUN/LEF1/LYN/MAP1LC3A/MAP1LC3B2/MAPK10/MAPK12/MAPK14/MAPK8/MAPK9/MICB/MTOR/MYC/NFATC1/NFATC3/NFATC4/NFKBIA/PDGFB/PIK3C3/PIK3CA/PLCG1/PPP3CA/PPP3CB/PTGS2/RB1/RCAN1/STAT2/SYK/TCF7/TCF7L1/TICAM1/TLR3/TRAF3/UBC/VEGFA/ZFP36	pos.rank
Type II diabetes mellitus	45	-0.44532564600919	-1.47383707415634	0.004	0.1364	0.123368421052632	6478	tags=58%, list=34%, signal=38%	8660/3101/5580/8913/3667/3099/9370/3651/5601/5581/2475/5290/775/3767/5602/2645/3098/8835/5313/3643/776/5590/5599/8651/80201/9021	ADIPOQ/CACNA1C/CACNA1D/CACNA1G/GCK/HK1/HK2/HK3/HKDC1/INSR/IRS1/IRS2/KCNJ11/MAPK10/MAPK8/MAPK9/MTOR/PDX1/PIK3CA/PKLR/PRKCD/PRKCE/PRKCZ/SOCS1/SOCS2/SOCS3	pos.rank
Adherens junction	89	-0.395909899199436	-1.39212177010011	0.003996003996004	0.1364	0.123368421052632	8443	tags=61%, list=45%, signal=34%	81/7046/10810/87/5795/2534/6093/6934/54922/387/29119/1459/1003/93408/7082/4088/103910/4633/5797/1387/64750/1499/2241/283106/1956/57493/10580/29895/10627/4089/8936/889/5792/9411/117178/4636/11235/7048/55698/10398/5906/8826/10163/6932/1496/4233/3643/52/6615/51176/2260/5908/83439/5777	ACP1/ACTN1/ACTN4/ARHGAP29/CDH5/CREBBP/CSNK2A2/CSNK2A3/CTNNA2/CTNNA3/CTNNB1/EGFR/FER/FGFR1/FYN/HEG1/INSR/IQGAP1/KRIT1/LEF1/MET/MYL10/MYL12A/MYL12B/MYL2/MYL5/MYL9/MYL11/PDCD10/PTPN6/PTPRF/PTPRJ/PTPRM/RADIL/RAP1A/RAP1B/RASIP1/RHOA/ROCK1/SMAD3/SMAD4/SMURF2/SNAI1/SORBS1/SSX2IP/TCF7/TCF7L1/TCF7L2/TGFBR1/TGFBR2/TJP1/WASF1/WASF2/WASF3	pos.rank
