ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Nicotine addiction	40	-0.495004203940055	-1.6059585329751	0.000999000999000999	0.16983016983017	0.161943319838057	6297	tags=62%, list=34%, signal=42%	2556/2565/2561/116444/774/2570/57084/2893/2903/2558/55879/2560/2554/2555/246213/2890/1141/200959/2892/2891/8973/2567/2906/2904/2568	CACNA1B/CHRNA6/CHRNB2/GABRA1/GABRA2/GABRA3/GABRA5/GABRB1/GABRB2/GABRG1/GABRG3/GABRP/GABRQ/GABRR2/GABRR3/GRIA1/GRIA2/GRIA3/GRIA4/GRIN2A/GRIN2B/GRIN2D/GRIN3B/SLC17A6/SLC17A8	pos.rank
PD-L1 expression and PD-1 checkpoint pathway in cancer	89	-0.425331130187651	-1.478175094081	0.000999000999000999	0.16983016983017	0.161943319838057	5119	tags=47%, list=27%, signal=34%	283106/3725/4215/116071/1457/27436/3459/5534/208/54106/1147/5530/4790/4893/1956/1432/353376/2475/5291/29126/5290/4775/5588/5295/7099/8517/5594/5133/1460/5970/3845/919/5595/915/6774/7189/27040/917/940/3460/916/7535	AKT2/BATF2/CD247/CD274/CD28/CD3D/CD3E/CD3G/CHUK/CSNK2A1/CSNK2A3/CSNK2B/EGFR/EML4/IFNGR1/IFNGR2/IKBKG/JUN/KRAS/LAT/MAP3K3/MAPK1/MAPK14/MAPK3/MTOR/NFATC3/NFKB1/NRAS/PDCD1/PIK3CA/PIK3CB/PIK3R1/PPP3CA/PPP3R1/PRKCQ/RELA/STAT3/TICAM2/TLR4/TLR9/TRAF6/ZAP70	pos.rank
B cell receptor signaling pathway	81	-0.415916597862647	-1.43209435520568	0.001998001998002	0.203796203796204	0.194331983805668	5290	tags=47%, list=28%, signal=34%	79168/10859/3725/11006/118788/5534/208/1147/29760/5530/3635/2213/4790/4893/10990/695/84433/11024/27071/11027/5291/5290/4775/6850/10451/5295/8915/8517/5594/974/5970/23547/3845/5595/930/10892/5880/7409	AKT2/BCL10/BLNK/BTK/CARD11/CD19/CD79B/CHUK/DAPP1/FCGR2B/IKBKG/INPP5D/JUN/KRAS/LILRA1/LILRA2/LILRA4/LILRA6/LILRB1/LILRB4/LILRB5/MALT1/MAPK1/MAPK3/NFATC3/NFKB1/NRAS/PIK3AP1/PIK3CA/PIK3CB/PIK3R1/PPP3CA/PPP3R1/RAC2/RELA/SYK/VAV1/VAV3	pos.rank
T cell receptor signaling pathway	119	-0.379560454106528	-1.35306189427939	0.002997002997003	0.203796203796204	0.194331983805668	4753	tags=38%, list=25%, signal=28%	925/5534/208/1147/5530/4790/5063/4893/3567/1432/84433/5529/28227/5291/5518/5290/4775/5588/6885/10451/5295/8915/8517/5594/5133/5602/5521/5970/3845/4690/919/5595/915/387/5788/10892/3558/27040/3702/917/940/3937/7409/916/7535	AKT2/BCL10/CARD11/CD247/CD28/CD3D/CD3E/CD3G/CD8A/CHUK/IKBKG/IL2/IL5/ITK/KRAS/LAT/LCP2/MALT1/MAP3K7/MAPK1/MAPK10/MAPK14/MAPK3/NCK1/NFATC3/NFKB1/NRAS/PAK3/PDCD1/PIK3CA/PIK3CB/PIK3R1/PPP2R1A/PPP2R2B/PPP2R3B/PPP2R5E/PPP3CA/PPP3R1/PRKCQ/PTPRC/RELA/RHOA/VAV1/VAV3/ZAP70	pos.rank
Viral carcinogenesis	194	-0.358823702329134	-1.31310073416484	0.002997002997003	0.203796203796204	0.194331983805668	5906	tags=42%, list=31%, signal=29%	6722/5566/84699/1017/3572/1386/2648/2960/1385/3018/8368/3725/55697/90993/5966/5829/9134/6908/578/2967/2033/121504/8717/5934/468/7337/8970/5567/4790/5902/85236/4893/836/245972/10013/148327/7185/3107/8360/3665/8362/8850/5291/1237/286436/5290/8348/6850/841/23513/8841/5315/5295/8359/1960/1232/8517/896/5594/8366/8342/85477/2934/3135/7529/8370/2965/10014/1233/64764/2959/5970/3845/1387/1026/5595/387/440689/5568/8364/6774/51564	ATF2/ATF4/ATP6V0D2/BAK1/CASP3/CASP8/CCND3/CCNE2/CCR3/CCR4/CCR8/CDK2/CDKN1A/CREB1/CREB3L1/CREB3L2/CREB3L3/CREB3L4/CREBBP/EGR3/EP300/GSN/GTF2B/GTF2E1/GTF2H1/GTF2H3/H2BW2/HDAC3/HDAC5/HDAC6/HDAC7/H2BC3/H2BC11/H2BC12/H2BC14/H2BC17/H4C1/H4C2/H4C3/H4C4/H4C12/H4C13/H2BC18/H4C14/H4C16/HLA-C/HLA-G/IKBKG/IL6ST/IRF7/JUN/KAT2A/KAT2B/KRAS/MAPK1/MAPK3/NFKB1/NRAS/PIK3CA/PIK3CB/PIK3R1/PKM/PRKACA/PRKACB/PRKACG/PXN/RANBP1/RBL2/REL/RELA/RHOA/SCIN/SCRIB/SRF/STAT3/SYK/TBP/TRADD/TRAF1/UBE3A/VAC14/YWHAB	pos.rank
Protein export	30	-0.49370134832903	-1.54646548954298	0.004004004004004	0.226893560226894	0.216356707584778	7364	tags=77%, list=39%, signal=47%	90701/6727/23480/9789/6726/7095/8266/28972/3309/55176/439/164153/51608/6731/10952/58477/60559/196294/7917/6729/29927/6728/6730	GET3/BAG6/GET4/HSPA5/IMMP1L/SEC11C/SEC61A1/SEC61A2/SEC61B/SEC61G/SEC62/SPCS1/SPCS2/SPCS3/SRP14/SRP19/SRP54/SRP68/SRP72/SRP9/SRPRB/UBL4A/UBL4B	pos.rank
Primary immunodeficiency	36	-0.462174347342899	-1.47367315094797	0.009	0.306	0.29178947368421	5892	tags=53%, list=31%, signal=36%	57379/3575/7374/3543/925/29760/5896/326/64421/695/5897/8625/8517/100/930/915/5788/916/7535	ADA/AICDA/AIRE/BLNK/BTK/CD19/CD3D/CD3E/CD8A/DCLRE1C/IGLL1/IKBKG/IL7R/PTPRC/RAG1/RAG2/RFXANK/UNG/ZAP70	pos.rank
Long-term potentiation	67	-0.402228230260222	-1.36675528954675	0.00899100899100899	0.306	0.29178947368421	7330	tags=57%, list=39%, signal=35%	816/163688/114/6196/5579/805/2911/5502/5566/810/815/6195/2033/2903/5534/468/5530/5567/51806/4893/5330/2890/5501/107/2776/5499/2891/369/5594/817/3845/2906/2904/673/1387/3709/5595/5568	ADCY1/ADCY8/ARAF/ATF4/BRAF/CALM2/CALML3/CALML5/CALML6/CAMK2A/CAMK2B/CAMK2D/CREBBP/EP300/GNAQ/GRIA1/GRIA2/GRIN2A/GRIN2B/GRIN2D/GRM1/ITPR2/KRAS/MAPK1/MAPK3/NRAS/PLCB2/PPP1CA/PPP1CC/PPP1R1A/PPP3CA/PPP3R1/PRKACA/PRKACB/PRKACG/PRKCB/RPS6KA1/RPS6KA2	pos.rank
C-type lectin receptor signaling pathway	104	-0.376823288511605	-1.32808569156561	0.00899100899100899	0.306	0.29178947368421	7765	tags=55%, list=41%, signal=32%	26253/93978/5293/8844/1959/163688/5336/6714/805/5603/5600/3593/1540/51266/810/3725/29108/5534/208/3592/6361/1147/5530/4790/51806/4893/6237/338339/1432/5291/5971/22800/5290/4775/6850/841/23365/2207/4776/6773/5295/1960/8915/5580/8517/5594/5602/64581/5970/3659/3845/4046/3709/5595/387/10892/3558	AKT2/ARHGEF12/BCL10/CALM2/CALML3/CALML5/CALML6/CASP8/CCL17/CHUK/CLEC1B/CLEC4D/CLEC4E/CLEC6A/CLEC7A/CYLD/EGR2/EGR3/FCER1G/IKBKG/IL12A/IL12B/IL2/IRF1/ITPR2/JUN/KRAS/KSR1/LSP1/MALT1/MAPK1/MAPK10/MAPK11/MAPK13/MAPK14/MAPK3/NFATC3/NFATC4/NFKB1/NRAS/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PLCG2/PPP3CA/PPP3R1/PRKCD/PYCARD/RELA/RELB/RHOA/RRAS/RRAS2/SRC/STAT2/SYK	pos.rank
Olfactory transduction	405	-0.311466232172203	-1.17476398177345	0.00899100899100899	0.306	0.29178947368421	9358	tags=61%, list=50%, signal=32%	440153/4991/390271/392392/79324/346528/403244/219952/219479/144125/119695/338674/156/5138/390181/390064/81061/128372/219875/26496/7932/81696/341568/219958/5997/26659/286362/391191/390167/127059/26693/91860/338755/26532/138804/10798/282763/390063/387748/122748/128371/150681/403273/392390/390437/219954/1258/119682/390190/390083/79541/26245/389090/26707/120787/26664/81466/401665/347468/816/391109/219956/441670/219983/390445/390154/163688/219865/79290/441669/26658/81472/138881/79295/390431/26716/127069/390261/26692/391189/219437/408/805/442361/79544/121130/391112/403284/79334/390078/403253/283159/120066/26211/5566/79345/391211/135948/219874/390155/127064/120796/390075/810/219436/26338/143503/26683/390265/390079/119772/283111/6547/26339/390436/815/219464/442191/127077/390275/8390/81309/390442/284433/26531/390326/26539/6543/219429/81318/57101/128367/390260/79339/138883/390072/283365/79473/158131/6546/401666/121129/392309/390327/441308/122742/5567/81327/51806/442194/26533/81470/441608/125963/127623/390892/219960/390152/135924/343406/219982/403277/391190/4992/390077/81448/138799/127068/26740/26534/219431/120793/392376/219869/219959/219477/26529/390323/390168/8383/390061/81341/403282/121275/390059/81050/26538/127062/390264/390201/127385/390054/283092/341799/119749/390066/81099/125962/219428/254879/254973/284532/119764/341416/442186/390429/343171/283162/51764/219873/81442/4993/81392/119692/26648/390883/26595/219487/403274/143502/219447/817/4995/81469/81127/122740/138882/219482/81282/219438/219965/390649/26696/26248/219453/343172/343169/441639/81285/390038/343563/347169/5153/138803/5568/390191/390113/162998/196335	ANO2/ARRB1/CALM2/CALML3/CALML4/CALML5/CALML6/CAMK2A/CAMK2B/CAMK2D/CNGB1/GNG13/GRK2/OR10A3/OR10AD1/OR10C1/OR10G2/OR10G3/OR10G4/OR10G7/OR10G8/OR10H1/OR10H2/OR10H3/OR10H5/OR10J5/OR10K1/OR10P1/OR10Q1/OR10R2/OR10S1/OR10V1/OR10W1/OR10X1/OR11A1/OR11H1/OR11H12/OR11H2/OR11H4/OR11H6/OR11L1/OR12D2/OR13A1/OR13C2/OR13C3/OR13C4/OR13C5/OR13C9/OR13H1/OR13J1/OR14A16/OR14J1/OR1A1/OR1B1/OR1D2/OR1F1/OR1G1/OR1J2/OR1K1/OR1L4/OR1L6/OR1L8/OR1M1/OR1N1/OR1N2/OR1Q1/OR1S1/OR1S2/OR2A1/OR2A2/OR2A4/OR2AE1/OR2AG1/OR2AG2/OR2AK2/OR2AP1/OR2B11/OR2C1/OR2C3/OR2F1/OR2F2/OR2G2/OR2G3/OR2G6/OR2H1/OR2H2/OR2J2/OR2J3/OR2K2/OR2L5/OR2L8/OR2M3/OR2M4/OR2M5/OR2T1/OR2T10/OR2T11/OR2T12/OR2T29/OR2T34/OR2T35/OR2T6/OR2T8/OR2V1/OR2W1/OR2W3/OR3A2/OR4A16/OR4A47/OR4A5/OR4C11/OR4C13/OR4C15/OR4C16/OR4C46/OR4D5/OR4D6/OR4F15/OR4F17/OR4F21/OR4F3/OR4K1/OR4K14/OR4K15/OR4K17/OR4K2/OR4L1/OR4M1/OR4N2/OR4N5/OR4Q3/OR4S2/OR4X1/OR4X2/OR51A4/OR51B2/OR51B4/OR51B5/OR51D1/OR51E1/OR51E2/OR51G1/OR51G2/OR51I1/OR51I2/OR51L1/OR51M1/OR51Q1/OR51S1/OR51T1/OR51V1/OR52A5/OR52D1/OR52E6/OR52E8/OR52I2/OR52M1/OR52N1/OR52N2/OR52N4/OR52N5/OR52R1/OR52W1/OR56A1/OR56A3/OR56A4/OR56B1/OR56B4/OR5A1/OR5AC2/OR5AK2/OR5AS1/OR5AU1/OR5B12/OR5B17/OR5B2/OR5B3/OR5D14/OR5D18/OR5F1/OR5H14/OR5H15/OR5H6/OR5I1/OR5K1/OR5K3/OR5L1/OR5L2/OR5M1/OR5M10/OR5M11/OR5M3/OR5P3/OR8U3/OR5T1/OR5T2/OR5T3/OR5V1/OR6B2/OR6B3/OR6C2/OR6C6/OR6C65/OR6C68/OR6C70/OR6C75/OR6C76/OR6F1/OR6K2/OR6K6/OR6M1/OR6N1/OR6N2/OR6Q1/OR6S1/OR6T1/OR6X1/OR6Y1/OR7A10/OR7A5/OR7C1/OR7C2/OR7D2/OR7E24/OR7G1/OR7G3/OR8A1/OR8B2/OR8B3/OR8B4/OR8D1/OR8G5/OR8H3/OR8J1/OR8K5/OR8S1/OR9A2/OR9I1/OR9K2/OR9Q1/PDE1B/PDE2A/PRKACA/PRKACB/PRKACG/RGS2/SLC8A1/SLC8A2/SLC8A3	pos.rank
