ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
PD-L1 expression and PD-1 checkpoint pathway in cancer	89	-0.519699368316965	-1.81093438816053	0.000999000999000999	0.0263647642679901	0.0193450437508162	4426	tags=53%, list=24%, signal=41%	10000/7097/6300/5293/10538/3717/4615/4773/4893/5588/6772/3551/5608/3845/5296/4775/920/6198/3091/5595/5291/5728/283106/148022/6774/3458/5894/5535/915/5604/8517/3725/5295/2353/3932/3459/916/27040/5970/1147/3716/919/3460/917/940/7535/7189	AKT3/BATF/CD247/CD28/CD3D/CD3E/CD3G/CD4/CHUK/CSNK2A3/FOS/HIF1A/IFNG/IFNGR1/IFNGR2/IKBKB/IKBKG/JAK1/JAK2/JUN/KRAS/LAT/LCK/MAP2K1/MAP2K6/MAPK12/MAPK3/MYD88/NFATC2/NFATC3/NRAS/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PPP3R2/PRKCQ/PTEN/RAF1/RELA/RPS6KB1/STAT1/STAT3/TICAM1/TLR2/TRAF6/ZAP70	pos.rank
Proximal tubule bicarbonate reclamation	23	-0.559598071440669	-1.70941571035879	0.00201612903225806	0.0263647642679901	0.0193450437508162	2817	tags=52%, list=15%, signal=44%	5106/1468/27165/8671/477/2746/5105/760/762/23439/2744/486	ATP1A2/ATP1B4/CA2/CA4/FXYD2/GLS/GLS2/GLUD1/PCK1/PCK2/SLC25A10/SLC4A4	pos.rank
T cell receptor signaling pathway	119	-0.478051871272315	-1.70159846474422	0.000999000999000999	0.0263647642679901	0.0193450437508162	4040	tags=46%, list=21%, signal=37%	5529/5599/6300/5293/4773/4893/5588/3551/5523/3845/5296/4775/920/28227/5595/7410/5519/5291/84433/9402/5058/29851/5521/9020/926/3458/5894/5535/915/5604/5520/6655/10892/998/8517/3725/5295/5609/2353/3932/5788/916/27040/5970/3702/8915/1147/387/919/917/940/7409/7535/6885/3937	BCL10/CARD11/CD247/CD28/CD3D/CD3E/CD3G/CD4/CD8B/CDC42/CHUK/FOS/GRAP2/ICOS/IFNG/IKBKB/IKBKG/ITK/JUN/KRAS/LAT/LCK/LCP2/MALT1/MAP2K1/MAP2K7/MAP3K14/MAP3K7/MAPK12/MAPK3/MAPK8/NFATC2/NFATC3/NRAS/PAK1/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PPP2R1B/PPP2R2A/PPP2R2B/PPP2R3A/PPP2R3B/PPP2R5E/PPP3R2/PRKCQ/PTPRC/RAF1/RELA/RHOA/SOS2/VAV1/VAV2/ZAP70	pos.rank
Aminoacyl-tRNA biosynthesis	43	-0.510410527114137	-1.687836290771	0.001	0.0263647642679901	0.0193450437508162	5703	tags=60%, list=30%, signal=42%	79731/124454/10352/7453/57038/55699/23438/4677/123263/2058/6897/5188/16/10667/8565/51091/3735/4141/80222/51520/2617/10056/1615/2193/7407/3035	AARS1/DARS1/EARS2/EPRS1/FARS2/FARSA/FARSB/GARS1/GATB/HARS1/HARS2/IARS2/KARS1/LARS1/MARS1/MTFMT/NARS1/NARS2/RARS2/SEPSECS/TARS1/TARS2/VARS1/WARS1/WARS2/YARS1	pos.rank
Collecting duct acid secretion	27	-0.536645017879877	-1.666033805015	0.00100908173562059	0.0263647642679901	0.0193450437508162	3663	tags=52%, list=19%, signal=42%	529/245972/525/51382/127124/10312/90423/760/9550/523/10723/527/528/9296	ATP6V0C/ATP6V0D2/ATP6V1A/ATP6V1B1/ATP6V1C1/ATP6V1D/ATP6V1E1/ATP6V1E2/ATP6V1F/ATP6V1G1/ATP6V1G3/CA2/SLC12A7/TCIRG1	pos.rank
Th1 and Th2 cell differentiation	90	-0.44592012583616	-1.55563422634387	0.000999000999000999	0.0263647642679901	0.0193450437508162	6237	tags=51%, list=33%, signal=34%	182/3117/5594/3593/5602/3567/4772/6778/54567/3558/3113/5599/6300/3594/3717/4773/5588/3122/6772/3551/11317/4775/920/5595/6776/3458/5535/915/30009/8517/3725/6775/3561/3718/2353/3932/3459/916/27040/5970/1147/3716/919/3460/917/7535	CD247/CD3D/CD3E/CD3G/CD4/CHUK/DLL4/FOS/HLA-DPA1/HLA-DQA1/HLA-DRA/IFNG/IFNGR1/IFNGR2/IKBKB/IKBKG/IL12B/IL12RB1/IL2/IL2RG/IL5/JAG1/JAK1/JAK2/JAK3/JUN/LAT/LCK/MAPK1/MAPK10/MAPK12/MAPK3/MAPK8/NFATC1/NFATC2/NFATC3/PPP3R2/PRKCQ/RBPJL/RELA/STAT1/STAT4/STAT5A/STAT6/TBX21/ZAP70	pos.rank
HIF-1 signaling pathway	108	-0.437860844695357	-1.54730784814857	0.001998001998002	0.0263647642679901	0.0193450437508162	8083	tags=66%, list=43%, signal=38%	5605/5335/80201/8569/5163/2475/5209/3162/818/5579/226/5290/3098/2064/5214/54583/817/7099/207/3479/5594/5054/4878/5578/7037/7076/4843/10000/7018/1026/2872/51378/3945/5293/2027/230/2321/3099/5296/4055/2056/1536/3939/3643/92483/6198/9978/3091/5595/284/7010/5291/596/229/7422/5336/4846/5160/6774/160287/3458/5604/1906/2023/5582/5232/5295/3459/1387/5970/3460	AKT1/AKT3/ALDOA/ALDOB/ALDOC/ANGPT1/ANGPT4/BCL2/CAMK2D/CAMK2G/CDKN1A/CREBBP/CYBB/EDN1/EGLN1/ENO1/ENO3/EPO/ERBB2/FLT1/HIF1A/HK1/HK2/HKDC1/HMOX1/IFNG/IFNGR1/IFNGR2/IGF1/INSR/LDHA/LDHAL6A/LDHAL6B/LDHB/LTBR/MAP2K1/MAP2K2/MAPK1/MAPK3/MKNK1/MKNK2/MTOR/NOS2/NOS3/NPPA/PDHA1/PDK1/PFKFB3/PFKP/PGK2/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PLCG1/PLCG2/PRKCA/PRKCB/PRKCG/RBX1/RELA/RPS6KB1/SERPINE1/STAT3/TEK/TF/TFRC/TIMP1/TLR4/VEGFA	pos.rank
Epithelial cell signaling in Helicobacter pylori infection	70	-0.449471066305702	-1.5460463317889	0.001998001998002	0.0263647642679901	0.0193450437508162	6493	tags=56%, list=35%, signal=37%	5879/6868/245973/9114/5803/5602/3577/2920/836/50848/5599/6300/529/150084/245972/525/51382/127124/51606/10312/2919/3551/28964/6352/90423/6714/9550/523/527/5058/5336/9020/528/9296/998/8517/3725/5970/1147	ADAM17/ATP6V0C/ATP6V0D1/ATP6V0D2/ATP6V1A/ATP6V1B1/ATP6V1C1/ATP6V1C2/ATP6V1D/ATP6V1E1/ATP6V1E2/ATP6V1F/ATP6V1G1/ATP6V1G3/ATP6V1H/CASP3/CCL5/CDC42/CHUK/CXCL1/CXCL2/CXCR1/F11R/GIT1/IGSF5/IKBKB/IKBKG/JUN/MAP3K14/MAPK10/MAPK12/MAPK8/PAK1/PLCG2/PTPRZ1/RAC1/RELA/SRC/TCIRG1	pos.rank
Pancreatic cancer	76	-0.444955490453216	-1.53783214594313	0.001998001998002	0.0263647642679901	0.0193450437508162	4039	tags=42%, list=21%, signal=33%	5599/1026/5293/4616/598/578/1647/7039/595/6772/1643/3551/673/3845/5296/5899/6198/5595/5291/1029/7422/6774/5894/5604/5880/7048/998/8517/5295/5970/1147/3716	BAK1/BCL2L1/BRAF/CCND1/CDC42/CDKN1A/CDKN2A/CHUK/DDB2/GADD45A/GADD45B/IKBKB/IKBKG/JAK1/KRAS/MAP2K1/MAPK3/MAPK8/PIK3CB/PIK3CD/PIK3R1/PIK3R2/RAC2/RAF1/RALB/RELA/RPS6KB1/STAT1/STAT3/TGFA/TGFBR2/VEGFA	pos.rank
Type II diabetes mellitus	46	-0.461662933886017	-1.53578167825742	0.001998001998002	0.0263647642679901	0.0193450437508162	7996	tags=67%, list=43%, signal=39%	80201/3651/2475/774/5290/3098/5580/8835/8913/6517/5594/5602/5581/9370/5599/3667/5590/5293/773/3767/3099/3551/5296/775/8471/3643/5595/5291/777/2645/5295	ADIPOQ/CACNA1A/CACNA1B/CACNA1C/CACNA1E/CACNA1G/GCK/HK1/HK2/HKDC1/IKBKB/INSR/IRS1/IRS4/KCNJ11/MAPK1/MAPK10/MAPK3/MAPK8/MTOR/PDX1/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PRKCD/PRKCE/PRKCZ/SLC2A4/SOCS2	pos.rank
