ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Ribosome biogenesis in eukaryotes	74	-0.528585548467239	-1.82243282594133	0.000999000999000999	0.038044086382455	0.0353350647515062	3462	tags=53%, list=18%, signal=43%	55127/92856/29889/1460/10813/10556/84916/27341/55781/51077/56001/56000/51602/134430/23195/28987/54433/25996/55651/6949/55505/84135/23560/54552/51119/1736/26354/7514/51096/5822/166378/2091/55813/55272/51068/10248/9790/10436/10528	BMS1/UTP4/CSNK2B/DKC1/EMG1/FBL/FCF1/GAR1/GNL2/GNL3/GNL3L/GTPBP4/HEATR1/IMP3/IMP4/MDN1/NHP2/NMD3/NOB1/NOP10/NOP56/NOP58/NXF2/NXF3/POP7/PWP2/REXO2/RIOK2/RPP30/RRP7A/SBDS/AFG2A/TCOF1/UTP14A/UTP15/UTP18/UTP6/WDR36/XPO1	pos.rank
Ribosome	134	-0.474480819454757	-1.7083401740183	0.000999000999000999	0.038044086382455	0.0353350647515062	5822	tags=54%, list=31%, signal=37%	6142/29074/6133/54460/7311/6233/6158/6129/6150/6146/6171/6208/6138/6173/6122/6206/65008/51121/6230/140801/6191/6164/23521/51069/29093/6232/6223/6157/6156/51187/3921/9801/6218/6224/6207/51065/6134/6228/6154/6152/6130/6136/6143/6217/6194/100529097/6166/6181/100529239/6155/6139/6204/6234/6137/6144/6141/25873/6135/6168/6202/6167/100526842/6229/6231/6160/6175/6132/6205/6222/6169/6128/2197	FAU/MRPL1/MRPL18/MRPL19/MRPL2/MRPL22/MRPL23/MRPS21/RPL10/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL15/RPL17/RPL17-C18orf32/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL3/RPL30/RPL31/RPL34/RPL36/RPL36A/RPL36A-HNRNPH2/RPL36AL/RPL37/RPL37A/RPL38/RPL41/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS10-NUDT3/RPS11/RPS12/RPS13/RPS14/RPS16/RPS17/RPS18/RPS19/RPS20/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS4X/RPS6/RPS8/RPSA/RSL24D1/UBA52	pos.rank
One carbon pool by folate	20	-0.575342895794163	-1.69890909226764	0.00100704934541793	0.038044086382455	0.0353350647515062	4285	tags=55%, list=23%, signal=43%	4524/6472/10588/1719/471/10797/7298/123263/25902/4522/2618	ATIC/DHFR/GART/MTFMT/MTHFD1/MTHFD1L/MTHFD2/MTHFR/MTHFS/SHMT2/TYMS	pos.rank
RNA polymerase	34	-0.534523045075151	-1.69761038349408	0.000999000999000999	0.038044086382455	0.0353350647515062	6184	tags=71%, list=33%, signal=48%	5432/9533/25885/11128/64425/548644/81488/5439/221830/5435/5436/10849/246721/30834/84172/5431/27297/661/5441/55718/5440/5433/51728/171568	POLR1G/CRCP/POLR1A/POLR1B/POLR1C/POLR1E/POLR2B/POLR2C/POLR2D/POLR2F/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/POLR2L/POLR2M/POLR3A/POLR3D/POLR3E/POLR3H/POLR3K/POLR1F/POLR1H	pos.rank
DNA replication	36	-0.530814852265286	-1.69659528896263	0.000999000999000999	0.038044086382455	0.0353350647515062	5015	tags=58%, list=26%, signal=43%	54107/5985/4171/5424/6119/4175/4172/5983/5982/84153/29935/4176/246243/6742/5558/4174/2237/5427/3978/10714/5984	FEN1/LIG1/MCM2/MCM3/MCM5/MCM6/MCM7/POLD1/POLD3/POLE2/POLE3/PRIM2/RFC2/RFC3/RFC4/RFC5/RNASEH1/RNASEH2C/RPA3/RPA4/SSBP1	pos.rank
Aminoacyl-tRNA biosynthesis	42	-0.500750802272148	-1.63136469727203	0.000999000999000999	0.038044086382455	0.0353350647515062	1361	tags=38%, list=7%, signal=35%	4677/123263/3735/51520/8565/6897/2617/7453/5917/118672/3376/124454/16/55699/2193/4141	AARS1/EARS2/FARSA/GARS1/IARS1/IARS2/KARS1/LARS1/MARS1/MTFMT/NARS1/PSTK/RARS1/TARS1/WARS1/YARS1	pos.rank
N-Glycan biosynthesis	53	-0.46737153184262	-1.56157467063072	0.000999000999000999	0.038044086382455	0.0353350647515062	4560	tags=49%, list=24%, signal=37%	11320/1650/79868/11282/22845/2530/57171/85365/8818/146664/440138/84620/8704/29880/84061/79796/1798/144245/746/4121/6184/8813/56052/6185/1603/201595	ALG1/ALG10B/ALG11/ALG13/ALG2/ALG5/ALG9/B4GALT2/DAD1/DDOST/DOLK/DOLPP1/DPAGT1/DPM1/DPM2/FUT8/MAGT1/MAN1A1/MGAT4A/MGAT4B/MGAT5B/RPN1/RPN2/ST6GAL2/STT3B/TMEM258	pos.rank
Spliceosome	127	-0.412903430308365	-1.48097202319524	0.000999000999000999	0.038044086382455	0.0353350647515062	4240	tags=43%, list=22%, signal=33%	56949/10450/9129/51340/10189/199746/6432/10291/6627/25949/9879/25804/23350/51690/9416/55696/11325/51503/11017/84950/153527/5093/8559/4686/11157/6632/23450/58517/6427/10772/23020/3305/84844/10569/56259/6636/9775/10285/1665/57819/22827/7307/26121/6634/9716/57461/55660/55119/1659/8896/10594/9410/6426/3312	ALYREF/AQR/BUD31/CRNKL1/CTNNBL1/CWC15/DDX23/DDX42/DDX46/DHX15/DHX8/EIF4A3/HSPA1L/HSPA8/ISY1/LSM2/LSM4/LSM6/LSM7/NCBP1/PCBP1/PHF5A/PPIE/PRPF18/PRPF3/PRPF31/PRPF38A/PRPF38B/PRPF40A/PRPF8/PUF60/RBM22/RBM25/SF3A1/SF3B3/SLU7/SMNDC1/SNRNP200/SNRNP27/SNRNP40/SNRPA1/SNRPD1/SNRPD3/SNRPF/SRSF1/SRSF10/SRSF2/SRSF7/SYF2/U2AF1/U2AF1L4/U2SURP/XAB2/ZMAT2	pos.rank
Coronavirus disease - COVID-19	229	-0.397833365868456	-1.47629451130279	0.000999000999000999	0.038044086382455	0.0353350647515062	6884	tags=54%, list=36%, signal=35%	6210/2266/2147/4615/4599/11224/6201/2165/1440/3553/718/3592/9045/29110/5610/4600/6142/1147/6133/5578/7311/5600/6233/6158/6129/6146/720/3454/6347/6171/3452/6208/6138/3443/6173/6122/6206/3446/3448/3441/731/51121/629/4312/6230/7097/4790/140801/3456/6191/6164/23521/10747/6232/6223/1432/6772/6157/6156/717/51187/4153/3569/6403/3921/7189/6218/6224/5594/51135/6207/4793/51065/6134/6228/64135/6154/7098/6152/7132/6885/59272/5582/7187/115004/6130/6136/6143/6217/6194/100529097/6166/6181/5335/5579/100529239/6155/6139/6204/6234/6137/5970/6774/6144/7450/6141/2353/25873/6135/6168/6202/6167/100526842/6229/6231/5293/6160/6175/6132/6205/6222/6169/6128/2197	ACE2/C2/C3/C4A/C8A/CCL2/CFB/CHUK/CSF3/EIF2AK2/F13B/F2/FAU/FGG/FOS/IFIH1/IFNA10/IFNA14/IFNA21/IFNA4/IFNA6/IFNAR1/IFNB1/IL12A/IL1B/IL6/IRAK4/MAP3K7/MAPK1/MAPK11/MAPK14/MASP2/CGAS/MBL2/MMP1/MX1/MX2/MYD88/NFKB1/NFKBIB/PIK3CD/PLCG1/PRKCA/PRKCB/PRKCG/RELA/RPL10/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL17-C18orf32/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL3/RPL30/RPL31/RPL34/RPL35/RPL36/RPL36A/RPL36A-HNRNPH2/RPL36AL/RPL37/RPL37A/RPL38/RPL41/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS10-NUDT3/RPS11/RPS12/RPS13/RPS14/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS20/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS4X/RPS6/RPS7/RPS8/RPSA/RSL24D1/SELP/STAT1/STAT3/TBK1/TLR2/TLR3/TNFRSF1A/TRAF3/TRAF6/UBA52/VWF	pos.rank
Legionellosis	56	-0.441092660683195	-1.48014700086248	0.001998001998002	0.0485229056657628	0.0450677142406466	6914	tags=61%, list=37%, signal=39%	840/664/4615/3304/3553/1937/718/3592/3684/3689/842/3606/51128/3329/3297/7097/4790/23786/29108/1195/1378/3569/2919/10767/7100/7415/317/375/3305/841/5970/4791/1915/3312	APAF1/ARF1/BCL2L13/BNIP3/C3/CASP7/CASP8/CASP9/CLK1/CR1/CXCL1/EEF1A1/EEF1G/HBS1L/HSF1/HSPA1B/HSPA1L/HSPA8/HSPD1/IL12A/IL18/IL1B/IL6/ITGAM/ITGB2/MYD88/NFKB1/NFKB2/PYCARD/RELA/SAR1B/TLR2/TLR5/VCP	pos.rank
