ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Cobalamin transport and metabolism	17	-0.580890952232856	-1.6912807396406	0.00101317122593718	0.17274569402229	0.165840132245507	1629	tags=35%, list=10%, signal=32%	27249/5826/166785/25974/4548/3054	ABCD4/HCFC1/MMAA/MMACHC/MMADHC/MTR	pos.rank
Ribosome biogenesis in eukaryotes	73	-0.43719990514444	-1.5160738885227	0.000999000999000999	0.17274569402229	0.165840132245507	3024	tags=33%, list=18%, signal=27%	10528/55131/84135/10607/79631/81691/1457/51119/9790/22803/29107/27341/134430/10885/51077/55272/10482/3692/83732/7514/10940/10557/26354/4809	REXO5/BMS1/CSNK2A1/EFL1/EIF6/FCF1/GNL3/IMP3/SNU13/NOP56/NXF1/NXT1/POP1/RBM28/RIOK1/RPP38/RRP7A/SBDS/TBL3/UTP15/WDR3/WDR36/XPO1/XRN2	pos.rank
Coronavirus disease - COVID-19	207	-0.345010006371802	-1.28162270021492	0.001998001998002	0.227106227106227	0.218027586448639	7211	tags=51%, list=43%, signal=29%	730/5648/6137/714/59272/7132/5578/735/51284/834/29110/6222/2212/6133/733/115004/3449/6772/1536/7098/4142/6135/3443/2162/6228/732/51311/6175/4153/4938/8517/6160/5599/103/3439/6193/6170/51135/6171/716/719/4312/6146/3558/23586/6205/6187/713/5579/57506/3627/6223/200916/1440/5600/140801/721/6166/5602/731/6122/3654/1636/6164/5595/6143/2266/3455/6206/4939/6850/6158/6124/6169/5290/4792/1675/3456/6234/10747/7189/64135/9641/3440/6123/7124/8829/9636/9045/2165/5594/6134/7099/3447/6885/6188/7311/6231/6191/23118/6129/6142/6235/6210/6204	ACE/ACE2/ADAR/C1QB/C1QC/C1S/C3AR1/C4B/C7/C8A/C8B/C8G/C9/CASP1/CFD/CSF3/CXCL10/CYBB/RIGI/F13A1/F13B/FCGR2A/FGG/IFIH1/IFNA1/IFNA13/IFNA16/IFNA2/IFNA6/IFNAR2/IFNB1/IKBKE/IKBKG/IL2/IRAK1/IRAK4/ISG15/MAP3K7/MAPK1/MAPK10/MAPK11/MAPK3/MAPK8/MAS1/MASP1/MASP2/MAVS/CGAS/MBL2/MMP1/NFKBIA/NRP1/OAS1/OAS2/PIK3CA/PRKCA/PRKCB/RPL10/RPL10L/RPL11/RPL13/RPL14/RPL18A/RPL19/RPL22/RPL22L1/RPL28/RPL3/RPL31/RPL34/RPL36AL/RPL38/RPL39/RPL3L/RPL4/RPL41/RPL7/RPL9/RPLP0/RPS10/RPS11/RPS12/RPS15A/RPS18/RPS19/RPS2/RPS23/RPS26/RPS28/RPS29/RPS3/RPS4X/RPS5/STAT1/SYK/TAB2/TBK1/TLR3/TLR4/TLR7/TLR8/TNF/TNFRSF1A/TRAF6/UBA52	pos.rank
Spliceosome	124	-0.375762877433489	-1.35899326893709	0.002997002997003	0.255494505494505	0.245281034754719	5490	tags=36%, list=33%, signal=25%	10450/51691/9410/2521/10465/10772/4670/10084/9416/25804/3192/10946/8175/10907/9984/153527/55110/6629/6430/55696/6631/6625/151903/3304/51729/51690/3305/220988/11325/1665/3178/11157/6431/25949/6628/56259/51639/84844/22827/7919/9939/6426/6635/9343/4809	CCDC12/CTNNBL1/DDX23/DDX39B/DDX42/DHX15/EFTUD2/FUS/HNRNPA1/HNRNPA3/HNRNPM/HNRNPU/HSPA1B/HSPA1L/LSM4/LSM6/LSM7/LSM8/MAGOHB/SNU13/PHF5A/PPIE/PPIH/PQBP1/PUF60/RBM22/RBM8A/SF3A2/SF3A3/SF3B6/SNRNP40/SNRNP70/SNRPB/SNRPB2/SNRPC/SNRPE/SRSF1/SRSF10/SRSF5/SRSF6/SYF2/THOC1/TXNL4A/WBP11/ZMAT2	pos.rank
Basal cell carcinoma	61	-0.416169172137282	-1.42377819085673	0.003996003996004	0.272527472527473	0.261633103738367	5413	tags=54%, list=32%, signal=37%	650/578/2932/1499/54361/64399/6608/7157/7474/324/2735/7855/7483/8313/7476/8312/5727/51176/51384/8324/2535/7976/7473/1855/8322/374654/51684/7472/11211/81029/7471/1647/7484	APC/AXIN1/AXIN2/BAK1/BMP2/CTNNB1/DVL1/FZD10/FZD2/FZD3/FZD4/FZD5/FZD7/GADD45A/GLI1/GSK3B/HHIP/KIF7/LEF1/PTCH1/SMO/SUFU/TP53/WNT1/WNT16/WNT2/WNT3/WNT4/WNT5A/WNT5B/WNT7A/WNT9A/WNT9B	pos.rank
Ferroptosis	37	-0.449795260020819	-1.4662900940258	0.00800800800800801	0.283882783882784	0.272534483060799	8049	tags=70%, list=48%, signal=36%	23657/2729/4891/2730/81631/10162/1536/94033/246/3162/2181/23516/6303/51703/7157/6520/2182/1356/9474/10533/112483/2879/30061/7018/2937/23305	ACSL3/ACSL4/ACSL5/ACSL6/ALOX15/ATG5/ATG7/CP/CYBB/FTMT/GCLC/GCLM/GPX4/GSS/HMOX1/LPCAT3/MAP1LC3B/SAT1/SAT2/SLC11A2/SLC39A14/SLC3A2/SLC40A1/SLC7A11/TF/TP53	pos.rank
Homologous recombination	40	-0.440332821339166	-1.44673086290887	0.00800800800800801	0.283882783882784	0.272534483060799	5943	tags=52%, list=36%, signal=34%	5893/10111/80198/50511/7156/25788/472/641/79728/79184/5888/4683/11073/5892/7517/580/7516/6119/6117/146956/5889	ATM/BARD1/BLM/BRCC3/EME1/SYCP3/MUS81/NBN/PALB2/RAD50/RAD51/RAD51C/RAD51D/RAD52/RAD54B/RPA1/RPA3/TOP3A/TOPBP1/XRCC2/XRCC3	pos.rank
Central carbon metabolism in cancer	68	-0.39165442962416	-1.35111667908023	0.00999000999000999	0.283882783882784	0.272534483060799	2181	tags=26%, list=13%, signal=23%	5728/6514/5595/5211/6513/3418/5163/4893/5290/5156/2260/80201/2064/9997/10000/3845/3939/5594	AKT3/ERBB2/FGFR1/HKDC1/IDH2/KRAS/LDHA/MAPK1/MAPK3/NRAS/PDGFRA/PDK1/PFKL/PIK3CA/PTEN/SCO2/SLC2A1/SLC2A2	pos.rank
Progesterone-mediated oocyte maturation	85	-0.384096974770787	-1.3469673279199	0.00899100899100899	0.283882783882784	0.272534483060799	6488	tags=49%, list=39%, signal=30%	25847/2771/6195/2770/5604/3479/111/9133/3630/5599/27330/109/5241/5567/132864/3326/119504/3320/64506/51529/51434/5600/5602/1017/3480/5595/5290/64682/246184/245711/699/113/85417/10000/3845/890/6790/3835/5594/51433/114/983	ADCY3/ADCY5/ADCY7/ADCY8/AKT3/ANAPC1/ANAPC11/ANAPC13/ANAPC16/ANAPC5/ANAPC7/AURKA/BUB1/CCNA2/CCNB2/CCNB3/CDC26/CDK1/CDK2/CPEB1/CPEB2/GNAI1/GNAI2/HSP90AA1/HSP90AB1/IGF1/IGF1R/INS/KIF22/KRAS/MAP2K1/MAPK1/MAPK10/MAPK11/MAPK3/MAPK8/PGR/PIK3CA/PRKACB/RPS6KA1/RPS6KA6/SPDYA	pos.rank
Ribosome	126	-0.367779358559614	-1.33066324281708	0.004995004995005	0.283882783882784	0.272534483060799	7123	tags=46%, list=43%, signal=27%	6222/64963/6133/64968/51263/51069/6135/6228/51264/6175/51081/65008/6160/6182/6193/6170/6171/63931/9553/54460/6146/6205/6187/6223/54948/200916/51073/6150/140801/51373/65003/51318/6166/51023/6122/28998/64969/6164/6143/6206/6158/6124/6169/6183/64960/6234/6123/9045/6134/6188/7311/6231/6191/6129/6142/6235/6210/6204	MRPL1/MRPL11/MRPL12/MRPL13/MRPL16/MRPL2/MRPL23/MRPL27/MRPL30/MRPL33/MRPL35/MRPL4/MRPS11/MRPS12/MRPS14/MRPS15/MRPS17/MRPS18C/MRPS21/MRPS5/MRPS6/MRPS7/RPL10/RPL10L/RPL11/RPL14/RPL18A/RPL19/RPL22/RPL22L1/RPL28/RPL3/RPL31/RPL34/RPL36AL/RPL38/RPL39/RPL3L/RPL4/RPL41/RPL7/RPL9/RPLP0/RPS10/RPS11/RPS12/RPS15A/RPS18/RPS19/RPS2/RPS23/RPS26/RPS28/RPS29/RPS3/RPS4X/RPS5/UBA52	pos.rank
