ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Terpenoid backbone biosynthesis	22	-0.55594129786098	-1.66173794515692	0.00201816347124117	0.229397914564413	0.228017065873564	4043	tags=59%, list=22%, signal=46%	79947/91734/9986/3157/3158/10269/57107/3156/4598/2224/10654/9453/2342	FNTB/GGPS1/PMVK/FDPS/MVK/HMGCR/PDSS2/ZMPSTE24/HMGCS2/HMGCS1/RCE1/IDI2/DHDDS	pos.rank
Spliceosome	126	-0.388568863491543	-1.40361515260121	0.001998001998002	0.229397914564413	0.228017065873564	6485	tags=49%, list=35%, signal=32%	26121/57187/3312/3190/51691/9129/11017/10594/55119/10285/5356/6628/9416/27339/23450/27258/9410/11157/25949/3178/6629/988/10450/6429/6434/23020/220988/27316/51729/9128/4670/84991/6427/6636/6631/1655/10915/22916/10084/9984/9343/3310/51362/7307/84950/24148/11338/25804/23350/6627/22827/7919/5093/4686/10189/57819/25766/83443/10291/6426/151903/3183	HNRNPC/CCDC12/SRSF1/SF3A1/SF3B5/PRPF40B/LSM2/ALYREF/NCBP1/PCBP1/DDX39B/PUF60/SNRPA1/U2SURP/LSM4/U2AF2/PRPF6/PRPF38A/U2AF1/CDC40/HSPA6/EFTUD2/THOC1/PQBP1/NCBP2/TCERG1/DDX5/SNRPC/SNRPF/SRSF2/RBM17/HNRNPM/PRPF4/WBP11/RBMX/HNRNPA3/SNRNP200/TRA2B/SRSF4/PPIE/CDC5L/SNRPB2/HNRNPA1/SYF2/LSM6/SNRNP40/LSM3/SF3B3/PRPF19/DDX23/SNRPB/PLRG1/SMNDC1/PRPF38B/PRPF8/SNRNP27/PRPF3/LSM8/HNRNPK/HSPA8/THOC2/PRPF31	pos.rank
Viral carcinogenesis	189	-0.352807610900605	-1.30201325851705	0.001998001998002	0.229397914564413	0.228017065873564	8792	tags=56%, list=47%, signal=30%	4893/2033/1388/728340/1029/4791/3017/7531/5829/286436/5295/90993/87/8370/2648/8348/55869/11036/1385/595/8345/22938/3572/85236/6722/5568/2965/5291/5296/1237/440689/5423/8364/9759/7419/4193/1021/3190/4792/2959/23352/10014/578/6714/79885/3249/1027/8379/2958/1108/1960/2961/1026/8717/8366/6908/9734/581/5922/148327/8368/83933/5970/8294/8503/7188/8341/8900/7186/9093/121504/3661/64764/8841/8517/85477/894/1234/9261/2957/8362/7337/51564/2885/554313/10971/8369/1232/7185/2960/158983/1386/3018/8349/84699/387/3845/8340/1739/3716/9114/468/5595/8361/3718/896	CCND3/H2BC5/JAK3/H4C6/MAPK3/ATF4/ATP6V0D1/JAK1/DLG1/H2BC13/KRAS/RHOA/CREB3L3/H2BC21/H2BC3/ATF2/H2BW1/GTF2E1/TRAF1/CCR3/H4C7/YWHAQ/H4C15/GRB2/HDAC7/UBE3A/H4C12/GTF2A1/MAPKAPK2/CCR5/CCND2/SCIN/IKBKG/HDAC3/CREB3L2/IRF3/H4C16/DNAJA3/TRAF2/CCNA1/H2BC15/TRAF5/PIK3R3/H4C9/RELA/HDAC10/H4C13/CREB3L4/RASA2/BAX/HDAC9/TBP/H4C2/TRADD/CDKN1A/GTF2E2/EGR3/CHD4/GTF2A2/MAD1L1/CDKN1B/HPN/HDAC11/SRC/BAK1/HDAC5/UBR4/GTF2B/NFKBIA/HNRNPK/CDK6/MDM2/VDAC3/HDAC4/H4C3/POLB/H2BC18/CCR8/PIK3R2/PIK3CB/GTF2H1/PRKACG/SRF/H2BC12/IL6ST/SNW1/H2BC9/CCND1/CREB1/GTF2A1L/HDAC8/H2BC17/KAT2A/H4C14/ACTN1/CREB3L1/PIK3R1/H2BW2/PXN/YWHAE/NFKB2/CDKN2A/GTF2H2C/ATF6B/EP300/NRAS	pos.rank
Proteasome	46	-0.438455998314181	-1.4454618140262	0.00899100899100899	0.553571428571429	0.550239234449761	3378	tags=43%, list=18%, signal=36%	5706/5714/5720/5702/5704/5690/5721/5717/5684/5718/5687/3458/5685/5708/5689/5713/5692/5709/5682/5688	PSMA7/PSMA1/PSMD3/PSMB4/PSMD7/PSMB1/PSMD2/PSMA4/IFNG/PSMA6/PSMD12/PSMA3/PSMD11/PSME2/PSMB2/PSMC4/PSMC3/PSME1/PSMD8/PSMC6	pos.rank
Fat digestion and absorption	43	-0.436526614473614	-1.43034163270199	0.011	0.553571428571429	0.550239234449761	5793	tags=51%, list=31%, signal=35%	948/8513/949/335/8613/29881/64240/10999/346606/1208/337/1056/338/2806/26279/84647/81579/2168/8611/5319/64600/5322	PLA2G5/PLA2G2F/PLA2G1B/PLPP1/FABP1/PLA2G12A/PLA2G12B/PLA2G2D/GOT2/APOB/CEL/APOA4/CLPS/MOGAT3/SLC27A4/ABCG5/NPC1L1/PLPP3/APOA1/SCARB1/LIPF/CD36	pos.rank
Cytosolic DNA-sensing pathway	81	-0.376391560960227	-1.31646594997358	0.010989010989011	0.553571428571429	0.550239234449761	6858	tags=46%, list=37%, signal=29%	85364/3447/1687/834/1147/4792/55703/84265/3428/51428/79844/11035/5440/3444/51728/103/5970/3443/840/9641/3661/8517/3627/5441/114548/9533/3440/5093/51082/6352/10146/5434/3441/10623/57506/58511/10621	POLR3F/DNASE2B/MAVS/POLR3C/IFNA4/POLR2E/G3BP1/CCL5/POLR1D/PCBP1/IFNA2/POLR1C/NLRP3/POLR2L/CXCL10/IKBKG/IRF3/IKBKE/CASP7/IFNA6/RELA/ADAR/POLR3K/IFNA7/POLR2K/RIPK3/ZDHHC11/DDX41/IFI16/POLR3GL/POLR3B/NFKBIA/CHUK/CASP1/GSDME/IFNA13/ZCCHC3	pos.rank
Parathyroid hormone synthesis, secretion and action	114	-0.356605760656683	-1.27724975599452	0.012987012987013	0.553571428571429	0.550239234449761	7824	tags=51%, list=42%, signal=30%	65267/90993/4208/1385/1958/9935/1591/369/5568/5745/65268/56302/10672/4040/6667/3710/5144/2768/4205/65125/6256/2767/5582/1026/8074/5331/6446/148327/408/7421/2260/113/846/64764/2773/11214/1839/9943/6257/115/9365/673/1386/596/27347/50964/84699/107/387/2776/860/64386/468/9138/5595/5337/8521/5894	RAF1/GCM1/PLD1/MAPK3/ARHGEF1/ATF4/MMP25/RUNX2/GNAQ/RHOA/ADCY1/CREB3L3/SOST/STK39/BCL2/ATF2/BRAF/KL/ADCY9/RXRB/OXSR1/HBEGF/AKAP13/GNAI3/CREB3L2/CASR/ADCY7/FGFR1/VDR/ARRB1/CREB3L4/SGK1/PLCB3/FGF23/CDKN1A/PRKCG/GNA11/RXRA/WNK1/MEF2A/GNA12/PDE4D/ITPR3/SP1/LRP6/GNA13/TRPV5/WNK2/PTH1R/PRKACG/ARAF/CYP24A1/MAFB/EGR1/CREB1/MEF2C/CREB3L1/WNK3	pos.rank
Influenza A	156	-0.343606541739904	-1.25796514330793	0.012987012987013	0.553571428571429	0.550239234449761	7119	tags=48%, list=38%, signal=30%	3717/55916/148022/10898/5644/728343/5291/3592/5296/3383/5605/3447/79671/293/834/1021/9021/1147/4792/7297/578/10482/3337/7099/3455/64499/3444/6773/83447/5340/8106/8717/4615/581/103/637/8795/5970/8503/3443/4600/9641/3661/8517/7706/51135/4940/3627/64135/5611/114548/3460/5646/7113/4599/3440/642843/3459/6352/6772/3454/3441/3458/54205/3836/91543/3841/57506/3716/2224/5595/3593/8766/896/5894	RAF1/CCND3/RAB11A/IL12B/MAPK3/FDPS/JAK1/MAVS/KPNA5/RSAD2/KPNA1/CYCS/IFNG/IFNA4/IFNAR1/STAT1/CCL5/IFNGR1/CPSF4L/IFNA2/MX1/TMPRSS2/PRSS3/IFNGR2/NLRP3/DNAJC3/IFIH1/CXCL10/OAS3/IRAK4/TRIM25/IKBKG/IRF3/IKBKE/MX2/IFNA6/PIK3R3/RELA/TNFRSF10B/BID/ADAR/BAX/MYD88/TRADD/PABPN1/PLG/SLC25A31/STAT2/IFNA7/TPSB2/IFNAR2/TLR4/DNAJB1/NXF1/BAK1/TYK2/NFKBIA/CHUK/SOCS3/CDK6/CASP1/SLC25A6/NLRX1/IFNA13/MAP2K2/ICAM1/PIK3R2/IL12A/PIK3CB/NXF2B/PRSS1/CPSF4/TICAM1/NXT2/JAK2	pos.rank
Alcoholism	177	-0.337768580966743	-1.24202676536534	0.014985014985015	0.567765567765568	0.564347932768986	7664	tags=50%, list=41%, signal=30%	5173/8370/8329/8348/55869/2902/1385/8345/85236/8351/474382/369/5568/440689/136/8364/2784/9759/4852/83740/3012/801/10014/2792/79885/723790/8353/8366/8290/2030/9734/399694/54331/148327/8336/8368/83933/8294/8341/808/2786/121504/64764/2773/3177/8841/3021/814/8356/2793/8362/51564/1644/10681/53358/474381/2885/1812/554313/8968/8369/673/4915/158983/1386/3018/2782/6570/8349/84699/6654/3845/91860/221613/55766/8340/55315/8335/3020/2788/468/5595/8361/8331/4128/163688/6531/5894	RAF1/SLC6A3/CALML6/MAOA/H2AC14/H4C6/MAPK3/ATF4/GNG7/H3-3A/H2AC4/SLC29A3/H2BC13/H2AJ/H2AC1/CALML4/KRAS/SOS1/CREB3L3/H2BC21/SLC18A1/GNB1/H2BC3/ATF2/H2BW1/NTRK2/BRAF/H4C7/H3C7/H4C15/DRD1/GRB2/H2AB2/SHC3/GNB5/DDC/HDAC7/H4C12/GNGT2/H3C12/CAMK4/H3-3B/HDAC3/SLC29A2/GNAI3/CREB3L2/H4C16/GNG4/CALM3/H2BC15/H4C9/HDAC10/H4C13/H2AC17/CREB3L4/GNG2/SHC4/HDAC9/SLC29A1/H3-4/H4C2/H3C6/H2AC19/HDAC11/GNGT1/HDAC5/CALM1/H2AC8/H2AB3/NPY/HDAC4/GNB3/H4C3/ADORA2B/H2BC18/PRKACG/ARAF/H2AB1/H3C4/H2BC12/H2BC9/CREB1/GRIN1/HDAC8/H2BC17/H2AC13/H4C14/PDYN	pos.rank
Pentose phosphate pathway	31	-0.469772138930892	-1.47609577966807	0.0180541624874624	0.615646940822468	0.611941086417146	6790	tags=61%, list=36%, signal=39%	7086/5213/5226/5236/55276/5211/230/8277/226/6888/23729/2203/229/22934/9104/5634/2539/25796/5214	PFKP/PGLS/G6PD/PRPS2/RGN/RPIA/ALDOB/FBP1/SHPK/TALDO1/ALDOA/TKTL1/ALDOC/PFKL/PGM2/PGM1/PGD/PFKM/TKT	pos.rank
Vitamin digestion and absorption	26	-0.463525052013468	-1.42052438267917	0.0321931589537223	0.772161172161172	0.76751318856582	6125	tags=54%, list=33%, signal=36%	8884/949/335/2694/6948/8029/5948/337/338/158835/4363/113278/55788/10560	SLC19A2/LMBRD1/SLC52A3/ABCC1/AWAT2/APOB/APOA4/RBP2/CUBN/TCN2/CBLIF/APOA1/SCARB1/SLC5A6	pos.rank
Base excision repair	44	-0.414266201768772	-1.35944813304049	0.02997002997003	0.772161172161172	0.76751318856582	6622	tags=48%, list=35%, signal=31%	5423/4595/328/10714/11284/8930/4968/4913/23583/5427/5428/11232/252969/6996/143/57804/10039/7515/7374/5982/54840	APTX/RFC2/UNG/XRCC1/PARP3/POLD4/PARP4/TDG/NEIL2/POLG2/POLG/POLE2/SMUG1/NTHL1/OGG1/MBD4/PNKP/POLD3/APEX1/MUTYH/POLB	pos.rank
