ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Propanoate metabolism	31	-0.480334659154414	-1.50766002264582	0.0110220440881764	1	1	5849	tags=61%, list=35%, signal=40%	1629/3030/84693/593/31/1738/23417/5095/1892/32/3945/55862/3948/79611/18/26275/5096/4329/8802	ABAT/ACACA/ACACB/ACSS3/ALDH6A1/BCKDHA/DBT/DLD/ECHDC1/ECHS1/HADHA/HIBCH/LDHB/LDHC/MCEE/MLYCD/PCCA/PCCB/SUCLG1	pos.rank
Valine, leucine and isoleucine degradation	48	-0.412059887548787	-1.36365969834834	0.033	1	1	6041	tags=58%, list=36%, signal=38%	549/586/1629/3030/84693/3712/593/5019/34/1738/223/56922/5095/3155/1892/64087/18/39/10449/217/26275/54511/316/3032/5096/4329/27034/197322	ABAT/ACAA2/ACAD8/ACADM/ACAT2/ACSF3/ALDH2/ALDH6A1/ALDH9A1/AOX1/AUH/BCAT1/BCKDHA/DBT/DLD/ECHS1/HADHA/HADHB/HIBCH/HMGCL/HMGCLL1/IVD/MCCC1/MCCC2/MCEE/OXCT1/PCCA/PCCB	pos.rank
Allograft rejection	27	-0.437352991900308	-1.34845736969412	0.0562248995983936	1	1	3936	tags=44%, list=23%, signal=34%	958/3109/3108/941/356/5551/3558/3592/3112/3565/3119/940	CD28/CD40/CD80/FASLG/HLA-DQB1/HLA-DMA/HLA-DMB/HLA-DOB/IL12A/IL2/IL4/PRF1	pos.rank
Pyruvate metabolism	43	-0.410263033697696	-1.34301946244188	0.038961038961039	1	1	6308	tags=53%, list=37%, signal=34%	5091/5162/5106/127/126/31/1738/223/2739/32/3945/3948/134526/131/39/10873/97/197257/217/4191/128/5105/9380	ACACA/ACACB/ACAT2/ACOT12/ACYP1/ADH1C/ADH4/ADH5/ADH7/ALDH2/ALDH9A1/DLD/GLO1/GRHPR/LDHB/LDHC/LDHD/MDH2/ME3/PCK1/PCK2/PC/PDHB	pos.rank
RIG-I-like receptor signaling pathway	62	-0.393547195731023	-1.3377725035077	0.025974025974026	1	1	5231	tags=45%, list=31%, signal=31%	1540/5602/80143/9636/9755/103/79671/4792/5970/3627/340061/3665/55593/8772/7706/3449/1432/5599/57506/5300/8717/54941/3592/3440/8737/9140/23586/6885	ADAR/ATG12/CXCL10/CYLD/RIGI/FADD/IFNA16/IFNA2/IL12A/IRF7/ISG15/MAP3K7/MAPK10/MAPK14/MAPK8/MAVS/NFKBIA/NLRX1/OTUD5/PIN1/RELA/RIPK1/RNF125/SIKE1/TBKBP1/STING1/TRADD/TRIM25	pos.rank
Glycine, serine and threonine metabolism	38	-0.412721382505403	-1.32814965133047	0.044955044955045	1	1	7911	tags=63%, list=47%, signal=34%	5223/314/2731/2653/132158/212/26227/875/63826/23464/1738/1757/8639/55349/1491/4129/6472/635/275/189/29958/669/9380/211	AGXT/ALAS1/ALAS2/AMT/AOC2/AOC3/BHMT/BPGM/CBS/CHDH/CTH/DLD/DMGDH/GCAT/GCSH/GLDC/GLYCTK/GRHPR/MAOB/PGAM1/PHGDH/SARDH/SHMT2/SRR	pos.rank
Retinol metabolism	45	-0.400299120763875	-1.31580696215976	0.052	1	1	7660	tags=64%, list=45%, signal=35%	220/54578/51109/1544/54575/8854/1551/145226/216/195814/7363/10170/127/126/5959/340665/56603/8608/1562/131/54884/6121/7365/10941/316/9227/128/54905/157506	ADH1C/ADH4/ADH5/ADH7/ALDH1A1/ALDH1A2/ALDH1A3/AOX1/CYP1A2/CYP26B1/CYP26C1/CYP2C18/CYP2W1/CYP3A7/DHRS9/LRAT/RDH5/RDH10/RDH11/RDH12/RDH16/RETSAT/RPE65/SDR16C5/UGT1A10/UGT1A6/UGT2A1/UGT2B4/UGT2B10	pos.rank
Homologous recombination	40	-0.403891341660294	-1.30812522025038	0.0549450549450549	1	1	6253	tags=57%, list=37%, signal=36%	5889/9577/6118/83990/6119/672/10714/50511/25788/8940/641/6117/5888/10111/7516/4361/5425/7979/675/7156/11073/8438/5890	BLM/BRCA1/BRCA2/BABAM2/BRIP1/SYCP3/MRE11/POLD2/POLD3/RAD50/RAD51/RAD51B/RAD51C/RAD54B/RAD54L/RPA1/RPA2/RPA3/SEM1/TOP3A/TOP3B/TOPBP1/XRCC2	pos.rank
Autophagy - other	31	-0.415996626053014	-1.30571773388114	0.0691382765531062	1	1	7809	tags=65%, list=46%, signal=35%	2475/5516/11345/79065/60673/115201/9706/23710/64223/5289/11337/30849/83734/26100/23130/3476/9140/84938/84971/285973	ATG10/ATG101/ATG12/ATG2A/ATG4A/ATG4C/ATG4D/ATG9A/ATG9B/GABARAP/GABARAPL1/GABARAPL2/IGBP1/MLST8/MTOR/PIK3C3/PIK3R4/PPP2CB/ULK2/WIPI2	pos.rank
Asthma	22	-0.43960165665867	-1.30553982646049	0.102719033232628	1	1	5529	tags=50%, list=33%, signal=34%	3117/5553/958/3109/3596/3108/2207/3112/3565/3119/2205	CD40/FCER1A/FCER1G/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DMB/HLA-DOB/IL13/IL4/PRG2	pos.rank
Ferroptosis	39	-0.396062286170447	-1.27702810454236	0.0739260739260739	1	1	5541	tags=44%, list=33%, signal=29%	23657/94033/6303/81631/6520/10162/2181/3162/246/23516/2879/30061/8031/5094/84557/7037/7417	ACSL3/ALOX15/FTMT/GPX4/HMOX1/LPCAT3/MAP1LC3A/MAP1LC3B/NCOA4/PCBP2/SAT1/SLC39A14/SLC3A2/SLC40A1/SLC7A11/TFRC/VDAC2	pos.rank
