ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Intestinal immune network for IgA production	23	-0.565461569799541	-1.70595462054842	0.00403632694248234	0.245488322717622	0.240250307296905	365	tags=52%, list=23%, signal=41%	7040/940/2826/3119/23495/3117/10803/3695/3108/29851/958/4055	CCR10/CCR9/CD28/CD40/HLA-DQA1/HLA-DQB1/HLA-DMA/ICOS/ITGB7/LTBR/TGFB1/TNFRSF13B	pos.rank
Notch signaling pathway	10	-0.650122683998735	-1.67793032252965	0.00530785562632696	0.245488322717622	0.240250307296905	401	tags=70%, list=25%, signal=53%	182/4851/4855/3955/23385/5663/5664	JAG1/LFNG/NCSTN/NOTCH1/NOTCH4/PSEN1/PSEN2	pos.rank
Bile secretion	19	-0.571844454408972	-1.67753983115643	0.00406091370558376	0.245488322717622	0.240250307296905	558	tags=74%, list=35%, signal=49%	57552/476/3156/6513/481/6579/6522/1244/358/3949/949/6548/5243/482	ABCB1/ABCC2/AQP1/ATP1A1/ATP1B1/ATP1B2/HMGCR/LDLR/NCEH1/SCARB1/SLC2A1/SLC4A2/SLC9A1/SLCO1A2	pos.rank
Toll-like receptor signaling pathway	17	-0.57376010605547	-1.64612823192025	0.00509683995922528	0.245488322717622	0.240250307296905	330	tags=47%, list=20%, signal=38%	7098/3627/7097/10333/7096/929/51311/958	CD14/CD40/CXCL10/TLR1/TLR2/TLR3/TLR6/TLR8	pos.rank
Breast cancer	32	-0.467174548298853	-1.47284144890168	0.0100300902708124	0.37111334002006	0.363194847700998	619	tags=62%, list=38%, signal=39%	4040/11211/8822/8322/54361/7855/3815/3480/7477/7471/81029/182/1956/2260/4851/2255/6198/7476/8321/4855	EGFR/FGF10/FGF17/FGFR1/FZD1/FZD10/FZD4/FZD5/IGF1R/JAG1/KIT/LRP6/NOTCH1/NOTCH4/RPS6KB1/WNT1/WNT4/WNT5B/WNT7A/WNT7B	pos.rank
PD-L1 expression and PD-1 checkpoint pathway in cancer	13	-0.582006689216073	-1.57762911556417	0.0156739811912226	0.483281086729363	0.472969256998295	530	tags=62%, list=33%, signal=42%	5133/238/1956/920/940/916/7097/6198	ALK/CD28/CD3E/CD4/EGFR/PDCD1/RPS6KB1/TLR2	pos.rank
Basal cell carcinoma	19	-0.505802382960228	-1.48380147357832	0.0243654822335025	0.587059998824705	0.574533825307819	606	tags=63%, list=38%, signal=40%	11211/5727/650/8322/54361/7855/7477/7471/81029/6469/7476/8321	BMP2/FZD1/FZD10/FZD4/FZD5/PTCH1/SHH/WNT1/WNT4/WNT5B/WNT7A/WNT7B	pos.rank
Primary immunodeficiency	17	-0.499810422456769	-1.43396523796399	0.0387359836901121	0.587059998824705	0.574533825307819	477	tags=59%, list=30%, signal=42%	5788/100/920/916/23495/926/29851/3575/958/973	ADA/CD3E/CD4/CD40/CD79A/CD8B/ICOS/IL7R/PTPRC/TNFRSF13B	pos.rank
Allograft rejection	16	-0.505964826975683	-1.43155557188649	0.0448979591836735	0.587059998824705	0.574533825307819	490	tags=44%, list=30%, signal=31%	3105/3135/940/3119/3117/3108/958	CD28/CD40/HLA-DQA1/HLA-DQB1/HLA-A/HLA-DMA/HLA-G	pos.rank
Thyroid hormone signaling pathway	14	-0.513901184658971	-1.41609419580021	0.0464876033057851	0.587059998824705	0.574533825307819	557	tags=64%, list=34%, signal=42%	476/54361/6513/481/4851/489/6548/4855/482	ATP1A1/ATP1B1/ATP1B2/ATP2A3/NOTCH1/NOTCH4/SLC2A1/SLC9A1/WNT4	pos.rank
Systemic lupus erythematosus	17	-0.489116333855962	-1.40328370229315	0.0530071355759429	0.587059998824705	0.574533825307819	432	tags=47%, list=27%, signal=35%	2904/1991/712/940/3119/3117/3108/958	C1QA/CD28/CD40/ELANE/GRIN2B/HLA-DQA1/HLA-DQB1/HLA-DMA	pos.rank
Neurotrophin signaling pathway	10	-0.543182990966948	-1.40192494994924	0.0636942675159236	0.587059998824705	0.574533825307819	592	tags=70%, list=37%, signal=45%	4916/4914/4217/4915/6272/5663/5664	MAP3K5/NTRK1/NTRK2/NTRK3/PSEN1/PSEN2/SORT1	pos.rank
Yersinia infection	15	-0.495442522586781	-1.38502352853341	0.0678314491264132	0.587059998824705	0.574533825307819	311	tags=33%, list=19%, signal=27%	920/5586/926/5585/2335	CD4/CD8B/FN1/PKN1/PKN2	pos.rank
Epstein-Barr virus infection	26	-0.448350464621517	-1.37458553789249	0.0481927710843374	0.587059998824705	0.574533825307819	634	tags=54%, list=39%, signal=33%	960/930/811/3105/3135/3119/916/3627/3117/3383/7097/3108/958/2208	CALR/CD19/CD3E/CD40/CD44/CXCL10/FCER2/HLA-DQA1/HLA-DQB1/HLA-A/HLA-DMA/HLA-G/ICAM1/TLR2	pos.rank
cAMP signaling pathway	35	-0.42988529962864	-1.37294806368443	0.035	0.587059998824705	0.574533825307819	611	tags=49%, list=38%, signal=31%	2550/1394/476/5727/481/2904/2740/9568/775/3973/489/2902/6548/2492/2693/4158/482	ATP1A1/ATP1B1/ATP1B2/ATP2A3/CACNA1C/CRHR1/FSHR/GABBR1/GABBR2/GHSR/GLP1R/GRIN1/GRIN2B/LHCGR/MC2R/PTCH1/SLC9A1	pos.rank
Mineral absorption	15	-0.489346548407779	-1.3679820609921	0.0781089414182939	0.587059998824705	0.574533825307819	574	tags=60%, list=36%, signal=39%	9843/476/55630/481/4891/113235/7779/6546/482	ATP1A1/ATP1B1/ATP1B2/HEPH/SLC11A2/SLC30A1/SLC39A4/SLC46A1/SLC8A1	pos.rank
Choline metabolism in cancer	16	-0.479516219575077	-1.35672299603474	0.0816326530612245	0.587059998824705	0.574533825307819	475	tags=69%, list=29%, signal=49%	5159/8613/5154/80736/126969/1956/5156/57153/6198/56034/8612	EGFR/PDGFA/PDGFC/PDGFRA/PDGFRB/PLPP3/PLPP2/RPS6KB1/SLC44A2/SLC44A3/SLC44A4	pos.rank
Wnt signaling pathway	27	-0.438271814847838	-1.34893389649234	0.0672016048144433	0.587059998824705	0.574533825307819	630	tags=59%, list=39%, signal=37%	4919/4040/11211/8322/54361/7855/4920/6259/7477/7471/81029/4316/7476/8321/6424/5663	FZD1/FZD10/FZD4/FZD5/LRP6/MMP7/PSEN1/ROR1/ROR2/RYK/SFRP4/WNT1/WNT4/WNT5B/WNT7A/WNT7B	pos.rank
Insulin secretion	12	-0.501387625649863	-1.34078323493992	0.0828961175236096	0.587059998824705	0.574533825307819	557	tags=58%, list=34%, signal=39%	476/3778/6513/481/2740/775/482	ATP1A1/ATP1B1/ATP1B2/CACNA1C/GLP1R/KCNMA1/SLC2A1	pos.rank
Melanoma	14	-0.486449834369521	-1.34044989107348	0.0940082644628099	0.587059998824705	0.574533825307819	672	tags=71%, list=42%, signal=42%	5159/999/8822/3480/5154/1956/2260/5156/2255/56034	CDH1/EGFR/FGF10/FGF17/FGFR1/IGF1R/PDGFA/PDGFC/PDGFRA/PDGFRB	pos.rank
Phagosome	44	-0.409352325475358	-1.33792402082368	0.044955044955045	0.587059998824705	0.574533825307819	566	tags=50%, list=35%, signal=33%	8685/3920/811/3105/3135/81035/7037/949/537/3119/84617/3117/3673/3693/7097/2213/10333/3108/7280/22925/9341/929	ATP6AP1/CALR/CD14/COLEC12/FCGR2B/HLA-DQA1/HLA-DQB1/HLA-A/HLA-DMA/HLA-G/ITGA2/ITGB5/LAMP2/MARCO/PLA2R1/SCARB1/TFRC/TLR2/TLR6/TUBB2A/TUBB6/VAMP3	pos.rank
T cell receptor signaling pathway	16	-0.472415732476003	-1.33663317688556	0.0897959183673469	0.587059998824705	0.574533825307819	530	tags=44%, list=33%, signal=30%	5133/5788/920/940/916/926/29851	CD28/CD3E/CD4/CD8B/ICOS/PDCD1/PTPRC	pos.rank
Endocrine resistance	11	-0.50736188866334	-1.33479848579145	0.0928270042194093	0.587059998824705	0.574533825307819	570	tags=64%, list=35%, signal=41%	1839/3480/182/1956/4851/6198/4855	EGFR/HBEGF/IGF1R/JAG1/NOTCH1/NOTCH4/RPS6KB1	pos.rank
Chemokine signaling pathway	21	-0.446709730557714	-1.33332039505668	0.0883248730964467	0.587059998824705	0.574533825307819	269	tags=29%, list=17%, signal=24%	6366/2826/3627/6376/10803/643	CCL21/CCR10/CCR9/CX3CL1/CXCL10/CXCR5	pos.rank
Salmonella infection	26	-0.430165283684574	-1.31883208452877	0.0863453815261044	0.587059998824705	0.574533825307819	270	tags=31%, list=17%, signal=26%	3320/84617/302/5585/7097/10333/7280/929	ANXA2/CD14/HSP90AA1/PKN1/TLR2/TLR6/TUBB2A/TUBB6	pos.rank
Gastric cancer	34	-0.412876794989116	-1.31182572529721	0.0730730730730731	0.587059998824705	0.574533825307819	647	tags=56%, list=40%, signal=34%	999/4040/11211/8822/8322/54361/7855/7043/7477/7471/81029/7040/1956/2255/6198/5243/6469/7476/8321	ABCB1/CDH1/EGFR/FGF10/FGF17/FZD1/FZD10/FZD4/FZD5/LRP6/RPS6KB1/SHH/TGFB1/TGFB3/WNT1/WNT4/WNT5B/WNT7A/WNT7B	pos.rank
Viral myocarditis	25	-0.429331487027097	-1.31137568386504	0.0975855130784708	0.587059998824705	0.574533825307819	490	tags=44%, list=30%, signal=31%	3105/3135/8910/940/3119/3117/857/3383/3108/6443/958	CAV1/CD28/CD40/HLA-DQA1/HLA-DQB1/HLA-A/HLA-DMA/HLA-G/ICAM1/SGCB/SGCE	pos.rank
Cushing syndrome	29	-0.413090715316414	-1.28476694910736	0.103206412825651	0.587059998824705	0.574533825307819	606	tags=62%, list=38%, signal=39%	185/11211/1394/57552/4221/8322/54361/7855/7477/7471/81029/1956/3949/775/949/7476/8321/4158	AGTR1/CACNA1C/CRHR1/EGFR/FZD1/FZD10/FZD4/FZD5/LDLR/MC2R/MEN1/NCEH1/SCARB1/WNT1/WNT4/WNT5B/WNT7A/WNT7B	pos.rank
Arrhythmogenic right ventricular cardiomyopathy	36	-0.395231114932534	-1.26466845131958	0.105	0.587059998824705	0.574533825307819	585	tags=53%, list=36%, signal=34%	59285/284217/3694/3655/3672/8910/1824/775/1000/489/3673/3693/1829/22801/3695/3674/6443/6546/3675	ATP2A3/CACNA1C/CACNG6/CDH2/DSC2/DSG2/ITGA1/ITGA11/ITGA2/ITGA2B/ITGA3/ITGA6/ITGB5/ITGB6/ITGB7/LAMA1/SGCB/SGCE/SLC8A1	pos.rank
Cytoskeleton in muscle cells	58	-0.373363765795668	-1.25603686159717	0.0749250749250749	0.587059998824705	0.574533825307819	608	tags=50%, list=38%, signal=32%	1291/284217/3694/476/1277/2200/3655/1292/3672/8910/481/633/1824/375790/4811/2199/3673/3693/1829/4628/22801/3695/288/1465/3674/6443/2335/482/3675	AGRN/ANK3/ATP1A1/ATP1B1/ATP1B2/BGN/COL1A1/COL6A1/COL6A2/CSRP1/DSC2/DSG2/FBLN2/FBN1/FN1/ITGA1/ITGA11/ITGA2/ITGA2B/ITGA3/ITGA6/ITGB5/ITGB6/ITGB7/LAMA1/MYH10/NID1/SGCB/SGCE	pos.rank
Efferocytosis	39	-0.388285063635569	-1.25403936972131	0.107892107892108	0.587059998824705	0.574533825307819	700	tags=59%, list=43%, signal=34%	26762/5743/55576/19/2056/811/140885/10461/6513/1901/7040/558/100133941/712/64805/84466/489/55754/102/2057/6376/3693/682	ABCA1/ADAM10/ATP2A3/AXL/BSG/C1QA/CALR/CD24/CX3CL1/EPO/EPOR/HAVCR1/ITGB5/MEGF10/MERTK/P2RY12/PTGS2/S1PR1/SIRPA/SLC2A1/STAB2/TGFB1/TMEM30A	pos.rank
Cholinergic synapse	14	0.322541744078214	1.24725539722477	0.0882352941176471	0.587059998824705	0.574533825307819	818	tags=93%, list=51%, signal=46%	1137/1132/3763/112/779/1141/774/43/3785/3708/3786/115/1139	ACHE/ADCY6/ADCY9/CACNA1B/CACNA1S/CHRM4/CHRNA4/CHRNA7/CHRNB2/ITPR1/KCNJ6/KCNQ2/KCNQ3	pos.rank
Human papillomavirus infection	71	-0.364332571579133	-1.24658617914866	0.0689310689310689	0.587059998824705	0.574533825307819	608	tags=52%, list=38%, signal=34%	1291/11211/284217/3694/1277/8322/54361/7855/3655/1292/3105/7477/3135/3672/3913/7471/81029/7422/182/1956/7098/537/4851/3915/3673/3693/22801/3695/3674/6198/7476/8321/4855/2335/3955/5663/3675	ATP6AP1/COL1A1/COL6A1/COL6A2/EGFR/FN1/FZD1/FZD10/FZD4/FZD5/HLA-A/HLA-G/ITGA1/ITGA11/ITGA2/ITGA2B/ITGA3/ITGA6/ITGB5/ITGB6/ITGB7/JAG1/LAMA1/LAMB2/LAMC1/LFNG/NOTCH1/NOTCH4/PSEN1/RPS6KB1/TLR3/VEGFA/WNT1/WNT4/WNT5B/WNT7A/WNT7B	pos.rank
Pathways in cancer	114	-0.330419720186542	-1.16879363039233	0.103896103896104	0.587059998824705	0.574533825307819	687	tags=50%, list=43%, signal=31%	5743/5159/185/1902/2056/999/3594/3563/4040/11211/2846/8822/284217/1630/5727/650/8322/54361/7855/7043/3655/3596/4914/3815/3480/6513/7477/5154/3913/7471/81029/238/7422/182/7040/2322/1956/10161/3320/2260/5156/6775/4851/2255/2057/3915/3673/3674/6198/6469/7476/8321/4855/3575/2335/3675/9170	AGTR1/ALK/BMP2/CDH1/DCC/EGFR/EPO/EPOR/FGF10/FGF17/FGFR1/FLT3/FN1/FZD1/FZD10/FZD4/FZD5/HSP90AA1/IGF1R/IL12RB1/IL13/IL3RA/IL7R/ITGA2/ITGA2B/ITGA3/ITGA6/JAG1/KIT/LAMA1/LAMB2/LAMC1/LPAR1/LPAR2/LPAR4/LPAR6/LRP6/NOTCH1/NOTCH4/NTRK1/PDGFA/PDGFRA/PDGFRB/PTCH1/PTGS2/RPS6KB1/SHH/SLC2A1/STAT4/TGFB1/TGFB3/VEGFA/WNT1/WNT4/WNT5B/WNT7A/WNT7B	pos.rank
Toxoplasmosis	26	-0.41439921157001	-1.27049531133875	0.114457831325301	0.604991394148021	0.592082616179002	583	tags=50%, list=36%, signal=32%	284217/7043/3655/3588/3913/7040/3949/3119/3915/3117/7097/3108/958	CD40/HLA-DQA1/HLA-DQB1/HLA-DMA/IL10RB/ITGA6/LAMA1/LAMB2/LAMC1/LDLR/TGFB1/TGFB3/TLR2	pos.rank
Autoimmune thyroid disease	16	-0.457655056464561	-1.29486994184945	0.120408163265306	0.607836607836608	0.594867121182911	490	tags=44%, list=30%, signal=31%	3105/3135/940/3119/3117/3108/958	CD28/CD40/HLA-DQA1/HLA-DQB1/HLA-A/HLA-DMA/HLA-G	pos.rank
