ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
Ribosome	126	-0.640698359056099	-2.31497268060776	0.000999000999000999	0.0170866935483871	0.0149087436332767	1532	tags=61%, list=9%, signal=56%	6170/10573/6231/6155/4736/9553/7311/11224/29088/6147/6228/6232/6156/64983/6183/6160/6222/6130/6173/6224/6187/6158/64979/6206/65005/29093/25873/124995/55168/6175/6169/6229/6165/55052/6189/6152/6137/9045/51187/6132/6193/6176/6203/6217/6161/6144/6201/51073/6205/6233/6129/6194/6208/6227/6235/6125/6133/6234/6164/6124/6167/6143/6209/6128/6188/6138/9349/6181/6191/3921/6139/6207/6204/6202/6141/6157/2197	FAU/MRPL10/MRPL15/MRPL20/MRPL22/MRPL28/MRPL32/MRPL33/MRPL36/MRPL4/MRPL9/MRPS12/MRPS18A/RPL10A/RPL13/RPL14/RPL15/RPL17/RPL18/RPL19/RPL21/RPL23/RPL23A/RPL24/RPL27/RPL27A/RPL28/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL37/RPL38/RPL39/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS16/RPS18/RPS2/RPS20/RPS21/RPS23/RPS24/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/UBA52	pos.rank
Aminoacyl-tRNA biosynthesis	42	-0.62706211940747	-2.06599409045991	0.000999000999000999	0.0170866935483871	0.0149087436332767	4301	tags=79%, list=26%, signal=58%	57176/51091/10056/4677/7453/6897/2193/123263/3735/55157/79731/118672/5859/2617/283459/55699/79587/5188/23395/10352/92935/54938/3376/6301/16/55278/57038/833/3035/1615/7407/8565/4141	AARS1/CARS1/CARS2/DARS1/DARS2/FARSA/FARSB/GARS1/GATB/GATC/HARS1/IARS1/IARS2/KARS1/LARS2/MARS1/MARS2/MTFMT/NARS1/NARS2/PSTK/QARS1/QRSL1/RARS2/SARS1/SARS2/SEPSECS/TARS1/VARS1/VARS2/WARS1/WARS2/YARS1	pos.rank
Spliceosome	124	-0.548380608218977	-1.97886199712372	0.000999000999000999	0.0170866935483871	0.0149087436332767	2829	tags=55%, list=17%, signal=46%	9879/6626/25804/11017/9092/9716/6635/51639/57187/10291/8683/6427/51729/10929/3183/6100/1659/51362/4686/1655/10523/3190/3178/25949/22938/10189/10569/10907/55660/6633/10946/10594/6632/22827/9785/3192/10772/7307/23450/10992/23350/11338/9984/6631/9128/9343/83443/56949/10450/51691/24148/27258/6625/55696/9775/4116/6628/22916/27339/10713/84321/84991/4809/3312/84844/6426/6636/9939	SRSF8/ALYREF/AQR/CDC40/CHERP/DDX46/DDX5/DHX38/DHX8/EFTUD2/EIF4A3/HNRNPA1/HNRNPC/HNRNPK/HNRNPU/HSPA8/LSM3/LSM4/LSM8/MAGOH/NCBP1/NCBP2/SNU13/PHF5A/PPIE/PRPF19/PRPF4/PRPF40A/PRPF6/PRPF8/PUF60/RBM17/RBM22/RBM8A/RP9/SART1/SF3A1/SF3A3/SF3B2/SF3B3/SF3B5/SF3B6/SLU7/SNRNP27/SNRNP70/SNRPA/SNRPB/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNW1/SRSF1/SRSF10/SRSF2/SRSF9/SYF2/THOC1/THOC2/THOC3/TXNL4A/U2AF1/U2AF2/U2SURP/USP39/WBP11/XAB2	pos.rank
DNA replication	35	-0.590066548997937	-1.90008381274251	0.000999000999000999	0.0170866935483871	0.0149087436332767	4347	tags=74%, list=26%, signal=55%	5425/57804/3978/5558/10714/56655/5557/6742/6117/4172/79621/6118/5985/4173/5111/4176/5981/5422/5424/4171/23649/5426/2237/84153/10535/4174	FEN1/LIG1/MCM2/MCM3/MCM4/MCM5/MCM7/PCNA/POLA1/POLA2/POLD1/POLD2/POLD3/POLD4/POLE/POLE4/PRIM1/PRIM2/RFC1/RFC5/RNASEH2A/RNASEH2B/RNASEH2C/RPA1/RPA2/SSBP1	pos.rank
Coronavirus disease - COVID-19	207	-0.48273231194554	-1.79773535806004	0.000999000999000999	0.0170866935483871	0.0149087436332767	5134	tags=57%, list=31%, signal=40%	3569/7187/4938/3443/6146/4314/6154/6134/23118/3439/4940/715/6142/1956/3570/340061/6171/3661/6223/727/1675/1536/7098/6218/6885/4790/5610/6136/5578/6122/733/3444/5293/716/6166/6230/5295/6774/5603/6168/3448/9641/735/3572/6170/6231/2165/6155/731/4736/8517/1636/3551/7311/4792/11224/6147/6228/6232/6156/103/6160/6222/6130/6173/6224/6187/6158/5600/6206/25873/6175/6169/6229/6165/6189/6152/6137/9045/51187/6132/6193/6176/6203/6217/6161/6144/6201/6205/6233/6129/6194/6208/6227/6235/6125/6133/6234/6164/6124/6167/6143/6209/6128/6188/6138/9349/6181/6191/3921/6139/6207/6204/6202/6141/6157/2197	ACE/ADAR/C1R/C1S/C8A/C8G/C9/CFD/CYBB/EGFR/EIF2AK2/F13B/FAU/C5/IFNA1/IFNA14/IFNA6/IFNA7/IKBKB/IKBKE/IKBKG/IL6/IL6R/IL6ST/IRF3/MAP3K7/MAPK11/MAPK13/MMP3/NFKB1/NFKBIA/OAS1/OAS3/PIK3CD/PIK3R1/PRKCA/RPL10/RPL10A/RPL12/RPL13/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL27/RPL27A/RPL28/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/STAT3/TAB2/TLR3/STING1/TRAF3/UBA52	pos.rank
RNA polymerase	32	-0.56302218090225	-1.78697892523399	0.001	0.0170866935483871	0.0149087436332767	2408	tags=59%, list=14%, signal=51%	10849/81488/221830/10623/5437/171568/9533/661/11128/51082/55703/5431/27297/51728/55718/5432/84172/5436/5441	POLR1G/CRCP/POLR1B/POLR1C/POLR1D/POLR2B/POLR2C/POLR2G/POLR2H/POLR2L/POLR2M/POLR3A/POLR3B/POLR3C/POLR3D/POLR3E/POLR3H/POLR3K/POLR1F	pos.rank
Nucleocytoplasmic transport	102	-0.493092798644278	-1.75330332703024	0.000999000999000999	0.0170866935483871	0.0149087436332767	4865	tags=62%, list=29%, signal=44%	348995/55706/6612/53371/51808/4928/5411/7919/1434/84305/55308/10284/6613/11097/11269/5903/6396/26019/3839/23633/23511/22794/55161/10526/57187/80145/3837/1915/5901/56000/51194/23225/4686/81929/4927/10189/5905/7329/8086/29107/9688/9670/25909/23534/10250/9631/3843/57510/7175/9984/57122/23636/8480/79902/9775/2733/4116/10527/22916/84321/23279/7514/9939	AAAS/AHCTF1/ALYREF/CASC3/CSE1L/DDX19A/DDX19B/DDX39B/EEF1A1/EIF4A3/GLE1/IPO11/IPO13/IPO5/IPO7/IPO8/KPNA3/KPNA6/KPNB1/MAGOH/NCBP1/NCBP2/NDC1/NUP107/NUP155/NUP160/NUP188/NUP210/NUP43/NUP54/NUP62/NUP85/NUP88/NUP93/NUP98/NUP42/NXF3/NXT1/PHAX/PNN/RAE1/RAN/RANBP2/RANGAP1/RBM8A/SAP18/SEC13/SEH1L/SRRM1/SUMO2/SUMO3/THOC1/THOC2/THOC3/THOC7/TMEM33/TNPO3/TPR/UBE2I/UPF2/PYM1/XPO1/XPO5	pos.rank
Ribosome biogenesis in eukaryotes	73	-0.484787227303398	-1.67986870330834	0.000999000999000999	0.0170866935483871	0.0149087436332767	4980	tags=63%, list=30%, signal=44%	10199/51096/2091/166378/55131/51367/55505/54552/84135/54464/138716/23560/29889/10799/345630/5901/56000/10813/79631/10557/55651/10436/5822/9790/29107/65083/29102/6949/23160/134430/83732/26354/27341/55341/10940/55272/23195/1736/84916/3692/51602/92856/10248/55127/7514/4809	BMS1/UTP4/DKC1/DROSHA/EFL1/EIF6/EMG1/FBL/FBLL1/GNL2/GNL3/GNL3L/GTPBP4/HEATR1/IMP3/IMP4/LSG1/MDN1/MPHOSPH10/NHP2/SNU13/NOL6/NOP10/NOP58/NXF3/NXT1/POP1/POP5/POP7/PWP2/RAN/RBM28/RIOK1/RPP25L/RPP38/RPP40/RRP7A/AFG2A/TCOF1/UTP14A/UTP15/UTP18/WDR36/WDR43/XPO1/XRN1	pos.rank
Arginine biosynthesis	19	-0.568305683951276	-1.67806506297904	0.00100806451612903	0.0170866935483871	0.0149087436332767	4983	tags=68%, list=30%, signal=48%	435/4843/4842/2746/2806/95/137362/2805/384/162417/4846/383/5009	ACY1/ARG1/ARG2/ASL/GLUD1/GOT1/GOT1L1/GOT2/NAGS/NOS1/NOS2/NOS3/OTC	pos.rank
Systemic lupus erythematosus	101	-0.427551086782379	-1.51918414411862	0.000999000999000999	0.0170866935483871	0.0149087436332767	4971	tags=52%, list=30%, signal=37%	8969/286436/8340/8364/3021/3108/6634/715/6741/8358/2903/727/8360/8294/733/716/8342/723790/941/3020/735/8345/3013/731/8354/6632/8335/8363/8365/8330/8350/3015/3018/8362/940/8334/85235/8341/8338/8329/8366/3012/653604/3017/8968/6628/8361/8348/8353/8351/85236/8357/8355	C1R/C1S/C8A/C8G/C9/CD28/CD80/GRIN2A/HLA-DMA/H2AZ1/H2BW2/H3-3A/H3-3B/C5/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC15/H2BC3/H2BC5/H2BC9/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H3C1/H3C2/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H4C2/H4C3/H4C4/H4C6/H4C8/H4C9/H4C11/H4C12/H2AC19/H2AC20/H3C13/SNRPB/SNRPD1/SNRPD3/SSB	pos.rank
