id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
0610007P14Rik	ENSG00000133935	ERG28	11161	ERG28	5	0.44897	0.53376	1	8896	1	-0.30469	0.21118	0.31291	1	5370	1	-0.30469
0610009B22Rik	ENSG00000196459	TRAPPC2	6399	TRAPPC2	5	0.83751	0.83796	1	14517	0	-0.12048	0.72444	0.72489	1	12776	0	-0.12048
0610009D07Rik	ENSG00000115128	SF3B6	51639	SF3B6	5	0.00025158	0.0011526	0.180022	115	4	-0.79278	0.98249	0.98258	1	17806	0	-0.79278
0610009O20Rik	ENSG00000081791	DELE1	9812	DELE1	5	0.91225	0.91262	1	16145	0	0.081273	0.81007	0.81052	1	14349	0	0.081273
0610010F05Rik	ENSG00000162929	SANBR	84542	SANBR	5	0.2807	0.40871	1	6850	2	-0.23773	0.95778	0.95799	1	17209	0	-0.23773
0610010K14Rik	ENSG00000258315	C17orf49	124944	C17orf49	9	0.21137	0.40111	1	5678	3	0.31134	0.63386	0.68378	1	11160	1	0.31134
0610011F06Rik	ENSG00000130731	METTL26	84326	METTL26	5	0.95578	0.95604	1	17161	0	0.2473	0.020591	0.052098	0.951781	997	2	0.2473
0610012H03Rik	ENSG00000227160	THEM7P	106480297	THEM7P	5	0.98515	0.98526	1	17905	0	0.31225	0.14637	0.23435	1	4091	2	0.31225
0610030E20Rik	ENSG00000168887	C2orf68	388969	C2orf68	5	0.88947	0.88995	1	15622	0	0.10866	0.44606	0.4676	1	8143	1	0.10866
0610031J06Rik	ENSG00000198715	GLMP	112770	GLMP	5	0.43693	0.52737	1	8798	1	-0.027785	0.17394	0.27045	1	4706	1	-0.027785
0610037L13Rik	ENSG00000162384	CZIB	54987	CZIB	5	0.95829	0.95849	1	17228	0	0.56092	0.023277	0.058118	0.963627	1094	3	0.56092
0610040J01Rik	ENSG00000154274	C4orf19	55286	C4orf19	4	0.37987	0.44225	1	8270	1	0.44289	0.066933	0.11811	1	2314	2	0.44289
1100001G20Rik	ENSG00000261040	WFDC21P	645638	WFDC21P	2	0.83375	0.83329	1	14435	0	0.38119	0.24883	0.25005	1	5772	1	0.38119
1110001A16Rik	ENSG00000218739	CEBPZOS	100505876	CEBPZOS	4	0.13741	0.22691	0.989553	4488	1	0.32922	0.68606	0.68542	1	12121	0	0.32922
1110001J03Rik	ENSG00000164898	FMC1	154791	FMC1	5	0.21215	0.33188	1	5701	2	0.26655	0.056562	0.11513	1	2087	2	0.26655
1110004E09Rik	ENSG00000159079	CFAP298	56683	CFAP298	5	0.16089	0.2749	1	4870	1	0.16422	0.024094	0.059899	0.968676	1116	1	0.16422
1110004F10Rik	ENSG00000110696	C11orf58	10944	C11orf58	5	0.045281	0.10857	0.825064	2395	2	0.0538	0.60442	0.60495	1	10649	1	0.0538
1110007C09Rik	ENSG00000165233	CARD19	84270	CARD19	5	0.10494	0.21237	0.971784	3949	2	0.18803	0.54125	0.54543	1	9557	1	0.18803
1110008F13Rik	ENSG00000101084	RAB5IF	55969	RAB5IF	5	0.90486	0.90525	1	15979	0	0.078092	0.74117	0.74162	1	13070	0	0.078092
1110008J03Rik	ENSG00000139405	RITA1	84934	RITA1	5	0.66485	0.67394	1	11363	1	0.3125	0.36956	0.41229	1	7106	1	0.3125
1110008L16Rik	ENSG00000100890	PRORP	9692	PRORP	5	0.41422	0.51563	1	8584	1	-0.058487	0.91931	0.91964	1	16443	0	-0.058487
1110008P14Rik	ENSG00000171159	BBLN	79095	BBLN	5	0.91606	0.91634	1	16218	0	0.21356	0.8244	0.82482	1	14629	0	0.21356
1110012L19Rik	ENSG00000197620	EOLA1	91966	EOLA1	5	0.062609	0.14222	0.881097	2923	2	-0.27074	0.96737	0.96754	1	17425	0	-0.27074
1110017D15Rik	ENSG00000164972	SPMIP6	84688	SPMIP6	5	0.1204	0.22961	0.991699	4195	2	-0.35014	0.52513	0.53136	1	9309	1	-0.35014
1110032A03Rik	ENSG00000137720	CFAP68	64776	CFAP68	5	0.020372	0.057957	0.68003	1515	1	-0.17616	0.66562	0.66602	1	11758	0	-0.17616
1110032F04Rik	ENSG00000180044	C3orf80	401097	C3orf80	5	0.73716	0.73773	1	12591	1	0.6672	0.008754	0.02487	0.871795	516	3	0.6672
1110034G24Rik	ENSG00000171984	SHLD1	149840	SHLD1	5	0.044637	0.10729	0.824679	2365	3	-0.64582	0.99087	0.99094	1	18014	0	-0.64582
1110037F02Rik	ENSG00000164944	VIRMA	25962	VIRMA	5	1	1	1	18396	0	1.1234	1.6504e-06	6.1811e-06	0.002711	42	5	1.1234
1110051M20Rik	ENSG00000149179	CSTPP1	79096	CSTPP1	5	0.32435	0.45767	1	7635	2	-0.35146	0.97433	0.97442	1	17595	0	-0.35146
1110057K04Rik	ENSG00000118961	LDAH	60526	LDAH	5	0.091971	0.197	0.95297	3735	3	-0.47933	0.93688	0.93716	1	16780	0	-0.47933
1110058L19Rik	ENSG00000154079	SDHAF4	135154	SDHAF4	5	0.29582	0.42575	1	7116	1	-0.059459	0.51756	0.52492	1	9180	1	-0.059459
1110059E24Rik	ENSG00000155621	C9orf85	138241	C9orf85	5	0.098797	0.20547	0.96259	3859	1	-0.047838	0.65926	0.6597	1	11655	0	-0.047838
1110059G10Rik	ENSG00000163807	KIAA1143	57456	KIAA1143	5	0.92061	0.92097	1	16317	0	0.23155	0.032755	0.079094	0.972262	1468	1	0.23155
1110059M19Rik	ENSG00000183631	PRR32	100130613	PRR32	5	0.21797	0.33836	1	5800	2	-0.3855	0.69426	0.69462	1	12249	0	-0.3855
1110065P20Rik	ENSG00000197982	C1orf122	127687	C1orf122	2	0.32168	0.3256	1	7586	1	-0.52717	0.93982	0.9397	1	16838	0	-0.52717
1190002N15Rik	ENSG00000181744	DIPK2A	205428	DIPK2A	5	0.80359	0.80401	1	13873	0	0.12505	0.12417	0.20491	1	3606	2	0.12505
1190003K10Rik	ENSG00000283329	FAM240B	110806297	FAM240B	5	0.15554	0.26899	1	4779	2	-0.11206	0.58791	0.58862	1	10350	1	-0.11206
1190005I06Rik	ENSG00000154102	C16orf74	404550	C16orf74	5	0.41054	0.51379	1	8555	1	-0.068314	0.39021	0.42669	1	7369	1	-0.068314
1190007I07Rik	ENSG00000204954	UQCC6	728568	UQCC6	5	0.91745	0.91777	1	16248	0	0.19207	0.55454	0.55738	1	9788	1	0.19207
1200011I18Rik	ENSG00000133114	GPALPP1	55425	GPALPP1	5	0.71806	0.71967	1	12260	1	-0.14377	0.28757	0.3586	1	6187	1	-0.14377
1200014J11Rik	ENSG00000074356	NCBP3	55421	NCBP3	5	0.59483	0.62211	1	10445	1	0.071289	0.051548	0.10829	0.998247	1975	2	0.071289
1300002K09Rik	ENSG00000254633	STRA6LP	112272565	STRA6LP	5	0.79817	0.79865	1	13773	0	0.1357	0.8793	0.8798	1	15636	0	0.1357
1300017J02Rik	NA	NA	NA	NA	5	0.71286	0.71494	1	12172	1	0.2422	0.049302	0.10525	0.989874	1931	1	0.2422
1500009L16Rik	ENSG00000235162	C12orf75	387882	C12orf75	3	0.00052197	0.0015375	0.206349	177	3	-0.78342	0.99785	0.99791	1	18250	0	-0.78342
1500012F01Rik	ENSG00000177410	ZFAS1	441951	ZFAS1	2	0.85845	0.85813	1	14956	0	0.24023	0.56587	0.56579	1	9977	0	0.24023
1500015O10Rik	ENSG00000119147	ECRG4	84417	ECRG4	5	0.30518	0.43621	1	7291	2	0.095689	0.73836	0.73879	1	13009	0	0.095689
1600002H07Rik	ENSG00000162062	TEDC2	80178	TEDC2	5	0.90284	0.90325	1	15928	0	0.65027	0.0061659	0.018801	0.78714	437	3	0.65027
1600002K03Rik	ENSG00000228300	FAM174C	55009	FAM174C	5	0.26221	0.38787	1	6555	2	-0.14768	0.96286	0.96307	1	17314	0	-0.14768
1600012H06Rik	ENSG00000185127	C6orf120	387263	C6orf120	5	0.27578	0.4032	1	6762	2	-0.4351	0.41327	0.44326	1	7678	1	-0.4351
1600014C23Rik	NA	NA	NA	NA	5	0.68212	0.68815	1	11641	1	0.28299	0.3374	0.3906	1	6723	1	0.28299
1600014K23Rik	ENSG00000219186	FTH1P19	389844	FTH1P19	5	0.45616	0.53762	1	8958	1	-0.34295	0.46176	0.47952	1	8362	1	-0.34295
1600015I10Rik	ENSG00000002726	AOC1	26	AOC1	5	0.82043	0.82093	1	14178	0	0.2401	0.23171	0.32478	1	5609	1	0.2401
1600016N20Rik	ENSG00000185522	LMNTD2	256329	LMNTD2	5	0.08208	0.17876	0.93177	3451	2	-0.19915	0.76583	0.76624	1	13530	0	-0.19915
1600029D21Rik	ENSG00000188771	PLET1	349633	PLET1	5	0.17711	0.29289	1	5107	2	0.13151	0.82414	0.82455	1	14624	0	0.13151
1700001C02Rik	ENSG00000173557	CIMIP2C	339778	CIMIP2C	5	0.012175	0.039493	0.597687	1171	2	-0.23614	0.75096	0.75144	1	13253	0	-0.23614
1700001C19Rik	ENSG00000287363	CIMIP3	114841037	CIMIP3	5	0.84739	0.84776	1	14706	0	-0.026738	0.50075	0.51091	1	8921	1	-0.026738
1700001J03Rik	NA	NA	NA	NA	5	0.21051	0.33007	1	5658	2	-0.29617	0.4417	0.46427	1	8081	1	-0.29617
1700001K19Rik	NA	NA	NA	NA	5	0.094824	0.20098	0.957375	3792	2	-0.054848	0.4382	0.46164	1	8022	1	-0.054848
1700001L19Rik	ENSG00000215217	CFAP90	134121	CFAP90	5	0.67176	0.67954	1	11474	1	0.27001	0.13345	0.21721	1	3804	2	0.27001
1700001O22Rik	ENSG00000179058	C9orf50	375759	C9orf50	5	0.79467	0.79514	1	13708	0	0.26777	0.79363	0.79409	1	14054	0	0.26777
1700001P01Rik	ENSG00000275489	SPMAP1	388381	SPMAP1	5	0.57864	0.61109	1	10263	1	-0.009712	0.82455	0.82498	1	14634	0	-0.009712
1700003E16Rik	ENSG00000284308	C2orf81	388963	C2orf81	5	0.87947	0.87995	1	15410	0	-0.10282	0.15184	0.24158	1	4208	1	-0.10282
1700003F12Rik	ENSG00000149609	C20orf144	128864	C20orf144	5	0.94811	0.94839	1	16969	0	0.35267	0.4285	0.45437	1	7882	1	0.35267
1700003M02Rik	NA	NA	NA	NA	5	0.49484	0.55925	1	9366	1	-0.40942	0.9694	0.96951	1	17473	0	-0.40942
1700006A11Rik	NA	NA	NA	NA	5	0.010873	0.035509	0.585146	1078	3	-0.73027	0.049035	0.1049	0.989493	1926	1	-0.73027
1700006E09Rik	ENSG00000231256	CFAP97D1	284067	CFAP97D1	5	0.003678	0.013101	0.440809	528	2	-0.39052	0.47026	0.48622	1	8493	1	-0.39052
1700007B14Rik	ENSG00000234828	IQCM	285423	IQCM	5	0.13628	0.24731	1	4467	2	0.10426	0.85334	0.85367	1	15139	0	0.10426
1700007G11Rik	ENSG00000197826	CFAP299	255119	CFAP299	5	0.6568	0.66761	1	11240	1	-0.17768	0.97563	0.97577	1	17635	0	-0.17768
1700007K09Rik	NA	NA	NA	NA	5	0.054766	0.12715	0.85945	2674	3	-0.23832	0.97756	0.9777	1	17697	0	-0.23832
1700007K13Rik	ENSG00000160345	PIERCE1	138162	PIERCE1	5	0.66724	0.67589	1	11397	1	-0.15206	0.50183	0.51185	1	8935	1	-0.15206
1700008A04Rik	NA	NA	NA	NA	5	0.31743	0.44993	1	7505	2	-0.30458	0.95453	0.95478	1	17148	0	-0.30458
1700008F21Rik	NA	NA	NA	NA	7	0.31719	0.47838	1	7502	2	-0.2689	0.94505	0.94513	1	16943	0	-0.2689
1700008I05Rik	NA	NA	NA	NA	5	0.020591	0.058391	0.680267	1526	2	-0.038498	0.79352	0.79398	1	14052	0	-0.038498
1700008O03Rik	ENSG00000235034	C19orf81	342918	C19orf81	5	0.7617	0.76212	1	13052	0	0.21522	0.7113	0.71176	1	12546	0	0.21522
1700008P02Rik	NA	NA	NA	NA	5	0.08509	0.18429	0.936735	3549	3	-0.50784	0.74352	0.74395	1	13113	0	-0.50784
1700009N14Rik	NA	NA	NA	NA	5	0.98727	0.9873	1	17956	0	0.51922	0.4811	0.49491	1	8647	1	0.51922
