id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	Type	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc	lfc.zs	lfc.zs.rank	lfc.zs.rank.perc
A1BG	ENSG00000121410	A1BG	1	A1BG	Stim	12	0.25116	0.53098	1	10049	2	0.061985	0.19042	0.45884	1	9386	6	0.061985	0.54121394296036	14043	0.725272454935179
A1CF	ENSG00000148584	A1CF	29974	A1CF	Stim	16	0.74211	0.91895	1	17253	4	0.027495	0.16711	0.45589	1	8752	7	0.027495	0.252156232722056	11481	0.59294457930892
A2M	ENSG00000175899	A2M	2	A2M	Stim	16	0.51422	0.80383	1	14749	5	-0.010251	0.42866	0.74601	1	14073	4	-0.010251	-0.0641897322143033	8503	0.439130210216414
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	Stim	16	0.52843	0.81194	1	14907	5	0.18333	0.0049655	0.031888	0.819935	752	9	0.18333	1.55819590436561	18692	0.96539434946542
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	Stim	16	0.161	0.43744	1	7657	4	-0.037876	0.25302	0.57278	1	10943	6	-0.037876	-0.295712470553913	6409	0.330974639739683
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	Stim	12	0.21738	0.4909	1	9214	4	-0.07475	0.10723	0.31707	0.984875	6661	4	-0.07475	-0.604750278826665	4170	0.215329786684572
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	Stim	16	0.56143	0.83075	1	15311	2	0.10547	0.11824	0.36312	0.990697	7073	8	0.10547	0.905657971076122	16516	0.853003460565053
AAAS	ENSG00000094914	AAAS	8086	AAAS	Stim	16	0.70973	0.9071	1	17006	3	-0.0053068	0.55134	0.8328	1	15731	5	-0.0053068	-0.0227528191681966	8880	0.4586023449202
AACS	ENSG00000081760	AACS	65985	AACS	Stim	16	0.34087	0.66349	1	11908	5	0.24801	0.0030134	0.020644	0.76214	522	9	0.24801	2.10027339634048	19182	0.990702959557874
AADAC	ENSG00000114771	AADAC	13	AADAC	Stim	16	0.094085	0.30831	1	5327	6	-0.030678	0.62139	0.86832	1	16422	5	-0.030678	-0.235386654424736	6890	0.35581839781003
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	Stim	16	0.20956	0.50968	1	9004	4	0.076768	0.10721	0.34058	0.98516	6659	8	0.076768	0.665108988783869	15043	0.776922679613656
AADACL3	ENSG00000188984	AADACL3	126767	AADACL3	Stim	16	0.97563	0.99154	1	19102	2	0.031747	0.62295	0.86907	1	16440	5	0.031747	0.287791877370744	11798	0.609317700531997
AADACL4	ENSG00000204518	AADACL4	343066	AADACL4	Stim	16	0.084737	0.28702	1	4952	8	-0.14833	0.67229	0.8935	1	16890	3	-0.14833	-1.22141790188652	1685	0.0869789783585559
AADAT	ENSG00000109576	AADAT	51166	AADAT	Stim	16	0.25588	0.57348	1	10186	6	-0.041601	0.92504	0.98025	1	18688	3	-0.041601	-0.326931373732739	6141	0.317132379525851
AAED1	ENSG00000158122	PRXL2C	195827	PRXL2C	Stim	16	0.61514	0.86096	1	15981	4	0.26217	0.002656	0.018559	0.753775	464	11	0.26217	2.21894713298805	19222	0.992768968545013
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	Stim	16	0.045968	0.1869	1	3337	7	-0.090031	0.28763	0.61553	1	11707	4	-0.090031	-0.732819019625492	3433	0.177263571096534
AAK1	ENSG00000115977	AAK1	22848	AAK1	Stim	16	0.71651	0.90954	1	17055	3	0.078364	0.11511	0.3568	0.989973	6940	7	0.078364	0.678484926897535	15139	0.78188110118279
AAMDC	ENSG00000087884	AAMDC	28971	AAMDC	Stim	16	0.88002	0.96651	1	18424	3	0.069072	0.30137	0.63191	1	12002	7	0.069072	0.600609477679376	14559	0.751923970869273
AAMP	ENSG00000127837	AAMP	14	AAMP	Stim	16	0.41381	0.72942	1	13207	4	-0.043338	0.05383	0.21196	0.971833	4184	6	-0.043338	-0.341489020664717	6020	0.310882702339755
AANAT	ENSG00000129673	AANAT	15	AANAT	Stim	16	0.43821	0.75021	1	13679	6	0.050674	0.0053423	0.033948	0.821207	797	7	0.050674	0.446417429173597	13218	0.682661019575435
AAR2	ENSG00000131043	AAR2	25980	AAR2	Stim	16	0.031188	0.13865	1	2583	7	-0.077123	0.28849	0.61658	1	11716	5	-0.077123	-0.624638186811458	4034.5	0.208305356128299
AARD	ENSG00000205002	AARD	441376	AARD	Stim	16	0.050952	0.20233	1	3607	5	-0.054332	0.39599	0.71956	1	13606	6	-0.054332	-0.433628784838678	5273	0.272299984504933
AARS	ENSG00000090861	AARS1	16	AARS1	Stim	16	2.1352e-05	0.00025082	0.024042	200	10	-0.31792	0.91286	0.97727	1	18615	2	-0.31792	-2.64273704016759	292	0.0150302153814369
AARS2	ENSG00000124608	AARS2	57505	AARS2	Stim	16	0.039455	0.16614	1	3000	4	-0.00058403	0.3001	0.63038	1	11978	6	-0.00058403	0.0168283081783432	9246	0.477506327152523
AARSD1	ENSG00000266967	AARSD1	80755	AARSD1	Stim	16	0.054538	0.21325	1	3783	7	-0.055187	0.50999	0.80839	1	15233	4	-0.055187	-0.440794465970999	5226	0.269872423945044
AASDH	ENSG00000157426	AASDH	132949	AASDH	Stim	16	0.2263	0.5332	1	9417	6	-0.029083	0.12463	0.37584	0.992359	7309	6	-0.029083	-0.222019097224676	7002	0.36160322297402
AASDHPPT	ENSG00000149313	AASDHPPT	60496	AASDHPPT	Stim	16	0.83608	0.95455	1	18091	4	0.061018	0.068788	0.25477	0.971833	5019	7	0.061018	0.533109599504273	13981	0.722070141005113
AASS	ENSG00000008311	AASS	10157	AASS	Stim	16	0.22005	0.52449	1	9271	4	0.085972	0.14742	0.41972	1	8092	7	0.085972	0.742246917604784	15555	0.803367594649037
AATF	ENSG00000275700	AATF	26574	AATF	Stim	16	0.082807	0.28253	1	4877	6	0.0059475	0.78631	0.93886	1	17792	4	0.0059475	0.0715684968171599	9746	0.503331439491762
AATK	ENSG00000181409	AATK	9625	AATK	Stim	16	0.1905	0.48186	1	8477	7	-0.071861	0.072944	0.26605	0.971833	5258	3	-0.071861	-0.580537819421665	4323	0.223232271060379
ABAT	ENSG00000183044	ABAT	18	ABAT	Stim	16	0.5469	0.82253	1	15131	5	0.19836	0.052488	0.20791	0.971833	4107	9	0.19836	1.68416103584957	18847	0.973400134290584
ABCA1	ENSG00000165029	ABCA1	19	ABCA1	Stim	16	0.25328	0.57006	1	10100	5	0.052405	0.31884	0.65211	1	12366	7	0.052405	0.460924790623945	13364	0.690201952378493
ABCA10	ENSG00000154263	ABCA10	10349	ABCA10	Stim	16	0.076144	0.267	1	4625	8	-0.078002	0.53977	0.82693	1	15615	4	-0.078002	-0.6320050098703	3987	0.205877795568411
ABCA12	ENSG00000144452	ABCA12	26154	ABCA12	Stim	16	0.53774	0.81732	1	15021	4	0.07202	0.13277	0.3917	0.994757	7606	7	0.07202	0.625316410987074	14747	0.761634213108827
ABCA13	ENSG00000179869	ABCA13	154664	ABCA13	Stim	16	0.33679	0.65963	1	11840	5	0.045399	0.47698	0.78355	1	14763	5	0.045399	0.402208109906938	12816	0.661897629254687
ABCA2	ENSG00000107331	ABCA2	20	ABCA2	Stim	12	0.06683	0.22668	1	4265	5	-0.034871	0.62758	0.84667	1	16479	2	-0.034871	-0.270527825170727	6616	0.341666236248128
ABCA3	ENSG00000167972	ABCA3	21	ABCA3	Stim	16	0.42434	0.73836	1	13399	3	0.092526	0.32569	0.65995	1	12530	7	0.092526	0.797175425372306	15898	0.821083621713754
ABCA4	ENSG00000198691	ABCA4	24	ABCA4	Stim	16	0.19887	0.49416	1	8723	4	0.050207	0.056215	0.21895	0.971833	4312	5	0.050207	0.442503542520037	13183	0.680853261711688
ABCA5	ENSG00000154265	ABCA5	23461	ABCA5	Stim	16	0.73863	0.91771	1	17219	3	0.13678	0.1309	0.38802	0.992455	7548	8	0.13678	1.16806437605036	17655	0.911833066473839
