id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	Type	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc	lfc.zs	lfc.zs.rank	lfc.zs.rank.perc
A1BG	ENSG00000121410	A1BG	1	A1BG	Tregs	12	0.032766	0.13314	0.994517	2762	6	-0.086585	0.35205	0.64685	1	13119	4	-0.086585	-0.695911124948108	3983	0.205671194669697
A1CF	ENSG00000148584	A1CF	29974	A1CF	Tregs	16	0.141	0.40698	0.999924	7366	6	-0.00063205	0.47511	0.78275	1	14978	5	-0.00063205	0.0209183073802936	9529	0.492123340736532
A2M	ENSG00000175899	A2M	2	A2M	Tregs	16	0.39078	0.71239	0.999924	13185	2	0.15161	0.037502	0.1626	0.977849	3202	9	0.15161	1.29058482002485	17864	0.922627963431641
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	Tregs	16	0.71117	0.91168	0.999924	17301	3	0.12807	0.07178	0.26314	0.988165	5131	8	0.12807	1.09426619644055	17169	0.886731057280099
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	Tregs	16	0.026091	0.12276	0.98804	2397	7	0.021455	0.11827	0.36403	0.997127	7009	4	0.021455	0.205119635121913	11146	0.57564175404163
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	Tregs	12	0.026637	0.11483	0.972716	2429	6	-0.065452	0.19916	0.47269	0.998476	9711	5	-0.065452	-0.519666372517899	5079	0.262279840917308
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	Tregs	16	0.82681	0.95166	0.999924	18191	4	-0.022485	0.11811	0.36372	0.997127	7003	7	-0.022485	-0.161330675850659	7954	0.41077423686793
AAAS	ENSG00000094914	AAAS	8086	AAAS	Tregs	16	0.19921	0.49851	0.999924	9102	7	-0.087078	0.37116	0.70089	1	13396	4	-0.087078	-0.700022640726658	3957	0.204328288828056
AACS	ENSG00000081760	AACS	65985	AACS	Tregs	16	0.18982	0.48513	0.999924	8870	4	0.07824	0.30171	0.63268	1	12092	7	0.07824	0.678694530628912	14879	0.768452042766386
AADAC	ENSG00000114771	AADAC	13	AADAC	Tregs	16	0.71842	0.9141	0.999924	17364	4	0.0055216	0.43024	0.74844	1	14316	6	0.0055216	0.0722384474830785	9979	0.515365941841847
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	Tregs	16	0.26714	0.58928	0.999924	10806	7	0.030968	0.075971	0.2745	0.989275	5354	7	0.030968	0.284456044049589	11820	0.610454005474924
AADACL3	ENSG00000188984	AADACL3	126767	AADACL3	Tregs	16	0.52434	0.815	0.999924	15240	5	0.12664	0.15741	0.43843	0.998225	8458	7	0.12664	1.08234029874617	17118	0.884096895821497
AADACL4	ENSG00000204518	AADACL4	343066	AADACL4	Tregs	16	0.084116	0.28855	0.999924	5219	8	-0.14203	0.42403	0.74352	1	14241	4	-0.14203	-1.1583107037345	2030.5	0.104798305872631
