id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
ABL1	ENSG00000097007	ABL1	25	ABL1	8	0.2758	0.44236	0.797848	485	2	-0.36886	0.57433	0.65015	1	473	0	-0.36886
ACTN1	ENSG00000072110	ACTN1	87	ACTN1	8	0.83462	0.85786	0.986167	777	1	-0.26163	0.68421	0.76603	1	570	0	-0.26163
ADA	ENSG00000196839	ADA	100	ADA	8	0.076155	0.16627	0.620849	225	3	-0.64778	0.95736	0.97526	1	838	0	-0.64778
ADAM15	ENSG00000143537	ADAM15	8751	ADAM15	8	0.54345	0.6766	0.92404	656	3	-0.2661	0.10332	0.12939	1	89	0	-0.2661
ADAM17	ENSG00000151694	ADAM17	6868	ADAM17	8	0.091438	0.19043	0.620849	263	5	-0.63455	0.98388	0.99196	1	870	0	-0.63455
ADGRE1	ENSG00000174837	ADGRE1	2015	ADGRE1	8	0.89756	0.8846	0.99022	803	1	-0.20035	0.35149	0.41308	1	294	0	-0.20035
ADGRG1	ENSG00000205336	ADGRG1	9289	ADGRG1	8	0.0061735	0.02148	0.554294	34	6	-0.51883	0.078998	0.11454	1	68	0	-0.51883
ADRB3	ENSG00000188778	ADRB3	155	ADRB3	7	0.88921	0.86529	0.987797	795	1	-0.19862	0.6957	0.77878	1	578	0	-0.19862
AEBP2	ENSG00000139154	AEBP2	121536	AEBP2	8	0.076189	0.16627	0.620849	226	5	-0.31093	0.14851	0.19117	1	126	0	-0.31093
AGER	ENSG00000204305	AGER	177	AGER	8	0.027878	0.073299	0.554294	114	4	-0.78842	0.83144	0.89539	1	696	0	-0.78842
AGFG1	ENSG00000173744	AGFG1	3267	AGFG1	8	0.82907	0.85569	0.986167	776	1	-0.24841	0.39079	0.46539	1	329	0	-0.24841
AHR	ENSG00000106546	AHR	196	AHR	8	0.27179	0.44085	0.797848	481	2	-0.22632	0.00558	0.011804	0.886062	8	1	-0.22632
AICDA	ENSG00000111732	AICDA	57379	AICDA	8	0.015654	0.055423	0.554294	74	4	-0.86321	0.44279	0.50492	1	374	0	-0.86321
AIF1	ENSG00000204472	AIF1	199	AIF1	8	0.12281	0.23632	0.668823	314	3	-0.4844	0.85436	0.91479	1	720	0	-0.4844
AKAP1	ENSG00000121057	AKAP1	8165	AKAP1	8	0.99105	0.97839	1	880	0	-0.062161	0.31512	0.35005	1	269	0	-0.062161
AKT1	ENSG00000142208	AKT1	207	AKT1	8	0.13087	0.25128	0.689524	324	3	-0.54599	0.17724	0.19802	1	151	0	-0.54599
ALCAM	ENSG00000170017	ALCAM	214	ALCAM	8	0.2451	0.40648	0.797848	451	3	-0.48196	0.83357	0.89884	1	700	0	-0.48196
ALOX15	ENSG00000161905	ALOX15	246	ALOX15	8	0.035361	0.095138	0.58247	139	5	-0.68261	0.25761	0.27937	1	223	0	-0.68261
ANXA1	ENSG00000135046	ANXA1	301	ANXA1	8	0.15028	0.28213	0.723813	341	3	-0.50522	0.24894	0.27318	1	214	0	-0.50522
APCS	ENSG00000132703	APCS	325	APCS	8	0.16237	0.29033	0.723813	360	4	-0.54796	0.93088	0.96234	1	805	0	-0.54796
APLF	ENSG00000169621	APLF	200558	APLF	8	0.31585	0.48053	0.821691	518	2	-0.31099	0.59043	0.67853	1	482	0	-0.31099
ARG1	ENSG00000118520	ARG1	383	ARG1	8	0.21506	0.36485	0.787451	417	4	-0.30155	0.12346	0.1704	1	105	0	-0.30155
ARG2	ENSG00000081181	ARG2	384	ARG2	8	0.10701	0.21412	0.646656	291	2	-0.57445	0.63936	0.71212	1	529	0	-0.57445
ARHGEF15	ENSG00000198844	ARHGEF15	22899	ARHGEF15	8	0.26794	0.43725	0.797848	478	3	-0.48639	0.67973	0.76374	1	563	0	-0.48639
ARID4A	ENSG00000032219	ARID4A	5926	ARID4A	8	0.69696	0.77053	0.970347	704	1	-0.076018	0.37546	0.45134	1	316	0	-0.076018
ARID4B	ENSG00000054267	ARID4B	51742	ARID4B	8	0.11527	0.22761	0.665082	304	1	-0.32866	0.25447	0.27937	1	219	0	-0.32866
ART3	ENSG00000156219	ART3	419	ART3	8	0.095743	0.19675	0.624377	272	3	-0.5821	0.74016	0.81834	1	621	0	-0.5821
ASH1L	ENSG00000116539	ASH1L	55870	ASH1L	8	0.16556	0.29662	0.731398	364	4	-0.53306	0.16255	0.19801	1	136	0	-0.53306
ASXL1	ENSG00000171456	ASXL1	171023	ASXL1	8	0.80807	0.84738	0.986167	763	1	-0.061549	0.21504	0.23049	1	186	0	-0.061549
ASXL3	ENSG00000141431	ASXL3	80816	ASXL3	8	0.091725	0.19069	0.620849	264	3	-0.58396	0.69191	0.7748	1	576	0	-0.58396
ATAD2	ENSG00000156802	ATAD2	29028	ATAD2	8	0.32094	0.48634	0.825856	526	3	-0.4443	0.37073	0.45133	1	311	0	-0.4443
ATAD2B	ENSG00000119778	ATAD2B	54454	ATAD2B	8	0.62044	0.71794	0.948819	679	2	-0.29218	0.44946	0.51302	1	382	0	-0.29218
ATAD5	ENSG00000176208	ATAD5	79915	ATAD5	8	0.060863	0.13577	0.620849	189	4	-0.69398	0.80199	0.87031	1	674	0	-0.69398
ATAT1	ENSG00000137343	ATAT1	79969	ATAT1	8	0.024647	0.06973	0.554294	107	3	-0.81147	0.98717	0.99328	1	874	0	-0.81147
ATF1	ENSG00000123268	ATF1	466	ATF1	8	0.45523	0.60397	0.907157	590	3	-0.27357	0.39735	0.47019	1	336	0	-0.27357
B2M	ENSG00000166710	B2M	567	B2M	8	0.0045675	0.018107	0.535113	29	4	-0.87692	0.50807	0.57239	1	429	0	-0.87692
BAX	ENSG00000087088	BAX	581	BAX	7	0.045304	0.11134	0.620849	157	5	-0.82797	0.96721	0.98166	1	853	0	-0.82797
BAZ1A	ENSG00000198604	BAZ1A	11177	BAZ1A	8	0.14314	0.26613	0.708632	334	2	-0.40972	0.87939	0.92838	1	749	0	-0.40972
BAZ1B	ENSG00000009954	BAZ1B	9031	BAZ1B	8	0.95019	0.92736	0.994958	823	1	-0.039201	0.40578	0.47466	1	342	0	-0.039201
BAZ2A	ENSG00000076108	BAZ2A	11176	BAZ2A	8	0.21409	0.3631	0.78677	415	4	-0.40606	0.55166	0.61319	1	454	0	-0.40606
BAZ2B	ENSG00000123636	BAZ2B	29994	BAZ2B	8	0.013938	0.05263	0.554294	67	6	-0.63876	0.77922	0.84451	1	651	0	-0.63876
BCAN	ENSG00000132692	BCAN	63827	BCAN	8	0.031741	0.084931	0.58247	127	4	-0.4911	0.58575	0.67207	1	480	0	-0.4911
BCAR1	ENSG00000050820	BCAR1	9564	BCAR1	8	0.67443	0.75398	0.970347	695	1	-0.18875	0.56114	0.63699	1	458	0	-0.18875
BCL10	ENSG00000142867	BCL10	8915	BCL10	8	0.25741	0.43147	0.797848	460	2	-0.43236	0.96083	0.97845	1	841	0	-0.43236
BCL2	ENSG00000171791	BCL2	596	BCL2	6	0.03713	0.086937	0.58247	145	4	-0.52162	0.84877	0.90564	1	716	0	-0.52162
BCL3	ENSG00000069399	BCL3	602	BCL3	7	0.71078	0.77212	0.970347	712	1	-0.10979	0.060233	0.081175	1	50	1	-0.10979
BCL6	ENSG00000113916	BCL6	604	BCL6	8	0.024616	0.06973	0.554294	106	3	-0.64833	0.31658	0.35595	1	270	0	-0.64833
BCLAF3	ENSG00000173681	BCLAF3	256643	BCLAF3	8	0.012094	0.041028	0.554294	57	6	-0.73342	0.99794	0.99946	1	893	0	-0.73342
BLM	ENSG00000197299	BLM	641	BLM	8	0.036152	0.097045	0.58247	143	5	-0.56504	0.81997	0.88071	1	688	0	-0.56504
BMP4	ENSG00000125378	BMP4	652	BMP4	8	0.2305	0.39098	0.797848	432	2	-0.29899	0.13606	0.18424	1	117	0	-0.29899
BMX	ENSG00000102010	BMX	660	BMX	8	0.063708	0.14708	0.620849	196	3	-0.65306	0.83693	0.9012	1	703	0	-0.65306
BPTF	ENSG00000171634	BPTF	2186	BPTF	8	0.00042151	0.001057	0.151075	6	6	-0.72894	0.36937	0.45133	1	309	0	-0.72894
BRD1	ENSG00000100425	BRD1	23774	BRD1	8	0.26385	0.43484	0.797848	469	2	-0.39903	0.25131	0.27937	1	216	0	-0.39903
BRD2	ENSG00000204256	BRD2	6046	BRD2	8	0.20926	0.35502	0.776908	409	4	-0.65851	0.97511	0.98766	1	861	0	-0.65851
BRD3	ENSG00000169925	BRD3	8019	BRD3	8	0.013648	0.051706	0.554294	66	4	-0.70135	0.91049	0.94885	1	778	0	-0.70135
BRD4	ENSG00000141867	BRD4	23476	BRD4	8	0.047201	0.11548	0.620849	159	2	-0.66133	0.50478	0.57238	1	425	0	-0.66133
BRD7	ENSG00000166164	BRD7	29117	BRD7	8	0.24656	0.40978	0.797848	453	4	-0.52891	0.14763	0.19117	1	125	0	-0.52891
BRD8	ENSG00000112983	BRD8	10902	BRD8	8	0.0088096	0.034341	0.554294	43	6	-0.62359	0.99925	0.99982	1	895	0	-0.62359
BRD9	ENSG00000028310	BRD9	65980	BRD9	8	0.37172	0.54355	0.882851	544	3	-0.21852	0.1538	0.19118	1	130	0	-0.21852
BRDT	ENSG00000137948	BRDT	676	BRDT	8	0.44037	0.5903	0.904574	580	3	-0.33273	0.31803	0.36135	1	271	0	-0.33273
BRPF1	ENSG00000156983	BRPF1	7862	BRPF1	8	0.031256	0.078225	0.558751	126	4	-0.72205	0.98605	0.99284	1	873	0	-0.72205
BRPF3	ENSG00000096070	BRPF3	27154	BRPF3	8	0.15993	0.28787	0.723813	356	2	-0.31567	0.24497	0.26128	1	211	0	-0.31567
BRWD1	ENSG00000185658	BRWD1	54014	BRWD1	8	0.064926	0.15022	0.620849	200	5	-0.46768	0.16776	0.19802	1	141	0	-0.46768
BRWD3	ENSG00000165288	BRWD3	254065	BRWD3	8	0.77589	0.82354	0.986167	741	2	-0.23009	0.75539	0.83388	1	634	0	-0.23009
BTK	ENSG00000010671	BTK	695	BTK	8	0.016882	0.057173	0.554294	81	5	-0.54387	0.10701	0.13599	1	93	0	-0.54387
BTLA	ENSG00000186265	BTLA	151888	BTLA	8	0.98324	0.96549	0.997638	871	0	0.031483	0.26618	0.27938	1	228	0	0.031483
