id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
A1BG	ENSG00000121410	A1BG	1	A1BG	5	0.1495	0.31231	0.843758	4164	3	-0.70211	0.57106	0.63217	1	7252	1	-0.70211
A1CF	ENSG00000148584	A1CF	29974	A1CF	2	0.48538	0.49909	0.988656	7008	1	-0.90918	0.79211	0.79168	1	8897	0	-0.90918
A2M	ENSG00000175899	A2M	2	A2M	9	3.0867e-05	0.00025117	0.056074	53	9	-1.6964	0.99987	0.99986	1	11570	0	-1.6964
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	9	0.27029	0.55073	1	5445	3	0.34676	0.32579	0.54083	1	5395	3	0.34676
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	4	0.013372	0.043921	0.431865	1231	4	-1.5361	0.98663	0.98668	1	11067	0	-1.5361
AAAS	ENSG00000094914	AAAS	8086	AAAS	4	0.48199	0.63114	1	6984	1	0.14257	0.17872	0.28603	0.925657	3882	2	0.14257
AACS	ENSG00000081760	AACS	65985	AACS	2	0.061812	0.10869	0.59226	2729	2	-1.4683	0.86657	0.86654	1	9549	0	-1.4683
AADAC	ENSG00000114771	AADAC	13	AADAC	3	0.28865	0.42401	0.942119	5615	1	-0.311	0.59775	0.59816	1	7457	1	-0.311
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	3	0.01727	0.044815	0.435731	1402	3	-1.747	0.98273	0.98275	1	10981	0	-1.747
AADAT	ENSG00000109576	AADAT	51166	AADAT	3	0.25972	0.38966	0.917166	5337	2	-1.0719	0.66592	0.6664	1	7949	0	-1.0719
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	3	0.68543	0.69764	1	8288	1	0.017162	0.63369	0.6341	1	7718	0	0.017162
AAK1	ENSG00000115977	AAK1	22848	AAK1	1	0.055958	0.055868	0.476239	2611	1	-2.0342	0.94404	0.94434	1	10392	0	-2.0342
AAMDC	ENSG00000087884	AAMDC	28971	AAMDC	3	0.73991	0.74277	1	8640	1	0.42645	0.5564	0.55905	1	7143	1	0.42645
AAMP	ENSG00000127837	AAMP	14	AAMP	6	0.083388	0.22029	0.742948	3178	2	0.32172	0.012389	0.042767	0.719809	644	3	0.32172
AAR2	ENSG00000131043	AAR2	25980	AAR2	6	0.91461	0.92333	1	10094	1	0.1078	0.51491	0.65592	1	6868	1	0.1078
AARS1	ENSG00000090861	AARS1	16	AARS1	3	0.48911	0.56776	1	7033	1	1.0935	0.0071669	0.019381	0.645219	449	2	1.0935
AARSD1	ENSG00000266967	AARSD1	80755	AARSD1	2	0.37506	0.4111	0.936204	6269	1	-0.66414	0.75457	0.75426	1	8601	0	-0.66414
AASDHPPT	ENSG00000149313	AASDHPPT	60496	AASDHPPT	2	0.094097	0.1611	0.67318	3376	2	-1.6662	0.89621	0.89619	1	9832	0	-1.6662
AATF	ENSG00000275700	AATF	26574	AATF	1	0.76477	0.7651	1	8805	0	0.51338	0.23523	0.23455	0.89288	4545	1	0.51338
ABAT	ENSG00000183044	ABAT	18	ABAT	8	0.97917	0.9796	1	10997	1	0.39265	0.13568	0.30853	0.938453	3329	4	0.39265
ABCA6	ENSG00000154262	ABCA6	23460	ABCA6	5	0.62041	0.75457	1	7881	1	0.21489	0.248	0.38273	0.96799	4681	2	0.21489
ABCA8	ENSG00000141338	ABCA8	10351	ABCA8	4	0.85512	0.85537	1	9508	1	0.43275	0.22474	0.3416	0.957377	4411	2	0.43275
ABCB7	ENSG00000131269	ABCB7	22	ABCB7	6	0.075749	0.20542	0.728429	3029	4	-1.0655	0.94885	0.94879	1	10462	0	-1.0655
ABCB9	ENSG00000150967	ABCB9	23457	ABCB9	3	0.15958	0.269	0.79442	4316	1	0.20351	0.78727	0.78741	1	8859	0	0.20351
ABCC10	ENSG00000124574	ABCC10	89845	ABCC10	1	0.85893	0.85922	1	9536	0	0.69126	0.14107	0.14072	0.834364	3393	1	0.69126
ABCC4	ENSG00000125257	ABCC4	10257	ABCC4	3	0.059218	0.13935	0.640713	2670	2	-1.5922	0.71806	0.71865	1	8312	0	-1.5922
ABCC5	ENSG00000114770	ABCC5	10057	ABCC5	5	0.99295	0.99295	1	11302	0	0.64964	0.0087531	0.029406	0.677316	503	4	0.64964
ABCC6	ENSG00000091262	ABCC6	368	ABCC6	2	0.76074	0.76045	1	8775	0	0.2969	0.30923	0.32017	0.94745	5248	1	0.2969
ABCD1	ENSG00000101986	ABCD1	215	ABCD1	4	0.92494	0.92458	1	10208	0	0.30016	0.14398	0.24394	0.89455	3438	1	0.30016
ABCD3	ENSG00000117528	ABCD3	5825	ABCD3	2	0.71691	0.71672	1	8481	0	0.32162	0.21876	0.24358	0.89455	4347	1	0.32162
ABCD4	ENSG00000119688	ABCD4	5826	ABCD4	5	0.026007	0.082296	0.534922	1738	3	-1.3682	0.04086	0.10401	0.814599	1510	1	-1.3682
