id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
0610007P14Rik	ENSG00000133935	ERG28	11161	ERG28	4	0.34114	0.25219	0.611731	8107	2	-0.23721	0.97962	0.99263	1	18583	0	0
0610009B22Rik	ENSG00000196459	TRAPPC2	6399	TRAPPC2	3	0.55656	0.41555	0.762973	10969	1	-0.22098	0.47741	0.55452	1	9439	1	0.18644
0610009O20Rik	ENSG00000081791	DELE1	9812	DELE1	4	0.11041	0.067869	0.340904	3912	1	-0.72537	0.82092	0.87182	1	15511	0	0
0610010B08Rik	ENSG00000132010	ZNF20	7568	ZNF20	4	0.38593	0.29817	0.64523	9052	2	-0.21425	0.95486	0.97912	1	18054	0	0
0610010F05Rik	ENSG00000162929	SANBR	84542	SANBR	4	0.64412	0.50744	0.823186	12075	1	-0.2409	0.93831	0.96747	1	17727	0	0
0610010K14Rik	ENSG00000258315	C17orf49	124944	C17orf49	4	0.1719	0.11034	0.446741	4829	2	-0.32945	0.84966	0.89434	1	16029	0	0
0610011F06Rik	ENSG00000130731	METTL26	84326	METTL26	4	0.061367	0.033264	0.243384	2687	3	-0.22224	0.72192	0.80362	1	13624	0	0
0610030E20Rik	ENSG00000168887	C2orf68	388969	C2orf68	4	0.66292	0.51843	0.823186	12346	1	-0.15683	0.89913	0.93389	1	16954	0	0
0610040J01Rik	ENSG00000154274	C4orf19	55286	C4orf19	4	0.87896	0.79544	0.937026	16672	0	0	0.49651	0.59836	1	9709	1	0.21277
1110001J03Rik	ENSG00000164898	FMC1	154791	FMC1	4	0.26684	0.18617	0.554486	6577	1	-0.3145	0.15598	0.31189	1	4780	2	0.26591
1110004E09Rik	ENSG00000159079	CFAP298	56683	CFAP298	4	0.0027897	0.0006323	0.014181	877	2	-1.6019	0.71797	0.80126	1	13540	0	0
1110004F10Rik	ENSG00000110696	C11orf58	10944	C11orf58	4	0.23676	0.16247	0.53508	5970	2	-0.29694	0.76179	0.8295	1	14391	0	0
1110007C09Rik	ENSG00000165233	CARD19	84270	CARD19	4	0.8673	0.77898	0.932545	16392	0	0	0.11978	0.25752	1	3840	1	0.27469
1110008F13Rik	ENSG00000101084	RAB5IF	55969	RAB5IF	4	0.022664	0.0084746	0.093521	1780	3	-0.28019	0.13685	0.28057	1	4293	1	0.46169
1110008L16Rik	ENSG00000100890	PRORP	9692	PRORP	4	0.0048427	0.0012337	0.022401	1068	3	-0.50049	0.6524	0.73262	1	12336	0	0
1110008P14Rik	ENSG00000171159	BBLN	79095	BBLN	4	0.038201	0.019597	0.178019	2160	3	-0.22852	0.91022	0.94329	1	17193	0	0
1110012L19Rik	ENSG00000197620	EOLA1	91966	EOLA1	4	0.91634	0.85488	0.957142	17577	0	0	0.12282	0.26364	1	3920	2	0.23539
1110017D15Rik	ENSG00000164972	SPMIP6	84688	SPMIP6	4	0.55002	0.43123	0.776759	10891	1	-0.32903	0.75322	0.82302	1	14222	0	0
1110025L11Rik	ENSG00000212938	KRTAP6-3	337968	KRTAP6-3	4	0.064098	0.034413	0.243802	2752	2	-0.68247	0.8173	0.87097	1	15457	0	0
1110032A03Rik	ENSG00000137720	CFAP68	64776	CFAP68	4	0.22297	0.14809	0.509756	5707	2	-0.22482	0.27146	0.4375	1	6925	1	0.23674
1110032F04Rik	ENSG00000180044	C3orf80	401097	C3orf80	4	0.92564	0.86763	0.959781	17787	0	0	0.022364	0.079234	1	1121	3	0.20772
1110034G24Rik	ENSG00000171984	SHLD1	149840	SHLD1	4	0.25048	0.17222	0.541793	6238	1	-0.74953	0.14645	0.29958	1	4553	2	0.16179
1110037F02Rik	ENSG00000164944	VIRMA	25962	VIRMA	4	0.25621	0.1798	0.549486	6359	2	-0.22589	0.52237	0.60903	1	10089	1	0.18064
1110038F14Rik	ENSG00000182307	C8orf33	65265	C8orf33	4	0.58534	0.45474	0.78966	11292	1	-0.34466	0.31239	0.46931	1	7380	1	0.32549
1110051M20Rik	ENSG00000149179	CSTPP1	79096	CSTPP1	4	0.5019	0.37671	0.716739	10335	1	-0.2452	0.60133	0.68378	1	11381	1	0.11632
1110059E24Rik	ENSG00000155621	C9orf85	138241	C9orf85	4	0.72777	0.56722	0.833157	13376	1	-0.18238	0.22246	0.41174	1	6392	2	0.15159
1110059G10Rik	ENSG00000163807	KIAA1143	57456	KIAA1143	4	0.71311	0.5581	0.831002	13124	1	-0.17234	0.0080015	0.029796	1	468	2	0.39679
1110065P20Rik	ENSG00000197982	C1orf122	127687	C1orf122	4	0.030814	0.015414	0.151864	1984	3	-0.30183	0.93969	0.96811	1	17761	0	0
1190002N15Rik	ENSG00000181744	DIPK2A	205428	DIPK2A	3	0.089795	0.049126	0.29952	3391	2	-0.62904	0.95203	0.97953	1	17995	0	0
1190003K10Rik	ENSG00000283329	FAM240B	110806297	FAM240B	4	0.37799	0.29188	0.642573	8887	1	-0.29534	0.22304	0.4131	1	6406	1	0.25167
1190005I06Rik	ENSG00000154102	C16orf74	404550	C16orf74	4	0.069542	0.037769	0.253536	2909	3	-0.21659	0.59786	0.67761	1	11319	1	0.15145
1190007I07Rik	ENSG00000204954	UQCC6	728568	UQCC6	4	0.08827	0.053152	0.309857	3355	1	-0.61958	0.083424	0.19646	1	2964	2	0.16608
1200014J11Rik	ENSG00000074356	NCBP3	55421	NCBP3	4	0.8061	0.66304	0.867719	14952	0	0	0.96402	0.98317	1	18258	0	0
1300017J02Rik	NA	NA	NA	NA	4	0.92962	0.87448	0.962267	17874	0	0	0.22313	0.41462	1	6408	2	0.2024
1500009L16Rik	ENSG00000235162	C12orf75	387882	C12orf75	4	0.93	0.87448	0.962267	17885	0	0	0.10446	0.23363	1	3477	2	0.35882
1500012F01Rik	ENSG00000177410	ZFAS1	441951	ZFAS1	4	0.83273	0.71481	0.902745	15577	0	0	0.75897	0.82626	1	14338	0	0
1500015O10Rik	ENSG00000119147	ECRG4	84417	ECRG4	4	0.28771	0.20367	0.564707	7014	1	-0.31202	0.68658	0.77348	1	12953	0	0
