id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
0610007P14Rik	ENSG00000133935	ERG28	11161	ERG28	4	0.86441	0.69718	0.82335	16626	0	0.038058	0.7844	0.82806	1	15194	0	0.038058
0610009B22Rik	ENSG00000196459	TRAPPC2	6399	TRAPPC2	4	0.7594	0.50945	0.695441	14365	0	0.14519	0.011764	0.0040671	0.23849	238	1	0.14519
0610009O20Rik	ENSG00000081791	DELE1	9812	DELE1	4	0.98537	0.9748	0.994053	19298	0	0.1309	0.47106	0.44434	0.96221	9076	0	0.1309
0610010B08Rik	ENSG00000132010	ZNF20	7568	ZNF20	4	0.095083	0.014022	0.13447	1784	1	0.016974	0.022351	0.012042	0.48118	422	1	0.016974
0610010F05Rik	ENSG00000162929	SANBR	84542	SANBR	4	0.017801	0.0049545	0.099655	947	2	-0.26171	0.43952	0.40686	0.923992	8486	0	-0.26171
0610010K14Rik	ENSG00000258315	C17orf49	124944	C17orf49	4	0.56301	0.29274	0.561372	10247	0	0.18102	0.19919	0.11998	0.603581	3790	0	0.18102
0610011F06Rik	ENSG00000130731	METTL26	84326	METTL26	4	0.90599	0.78062	0.875019	17556	0	0.0035623	0.75811	0.79204	1	14657	0	0.0035623
0610030E20Rik	ENSG00000168887	C2orf68	388969	C2orf68	4	0.90857	0.79073	0.883941	17603	0	0.13146	0.069927	0.039897	0.521774	1312	0	0.13146
0610040J01Rik	ENSG00000154274	C4orf19	55286	C4orf19	4	0.89042	0.74917	0.856884	17217	0	0.051311	0.60495	0.61744	1	11691	0	0.051311
1110001J03Rik	ENSG00000164898	FMC1	154791	FMC1	4	0.50285	0.24474	0.524473	9059	0	0.10875	0.52385	0.50641	0.988745	10084	0	0.10875
1110004E09Rik	ENSG00000159079	CFAP298	56683	CFAP298	4	0.5483	0.27385	0.539223	9967	0	-0.047678	0.76888	0.79943	1	14876	0	-0.047678
1110004F10Rik	ENSG00000110696	C11orf58	10944	C11orf58	4	0.37858	0.15229	0.438537	6620	0	-0.11378	0.88172	0.93597	1	17056	0	-0.11378
1110007C09Rik	ENSG00000165233	CARD19	84270	CARD19	4	0.3753	0.15229	0.438537	6561	0	-0.13273	0.92272	0.96284	1	17859	0	-0.13273
1110008F13Rik	ENSG00000101084	RAB5IF	55969	RAB5IF	4	0.39993	0.15949	0.438547	7030	0	0.087272	0.70959	0.74933	1	13708	0	0.087272
1110008L16Rik	ENSG00000100890	PRORP	9692	PRORP	4	0.71712	0.4471	0.6534	13442	0	0.12496	0.43936	0.40686	0.923992	8481	0	0.12496
1110008P14Rik	ENSG00000171159	BBLN	79095	BBLN	4	0.80286	0.55754	0.717125	15307	0	0.022226	0.79412	0.83655	1	15379	0	0.022226
1110012L19Rik	ENSG00000197620	EOLA1	91966	EOLA1	4	0.58685	0.32062	0.580303	10734	0	0.015013	0.67495	0.70359	1	13029	0	0.015013
1110017D15Rik	ENSG00000164972	SPMIP6	84688	SPMIP6	4	0.40566	0.15949	0.438547	7147	0	-0.0066621	0.09678	0.059401	0.522063	1829	0	-0.0066621
1110025L11Rik	ENSG00000212938	KRTAP6-3	337968	KRTAP6-3	4	0.14761	0.04449	0.294046	2512	1	-0.13396	0.90005	0.94836	1	17413	0	-0.13396
1110032A03Rik	ENSG00000137720	CFAP68	64776	CFAP68	4	0.55534	0.2865	0.556183	10097	0	-0.042231	0.86606	0.91842	1	16759	0	-0.042231
1110032F04Rik	ENSG00000180044	C3orf80	401097	C3orf80	4	0.16838	0.048213	0.294046	2823	1	0.20281	0.058516	0.028109	0.48118	1087	0	0.20281
