id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
A1BG	ENSG00000121410	A1BG	1	A1BG	12	0.69881	0.75636	1	14120	2	0.02602	0.1844	0.32189	0.853943	7112	4	0.02602
A1CF	ENSG00000148584	A1CF	29974	A1CF	12	0.1911	0.29724	0.801865	6931	3	0.20558	0.030215	0.052641	0.374217	2663	5	0.20558
A2M	ENSG00000175899	A2M	2	A2M	12	0.74573	0.79013	1	14700	1	0.12102	0.24364	0.39212	0.912042	8112	4	0.12102
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	12	0.77564	0.81924	1	15125	2	0.14995	0.38515	0.57343	1	10677	3	0.14995
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	12	0.0058661	0.015505	0.261176	1112	3	-0.0007372	0.23046	0.37863	0.90571	7894	3	-0.0007372
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	12	0.29648	0.43064	0.899326	8983	2	0.17986	0.1258	0.23481	0.780954	5650	5	0.17986
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	12	0.006184	0.016286	0.267086	1147	4	-0.11588	0.81612	0.87367	1	15993	1	-0.11588
AAAS	ENSG00000094914	AAAS	8086	AAAS	12	0.97469	0.96285	1	17883	0	0.22352	0.017881	0.035196	0.323912	2050	5	0.22352
AACS	ENSG00000081760	AACS	65985	AACS	12	0.0013331	0.0027826	0.090668	580	8	-0.41229	0.9455	0.94356	1	17396	1	-0.41229
AADAC	ENSG00000114771	AADAC	13	AADAC	12	0.53428	0.65238	0.999252	12245	1	0.22886	0.035853	0.064102	0.418885	2897	5	0.22886
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	12	0.4335	0.5437	0.946815	10840	3	0.021308	0.77717	0.84453	1	15501	2	0.021308
AADACL3	ENSG00000188984	AADACL3	126767	AADACL3	12	0.96969	0.95497	1	17726	0	0.82367	1.5115e-06	1.8305e-06	0.000481	72	7	0.82367
AADACL4	ENSG00000204518	AADACL4	343066	AADACL4	12	0.00022522	0.00043645	0.029824	270	6	-0.25572	0.96678	0.96141	1	17781	1	-0.25572
AADAT	ENSG00000109576	AADAT	51166	AADAT	12	0.8603	0.87357	1	16080	1	0.25055	0.10546	0.2069	0.758181	5125	5	0.25055
AAED1	ENSG00000158122	PRXL2C	195827	PRXL2C	12	0.16975	0.27326	0.787147	6520	4	-0.13314	0.54676	0.69013	1	12762	3	-0.13314
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	12	0.021415	0.043352	0.380521	2149	6	-0.38503	0.95015	0.94629	1	17462	1	-0.38503
AAK1	ENSG00000115977	AAK1	22848	AAK1	12	0.0043068	0.013572	0.259664	945	7	-0.45091	0.97552	0.97186	1	18020	0	-0.45091
AAMDC	ENSG00000087884	AAMDC	28971	AAMDC	12	0.95081	0.92991	1	17235	1	0.25867	0.04906	0.096647	0.534664	3415	5	0.25867
AAMP	ENSG00000127837	AAMP	14	AAMP	12	0.24288	0.35801	0.848668	7954	3	0.05263	0.65897	0.78478	1	14246	2	0.05263
AANAT	ENSG00000129673	AANAT	15	AANAT	12	0.0043875	0.013741	0.259664	956	7	-0.47621	0.97416	0.97021	1	17980	0	-0.47621
AAR2	ENSG00000131043	AAR2	25980	AAR2	12	0.71072	0.76576	1	14280	2	0.11556	0.15616	0.28679	0.842383	6417	5	0.11556
AARD	ENSG00000205002	AARD	441376	AARD	12	0.018257	0.039195	0.374745	1960	6	-0.31257	0.62332	0.76413	1	13893	1	-0.31257
AARS	ENSG00000090861	AARS1	16	AARS1	12	0.075128	0.14437	0.648251	4197	2	-0.10572	0.24874	0.39798	0.916335	8202	3	-0.10572
AARS2	ENSG00000124608	AARS2	57505	AARS2	12	0.74424	0.79012	1	14678	1	0.4072	0.007214	0.015001	0.222142	1269	7	0.4072
AARSD1	ENSG00000266967	AARSD1	80755	AARSD1	12	0.47144	0.58038	0.963439	11351	3	0.081722	0.59989	0.7405	1	13544	3	0.081722
AASDH	ENSG00000157426	AASDH	132949	AASDH	12	0.0042062	0.01323	0.259664	939	6	-0.22324	0.062533	0.1323	0.626198	3987	3	-0.22324
