id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
A1BG	ENSG00000121410	A1BG	1	A1BG	12	0.46851	0.56769	0.908383	11796	2	0.39192	0.0026212	0.009156	0.218667	775	7	0.39192
A1CF	ENSG00000148584	A1CF	29974	A1CF	12	0.35495	0.47872	0.878841	10281	2	0.11831	0.24113	0.33501	0.770485	8188	3	0.11831
A2M	ENSG00000175899	A2M	2	A2M	12	0.42873	0.5329	0.889039	11282	2	0.19735	0.13668	0.20412	0.642423	5998	5	0.19735
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	12	0.97447	0.95514	1	17995	0	0.26586	0.00074124	0.0010881	0.046913	429	6	0.26586
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	12	0.0065644	0.010119	0.168644	1133	2	-0.00067119	0.26528	0.36906	0.802615	8640	2	-0.00067119
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	12	0.15716	0.24665	0.711668	6497	4	-0.12739	0.42687	0.5417	0.900097	11334	1	-0.12739
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	12	0.36962	0.49611	0.888366	10532	3	-0.0015327	0.3238	0.44	0.854407	9683	3	-0.0015327
AAAS	ENSG00000094914	AAAS	8086	AAAS	12	0.99999	1	1	18905	0	0.49372	0.00014068	0.00027955	0.0234	225	9	0.49372
AACS	ENSG00000081760	AACS	65985	AACS	12	0.001142	0.001801	0.064678	512	7	-0.4643	0.60964	0.70621	0.965564	13789	3	-0.4643
AADAC	ENSG00000114771	AADAC	13	AADAC	12	0.98626	0.97574	1	18363	0	-0.041882	0.034465	0.063766	0.424908	2830	4	-0.041882
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	12	0.32122	0.44041	0.862287	9624	4	0.18632	0.032311	0.055546	0.38272	2727	5	0.18632
AADACL3	ENSG00000188984	AADACL3	126767	AADACL3	12	0.97432	0.95481	1	17990	0	-0.060002	0.0039227	0.011016	0.218667	945	5	-0.060002
AADACL4	ENSG00000204518	AADACL4	343066	AADACL4	12	0.029042	0.050928	0.386814	2452	6	-0.15622	0.43868	0.55636	0.913768	11479	2	-0.15622
AADAT	ENSG00000109576	AADAT	51166	AADAT	12	0.81829	0.83774	0.991293	15969	2	-0.073485	0.010623	0.030374	0.374629	1484	3	-0.073485
AAED1	ENSG00000158122	PRXL2C	195827	PRXL2C	12	0.7024	0.74075	0.952016	14651	2	0.056624	0.14107	0.21093	0.650255	6128	1	0.056624
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	12	0.0987	0.15559	0.604191	4851	3	0.065415	0.4473	0.56541	0.920044	11585	2	0.065415
AAK1	ENSG00000115977	AAK1	22848	AAK1	12	0.045287	0.07923	0.473602	3161	5	-0.058951	0.19285	0.28013	0.718778	7361	3	-0.058951
AAMDC	ENSG00000087884	AAMDC	28971	AAMDC	12	0.83387	0.85641	0.994827	16173	1	0.20996	0.17004	0.25024	0.69027	6847	3	0.20996
AAMP	ENSG00000127837	AAMP	14	AAMP	12	0.90067	0.88724	0.994827	16818	1	0.17056	0.52687	0.62342	0.93499	12574	3	0.17056
AANAT	ENSG00000129673	AANAT	15	AANAT	12	0.041278	0.074322	0.470325	2976	4	-0.081839	0.90998	0.90977	1	17068	1	-0.081839
AAR2	ENSG00000131043	AAR2	25980	AAR2	12	0.27463	0.383	0.825815	8743	4	-0.21354	0.75049	0.80314	0.991543	15315	2	-0.21354
AARD	ENSG00000205002	AARD	441376	AARD	12	0.90284	0.88724	0.994827	16844	1	-0.0091023	0.13781	0.20557	0.643029	6033	3	-0.0091023
AARS	ENSG00000090861	AARS1	16	AARS1	12	0.32738	0.45379	0.876711	9752	3	-0.16041	0.84628	0.87983	1	16441	1	-0.16041
AARS2	ENSG00000124608	AARS2	57505	AARS2	12	0.41213	0.52616	0.889039	11069	2	-0.020513	0.24072	0.33454	0.770485	8181	4	-0.020513
AARSD1	ENSG00000266967	AARSD1	80755	AARSD1	12	0.043759	0.077278	0.471462	3091	6	-0.36012	0.2555	0.35391	0.787408	8462	3	-0.36012
AASDH	ENSG00000157426	AASDH	132949	AASDH	12	0.1477	0.23004	0.695543	6233	3	-0.021903	0.11066	0.16834	0.597163	5312	5	-0.021903
AASDHPPT	ENSG00000149313	AASDHPPT	60496	AASDHPPT	12	0.22162	0.31234	0.76197	7739	3	-0.1873	0.084819	0.13215	0.542452	4605	2	-0.1873
