id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
A1BG	ENSG00000121410	A1BG	1	A1BG	12	0.2315	0.40708	0.881434	8719	4	0.25164	0.052238	0.18371	0.869782	3971	7	0.25164
A1CF	ENSG00000148584	A1CF	29974	A1CF	12	0.92682	0.94862	1	17623	1	0.11295	0.22625	0.53236	1	9041	3	0.11295
A2M	ENSG00000175899	A2M	2	A2M	12	0.9373	0.95587	1	17749	2	0.12521	0.35799	0.66572	1	11394	3	0.12521
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	12	0.32506	0.52731	0.945619	10411	5	-0.11396	0.54583	0.81441	1	13984	3	-0.11396
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	12	0.94296	0.9589	1	17837	1	0.14625	0.16997	0.44115	1	7618	6	0.14625
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	12	0.10579	0.22978	0.750979	5743	4	-0.19326	0.12442	0.35861	1	6438	4	-0.19326
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	12	0.084271	0.19403	0.709367	5161	2	0.048118	0.79247	0.93349	1	16574	2	0.048118
AAAS	ENSG00000094914	AAAS	8086	AAAS	12	0.76692	0.862	1	15991	3	0.18004	0.0016468	0.0092852	0.303064	579	6	0.18004
AACS	ENSG00000081760	AACS	65985	AACS	12	0.0060982	0.025752	0.360878	1333	7	-0.37849	0.84883	0.95567	1	17158	2	-0.37849
AADAC	ENSG00000114771	AADAC	13	AADAC	12	0.99355	0.98883	1	18567	1	0.016618	0.4276	0.73414	1	12551	3	0.016618
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	12	0.97071	0.97186	1	18150	1	0.39961	0.01654	0.067543	0.621499	2051	8	0.39961
AADACL3	ENSG00000188984	AADACL3	126767	AADACL3	12	0.98514	0.98075	1	18326	1	0.69141	7.4327e-05	0.00049345	0.066252	141	8	0.69141
AADACL4	ENSG00000204518	AADACL4	343066	AADACL4	12	0.00075509	0.0022612	0.080464	532	8	-0.61702	0.48104	0.77629	1	13249	2	-0.61702
AADAT	ENSG00000109576	AADAT	51166	AADAT	12	0.068939	0.16127	0.657204	4609	7	-0.25587	0.94898	0.98298	1	18081	2	-0.25587
AAED1	ENSG00000158122	PRXL2C	195827	PRXL2C	12	0.12648	0.25278	0.75421	6329	6	-0.20112	0.9573	0.98636	1	18174	1	-0.20112
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	12	0.014886	0.066612	0.57355	2089	4	-0.043644	0.85115	0.95678	1	17190	2	-0.043644
AAK1	ENSG00000115977	AAK1	22848	AAK1	12	0.38187	0.57532	0.953794	11377	3	0.12929	0.35655	0.66317	1	11368	5	0.12929
