id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
A1BG	ENSG00000121410	A1BG	1	A1BG	12	0.29776	0.43679	0.869951	9486	5	0.15515	0.149	0.30724	0.818724	7072	5	0.15515
A1CF	ENSG00000148584	A1CF	29974	A1CF	12	0.91543	0.92389	1	17138	2	0.17282	0.63861	0.83057	1	14847	4	0.17282
A2M	ENSG00000175899	A2M	2	A2M	12	0.49849	0.61911	0.954932	12221	3	0.11018	0.10421	0.2378	0.762444	5878	4	0.11018
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	12	0.087728	0.18267	0.652613	5262	6	-0.12043	0.30676	0.5389	0.982367	10363	4	-0.12043
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	12	0.058741	0.14592	0.630541	4374	4	0.022247	0.8326	0.93487	1	16697	3	0.022247
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	12	0.30652	0.44556	0.87335	9638	5	0.059905	0.092521	0.22701	0.761914	5573	3	0.059905
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	12	0.24518	0.37758	0.826188	8590	4	-0.094595	0.13944	0.29439	0.814764	6818	3	-0.094595
AAAS	ENSG00000094914	AAAS	8086	AAAS	12	0.86184	0.89378	1	16491	2	0.10884	0.026176	0.07185	0.476095	2852	5	0.10884
AACS	ENSG00000081760	AACS	65985	AACS	12	0.00064806	0.0029892	0.085165	658	9	-0.4461	0.99444	0.99513	1	18499	0	-0.4461
AADAC	ENSG00000114771	AADAC	13	AADAC	12	0.74258	0.81445	1	15162	3	0.23943	0.0092507	0.023814	0.279837	1607	7	0.23943
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	12	0.44711	0.57975	0.943465	11609	4	0.17891	0.058207	0.15085	0.65937	4303	6	0.17891
AADACL3	ENSG00000188984	AADACL3	126767	AADACL3	12	0.9331	0.94069	1	17429	1	0.16657	0.37434	0.60872	1	11466	4	0.16657
AADACL4	ENSG00000204518	AADACL4	343066	AADACL4	12	0.002274	0.0066429	0.118496	1042	6	-0.39796	0.43767	0.67943	1	12425	4	-0.39796
AADAT	ENSG00000109576	AADAT	51166	AADAT	12	0.14927	0.28335	0.783145	6773	2	0.19557	0.075632	0.1905	0.718901	4984	6	0.19557
AAED1	ENSG00000158122	PRXL2C	195827	PRXL2C	12	0.75069	0.82061	1	15251	3	0.070972	0.59904	0.80238	1	14344	4	0.070972
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	12	0.041262	0.11706	0.590242	3660	5	-0.026975	0.59518	0.79806	1	14297	3	-0.026975
AAK1	ENSG00000115977	AAK1	22848	AAK1	12	0.08597	0.17938	0.649793	5217	5	-0.18677	0.93132	0.97009	1	17648	2	-0.18677
AAMDC	ENSG00000087884	AAMDC	28971	AAMDC	12	0.001324	0.0040269	0.08854	856	8	-0.45931	0.65361	0.84138	1	15019	2	-0.45931
AAMP	ENSG00000127837	AAMP	14	AAMP	12	0.16385	0.30063	0.794727	7116	6	-0.016695	0.090841	0.22091	0.755168	5522	6	-0.016695
AANAT	ENSG00000129673	AANAT	15	AANAT	12	0.10143	0.20055	0.673869	5616	5	-0.17544	0.33811	0.57225	0.992694	10879	2	-0.17544
AAR2	ENSG00000131043	AAR2	25980	AAR2	12	0.80194	0.86145	1	15903	2	0.27874	0.021129	0.057869	0.435071	2512	7	0.27874
AARD	ENSG00000205002	AARD	441376	AARD	12	0.51202	0.63021	0.957028	12419	2	-0.028521	0.82657	0.93144	1	16638	3	-0.028521
AARS	ENSG00000090861	AARS1	16	AARS1	12	0.99733	0.99546	1	18663	0	0.31915	0.016083	0.039402	0.346459	2148	7	0.31915
AARS2	ENSG00000124608	AARS2	57505	AARS2	12	0.095712	0.19311	0.66617	5466	6	-0.20493	0.54362	0.7599	1	13665	4	-0.20493
AARSD1	ENSG00000266967	AARSD1	80755	AARSD1	12	0.9693	0.96268	1	17856	1	0.076568	0.2035	0.40144	0.894713	8474	4	0.076568
AASDH	ENSG00000157426	AASDH	132949	AASDH	12	0.030187	0.084801	0.501522	3187	4	0.0060922	0.47013	0.70679	1	12792	3	0.0060922
AASDHPPT	ENSG00000149313	AASDHPPT	60496	AASDHPPT	12	0.048937	0.12515	0.590242	3986	6	-0.25853	0.92193	0.966	1	17530	2	-0.25853
AASS	ENSG00000008311	AASS	10157	AASS	12	0.93261	0.94045	1	17412	2	0.40044	0.015193	0.037439	0.337348	2088	7	0.40044
AATF	ENSG00000275700	AATF	26574	AATF	12	0.74277	0.81445	1	15165	2	0.087815	0.19514	0.38676	0.885367	8251	4	0.087815
AATK	ENSG00000181409	AATK	9625	AATK	12	0.22972	0.36654	0.826188	8335	5	0.05219	0.17061	0.33714	0.834852	7613	6	0.05219
ABAT	ENSG00000183044	ABAT	18	ABAT	12	0.70595	0.78755	1	14761	3	0.043934	0.039856	0.10524	0.569092	3488	3	0.043934
ABCA1	ENSG00000165029	ABCA1	19	ABCA1	12	0.99295	0.98616	1	18420	0	0.66403	1.9973e-05	4.1579e-05	0.00857	89	9	0.66403
ABCA10	ENSG00000154263	ABCA10	10349	ABCA10	12	0.66317	0.75356	0.994121	14319	3	0.029094	0.53852	0.75713	1	13606	4	0.029094
ABCA12	ENSG00000144452	ABCA12	26154	ABCA12	12	0.79946	0.8602	1	15859	3	0.32754	0.040077	0.10585	0.57088	3496	7	0.32754
ABCA13	ENSG00000179869	ABCA13	154664	ABCA13	12	0.30342	0.44358	0.87335	9588	5	-0.11826	0.57812	0.78563	1	14083	4	-0.11826
ABCA2	ENSG00000107331	ABCA2	20	ABCA2	12	0.12748	0.24654	0.741928	6225	6	-0.30075	0.79867	0.91432	1	16311	1	-0.30075
ABCA3	ENSG00000167972	ABCA3	21	ABCA3	12	0.057085	0.13868	0.607504	4315	6	-0.26948	0.079759	0.20115	0.734346	5151	4	-0.26948
ABCA4	ENSG00000198691	ABCA4	24	ABCA4	12	0.14232	0.27017	0.771552	6605	4	0.049639	0.41673	0.66341	1	12178	4	0.049639
ABCA5	ENSG00000154265	ABCA5	23461	ABCA5	12	0.07557	0.16991	0.647732	4926	6	-0.2361	0.11686	0.26009	0.785604	6233	5	-0.2361
ABCA6	ENSG00000154262	ABCA6	23460	ABCA6	12	0.84006	0.88083	1	16305	2	0.25152	0.03201	0.089794	0.538359	3144	7	0.25152
ABCA7	ENSG00000064687	ABCA7	10347	ABCA7	12	0.77838	0.83977	1	15591	3	0.049197	0.49931	0.72621	1	13119	4	0.049197
ABCA8	ENSG00000141338	ABCA8	10351	ABCA8	12	0.93123	0.93933	1	17387	2	0.1204	0.052328	0.13648	0.633134	4038	5	0.1204
ABCA9	ENSG00000154258	ABCA9	10350	ABCA9	12	0.5481	0.66958	0.977079	12919	4	0.18966	0.16308	0.32694	0.830897	7427	6	0.18966
ABCB1	ENSG00000085563	ABCB1	5243	ABCB1	12	0.00034288	0.0014019	0.052258	500	10	-0.42801	0.99601	0.99618	1	18568	0	-0.42801
ABCB10	ENSG00000135776	ABCB10	23456	ABCB10	12	0.023495	0.074358	0.477292	2866	6	-0.20257	0.20861	0.41184	0.902798	8608	3	-0.20257
ABCB11	ENSG00000073734	ABCB11	8647	ABCB11	12	0.61558	0.72942	0.99203	13867	1	0.18063	0.13945	0.29439	0.814764	6819	6	0.18063
ABCB4	ENSG00000005471	ABCB4	5244	ABCB4	12	0.62335	0.73293	0.99214	13942	3	0.36493	0.0074274	0.019654	0.259677	1425	7	0.36493
ABCB5	ENSG00000004846	ABCB5	340273	ABCB5	12	0.9675	0.96156	1	17833	1	0.06886	0.4162	0.66259	1	12177	3	0.06886
ABCB6	ENSG00000115657	ABCB6	10058	ABCB6	12	0.022473	0.072411	0.477292	2807	6	-0.15088	0.69255	0.86096	1	15348	3	-0.15088
ABCB7	ENSG00000131269	ABCB7	22	ABCB7	12	0.014474	0.052202	0.424716	2308	5	-0.12964	0.99239	0.99322	1	18432	1	-0.12964
ABCB8	ENSG00000197150	ABCB8	11194	ABCB8	12	0.092579	0.18691	0.65402	5397	6	-0.085122	0.13531	0.28683	0.805409	6708	4	-0.085122
ABCB9	ENSG00000150967	ABCB9	23457	ABCB9	12	0.28119	0.42019	0.861808	9208	4	0.079166	0.52462	0.74437	1	13424	3	0.079166
ABCC1	ENSG00000103222	ABCC1	4363	ABCC1	12	0.13998	0.26559	0.764713	6543	5	-0.057184	0.3816	0.61941	1	11597	4	-0.057184
ABCC10	ENSG00000124574	ABCC10	89845	ABCC10	12	0.36838	0.51858	0.916291	10675	4	-0.10451	0.81811	0.92649	1	16543	3	-0.10451
ABCC11	ENSG00000121270	ABCC11	85320	ABCC11	12	0.34354	0.49155	0.902132	10293	5	0.082555	0.098254	0.23216	0.761914	5735	5	0.082555
ABCC12	ENSG00000140798	ABCC12	94160	ABCC12	12	0.069786	0.16582	0.647732	4763	6	-0.29831	0.20519	0.4054	0.898344	8516	4	-0.29831
ABCC2	ENSG00000023839	ABCC2	1244	ABCC2	12	0.0014071	0.0044845	0.096335	876	6	-0.35324	0.17644	0.34946	0.848765	7769	2	-0.35324
ABCC3	ENSG00000108846	ABCC3	8714	ABCC3	12	1.0649e-05	7.9235e-05	0.009186	159	6	-0.4231	0.6282	0.8229	1	14710	3	-0.4231
ABCC4	ENSG00000125257	ABCC4	10257	ABCC4	12	0.89252	0.90998	1	16842	2	0.15578	0.22729	0.44386	0.935507	8948	4	0.15578
ABCC5	ENSG00000114770	ABCC5	10057	ABCC5	12	0.11069	0.21393	0.692146	5833	6	-0.20627	0.36591	0.60069	0.99945	11310	3	-0.20627
ABCC6	ENSG00000091262	ABCC6	368	ABCC6	12	0.33032	0.47246	0.885303	10076	4	-0.085726	0.18877	0.37551	0.876875	8089	3	-0.085726
ABCC8	ENSG00000006071	ABCC8	6833	ABCC8	12	0.077143	0.17164	0.647732	4964	3	0.074337	0.2506	0.46844	0.941341	9366	4	0.074337
ABCC9	ENSG00000069431	ABCC9	10060	ABCC9	12	0.71069	0.79149	1	14814	3	0.096776	0.40019	0.64331	1	11916	4	0.096776
