id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
A1BG	ENSG00000121410	A1BG	1	A1BG	12	0.55485	0.80352	1	13702	3	-0.04595	0.087901	0.17084	0.746672	4323	3	-0.04595
A1CF	ENSG00000148584	A1CF	29974	A1CF	12	0.014468	0.065711	0.93296	1328	6	-0.23472	0.25223	0.40437	0.873122	8707	2	-0.23472
A2M	ENSG00000175899	A2M	2	A2M	12	0.010912	0.052611	0.931262	1064	6	-0.14317	0.28914	0.43761	0.883305	9360	3	-0.14317
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	12	0.097802	0.29719	1	4960	4	-0.10804	0.11867	0.2125	0.759482	5261	4	-0.10804
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	12	0.1719	0.43847	1	7203	4	-0.064951	0.65285	0.76223	0.969035	14871	3	-0.064951
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	12	0.98418	0.98983	1	18323	0	-0.014001	0.61799	0.74191	0.969035	14427	3	-0.014001
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	12	0.076815	0.2547	1	4310	5	-0.030904	0.20085	0.33364	0.845946	7446	5	-0.030904
AAAS	ENSG00000094914	AAAS	8086	AAAS	12	0.29836	0.60224	1	9907	3	0.068884	0.40753	0.56184	0.918604	11536	4	0.068884
AACS	ENSG00000081760	AACS	65985	AACS	12	0.95438	0.97165	1	17739	1	0.075264	0.30419	0.45621	0.886743	9658	2	0.075264
AADAC	ENSG00000114771	AADAC	13	AADAC	12	0.17943	0.45226	1	7430	4	-0.0025334	0.40695	0.56097	0.918604	11523	3	-0.0025334
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	12	0.006488	0.033345	0.818696	760	6	-0.23201	0.03263	0.065186	0.539375	2288	3	-0.23201
AADACL3	ENSG00000188984	AADACL3	126767	AADACL3	12	0.087191	0.2797	1	4623	5	-0.059241	0.43567	0.5949	0.93227	12050	2	-0.059241
AADACL4	ENSG00000204518	AADACL4	343066	AADACL4	12	0.34815	0.65935	1	10862	3	-0.061954	0.23462	0.39203	0.873122	8325	3	-0.061954
AADAT	ENSG00000109576	AADAT	51166	AADAT	12	0.44191	0.73209	1	12307	3	0.029128	0.73808	0.83046	0.985378	15880	2	0.029128
AAED1	ENSG00000158122	PRXL2C	195827	PRXL2C	12	0.0075936	0.036958	0.818696	844	5	-0.090297	0.78817	0.85365	0.985378	16323	2	-0.090297
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	12	0.014039	0.064726	0.93296	1300	5	-0.1454	0.95778	0.94406	0.991578	18000	1	-0.1454
