id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
A1BG	ENSG00000121410	A1BG	1	A1BG	12	0.03538	0.076326	0.629077	2287	5	-0.13824	0.40405	0.65352	1	11860	3	-0.13824
A1CF	ENSG00000148584	A1CF	29974	A1CF	12	0.089219	0.18493	0.792361	4408	3	0.064254	0.080327	0.22345	0.969238	4305	4	0.064254
A2M	ENSG00000175899	A2M	2	A2M	12	0.23778	0.40348	0.89393	8505	3	0.15513	0.015316	0.049964	0.657625	1428	6	0.15513
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	12	0.49598	0.66768	0.98227	12842	2	-0.013437	0.22571	0.46637	1	8457	3	-0.013437
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	12	0.17598	0.33775	0.885428	7103	3	0.0922	0.0067059	0.026055	0.528928	927	5	0.0922
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	12	0.20957	0.37709	0.885428	7944	4	-0.066492	0.5985	0.80073	1	14403	3	-0.066492
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	12	0.69568	0.813	0.999693	15353	2	0.13853	0.0062689	0.02525	0.528928	897	5	0.13853
AAAS	ENSG00000094914	AAAS	8086	AAAS	12	0.40745	0.60735	0.974384	11750	2	0.075815	0.11923	0.29758	1	5545	4	0.075815
AACS	ENSG00000081760	AACS	65985	AACS	12	0.13401	0.27758	0.880067	5847	1	0.046977	0.28575	0.54251	1	9633	4	0.046977
AADAC	ENSG00000114771	AADAC	13	AADAC	12	0.29524	0.47923	0.938928	9639	3	0.16336	0.19709	0.42056	1	7686	5	0.16336
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	12	0.5454	0.70616	0.988545	13501	2	0.11082	0.024591	0.082639	0.798101	1940	5	0.11082
AADACL3	ENSG00000188984	AADACL3	126767	AADACL3	12	0.26007	0.4304	0.910331	8926	3	-0.11729	0.91312	0.9479	1	17568	1	-0.11729
AADACL4	ENSG00000204518	AADACL4	343066	AADACL4	12	0.43614	0.62789	0.977274	12093	3	0.021927	0.24925	0.49937	1	8937	3	0.021927
AADAT	ENSG00000109576	AADAT	51166	AADAT	12	0.97028	0.96082	1	18065	1	0.30406	0.012675	0.043342	0.640449	1260	7	0.30406
AAED1	ENSG00000158122	PRXL2C	195827	PRXL2C	12	0.28122	0.45951	0.924964	9337	4	-0.052628	0.91891	0.94875	1	17604	1	-0.052628
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	12	0.00070427	0.001787	0.106771	317	6	-0.30764	0.35937	0.6114	1	11046	1	-0.30764
AAK1	ENSG00000115977	AAK1	22848	AAK1	12	0.30081	0.4919	0.952331	9753	4	-0.090711	0.27195	0.52867	1	9384	3	-0.090711
AAMDC	ENSG00000087884	AAMDC	28971	AAMDC	12	0.04672	0.10672	0.720212	2786	6	-0.16249	0.43801	0.68883	1	12483	2	-0.16249
AAMP	ENSG00000127837	AAMP	14	AAMP	12	0.60041	0.7524	0.992811	14247	3	0.0647	0.076516	0.21791	0.969238	4147	5	0.0647
AANAT	ENSG00000129673	AANAT	15	AANAT	12	0.34325	0.54085	0.957788	10564	2	0.088709	0.75023	0.88161	1	16071	2	0.088709
AAR2	ENSG00000131043	AAR2	25980	AAR2	12	0.22772	0.39125	0.885428	8313	3	0.059918	0.21088	0.44349	1	8059	5	0.059918
AARD	ENSG00000205002	AARD	441376	AARD	12	0.22216	0.38626	0.885428	8212	1	0.0069334	0.63043	0.81995	1	14777	3	0.0069334
AARS	ENSG00000090861	AARS1	16	AARS1	12	0.00098824	0.0025158	0.136529	349	5	-0.15911	0.82311	0.90778	1	16692	1	-0.15911
AARS2	ENSG00000124608	AARS2	57505	AARS2	12	0.081696	0.17199	0.778533	4165	5	-0.066018	0.39716	0.64861	1	11731	4	-0.066018
AARSD1	ENSG00000266967	AARSD1	80755	AARSD1	12	0.086895	0.1794	0.783634	4330	4	-0.008235	0.58105	0.78912	1	14192	3	-0.008235
AASDH	ENSG00000157426	AASDH	132949	AASDH	12	0.63181	0.77658	0.992811	14701	2	0.034384	0.2783	0.53594	1	9518	3	0.034384
AASDHPPT	ENSG00000149313	AASDHPPT	60496	AASDHPPT	12	0.28431	0.46151	0.924964	9418	3	-0.022432	0.045805	0.14367	0.89356	2908	3	-0.022432
AASS	ENSG00000008311	AASS	10157	AASS	12	0.77864	0.85359	0.999693	16127	1	0.14757	0.022098	0.075625	0.78245	1824	6	0.14757
AATF	ENSG00000275700	AATF	26574	AATF	12	0.24862	0.41767	0.906762	8710	2	0.35219	5.9242e-05	0.00026425	0.028437	176	6	0.35219
AATK	ENSG00000181409	AATK	9625	AATK	12	0.6071	0.75705	0.992811	14344	3	0.12167	0.18771	0.4019	1	7423	5	0.12167
ABAT	ENSG00000183044	ABAT	18	ABAT	12	0.44567	0.634	0.977274	12206	2	0.0023136	0.88222	0.9379	1	17310	2	0.0023136
ABCA1	ENSG00000165029	ABCA1	19	ABCA1	12	0.54887	0.70974	0.989187	13543	3	0.063076	0.14154	0.33855	1	6140	4	0.063076
ABCA10	ENSG00000154263	ABCA10	10349	ABCA10	12	0.76029	0.84483	0.999693	15944	2	0.17524	0.078655	0.21995	0.969238	4242	6	0.17524
ABCA12	ENSG00000144452	ABCA12	26154	ABCA12	12	0.11822	0.2471	0.876019	5332	5	-0.11221	0.94669	0.95988	1	17824	1	-0.11221
ABCA13	ENSG00000179869	ABCA13	154664	ABCA13	12	0.53857	0.70025	0.987471	13412	3	0.067664	0.16141	0.36505	1	6711	5	0.067664
ABCA2	ENSG00000107331	ABCA2	20	ABCA2	12	0.005953	0.015573	0.369532	789	4	-0.11387	0.35696	0.60803	1	11000	4	-0.11387
ABCA3	ENSG00000167972	ABCA3	21	ABCA3	12	0.23284	0.39713	0.890135	8424	4	0.11566	0.037714	0.12085	0.893348	2538	4	0.11566
ABCA4	ENSG00000198691	ABCA4	24	ABCA4	12	0.039141	0.084802	0.641311	2442	6	-0.21193	0.1902	0.40536	1	7494	1	-0.21193
ABCA5	ENSG00000154265	ABCA5	23461	ABCA5	12	0.26494	0.43772	0.91658	9031	3	-0.073081	0.074951	0.2137	0.969238	4088	3	-0.073081
ABCA6	ENSG00000154262	ABCA6	23460	ABCA6	12	0.28738	0.46763	0.931581	9484	4	-0.02279	0.35533	0.60758	1	10959	4	-0.02279
ABCA7	ENSG00000064687	ABCA7	10347	ABCA7	12	0.17953	0.3422	0.885428	7207	3	-0.023266	0.6029	0.80327	1	14452	2	-0.023266
ABCA8	ENSG00000141338	ABCA8	10351	ABCA8	12	0.11951	0.24971	0.87849	5366	2	0.0035108	0.76015	0.88467	1	16132	2	0.0035108
ABCA9	ENSG00000154258	ABCA9	10350	ABCA9	12	0.75727	0.8426	0.999693	15917	1	0.10262	0.012253	0.042552	0.640449	1237	5	0.10262
ABCB1	ENSG00000085563	ABCB1	5243	ABCB1	12	0.65368	0.78943	0.992811	15026	2	0.10894	0.0076629	0.030175	0.576537	990	5	0.10894
ABCB10	ENSG00000135776	ABCB10	23456	ABCB10	12	0.012856	0.03012	0.490516	1162	5	-0.11677	0.79058	0.89573	1	16420	1	-0.11677
ABCB11	ENSG00000073734	ABCB11	8647	ABCB11	12	0.33744	0.53735	0.957788	10441	3	0.008906	0.15389	0.35622	1	6520	2	0.008906
ABCB4	ENSG00000005471	ABCB4	5244	ABCB4	12	0.79496	0.86288	0.999693	16304	2	0.070379	0.31894	0.573	1	10249	2	0.070379
ABCB5	ENSG00000004846	ABCB5	340273	ABCB5	12	0.58655	0.73946	0.992811	14079	3	-0.021951	0.29337	0.54589	1	9786	4	-0.021951
ABCB6	ENSG00000115657	ABCB6	10058	ABCB6	12	0.070411	0.14959	0.740523	3809	4	-0.071602	0.44973	0.70089	1	12700	2	-0.071602
ABCB7	ENSG00000131269	ABCB7	22	ABCB7	12	0.092273	0.1891	0.792361	4507	4	-0.074257	0.35133	0.60507	1	10871	2	-0.074257
ABCB8	ENSG00000197150	ABCB8	11194	ABCB8	12	0.40268	0.60517	0.974384	11700	3	0.021262	0.024817	0.083372	0.798101	1957	5	0.021262
ABCB9	ENSG00000150967	ABCB9	23457	ABCB9	12	0.94439	0.93967	1	17664	1	0.028393	0.024722	0.083249	0.798101	1951	5	0.028393
ABCC1	ENSG00000103222	ABCC1	4363	ABCC1	12	0.82186	0.87602	1	16565	2	-0.1639	0.16069	0.36406	1	6689	4	-0.1639
ABCC10	ENSG00000124574	ABCC10	89845	ABCC10	12	0.30414	0.49648	0.95498	9808	3	0.053247	0.33418	0.58481	1	10547	3	0.053247
ABCC11	ENSG00000121270	ABCC11	85320	ABCC11	12	0.1246	0.26289	0.880067	5534	4	-0.064051	0.68228	0.84695	1	15456	2	-0.064051
ABCC12	ENSG00000140798	ABCC12	94160	ABCC12	12	0.14156	0.28559	0.880067	6084	5	-0.11365	0.69309	0.85418	1	15600	1	-0.11365
ABCC2	ENSG00000023839	ABCC2	1244	ABCC2	12	0.0053502	0.013644	0.345932	746	6	-0.1958	0.36753	0.61952	1	11196	4	-0.1958
ABCC3	ENSG00000108846	ABCC3	8714	ABCC3	12	0.42182	0.62039	0.977274	11925	3	-0.027007	0.35356	0.60709	1	10919	2	-0.027007
ABCC4	ENSG00000125257	ABCC4	10257	ABCC4	12	0.58459	0.73824	0.992811	14044	3	0.04128	0.064949	0.18365	0.934522	3713	5	0.04128
ABCC5	ENSG00000114770	ABCC5	10057	ABCC5	12	0.97044	0.96082	1	18067	1	0.16438	0.0041958	0.01655	0.43778	714	6	0.16438
ABCC6	ENSG00000091262	ABCC6	368	ABCC6	12	0.25226	0.42199	0.908649	8779	3	0.12407	0.084183	0.23006	0.969238	4447	3	0.12407
