id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
43160	NA	NA	NA	NA	3	0.62962	0.42943	0.685759	11531	0	0.0010363	0.80716	0.91509	1	14995	0	0.0010363
43160	NA	NA	NA	NA	4	0.35016	0.14739	0.425206	6744	1	0.045486	0.15242	0.36996	1	4560	1	0.045486
43161	NA	NA	NA	NA	4	0.42667	0.21996	0.537198	7858	1	-0.010918	0.55778	0.70283	1	10413	1	-0.010918
43161	NA	NA	NA	NA	4	0.090168	0.024229	0.177113	2616	2	-0.034368	0.76548	0.88553	1	14216	0	-0.034368
43162	ENSG00000173926	MARCHF3	115123	MARCHF3	4	0.085309	0.023626	0.177113	2501	2	-0.068013	0.55178	0.69427	1	10306	1	-0.068013
43163	ENSG00000144583	MARCHF4	57574	MARCHF4	4	0.6383	0.40595	0.66959	11711	0	-0.016316	0.81548	0.91688	1	15165	0	-0.016316
43164	ENSG00000198060	MARCHF5	54708	MARCHF5	4	0.92919	0.81665	0.901551	17547	0	0.097162	0.37703	0.55705	1	7754	1	0.097162
43165	ENSG00000145495	MARCHF6	10299	MARCHF6	3	0.54007	0.33072	0.608588	9794	0	0.14348	0.080865	0.22593	1	2764	2	0.14348
43166	ENSG00000136536	MARCHF7	64844	MARCHF7	4	0.84565	0.67419	0.826214	15805	0	0.016474	0.72122	0.8522	1	13386	0	0.016474
43167	ENSG00000165406	MARCHF8	220972	MARCHF8	4	0.90321	0.77375	0.882342	16977	0	0.11264	0.044015	0.17197	1	1852	2	0.11264
43168	NA	NA	NA	NA	4	0.051367	0.0085989	0.091792	1763	2	-0.22405	0.92309	0.97792	1	17272	0	-0.22405
43169	ENSG00000173838	MARCHF10	162333	MARCHF10	4	0.61155	0.36107	0.62616	11192	0	0.017819	0.19729	0.43382	1	5655	2	0.017819
43170	ENSG00000183654	MARCHF11	441061	MARCHF11	4	0.97367	0.9167	0.960283	18487	0	0.18804	0.0099845	0.060694	1	558	3	0.18804
43344	ENSG00000180096	SEPTIN1	1731	SEPTIN1	4	0.11005	0.035783	0.209189	3119	2	-0.12409	0.75999	0.88309	1	14115	0	-0.12409
43345	ENSG00000168385	SEPTIN2	4735	SEPTIN2	4	0.39227	0.18361	0.482811	7345	1	-0.0025352	0.79955	0.90907	1	14856	0	-0.0025352
43346	ENSG00000100167	SEPTIN3	55964	SEPTIN3	4	0.096556	0.031975	0.209189	2784	2	-0.073009	0.62881	0.76677	1	11673	0	-0.073009
43347	ENSG00000108387	SEPTIN4	5414	SEPTIN4	4	0.43419	0.22596	0.537198	7977	1	-0.038272	0.35364	0.54564	1	7448	1	-0.038272
43348	ENSG00000184702	SEPTIN5	5413	SEPTIN5	4	0.36381	0.15343	0.429412	6950	1	-0.009936	0.67737	0.81881	1	12546	0	-0.009936
43349	ENSG00000125354	SEPTIN6	23157	SEPTIN6	4	0.95573	0.87557	0.936565	18105	0	0.11051	0.050683	0.18284	1	2035	2	0.11051
43350	ENSG00000122545	SEPTIN7	989	SEPTIN7	4	0.41852	0.21389	0.530115	7741	1	-0.061808	0.95818	0.98981	1	17955	0	-0.061808
43351	ENSG00000164402	SEPTIN8	23176	SEPTIN8	4	0.99876	0.99502	1	19059	0	0.12692	0.0012439	0.0097453	1	121	4	0.12692
43352	ENSG00000184640	SEPTIN9	10801	SEPTIN9	4	0.60206	0.35532	0.623501	11010	0	0.07693	0.52425	0.6743	1	9866	1	0.07693
43353	ENSG00000186522	SEPTIN10	151011	SEPTIN10	4	0.28985	0.12342	0.394989	5913	1	-0.05074	0.92258	0.97745	1	17266	0	-0.05074
43354	ENSG00000138758	SEPTIN11	55752	SEPTIN11	4	0.37316	0.16848	0.45892	7080	1	0.039198	0.66201	0.80388	1	12267	0	0.039198
43355	ENSG00000140623	SEPTIN12	124404	SEPTIN12	4	0.54357	0.30731	0.593593	9858	1	0.091162	0.021588	0.1002	1	1089	2	0.091162
43357	ENSG00000154997	SEPTIN14	346288	SEPTIN14	4	0.62221	0.37551	0.638676	11398	0	0.10145	0.18085	0.41577	1	5241	2	0.10145
43358	ENSG00000183291	SELENOF	9403	SELENOF	4	0.18628	0.084028	0.348418	4651	1	-0.068315	0.55834	0.70283	1	10423	1	-0.068315
43435	ENSG00000173077	DELEC1	50514	DELEC1	4	0.82096	0.64709	0.820152	15279	0	0.048955	0.51143	0.66991	1	9659	1	0.048955
A1BG	ENSG00000121410	A1BG	1	A1BG	3	0.71725	0.53319	0.752157	13255	0	0.020608	0.53216	0.6715	1	9983	0	0.020608
A1CF	ENSG00000148584	A1CF	29974	A1CF	4	0.66157	0.43283	0.685759	12155	0	0.069207	0.28815	0.50243	1	6629	1	0.069207
A2M	ENSG00000175899	A2M	2	A2M	4	0.83336	0.66712	0.825342	15541	0	-0.0058628	0.76489	0.88472	1	14201	0	-0.0058628
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	4	0.91065	0.78552	0.886618	17124	0	0.11638	0.058883	0.1974	1	2234	2	0.11638
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	4	0.42829	0.22292	0.537198	7881	1	0.030756	0.63017	0.76677	1	11700	0	0.030756
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	3	0.46943	0.25381	0.544693	8542	0	0.035724	0.64731	0.7918	1	11994	0	0.035724
