id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
0610007P14Rik	ENSG00000133935	ERG28	11161	ERG28	4	0.17336	0.070933	0.420656	3128	1	-0.12642	0.19155	0.22014	1	3670	0	-0.12642
0610009B22Rik	ENSG00000196459	TRAPPC2	6399	TRAPPC2	4	0.47725	0.29255	0.642465	8955	0	0.27517	0.0057044	1.9374e-05	0.003373	112	1	0.27517
0610009O20Rik	ENSG00000081791	DELE1	9812	DELE1	4	0.51729	0.33788	0.682031	9701	0	0.061796	0.67991	0.75279	1	13054	0	0.061796
0610010B08Rik	ENSG00000132010	ZNF20	7568	ZNF20	4	0.968	0.93452	0.971504	18919	0	0.21572	0.02951	0.024058	0.586024	556	0	0.21572
0610010F05Rik	ENSG00000162929	SANBR	84542	SANBR	4	0.68802	0.5177	0.786604	12937	0	0.1113	0.12705	0.11526	0.932466	2418	0	0.1113
0610010K14Rik	ENSG00000258315	C17orf49	124944	C17orf49	4	0.387	0.2315	0.6091	7207	0	-0.089312	0.72544	0.79763	1	13964	0	-0.089312
0610011F06Rik	ENSG00000130731	METTL26	84326	METTL26	4	0.9755	0.9527	0.982775	19069	0	0.12475	0.39495	0.43677	1	7541	0	0.12475
0610030E20Rik	ENSG00000168887	C2orf68	388969	C2orf68	4	0.11236	0.040407	0.354636	2049	1	-0.046052	0.87856	0.93221	1	17065	0	-0.046052
0610040J01Rik	ENSG00000154274	C4orf19	55286	C4orf19	4	0.74987	0.59249	0.817366	14201	0	0.059016	0.079439	0.047453	0.586024	1516	0	0.059016
1110001J03Rik	ENSG00000164898	FMC1	154791	FMC1	4	0.9408	0.88499	0.948375	18355	0	0.11743	0.67002	0.74006	1	12866	0	0.11743
1110004E09Rik	ENSG00000159079	CFAP298	56683	CFAP298	4	0.29655	0.16299	0.579799	5438	0	-0.16092	0.94436	0.97576	1	18407	0	-0.16092
1110004F10Rik	ENSG00000110696	C11orf58	10944	C11orf58	4	0.23237	0.11247	0.521376	4230	0	-0.30459	0.97949	0.99409	1	19121	0	-0.30459
1110007C09Rik	ENSG00000165233	CARD19	84270	CARD19	4	0.31686	0.18053	0.596258	5814	0	-0.21746	0.9157	0.95929	1	17854	0	-0.21746
1110008F13Rik	ENSG00000101084	RAB5IF	55969	RAB5IF	4	0.38462	0.2315	0.6091	7158	0	0.044642	0.08586	0.05129	0.586024	1639	0	0.044642
1110008L16Rik	ENSG00000100890	PRORP	9692	PRORP	4	0.44397	0.27689	0.642465	8314	0	-0.17388	0.13918	0.144	1	2652	0	-0.17388
1110008P14Rik	ENSG00000171159	BBLN	79095	BBLN	4	0.88902	0.79221	0.910604	17119	0	0.111	0.51644	0.58033	1	9843	0	0.111
1110012L19Rik	ENSG00000197620	EOLA1	91966	EOLA1	4	0.33659	0.20106	0.6091	6212	0	-0.010716	0.19018	0.21341	1	3647	0	-0.010716
