id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	Enrichment	pos.rank	neg.rank
EHD2	ENSG00000024422	EHD2	30846	EHD2	-24.8660515	18904	1
TPM4	ENSG00000167460	TPM4	7171	TPM4	-19.926295	18903	2
PSG3	ENSG00000221826	PSG3	5671	PSG3	-18.183535	18902	3
OR4F4	ENSG00000177693	OR4F4	124906935	OR4F4	-17.062605	18901	4
TMEM79	ENSG00000163472	TMEM79	84283	TMEM79	-14.895215	18900	5
PLA2G5	ENSG00000127472	PLA2G5	5322	PLA2G5	-13.01186	18899	6
CISH	ENSG00000114737	CISH	1154	CISH	-8.62981	18898	7
ANTXR2	ENSG00000163297	ANTXR2	118429	ANTXR2	-6.294315	18897	8
ART1	ENSG00000129744	ART1	417	ART1	-3.63034	18896	9
GLIS2	ENSG00000126603	GLIS2	84662	GLIS2	-3.17735	18895	10
PTRH1	ENSG00000187024	PTRH1	138428	PTRH1	-2.94885	18894	11
SMPD2	ENSG00000135587	SMPD2	6610	SMPD2	-2.92705	18893	12
TMEM88	ENSG00000167874	TMEM88	92162	TMEM88	-2.64035	18892	13
ADAM18	ENSG00000168619	ADAM18	8749	ADAM18	-2.602	18891	14
PDE11A	ENSG00000128655	PDE11A	50940	PDE11A	-2.58485	18890	15
MYADM	ENSG00000179820	MYADM	91663	MYADM	-2.49135	18889	16
MYOZ3	ENSG00000164591	MYOZ3	91977	MYOZ3	-2.4909	18888	17
MORC3	ENSG00000159256	MORC3	23515	MORC3	-2.46575	18887	18
COL21A1	ENSG00000124749	COL21A1	81578	COL21A1	-2.41715	18886	19
KRT33B	ENSG00000131738	KRT33B	3884	KRT33B	-2.40275	18885	20
STXBP1	ENSG00000136854	STXBP1	6812	STXBP1	-2.39035	18884	21
LBX2	ENSG00000179528	LBX2	85474	LBX2	-2.3875	18883	22
SLC19A2	ENSG00000117479	SLC19A2	10560	SLC19A2	-2.3462	18882	23
FPGS	ENSG00000136877	FPGS	2356	FPGS	-2.30705	18881	24
LCE2A	ENSG00000187173	LCE2A	353139	LCE2A	-2.29245	18880	25
GLT8D1	ENSG00000016864	GLT8D1	55830	GLT8D1	-2.27955	18879	26
RCVRN	ENSG00000109047	RCVRN	5957	RCVRN	-2.23745	18878	27
LGALS12	ENSG00000133317	LGALS12	85329	LGALS12	-2.22129	18877	28
STK32B	ENSG00000152953	STK32B	55351	STK32B	-2.2072	18876	29
GAPDH	ENSG00000111640	GAPDH	2597	GAPDH	-2.2052	18875	30
PIF1	ENSG00000140451	PIF1	80119	PIF1	-2.19496	18874	31
UBASH3B	ENSG00000154127	UBASH3B	84959	UBASH3B	-2.17925	18873	32
TM4SF18	ENSG00000163762	TM4SF18	116441	TM4SF18	-2.17695	18872	33
NBEAL1	ENSG00000144426	NBEAL1	65065	NBEAL1	-2.17225	18871	34
UBN2	ENSG00000157741	UBN2	254048	UBN2	-2.17095	18870	35
PAIP2	ENSG00000120727	PAIP2	51247	PAIP2	-2.1621	18869	36
PACRG	ENSG00000112530	PACRG	135138	PACRG	-2.1334	18868	37
SCAPER	ENSG00000140386	SCAPER	49855	SCAPER	-2.12115	18867	38
RAF1	ENSG00000132155	RAF1	5894	RAF1	-2.115245	18866	39
TTC28	ENSG00000100154	TTC28	23331	TTC28	-2.09525	18865	40
MRPL37	ENSG00000116221	MRPL37	51253	MRPL37	-2.07395	18864	41
ABHD12B	ENSG00000131969	ABHD12B	145447	ABHD12B	-2.07255	18863	42
LRRC3C	ENSG00000204913	LRRC3C	100505591	LRRC3C	-2.07225	18862	43
CFC1B	ENSG00000152093	CFC1B	653275	CFC1B	-2.06655	18861	44
TUBB4B	ENSG00000188229	TUBB4B	10383	TUBB4B	-2.0601	18860	45
PCDHA10	ENSG00000250120	PCDHA10	56139	PCDHA10	-2.0325	18859	46
MOBP	ENSG00000168314	MOBP	4336	MOBP	-2.03095	18858	47
NBAS	ENSG00000151779	NBAS	51594	NBAS	-2.01735	18857	48
CCND3	ENSG00000112576	CCND3	896	CCND3	-2.0088	18856	49
GRAMD3	ENSG00000155324	GRAMD2B	65983	GRAMD2B	-2.00265	18855	50
TEX14	ENSG00000121101	TEX14	56155	TEX14	-2.0023	18854	51
PDCD11	ENSG00000148843	PDCD11	22984	PDCD11	-2.00195	18853	52
SOX18	ENSG00000203883	SOX18	54345	SOX18	-1.99305	18852	53
ZSCAN16	ENSG00000196812	ZSCAN16	80345	ZSCAN16	-1.9868	18851	54
TEK	ENSG00000120156	TEK	7010	TEK	-1.984505	18850	55
BSX	ENSG00000188909	BSX	390259	BSX	-1.97576	18849	56
NOC2L	ENSG00000188976	NOC2L	26155	NOC2L	-1.97065	18848	57
KCNJ1	ENSG00000151704	KCNJ1	3758	KCNJ1	-1.9558	18847	58
TCF19	ENSG00000137310	TCF19	6941	TCF19	-1.94815	18846	59
OR56B1	ENSG00000181023	OR56B1	387748	OR56B1	-1.94625	18845	60
ZSCAN26	ENSG00000197062	ZSCAN26	7741	ZSCAN26	-1.94215	18844	61
ANXA6	ENSG00000197043	ANXA6	309	ANXA6	-1.93684	18843	62
OR6C1	ENSG00000205330	OR6C1	390321	OR6C1	-1.9361	18842	63
G2E3	ENSG00000092140	G2E3	55632	G2E3	-1.93489	18841	64
COL4A4	ENSG00000081052	COL4A4	1286	COL4A4	-1.9331	18840	65
FAM206A	ENSG00000119328	ABITRAM	54942	ABITRAM	-1.91775	18839	66
USP6NL	ENSG00000148429	USP6NL	9712	USP6NL	-1.91445	18838	67
GTF2I	ENSG00000263001	GTF2I	2969	GTF2I	-1.91382	18837	68
HIST1H2BC	ENSG00000158373	H2BC5	3017	H2BC5	-1.911425	18836	69
USP38	ENSG00000170185	USP38	84640	USP38	-1.91021	18835	70
TSPY8	ENSG00000229549	TSPY8	728403	TSPY8	-1.90815	18834	71
OR6P1	ENSG00000186440	OR6P1	128366	OR6P1	-1.90616	18833	72
GABBR1	ENSG00000204681	GABBR1	2550	GABBR1	-1.9025	18832	73
DSCR4	ENSG00000184029	DSCR4	10281	DSCR4	-1.9015776	18831	74
EPSTI1	ENSG00000133106	EPSTI1	94240	EPSTI1	-1.89695	18830	75
VAMP1	ENSG00000139190	VAMP1	6843	VAMP1	-1.896615	18829	76
BEST2	ENSG00000039987	BEST2	54831	BEST2	-1.89595	18828	77
GNL2	ENSG00000134697	GNL2	29889	GNL2	-1.8959	18827	78
NCOA7	ENSG00000111912	NCOA7	135112	NCOA7	-1.8779	18826	79
UCHL3	ENSG00000118939	UCHL3	7347	UCHL3	-1.87468	18825	80
STK3	ENSG00000104375	STK3	6788	STK3	-1.87457	18824	81
UMAD1	ENSG00000219545	UMAD1	729852	UMAD1	-1.87352	18823	82
RALGPS1	ENSG00000136828	RALGPS1	9649	RALGPS1	-1.865085	18822	83
HID1	ENSG00000167861	HID1	283987	HID1	-1.86445	18821	84
CBR4	ENSG00000145439	CBR4	84869	CBR4	-1.86105	18820	85
ACADL	ENSG00000115361	ACADL	33	ACADL	-1.85175	18819	86
CBLN1	ENSG00000102924	CBLN1	869	CBLN1	-1.847655	18818	87
CCDC34	ENSG00000109881	CCDC34	91057	CCDC34	-1.84535	18817	88
RPL8	ENSG00000161016	RPL8	6132	RPL8	-1.84325	18816	89
