id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
5830411N06Rik	NA	NA	NA	NA	4	0.63576	0.63476	0.999651	1027	0	-0.016313	0.6821	0.68116	0.991265	1132	0	-0.016313
A2m	ENSG00000175899	A2M	2	A2M	4	0.27243	0.27072	0.999651	433	0	0.063816	0.11177	0.11173	0.960116	185	0	0.063816
Aamp	ENSG00000127837	AAMP	14	AAMP	4	0.53404	0.5323	0.999651	869	0	0.038998	0.093865	0.093561	0.960116	156	0	0.038998
Abca1	ENSG00000165029	ABCA1	19	ABCA1	4	0.60086	0.59978	0.999651	973	0	-0.016038	0.57023	0.56961	0.968758	974	0	-0.016038
Abca2	ENSG00000107331	ABCA2	20	ABCA2	4	0.54461	0.543	0.999651	884	0	0.033316	0.22804	0.22713	0.960116	380	0	0.033316
Abca3	ENSG00000167972	ABCA3	21	ABCA3	4	0.17983	0.17943	0.999651	290	1	-0.011712	0.97723	0.97726	0.994654	1629	0	-0.011712
Abca7	ENSG00000064687	ABCA7	10347	ABCA7	4	0.56096	0.56038	0.999651	913	0	0.015418	0.15142	0.1511	0.960116	253	0	0.015418
Abca9	ENSG00000154258	ABCA9	10350	ABCA9	4	0.16983	0.16975	0.999651	273	1	-0.038789	0.62732	0.62627	0.974871	1065	0	-0.038789
Abcb1a	ENSG00000085563	ABCB1	5243	ABCB1	4	0.31013	0.30822	0.999651	498	0	-0.014732	0.94109	0.94045	0.991265	1570	0	-0.014732
Abcc1	ENSG00000103222	ABCC1	4363	ABCC1	4	0.10984	0.11209	0.989192	186	1	-0.00054722	0.22717	0.22635	0.960116	378	0	-0.00054722
Abcc2	ENSG00000023839	ABCC2	1244	ABCC2	4	0.10164	0.10451	0.989192	173	1	-0.039795	0.75867	0.75826	0.991265	1250	0	-0.039795
Abcc5	ENSG00000114770	ABCC5	10057	ABCC5	4	0.34482	0.34272	0.999651	557	0	0.021416	0.020572	0.020557	0.960116	34	0	0.021416
Abcg1	ENSG00000160179	ABCG1	9619	ABCG1	4	0.72386	0.72337	0.999651	1170	0	0.042572	0.21805	0.21708	0.960116	367	0	0.042572
Abhd14a	ENSG00000248487	ABHD14A	25864	ABHD14A	4	0.48771	0.48555	0.999651	790	0	0.028628	0.31449	0.31282	0.960116	527	0	0.028628
Acaa2	ENSG00000167315	ACAA2	10449	ACAA2	4	0.095813	0.098887	0.989192	165	1	-0.05859	0.9318	0.93142	0.991265	1554	0	-0.05859
Ace	ENSG00000159640	ACE	1636	ACE	4	0.37005	0.36806	0.999651	601	0	-0.026674	0.76829	0.7683	0.991265	1268	0	-0.026674
Ace2	ENSG00000130234	ACE2	59272	ACE2	4	0.80172	0.80192	0.999651	1311	0	-0.018912	0.79984	0.80006	0.991265	1329	0	-0.018912
Ache	ENSG00000087085	ACHE	43	ACHE	4	0.97023	0.97029	0.999651	1601	0	0.032714	0.28231	0.28044	0.960116	465	0	0.032714
Ackr3	ENSG00000144476	ACKR3	57007	ACKR3	4	0.086531	0.090724	0.976758	154	1	-0.043962	0.88762	0.88732	0.991265	1476	0	-0.043962
Acly	ENSG00000131473	ACLY	47	ACLY	4	0.78233	0.78241	0.999651	1278	0	0.01956	0.36297	0.36054	0.960116	617	0	0.01956
Acp2	ENSG00000134575	ACP2	53	ACP2	4	0.68718	0.68639	0.999651	1107	0	-0.00013577	0.21936	0.21843	0.960116	369	0	-0.00013577
Acsm2	ENSG00000183747	ACSM2A	123876	ACSM2A	4	0.016431	0.028147	0.947836	48	1	-0.0037177	0.21411	0.21313	0.960116	358	0	-0.0037177
Acvr1	ENSG00000115170	ACVR1	90	ACVR1	4	0.6963	0.69553	0.999651	1123	0	-0.014961	0.95768	0.9578	0.991265	1600	0	-0.014961
Acvr1b	ENSG00000135503	ACVR1B	91	ACVR1B	4	0.70332	0.70278	0.999651	1135	0	0.0059475	0.53048	0.52884	0.960134	909	0	0.0059475
