id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
0610007P14Rik	ENSG00000133935	ERG28	11161	ERG28	4	0.23096	0.35253	1	4912	2	-0.13	0.90326	0.90316	1	16695	0	-0.13
0610009B22Rik	ENSG00000196459	TRAPPC2	6399	TRAPPC2	4	0.66881	0.67774	1	11441	1	0.37775	0.019866	0.057026	0.860149	1300	2	0.37775
0610009O20Rik	ENSG00000081791	DELE1	9812	DELE1	4	0.8179	0.818	1	14797	0	0.087162	0.25957	0.3941	0.995458	7775	1	0.087162
0610010B08Rik	ENSG00000132010	ZNF20	7568	ZNF20	4	0.02253	0.059412	0.588567	1982	2	-0.37994	0.14889	0.27498	0.944853	5715	1	-0.37994
0610010F05Rik	ENSG00000162929	SANBR	84542	SANBR	4	0.73356	0.73422	1	12761	1	-0.094888	0.62344	0.66395	1	12501	1	-0.094888
0610010K14Rik	ENSG00000258315	C17orf49	124944	C17orf49	4	0.35374	0.48458	1	7258	1	-0.049346	0.93752	0.93756	1	17335	0	-0.049346
0610011F06Rik	ENSG00000130731	METTL26	84326	METTL26	4	0.29896	0.43113	1	6245	2	-0.1344	0.97371	0.9738	1	18056	0	-0.1344
0610030E20Rik	ENSG00000168887	C2orf68	388969	C2orf68	4	0.33347	0.47055	1	7020	2	-0.0031178	0.76232	0.76508	1	14263	1	-0.0031178
0610040J01Rik	ENSG00000154274	C4orf19	55286	C4orf19	4	0.30109	0.43353	1	6295	2	-0.13346	0.96404	0.96411	1	17853	0	-0.13346
1110001J03Rik	ENSG00000164898	FMC1	154791	FMC1	4	0.48087	0.5515	1	8602	1	-0.11754	0.76412	0.7666	1	14290	1	-0.11754
1110004E09Rik	ENSG00000159079	CFAP298	56683	CFAP298	4	0.0016295	0.0059135	0.103431	1123	4	-0.53379	0.99837	0.99837	1	18847	0	-0.53379
1110004F10Rik	ENSG00000110696	C11orf58	10944	C11orf58	4	0.49404	0.5591	1	8782	1	0.043413	0.18467	0.31361	0.962034	6401	2	0.043413
1110007C09Rik	ENSG00000165233	CARD19	84270	CARD19	4	0.45001	0.53423	1	8239	1	-0.045335	0.96193	0.96201	1	17814	0	-0.045335
1110008F13Rik	ENSG00000101084	RAB5IF	55969	RAB5IF	4	0.24406	0.36769	1	5159	2	-0.10778	0.88848	0.88838	1	16410	0	-0.10778
1110008L16Rik	ENSG00000100890	PRORP	9692	PRORP	4	0.36689	0.49102	1	7384	1	-0.077221	0.95697	0.95697	1	17721	0	-0.077221
1110008P14Rik	ENSG00000171159	BBLN	79095	BBLN	4	0.044203	0.10541	0.856372	2416	3	-0.22264	0.97406	0.97416	1	18064	0	-0.22264
1110012L19Rik	ENSG00000197620	EOLA1	91966	EOLA1	4	0.8281	0.82814	1	15042	0	-0.076437	0.63618	0.67187	1	12640	1	-0.076437
1110017D15Rik	ENSG00000164972	SPMIP6	84688	SPMIP6	4	0.85735	0.85732	1	15779	0	0.064129	0.19385	0.32354	0.968086	6562	2	0.064129
1110025L11Rik	ENSG00000212938	KRTAP6-3	337968	KRTAP6-3	4	0.0050628	0.017653	0.236849	1464	3	-0.47919	0.98013	0.98023	1	18218	0	-0.47919
1110032A03Rik	ENSG00000137720	CFAP68	64776	CFAP68	4	0.76248	0.7625	1	13428	0	0.14025	0.22739	0.35949	0.979492	7208	2	0.14025
1110032F04Rik	ENSG00000180044	C3orf80	401097	C3orf80	4	0.17667	0.28978	1	4101	2	0.00037423	0.15549	0.28208	0.947351	5847	2	0.00037423
1110034G24Rik	ENSG00000171984	SHLD1	149840	SHLD1	4	0.66705	0.67636	1	11412	1	-0.047613	0.092309	0.19988	0.91808	4272	1	-0.047613
