id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
0610007P14Rik	ENSG00000133935	ERG28	11161	ERG28	4	0.91283	0.91276	1	17560	0	0.87338	0.0011519	0.0042289	0.675762	120	3	0.87338
0610009B22Rik	ENSG00000196459	TRAPPC2	6399	TRAPPC2	4	0.10005	0.21393	1	3661	2	-0.26859	0.099954	0.22113	0.963183	4501	2	-0.26859
0610009O20Rik	ENSG00000081791	DELE1	9812	DELE1	4	0.85044	0.85051	1	16147	0	0.14711	0.49314	0.64501	1	12482	2	0.14711
0610010B08Rik	ENSG00000132010	ZNF20	7568	ZNF20	4	0.21422	0.34385	1	5786	1	0.091929	0.50663	0.65708	1	12696	2	0.091929
0610010F05Rik	ENSG00000162929	SANBR	84542	SANBR	4	0.14169	0.26507	1	4449	2	-0.044408	0.14355	0.29273	0.97437	5888	2	-0.044408
0610010K14Rik	ENSG00000258315	C17orf49	124944	C17orf49	4	0.73095	0.738	1	13733	1	-0.011224	0.60642	0.73193	1	14080	1	-0.011224
0610011F06Rik	ENSG00000130731	METTL26	84326	METTL26	4	0.033943	0.086419	0.909345	1866	2	-0.41256	0.88306	0.88357	1	16894	1	-0.41256
0610030E20Rik	ENSG00000168887	C2orf68	388969	C2orf68	4	0.70202	0.71552	1	13234	1	0.31102	0.20589	0.38824	0.984646	7733	3	0.31102
0610040J01Rik	ENSG00000154274	C4orf19	55286	C4orf19	4	0.91761	0.91758	1	17671	0	0.13187	0.87764	0.87868	1	16797	1	0.13187
1110001J03Rik	ENSG00000164898	FMC1	154791	FMC1	4	0.11236	0.23294	1	3962	2	-0.12044	0.90755	0.90739	1	17348	0	-0.12044
1110004E09Rik	ENSG00000159079	CFAP298	56683	CFAP298	4	0.040235	0.099274	0.952882	2046	3	-0.5127	0.48858	0.64102	1	12405	1	-0.5127
1110004F10Rik	ENSG00000110696	C11orf58	10944	C11orf58	4	0.0040772	0.014365	0.340605	828	4	-0.63322	0.99592	0.99593	1	19238	0	-0.63322
1110007C09Rik	ENSG00000165233	CARD19	84270	CARD19	4	0.37302	0.51579	1	9045	2	-0.079465	0.82525	0.83849	1	16038	1	-0.079465
1110008F13Rik	ENSG00000101084	RAB5IF	55969	RAB5IF	4	0.24236	0.37435	1	6337	2	-0.27412	0.96798	0.96799	1	18578	0	-0.27412
1110008L16Rik	ENSG00000100890	PRORP	9692	PRORP	4	0.021455	0.060018	0.771509	1528	2	-0.5633	0.91699	0.917	1	17554	0	-0.5633
1110008P14Rik	ENSG00000171159	BBLN	79095	BBLN	4	0.30977	0.44732	1	7717	1	0.035734	0.49884	0.65013	1	12571	2	0.035734
1110012L19Rik	ENSG00000197620	EOLA1	91966	EOLA1	4	0.28666	0.4224	1	7237	2	-0.0048823	0.044572	0.12336	0.94117	2572	2	-0.0048823
1110017D15Rik	ENSG00000164972	SPMIP6	84688	SPMIP6	4	0.75354	0.75688	1	14136	1	0.020068	0.28015	0.45983	0.995775	9069	1	0.020068
1110025L11Rik	ENSG00000212938	KRTAP6-3	337968	KRTAP6-3	4	0.0082608	0.028008	0.516064	1066	4	-0.61389	0.99174	0.99179	1	19119	0	-0.61389
1110032A03Rik	ENSG00000137720	CFAP68	64776	CFAP68	4	0.99514	0.99513	1	19509	0	0.75953	0.0048646	0.016958	0.84115	395	4	0.75953
